Gender,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
Male,-7.8784465031642545,E,C,E,141.80030385333257,-57.83849629839393,142.83705598890043,D,B,A,33.5894651826949,116.10894481445608,-80.81437344345296,1
M,75.45520759743864,B,D,E,179.40761565730944,-0.21905516587554086,92.14368637977827,A,A,A,73.73573811443268,-245.0939212621855,85.51089783735026,0
Male,71.51062337521611,B,B,C,28.098275320829067,-82.41796379735831,-15.259521620454603,C,A,B,-88.70889422567872,-108.84124202064581,-14.211314863540036,0
F,-43.27505310620926,C,D,A,-31.60529025228893,94.41337965466235,36.95986648665347,A,A,C,42.89037639139068,130.0757616621038,31.24795909016629,0
Female,47.201449418666854,E,B,A,-51.68982741045502,115.1113660093054,-14.833542564219067,D,E,B,22.08643721095481,53.43530821674559,-141.46821041688474,1
Other,129.71471837337447,E,E,E,-15.486565593009038,17.725322802059836,141.7612969345995,B,E,A,-8.852370284233773,-63.11747569703115,5.216144693655651,1
Male,10.763824163581456,C,C,E,-45.84091189917367,-37.557652155032244,2.602036843571481,A,C,B,74.57716568233002,10.885158929991725,70.12493601574866,1
Non-binary,75.81649494437015,D,C,E,89.23021489053872,-2.6834346283755193,78.35195288960371,E,D,E,26.91631470876319,-80.48948051892717,126.48922140932548,0
Other,-92.40208851614776,D,D,A,-45.09420239281015,-25.510756620885072,-12.812039824993779,A,D,C,-163.02238326388377,4.728925864333376,-86.20392880395981,0
M,44.5512850381333,E,E,E,120.32301223707616,99.16544039018838,65.59474503723104,D,D,C,-269.087815686192,-81.27012487374991,92.50626865096426,0
F,51.79072830516086,C,E,C,91.07601726989502,-75.5176437765721,81.44672477308276,A,B,C,-96.75929091122569,3.3248125633758465,-0.7277304614866303,0
Other,-109.26385025185215,D,D,C,-121.76998756557498,27.252127615665817,-5.945012183125077,B,E,D,74.97151935518933,-6.2847470318609755,-150.24109891791858,1
Non-binary,-9.671715458730796,C,E,C,266.5557079000646,-147.42814466102803,3.9755727908271763,D,E,E,145.625687568928,50.50623565515316,-167.71135638718724,0
Female,-66.87693201712509,D,A,A,-72.0867023092052,3.5268050899573904,-64.09613149590753,E,E,C,175.7466893630997,7.698245494381626,52.57284838766431,1
Other,70.86148809690118,A,B,B,122.82185401578762,117.2141279980349,45.72657985134828,B,B,E,30.76833314410373,15.05204096981305,9.426618702360264,0
Other,16.743429654634205,A,C,B,-36.59229202805691,-27.981385050750596,-24.661366971278806,D,E,E,-80.50658392256763,57.618273391826506,40.03115071336139,1
Non-binary,182.14306880076188,B,E,D,168.09201718135625,43.998771225926426,-115.05595354091534,D,A,E,-203.3426343878682,-34.688417234814786,-6.5635035896235605,1
Female,75.07850118726287,A,C,A,16.716077136945493,31.873927367423693,-150.24883336111947,A,A,D,179.5958993058198,82.73959613832048,72.18424388026521,0
M,-115.85791594561886,A,A,A,-81.0614576673637,146.66534560886424,-55.88842425539377,A,B,D,159.83578764442353,44.44017433116541,-8.153457064130656,0
F,-37.68124076393623,B,B,E,-111.35251828589266,98.1709838229294,-83.50584882374557,A,C,A,37.07753089530239,-70.18515906268944,43.86053377245195,1
Male,-54.49362852379124,E,A,E,215.1021214761999,30.334721786357697,-89.25639763136091,D,A,E,116.77749064947886,-36.599610141750034,108.99131811118106,0
Other,18.459993148115775,E,E,A,-95.21225599824594,94.47766269447888,-159.3940144693184,A,C,D,-33.947760096266684,13.402450486939099,-121.0868077120949,0
Male,-85.91576510249647,E,A,D,79.88223903805802,13.765050637409615,-2.3288678061205834,C,E,A,4.063532455589551,44.92561990542376,-0.4530605325123232,1
Other,-47.877303077188905,D,C,D,100.67805732317356,-42.938390506606154,-17.601624639981225,E,B,B,93.62856120726435,-72.18347459727696,-170.91433739154604,0
M,70.18317187896254,C,B,D,13.299919776246611,24.20776844663952,-51.300415488264015,D,C,B,34.63241107523805,-109.55246041133006,-122.76050254875885,1
Male,120.32218574407061,C,D,E,159.03706000912345,57.57961123607077,-134.33959857048632,B,C,E,-40.07308431190131,-62.73936287275067,70.2578551885816,0
Male,158.33696307122108,D,E,E,25.144210928101906,-36.699377195873026,-144.62058229636503,C,A,E,-33.833905833681456,163.4318148329572,-215.15562324837433,1
Other,150.47270790810094,C,C,A,215.28572905359002,92.80246310770586,-55.434674991041135,C,D,B,51.39147648737023,225.3691172927521,-45.90629044431915,1
Male,-9.16709798332313,E,D,A,104.30082954983901,26.72908739162782,-80.1013589063271,C,C,D,73.59098892381797,-10.999043526220852,-44.669961924567225,0
Non-binary,68.3977972761767,D,E,E,-73.09726008622063,18.72233962391544,137.01634587263166,D,D,D,-97.77190159001886,75.78539503217313,77.06530387048355,1
Male,-81.53188518888909,E,B,E,-243.98510634751784,77.09026631221029,-26.824982670934922,A,A,D,-5.161386390277717,49.824005281182195,-136.76057895619007,0
Other,-93.89606205311112,E,A,A,59.32590598950422,34.447784437404316,19.17319209060177,B,A,C,-157.16858620838687,0.6508687154244457,-46.89136251644266,0
Female,-175.09037374571793,B,B,E,-112.32431159842243,-45.11860195307985,-20.152209484787083,D,D,D,-80.012168382394,-105.58787053114284,115.42465457251285,0
Non-binary,124.51066087711251,E,B,E,80.23555225664143,-131.0047653854598,-29.94764631234522,A,B,B,26.317628600095116,-9.633468058909015,-43.66304244803566,1
Non-binary,53.07026953428197,D,B,A,65.64182527047406,0.1453679526837514,38.302083251200855,C,E,D,15.642536539336916,-32.95296093729318,-15.950382907938476,0
Female,-20.597164421290174,B,D,B,286.1541638978657,102.13696434382562,131.15466147013993,D,E,C,-37.37334499612646,-56.39303954031614,252.567471974689,0
Male,-22.598556757136016,C,D,C,101.11395555352749,54.79669678129011,115.423825830854,B,D,B,-88.68014143297013,-109.71440154845283,196.32975273799138,1
Male,2.5154013273375764,C,A,E,128.78124240549604,253.62754430700573,-107.62916143980871,C,D,E,66.01744662696571,52.401517591400115,-179.05863667232722,1
Other,-123.9084344863714,E,E,A,-25.019208203012205,-82.4431506749025,17.12236995140868,B,D,D,-64.72018933748777,-26.188536364512498,-28.205094019189293,0
Other,-5.347281640958953,B,C,C,-14.763310665640583,28.998855412038505,15.59232647225112,D,E,A,33.82498878077506,-125.11297667106356,9.891594600665208,0
Other,8.493127071042487,A,B,C,94.18124463973302,73.27665904862761,70.37379192276293,D,B,B,-130.52581534801456,-29.17946589877316,-119.75397740201016,1
Female,-230.32392045914284,E,B,A,-85.64968008613371,2.7144978332299106,26.078222742097413,B,B,B,50.892039350751475,-88.28230403437766,-79.1475556952105,0
F,-36.0712835384422,E,E,D,-139.56738442589096,-85.9480022864611,-196.15365301326187,B,D,A,-2.3498722138687165,-34.93583520021781,-10.170908435947716,1
Female,-5.786623164524536,C,A,C,-166.33306211699485,-105.7121889222951,-52.89879497424956,A,D,E,5.009548985176977,163.1492299151276,26.392005143337688,0
F,-91.13984791728673,E,C,A,133.29099925312096,-37.34510909581202,-35.26530749351387,C,B,C,-1.840440845985937,-205.00536835200614,35.772605582290026,0
F,0.3166846457841798,C,E,A,41.46034631412145,-38.53407388906767,-89.37976440594784,C,A,C,-3.4872147208890842,-37.028249511105074,-36.94652634175398,1
F,68.47681959689741,C,B,E,-38.84314101645313,-82.56165647141293,-17.974102763767647,E,B,A,25.970765986117822,38.247133671641286,41.37575315643063,1
Other,-162.98598815608986,A,C,C,30.651069676626978,-44.974854589998536,65.63684672498718,E,E,B,8.108208545360947,-87.78598999356547,64.36865478889557,0
M,25.223916806589365,E,B,C,52.863560652084786,38.67348334505423,-135.63617044122208,D,E,C,242.2588549014349,-42.80631781644289,-180.31852550273732,0
Non-binary,65.97400637848362,C,B,D,153.24212558549726,-38.901164967329514,-191.69741562841574,A,D,A,-69.55793031702399,-20.21353616223542,105.29993327796636,1
M,8.494239891331036,D,B,D,262.9923751395769,101.46308717129733,-46.71241843854523,D,C,D,154.79466867927957,80.14517962838144,-129.76740891030437,1
F,-9.463748700151152,B,C,B,6.2003876258999,-229.48467670131828,-133.12700437772904,D,B,A,29.919082336706452,54.63972888281222,-64.44120092379045,1
M,-64.15743981922614,E,A,B,-68.00286058875209,107.92512990647572,28.845788710318665,E,E,A,-30.64272623409871,103.06074155142421,155.9012332741186,0
Female,-83.02558148468623,C,B,B,-43.31501793775169,-100.11580531585797,2.776674379511954,D,A,D,-111.35449386159411,21.517359831043954,13.943656187304645,0
M,129.29945782066693,A,E,D,36.11306685194685,47.54690235676915,12.37987446347773,A,A,C,-49.111801263816325,42.31287804981881,-8.634719660831646,1
