faith,orientation,disabled,married,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Buddhist,Bisexual,No,Divorced,-142.91780001129948,-37.44941473602516,14.024565645401383,56.56888314903576,D,A,-132.78883815285815,7.637780086230929,C,-26.27470902430283,C,83.72795079399303,E,C,0
Muslim,Heterosexual,None,Married,68.4075694848668,54.29854150768202,22.71893885077559,-36.047960738247575,D,C,11.887624201926556,-64.10159555792126,B,38.211929849293426,C,107.55628458186175,C,A,1
Jewish,Bisexual,Physical,Divorced,42.04769109370343,-31.406903339318255,-215.8994520474827,-105.59554660527135,C,C,32.568011631925856,36.15917544113229,C,98.38194302021228,C,-139.0641949360886,B,C,1
Hindu,Homosexual,Both,Divorced,178.62079076814973,-256.09229451534145,183.95460900610146,214.34599621437292,A,E,165.77992734891774,-109.11254882469825,A,106.29646173455684,C,41.78210980466263,A,E,1
Hindu,Heterosexual,Both,Widowed,-39.65349385706439,59.592488454111944,-13.191101307856346,70.45541410702612,A,D,168.11783798807227,95.38927420448778,A,-138.4850773948571,E,31.187261605652044,C,D,0
Christian,Other,None,Single,69.6431947174334,-6.750779985358185,-31.693605146972804,-0.29033384203693613,D,A,38.78284468087471,-132.7945075431622,D,-167.34168672132833,A,91.65489799272575,A,E,1
Christian,Other,Yes,Divorced,-64.99655381427851,3.692898793846622,162.74127737497653,-56.837065468994616,D,A,47.193066636658,-117.49927719280744,B,172.2266593288664,B,-72.18166082877191,A,B,1
Hindu,Homosexual,Mental,Divorced,-63.29141218698161,-58.5285469313725,103.81347527186698,-28.119451289646598,E,C,17.50532814688967,53.90418518086195,A,11.90652084168007,D,41.67436589709131,B,A,0
Other,Homosexual,Yes,Single,96.2787047740157,57.8099240385462,27.09953657617266,-103.25741661302767,E,A,56.68843198273397,-47.01478879249347,E,-85.08002441049334,B,-17.01839330475667,D,B,1
Buddhist,Bisexual,Physical,Married,122.18048526630841,-100.78579028531942,-121.24747312983162,-132.11647942266399,E,A,97.94838509990144,-81.6143820372685,C,68.08033900236512,B,-82.43302251873757,A,B,1
Other,Homosexual,Mental,Widowed,92.93430904394243,55.12123154217123,159.40687704755473,35.153050812570235,E,A,6.080344731658347,37.26411231265694,E,-74.62263734898859,A,-24.931813394840308,B,B,1
Hindu,Other,Physical,Single,-116.54224370187134,-25.933021318165412,-79.03711959838238,-100.41234205321,E,A,-41.562254767586076,74.71338807548807,C,97.56193993450486,A,177.02934807701627,B,B,0
