orientation,age_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Other,65+,E,99.84778080288808,16.95656524020545,A,D,E,C,C,149.27241989166794,29.40964313460866,74.65775455635652,A,C,5.047368750054177,0
Other,36-50,D,111.82683582632977,-180.62921237712658,A,B,C,E,A,174.4855254133548,-192.42320837370758,-117.86617707011662,D,D,79.6026765641391,1
Bisexual,36-50,B,32.613651419920096,180.89331989192124,A,B,E,D,E,-35.16649263154379,-53.691076234225044,26.716859103858216,B,C,89.23306560331528,1
Homosexual,18-25,C,151.4409548125691,3.5078390668866977,E,D,C,B,C,144.48837593105668,-44.71692155078994,35.009187888707736,C,A,-40.511084970715835,1
Heterosexual,18-25,B,67.18792238212833,28.77136945479492,D,D,D,C,C,75.8406080292638,90.24873308639792,82.05000179228496,D,A,152.891005076855,1
Heterosexual,65+,E,101.60184759717829,50.296567709646155,D,D,C,D,C,-69.84234094547453,112.79470148261129,-38.13830763971925,B,A,-96.63846040176924,1
Heterosexual,26-35,A,43.20097176202885,-24.55549834113734,E,A,D,D,E,108.50253331067783,121.09110566043509,-39.05155238154816,D,A,24.852611650422205,0
Homosexual,65+,E,-21.665499814184653,-59.9002963415601,C,B,B,B,B,69.85011239678897,95.9790936156553,-1.3379836020479363,C,B,-194.5535210088763,0
Homosexual,36-50,C,-76.35399299179244,-37.68479490355164,D,B,E,B,B,-43.08348905067583,11.589129070011985,-253.25944108233728,B,B,-27.624208413674577,0
Other,65+,B,74.1985096109167,-20.762812244067806,D,D,C,B,B,17.327414485600514,75.25232774286266,136.78913059916542,E,A,52.990867098292625,0
Homosexual,65+,B,-307.39872314883246,118.24164993217603,B,D,A,B,D,-118.14770604197882,70.72769017419154,-2.292959418488718,B,C,27.001658489158885,0
Homosexual,18-25,E,-82.9326878615314,240.40142148174505,C,C,B,C,C,-33.663962380510746,-111.10028550392217,-88.84360896107242,D,C,-1.4891452010924446,0
Bisexual,18-25,B,-256.1906197049629,103.66592445171139,A,E,B,D,A,66.32934915763555,-46.80413481401307,32.587074313955156,A,B,-247.17131118357818,0
Bisexual,18-25,E,-42.04444384834848,30.628191497505647,B,C,E,D,D,-38.63643197753917,36.92544759427131,-20.01995816692759,E,C,7.339842380197706,1
