ethnic_group,birth_year,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
African American,26,D,B,B,B,D,B,-24.621349259201438,E,121.84734779530532,A,A,D,78.66739221534472,E,69.63992685133726,148.7688319311776,88.52910175215978,68.5974115962849,0
Hispanic,47,C,D,E,E,B,A,61.77023927613071,E,-22.971250012899166,D,A,E,82.69267417839458,A,-30.600288056890694,-132.61637895210015,110.13499202128946,49.986211892676366,1
Other,46,A,A,C,A,D,A,-76.62857588595048,C,65.04514840116535,A,E,B,52.30322532134689,C,-200.38365222872895,-0.2723126427932592,22.82861939378255,-18.280236730983248,1
Other,67,B,B,E,C,C,A,14.885115310303423,E,10.274512219132006,A,A,E,-201.6197675784826,A,-165.75951408830272,-60.48913117847843,69.29349509403905,29.596551640590945,0
Black,74,C,A,A,E,D,E,83.85075654029893,B,-73.39036672829492,A,C,A,6.7518400839148685,C,-78.74897439382586,-142.9530026586952,72.72181126441559,-85.17230205678106,0
Other,78,B,B,E,D,A,A,36.52128583751269,A,54.52716619120953,C,D,E,-37.718801632052,E,-135.1681231759147,22.701089798160112,30.289305643180732,-50.82461248061816,1
Other,69,B,A,E,A,D,E,-59.32773836549637,B,78.76238240027989,C,B,E,12.332716956429426,A,63.996662940398785,2.874805815692509,4.258033580363434,-76.38223010804057,1
African American,66,E,B,C,E,A,C,-63.95089648274104,A,281.444492825928,A,B,C,16.429785353105636,D,-200.91003809820998,45.91316180078683,-77.9672415651049,-42.96662468325554,1
Asian,24,D,C,D,B,B,B,24.83897165947558,E,73.62534088966855,E,A,D,97.87485321393767,D,-88.5830574189585,114.72176722525087,57.10116090294197,-84.194068686953,1
Other,77,D,C,C,B,B,E,-43.34096785629947,E,55.71164541020279,E,E,A,-17.8363582867632,B,33.26372928046496,-86.62895714651663,-66.61805779711437,206.34660586126964,1
White,78,B,A,E,D,B,C,-310.5529596422132,E,94.1102560118968,B,B,E,1.9249023842753936,D,-148.43854266924112,-2.7199956550490683,-56.363574172945384,14.23580145246334,0
Other,52,C,C,C,B,B,A,19.832885249850623,C,163.76320759429538,E,C,D,154.85423283803044,A,-182.76547890430768,-35.9896058678833,246.60678891824227,92.22685148754131,0
Asian,29,C,B,D,B,B,D,45.551329971641316,D,45.84605303022145,C,E,C,-96.38400910418783,E,-0.9427538708531253,-161.1091302799873,75.81873790949933,118.74574124717113,0
Other,62,E,E,D,E,D,B,-75.83496581372339,C,66.91096720196536,B,C,A,30.698828687346907,E,-54.05715523225408,-62.88914475163245,95.36950463526091,73.24032827141137,0
African American,54,A,E,D,D,E,E,27.75924781020339,C,-130.0051267555,A,E,E,-7.497500546782648,D,-315.46274133868855,58.32998311753692,114.1606854656505,43.912990760283904,1
Hispanic,66,B,C,C,D,D,B,-36.97097489255782,D,-63.72698113802245,E,D,C,-68.42881781604635,A,127.25487441659007,-51.00268534883079,18.03220924101495,-53.10215030049276,1
Asian,20,C,C,D,D,B,E,-138.8168491487421,B,19.245674629633303,B,E,B,-137.71395212789858,E,15.37436913759577,-90.63180523973301,97.76489197072875,49.02263988660683,1
Black,72,D,B,C,C,C,E,55.75256924012929,B,-24.502240229474857,A,B,D,-118.06256256364524,A,-213.4326245816618,-78.63811859744317,-189.20621124203544,17.037321675168787,0
Black,26,E,C,B,D,C,B,-55.52460069751643,B,-13.077916041848553,C,C,D,49.86548029538582,B,65.46314257133254,163.9775590365616,137.26489693279643,161.1403329797292,0
Asian,48,E,B,B,A,D,C,25.82169057115532,E,-10.356470840831228,D,C,D,145.17590436573244,C,44.94908933464868,79.67874180742794,-33.1552473738572,25.33928282027246,0
African American,76,C,D,A,D,A,E,195.439439720933,C,-16.284654772356934,E,C,D,116.58578031504148,D,-71.96131395741146,-73.82521788674289,57.28222323627155,64.39747674016277,0
Asian,38,A,A,B,B,C,C,107.41292759999045,C,8.165782436647241,C,E,D,-56.02292292463517,B,-13.09041523384604,-64.22955044527251,-7.513106113934774,-4.317847370534912,0
Hispanic,20,D,D,A,B,B,D,2.40874485356866,C,132.8890447135787,D,E,B,-68.55597300740483,B,67.75331561606608,118.73127318220777,199.30816003579838,128.86277046768677,1
Other,75,D,B,E,B,D,B,-184.29479199612683,B,159.23832564814765,A,C,A,-17.684351583240236,D,-2.697567660876855,-124.56487872439814,44.62058679049972,64.38633401249704,0
Black,79,B,B,A,B,A,C,-152.05310217332686,E,-12.835240547922963,C,A,D,146.07336361649672,C,-24.12547986813928,21.64173237569932,15.02322770840131,-75.16380879816022,0
Hispanic,33,E,A,B,A,E,B,-243.60320937385222,C,-194.97825293606292,C,A,D,-27.210140677241395,E,-48.76436731568944,79.67113990565474,-136.56433254645566,30.22018863781218,1
Hispanic,72,C,C,C,A,E,B,27.7073298627602,B,28.249296459692957,E,E,A,132.63435915180648,E,57.280291402560856,-130.04185833927863,-64.93219937549823,-22.71997546125396,1
African American,24,D,C,B,A,E,A,31.862531361464757,C,-46.99460617839637,A,A,C,11.96941808961285,E,80.67363791687531,-53.87120141122522,-9.684234467899143,157.14648090404407,1
White,71,A,D,A,E,E,B,102.519460403306,D,13.78606935700604,E,C,B,129.15907046838154,E,8.580563305459195,87.00731086123679,133.28450140581364,13.448428778862652,1
Black,56,A,A,B,E,D,D,277.72320946506414,C,-68.21303910345436,D,B,C,41.773528177550325,C,122.71786832773692,104.58533226650137,70.20645690753719,49.88063059698481,0
