genero,marital_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Female,Divorced,174.06950061868932,B,3.9489294390212577,A,91.16303925010581,B,-9.649759618080065,-25.301010322980165,B,-27.58437963311289,-46.258996536053935,A,1
Non-binary,Divorced,-48.72895721710912,A,-163.63508443737862,D,-95.06607620312536,D,-64.00573510994029,180.71297662886263,E,63.30005135715994,-22.612879870208555,C,1
F,Divorced,-31.76779068282051,B,-241.53298542857002,D,-69.3455211896129,C,116.3233884221045,68.42190642783434,A,-33.89672243100686,-45.84970781967036,D,0
F,Single,-162.80477235883072,B,111.15232036495306,D,-111.80528163320761,D,35.70645621682446,-154.68765232818768,C,47.15474999027968,-139.9015221600328,C,0
Other,Widowed,-97.74887998957666,E,-113.28715741785773,E,102.72592275727992,E,-172.7740331867477,110.85043624245836,D,356.60575208318136,-125.69119751451103,B,1
Non-binary,Widowed,223.32131702923795,B,-170.58423827670975,E,-249.5580285564468,B,61.75486033213673,-60.328514600135655,A,-50.19986909499162,-101.94052538497924,E,0
F,Single,-115.02538152541032,C,-50.95505599574652,B,94.20814623685976,E,-16.648911718252325,83.4218230902071,A,70.14193135485215,93.60923541805884,C,1
Male,Single,38.25111722493594,A,-149.51002896932667,B,85.7065319749186,B,-57.56159440871179,16.317147655905558,A,124.86118000257427,57.3318961671593,C,0
Male,Married,-90.0703681753888,A,-54.90944547155196,E,13.948893539600471,D,43.71161769257003,-66.82044982014772,D,-101.32922750228677,202.62013407164466,E,0
M,Single,91.07028053312723,B,47.46694318592181,A,110.37772992194573,C,-15.006544231977747,-92.67446264173974,B,-187.60555876664137,-41.80003386053962,B,1
M,Widowed,-10.565944065947784,A,72.12979305135214,B,-169.81543044466943,B,165.52961653775208,-100.39001386742143,D,-50.272635025380495,6.337019114950813,A,1
Female,Widowed,28.29008050114131,C,-107.5430834182467,B,32.00243987202192,E,-102.6052523939029,80.39406648174705,A,-178.4936465839227,15.221644405712183,E,1
M,Divorced,21.636698468960848,B,-175.42886979883264,B,30.22171247017334,E,12.161774348455378,34.03154971751717,C,-45.86318748526104,87.94597161715276,E,1
F,Divorced,-173.2675751860536,E,73.77209298193712,A,8.493429797530734,D,-47.36159766576737,-8.239271895538966,B,71.87231752997074,-17.489902872298536,C,0
Other,Divorced,41.58174677798805,B,-108.16474648326032,C,35.76854944574688,C,-44.582672150620525,19.874095234453648,A,-143.8163741629961,363.3056590991816,D,0
M,Married,-223.65919896111456,D,100.27866713769853,E,-101.61056093036495,C,-33.11503168507987,110.67981379133114,C,61.92866637643187,141.4469171849834,A,0
Non-binary,Single,-10.201031257175512,D,-127.60820202437633,D,31.86684931241024,B,17.068580474543985,81.61806900385743,C,-13.573009534209957,51.44841921635507,B,0
Non-binary,Widowed,44.856068985267534,C,-48.143316023617196,D,-87.56867993579866,E,14.450916208544282,91.00100458950787,C,-29.690969077961665,47.480452128850466,C,1
M,Divorced,-67.64356122260202,D,88.29528170445236,C,60.28887424483684,A,94.53669768938677,-107.55273888138568,A,-57.886071483217904,67.85579481755063,E,1
Male,Single,106.81735463429504,D,-59.55138466900406,B,91.09651987819876,C,149.34871907270846,203.51412211669629,D,167.78588352631044,2.653951581587291,A,1
Other,Single,-41.042566598983456,E,-48.47740780239504,C,-217.6971747059651,B,54.88126021999865,-7.354239183737443,E,-43.67639721393541,46.75443515135161,A,1
F,Married,140.75433036528935,A,32.44063131208581,D,9.424334573945572,A,-27.463936146935925,-43.456606627550684,E,-28.65862818545472,49.29556548621839,A,1
Male,Single,-41.721143747097045,B,211.92500805734574,C,-66.22283953202228,D,-112.12346414721553,-122.13703217640453,C,-31.39754285809501,-175.08936986630337,E,1
Male,Married,73.35261038196454,C,-94.23102334671775,E,55.85135808020257,D,54.079771803436415,13.123674583000236,E,85.60986998498257,-100.68626012127399,B,1
Male,Widowed,-8.534424189455954,A,59.20992292449595,A,-241.5095832711152,C,-36.99309635773193,29.87158312623059,B,-27.301850275674017,32.12213727864912,A,1
Non-binary,Married,77.9642894245456,A,17.299069461271895,B,-190.03951287360547,B,25.791417537956956,-52.73079777924787,D,-8.955267474880982,-48.99942301546235,D,0
Non-binary,Single,64.41369411375904,B,-127.41037830462052,D,-25.21695925256485,C,-159.39267498190222,-30.52572876519079,E,-117.05099084716414,-69.51245240301289,A,1
F,Married,44.53744084124974,E,-4.189393212858836,C,28.419105977426284,B,36.62054607696247,24.919449706319575,C,-238.6120897016975,71.01023158497324,A,1
Other,Divorced,149.69918200986575,E,-95.39209002544206,D,85.31525516177702,A,29.780090868131904,68.15639078308767,A,-51.60077686880846,23.309921040218143,C,1
Other,Married,-43.22092984438326,E,-44.36409596846108,C,-88.37350176571826,B,51.93037313114347,-24.9969452279021,D,116.22093194528331,-282.7412772437703,B,1
Non-binary,Married,105.87948672214145,B,-0.1238556819956708,E,106.33683906225761,E,75.9147568014015,-117.24834209811175,A,119.08479475160941,89.70759473253155,E,1
F,Single,146.2446928665457,C,-104.50670251298719,A,-1.3006507501035889,A,91.38018625510777,-86.70183703374724,C,-173.52425549197744,22.11985206488368,C,1
Non-binary,Widowed,-59.531132681307895,E,-115.2922713560454,C,-168.43610185135586,A,79.1611960217013,-44.22872141963795,C,135.28384039298174,30.93176052009325,E,0
Male,Single,55.794008702155175,E,103.29429836853556,A,23.299879319408912,B,-103.43376425111363,-114.12014566384127,E,57.16763841626942,88.57458358416152,B,1
M,Single,-99.70323425561428,C,45.21028607120803,E,83.68559996320836,C,-28.635347654378503,67.85459372090575,E,2.723134532734984,-177.03496835049808,C,0
Male,Single,-85.45559562480909,D,225.04647527357102,C,53.91794365058165,A,11.77669816967956,-122.11459238172118,E,13.738597417100681,-28.651979975960995,E,0
M,Married,167.33385961168375,D,-23.708304232095248,E,79.9920352256771,D,240.11531454567358,34.196620907696605,D,99.98927208542972,-62.07256430572744,D,1
Male,Widowed,-128.41484425790145,A,14.467265948257094,C,37.42696483694865,B,-84.84198275667433,33.319935782142366,C,192.8331408258002,116.48271766894061,D,0
Other,Widowed,30.068693947246423,C,37.496500117822535,E,22.575822007265426,B,45.842069835598174,40.31503904151278,D,68.22256629938991,108.96516556586792,D,0
Other,Single,162.96307452591276,A,52.82847908927539,A,-180.60691563737726,A,-118.80152862327908,-145.40934097397212,D,-154.09585230135764,-53.09940012469709,B,1
Non-binary,Married,48.070089438190095,D,-59.59573907574472,D,-97.08592749336282,B,-8.698714959919435,-53.81954035097707,E,102.81333418572436,-70.62752215758256,C,1
Female,Married,-312.66673552135154,A,54.288065134708354,D,132.2857833261715,E,96.21120289243945,45.19273557224077,B,75.34992096162021,21.56153178287132,B,0
F,Divorced,-23.13165757931567,D,-36.76585466012445,A,46.33867995072486,E,-141.2708851832918,16.972444419222928,D,-117.70305598772839,-96.70632001107944,E,0
Male,Divorced,-4.86281294402187,D,-19.024149379757375,C,-7.8805940696628705,B,-71.13664053833216,0.16905285387667657,D,-121.81926963562614,-54.18088229281287,A,0
Female,Widowed,166.9135652307854,B,83.29456122917682,B,81.4487297663186,C,-147.06041319870283,-16.723460481687955,A,8.553270589696373,-99.62278537075169,C,0
M,Married,-67.73283514438148,C,42.78903824033538,C,42.002878661594615,E,155.22174348293598,11.07200826479333,A,-64.01583734093694,104.6596069819588,B,0
Male,Married,10.116888078059114,D,-5.512697664229747,E,64.38410108449372,C,8.022930006547059,-83.08601902802803,C,-160.50936437938137,70.05161435166607,B,1
Non-binary,Widowed,-42.78223133547842,C,-41.76044028561332,E,71.9027455466993,E,-163.44198304981293,-15.259512756549801,D,-32.43549128012215,39.394010057569346,A,1
Male,Divorced,-23.755300282134098,C,57.12743788945909,C,111.89175054361374,A,-99.00831226138132,47.51483385266757,E,16.128816153399768,6.113011075293109,B,1
Female,Married,-14.687815073378859,C,35.31009423532562,B,17.129544154834036,A,-44.723896049931376,-87.99522274931684,B,-48.321596632355536,-89.8347173283844,B,1
M,Married,19.237641331398947,B,-2.8705766450396384,B,146.10390547337371,D,50.69816385889696,119.88628776965533,C,-34.30197952363657,-16.192790016763333,B,0
M,Married,-39.85582638046838,D,80.85560532680323,A,198.78207628961025,D,-30.86103845570914,-124.15167702079148,A,-97.82772642779793,-92.81358712273871,C,0
Non-binary,Single,118.19954317489389,C,110.2877235789717,D,-136.36939685251474,B,130.24802789344662,170.82590312540015,D,-161.10447284071793,51.56608177609138,C,1
Male,Single,-89.5072033656257,C,30.98716077227329,A,43.725038208113034,D,33.13875280522818,-40.81065585992322,C,47.80333556400354,81.51762206421779,B,1
Male,Single,153.24189679851318,A,42.18690146496781,A,-130.4633836138953,D,-44.7300255867281,10.485054076745925,D,-18.328789967809204,-99.70147744587725,C,0
Female,Single,6.4442241812848025,E,34.47735592420818,D,-1.4912668839683472,C,-56.842419052995986,88.67904388490089,A,134.48949171451957,-29.239258597960404,C,1
Non-binary,Single,-46.439002453884726,A,-204.00684043509307,B,58.43165376635559,E,139.03680000091455,192.6829655400033,B,201.53028096150746,-209.70841682834234,A,1
F,Married,-48.77033382312735,E,18.196689928228132,D,209.4023784272128,A,19.699455464571,-36.35872202484454,B,-50.77200235200342,-162.85856969478297,C,0
M,Married,-87.04706650075471,D,-87.25102646701524,C,-2.5272742359606384,C,-114.7585286880704,-114.55320390451999,D,60.018330560057755,-114.24603295876929,A,0
