anos,Gender,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
73,M,D,D,47.89275345883118,-122.32572297911362,-89.2620201830704,-305.6113247742207,B,D,40.727355471140044,B,B,-182.75964502193932,-65.8403900982998,-265.4242976361939,0
70,M,B,E,13.823859396526911,-46.306648294463045,74.56646094720568,111.75549494686128,C,A,0.7684130763260699,A,D,74.18247561272396,-155.56372691351862,86.36712870044802,0
20,Male,B,E,-156.15726342644695,-75.14329142357921,45.89934415380625,-91.53286948920119,D,E,-93.34842748200235,E,A,46.52248419151622,-125.62783589177309,-97.96976625438994,0
52,M,D,A,137.05059193367188,-85.4540872688157,-95.19447345116383,28.812264780106656,C,A,-61.9161452162674,D,E,67.84570167220102,101.80392740122343,74.99330632157012,1
51,M,B,D,-13.682508386313271,-64.62083521631072,-29.650275746572717,8.430597493912847,D,D,-62.22701074066765,E,B,-24.37189926274589,-101.86847515568846,126.19718685552708,0
28,Male,C,C,106.83076976227053,164.54872037714995,-90.89725848945504,22.598765448769893,C,C,-14.132124956149758,C,C,26.37940024737463,65.00914577804107,80.82678279497351,0
38,F,E,E,15.74083138110979,-10.428835935786063,-111.32542141779356,103.85409940073494,A,D,20.792247720395462,B,A,-20.836686788544398,-33.75912888125869,-65.1466355132468,1
37,Female,B,E,-50.21280855527812,6.015073572115291,101.4067928862965,-45.797371879098534,D,B,-73.48525477599213,D,D,-108.09059099753873,-119.48870125682288,38.43175523613215,1
48,F,C,B,-26.024803818739773,-29.803424486060905,-24.08671340206743,3.9313645615030963,B,A,-115.81752607669202,D,B,140.74307044898237,51.46854854053342,24.528257763936885,1
37,M,B,C,-100.50929735569092,119.53040933332511,41.141380314173624,-76.68455731324377,A,E,-42.79493702433253,E,B,-107.95888422809128,175.1546853276307,-124.20595944701773,0
51,M,C,A,-93.46553943535466,-16.909641772002526,-50.98560056751048,2.087033933940705,C,B,57.60390854215737,A,C,60.00232346198675,-1.0323325519712865,140.08335156995736,1
43,Non-binary,A,E,54.3012844490361,-123.47235872635112,-30.017491063385133,150.30954700549484,D,E,136.90548833136359,C,E,-4.784352032374831,-24.574202112011196,-13.538672689192088,0
