AGE,religion,genero,military,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
58,Buddhist,M,No,B,92.06644341874554,B,19.02847103374693,-40.47047007495445,E,D,B,0
84,None,Non-binary,No,E,-85.77062036809438,D,124.3702187867153,34.77527988110358,A,A,A,0
97,Buddhist,Other,Yes,D,58.3139439986466,B,53.32940456732081,39.23529999378178,A,A,E,0
74,Christian,Female,Veteran,D,67.45644658062496,A,46.43143521545968,-175.30242007213496,C,B,A,1
40,Muslim,Non-binary,Veteran,B,122.33443928191163,E,27.999477006875455,19.944048722083366,D,C,C,1
43,Buddhist,Female,Yes,B,30.4432042713641,A,106.59888241937774,31.202326301276322,C,E,C,1
91,Hindu,Male,Yes,A,82.90865462019667,E,-58.476859089573274,-88.89944895653433,B,B,B,1
21,Buddhist,Male,Non-Veteran,B,-66.88825893443202,B,29.141473440368316,103.92935814537509,A,B,D,1
68,Hindu,Non-binary,Yes,B,-23.36533374613455,E,69.04547375481104,-216.13351315393268,D,E,E,0
55,Hindu,Female,No,E,-95.14393918678591,D,-80.09197001026057,-118.68357385528196,E,A,A,0
30,Hindu,Male,Yes,D,-211.2652067239467,D,-116.55755321824863,0.2932335644846721,C,B,C,0
26,Hindu,Female,Yes,A,14.815586583474266,E,125.71225109006794,139.10585924745874,A,C,E,0
34,Hindu,Female,Yes,E,-81.93666490386619,D,-119.98896401106762,126.71004313963682,C,A,A,0
37,Jewish,Female,Yes,B,108.54006143973491,E,-194.38764453063928,-57.92056077909694,C,A,D,1
25,Other,Male,Veteran,B,-29.770100825440103,A,9.429125209668012,9.104052983606014,B,E,D,0
37,Muslim,Other,Yes,D,35.89816466190452,B,-20.91018039494289,-51.14162501975922,C,C,D,1
37,Hindu,F,Non-Veteran,A,57.242285201376134,E,-137.0370567688034,176.61180815379817,A,D,B,1
41,Hindu,Female,Yes,D,214.5999282482321,C,-174.2904026141708,-152.57883544337608,E,B,C,0
55,Hindu,M,Non-Veteran,E,-95.77300744297423,D,-59.77422547891368,66.82180147207167,E,B,E,0
28,Jewish,Male,Veteran,D,39.75188448046764,A,-55.26628505547653,73.7991736097278,D,A,D,0
78,None,F,Veteran,B,22.61732920338044,D,60.403718478252266,25.530676114168653,D,D,B,0
18,Muslim,F,Yes,C,119.3316886017256,D,-252.51619952590337,108.32958587094119,B,B,A,1
63,Muslim,Male,Yes,D,-2.2707776833370987,B,83.96982171277999,61.68553620574278,B,A,B,0
60,Hindu,Other,No,E,-78.87365867238825,A,65.73898665214263,-3.487058198453949,C,D,C,0
91,Other,Female,Yes,B,-227.78730741094228,A,-83.52249943908117,-28.63486755175787,A,A,A,0
57,Christian,Female,Yes,D,-171.4085526128533,A,-17.798214416477183,-105.83802254850909,E,D,D,0
67,Christian,Other,Non-Veteran,B,46.010150823171486,B,-34.642193096358895,143.84573755811368,D,A,E,0
51,Jewish,Other,Veteran,A,-91.50166472275401,A,215.35219271739422,162.18076353535545,E,E,B,0
38,Muslim,Male,Non-Veteran,D,83.35021423808978,A,77.72169074146235,4.734788740493287,E,C,B,0
36,Christian,Male,Non-Veteran,A,20.170759069889815,A,3.3173099109353945,-20.670338569897588,A,B,A,0
52,Christian,M,Non-Veteran,B,11.112549305781533,D,168.02966751786718,69.90189750008435,B,B,A,0
