Gender,married,faith,RACE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Male,Divorced,Jewish,Hispanic,B,E,D,-67.4255711250342,155.90863435420277,B,103.63939277318832,E,38.638747752003596,C,0
Male,Married,Muslim,African American,B,E,D,-88.13373188946498,173.0785449716458,D,25.706810505998828,A,71.574533682433,B,0
Female,Single,Buddhist,Other,A,C,E,-13.708204147765382,-19.916406099851436,A,235.20544035586477,C,-145.17807648063018,C,0
Male,Married,Muslim,Other,B,C,C,-48.78620060671864,41.67652085027393,E,-54.26029975103571,C,89.18486502316051,A,0
M,Divorced,None,Asian,E,A,B,30.812846983230607,-14.92660686987505,A,-164.7835687319713,D,76.88633570101575,D,0
M,Single,Hindu,Other,C,B,A,100.61875679485979,-110.59177755393164,E,66.28015928060637,D,-71.06010961948225,D,0
Other,Single,Muslim,African American,B,D,B,100.26569134462528,-119.33109077584842,C,18.754396811691404,A,-223.38502397607238,C,0
M,Divorced,Jewish,Hispanic,A,A,D,100.99565259675849,5.314394393424948,A,-175.05082899767734,B,43.929486248876096,A,0
Female,Single,Muslim,Other,B,A,E,252.8228918953893,26.68535660045678,B,57.27646733834856,A,120.1767594207818,D,0
Male,Divorced,Christian,Other,A,D,C,106.75360206167778,-21.476973985313577,D,-75.42710018503738,A,-77.18730521039383,E,0
Male,Single,Muslim,White,C,A,C,-48.90537773009318,266.76027578350477,D,-73.5028014097011,B,-118.77772056078221,B,1
Male,Widowed,Buddhist,Other,B,B,B,2.725714206000416,108.56553891462484,A,-67.74825922435375,B,-1.7076776177271584,D,1
Male,Divorced,Buddhist,White,E,C,B,-98.16566664055247,78.09895865226754,B,7.636337565562934,A,16.014458199894857,E,0
Other,Widowed,Buddhist,Black,D,B,E,72.06827021136955,-36.84898731870105,A,14.55767889455448,B,-185.67458049085505,C,1
Non-binary,Divorced,Muslim,White,D,C,C,76.53383155624005,-85.75869660493697,E,-32.21405095745416,A,181.85843503032095,E,1
Female,Divorced,Hindu,White,B,D,D,121.11766765637388,135.03314445164165,B,-7.367944669799527,E,-161.2941767991862,C,0
F,Married,Other,Asian,B,D,C,-43.544122040610006,-71.0100212951249,D,-172.85703626917424,E,-63.579852183216765,A,1
F,Widowed,Jewish,White,D,B,A,-24.74161968337054,-112.3614408803408,B,-36.83159565326113,D,-17.20125132659997,B,0
Other,Married,Christian,African American,A,B,E,-108.25661554308634,-66.876852134205,E,116.4930441730342,A,92.01874086113357,D,1
Non-binary,Married,Muslim,Other,B,D,A,-69.52417696622285,-106.0109383926962,C,76.63235058358757,D,4.980735966542106,D,0
M,Widowed,Muslim,White,D,E,A,109.95369223949376,-163.41343971839981,C,80.7725476030061,E,21.24442653158944,E,1
Male,Married,Hindu,African American,D,E,C,100.69611779818058,-43.61482424882751,E,39.43417076311531,D,24.850287304598606,C,1
Male,Married,Other,Asian,E,B,C,-102.30932861596969,-26.35261157018924,D,4.662150682909238,A,103.94488502569968,D,0
F,Divorced,Other,Black,D,D,D,-1.0998692157704328,5.976443796401426,A,-76.01450020566531,D,30.190918860515914,E,0
Male,Widowed,Muslim,Asian,D,E,B,252.78912813901536,-138.2358341931926,B,-51.23826665174048,C,-110.71001876332991,A,1
Male,Divorced,None,African American,A,A,C,-192.09224924593303,40.23283727940322,A,-134.47020970462268,D,146.78527101766792,E,1
F,Widowed,Christian,Hispanic,C,E,A,-24.175584918525,96.5475139759562,C,11.517319376386247,C,98.9217540340574,B,0
Female,Divorced,Other,Black,C,A,B,42.38818296583863,19.293312240931787,C,135.92897308861927,C,-23.34372519847415,A,0
Female,Single,Jewish,Black,D,B,D,152.4281347599765,-26.116009078325437,E,-6.5567898190404375,E,192.07693201333643,B,1
Female,Divorced,Jewish,Asian,A,B,D,-78.78548021124773,55.42400245870953,B,-127.71381234902887,B,33.76582185462898,C,1
Male,Married,Muslim,African American,C,C,B,29.36310520922923,23.418869213488986,A,-24.090416690841195,C,53.896114947506234,A,1
Non-binary,Widowed,Buddhist,African American,D,D,C,28.74635392971478,-112.6935618527562,B,-35.977558854083256,C,-57.14942657049383,D,1
Non-binary,Single,Jewish,African American,C,E,C,-101.96179231263692,-186.79960712511004,D,30.39768370146469,B,-46.45503056947561,D,0
Male,Divorced,Christian,Hispanic,D,A,C,78.2482225743322,-146.5325337433385,D,-111.64582103656421,C,-41.64692112316264,D,0
Non-binary,Married,Jewish,White,E,D,E,58.70503709077768,-76.2983253852978,E,-41.569784876602334,A,109.69169236491005,D,0
F,Single,None,Black,E,E,E,0.2887212939632086,-4.102959758011933,D,52.676276753956444,C,33.11692831321213,B,0
F,Divorced,Buddhist,White,D,D,B,-154.39581388448306,120.2415950572821,B,-50.354473645291186,A,-81.79844261312171,C,1
Non-binary,Divorced,Jewish,Hispanic,C,B,E,46.09810114095237,-70.67720778779092,B,2.0407534726688645,A,146.9898544043057,C,1
Female,Single,Christian,Asian,B,B,B,12.690036402736899,29.840304148653118,E,-6.209339750667935,B,30.171339695716636,B,0
Other,Divorced,Christian,Hispanic,E,E,A,-37.89956079290844,234.43710694396057,C,25.608896409897376,C,-57.24101990757743,E,1
Other,Widowed,None,Black,A,E,C,-177.08872101507006,15.797164648055126,C,13.982993968817759,A,51.14056600605815,E,1
Male,Single,Muslim,Other,C,C,B,15.678061512367524,-30.69159448531744,D,-48.38040282371798,D,41.287416527076275,C,0
Male,Single,Jewish,Asian,C,B,D,-26.85718522050285,-20.819755427549367,C,38.244705694099025,E,-21.043448350690596,C,0
Female,Single,Jewish,Black,C,D,D,159.33033601632164,56.80433412621435,E,-53.291120550838556,B,-66.65803529691117,E,1
Male,Single,Other,Hispanic,C,D,E,-267.8324946949681,-176.72944231521487,B,114.58478723823215,D,-224.18994285053074,B,0
M,Married,Hindu,Other,C,B,A,45.14078839970034,-55.55824645239339,E,83.66505823927083,B,-6.892327109924776,B,0
Other,Widowed,Christian,Other,C,B,B,51.51534038606529,-94.36492403102163,C,79.47012340546799,B,-80.58380801410917,C,0
Female,Widowed,Buddhist,Black,A,A,B,21.769937359210232,18.594854011776537,E,93.5982526087771,B,-37.1760089674919,B,1
Female,Married,None,Hispanic,A,C,C,1.4989384754156343,147.39742575100334,C,124.26232478316868,C,-18.615515928531572,D,1
M,Divorced,Other,Black,C,D,E,3.581440526045021,-71.69641379210901,C,163.1679242648663,B,-84.1222528331248,B,1
Male,Single,Jewish,African American,B,B,D,-170.49604360087415,84.9435294963824,A,144.20050883562783,D,160.49421077003348,D,1
M,Married,Christian,Black,B,B,E,48.55712334060861,-45.50522752963588,D,16.024088619758203,B,-74.82010578533732,B,1
F,Widowed,None,Other,A,E,C,31.37078641917727,18.648341851837706,B,60.325217006889645,A,-52.61206650677636,D,1
Female,Divorced,Christian,Asian,E,D,D,-150.45428340097584,-77.90768315232216,B,-46.62694523504473,E,79.89904971192234,A,1
Female,Married,Jewish,Black,A,A,C,-238.1542893320014,44.539979957673665,E,-110.84151232476236,C,3.9965739249362273,C,0
Non-binary,Single,Buddhist,Hispanic,D,D,E,-5.895846615395481,14.26748494414796,D,1.5694648974731444,D,-51.30542250883712,D,0
Other,Widowed,Other,Hispanic,D,E,C,-118.32788382908251,-12.407119804848342,D,-11.678260815203432,E,56.20383600506024,C,0
Non-binary,Married,Christian,Black,C,E,C,-71.88498754693349,103.2535726649921,D,-34.30442697932327,E,-146.4219402073923,E,0
F,Single,Hindu,White,B,D,B,87.72281776186878,190.00507498535453,B,4.457693641107831,E,-17.82301248091794,D,1
Non-binary,Single,Buddhist,Black,E,B,D,19.485331121871084,104.06972744593182,A,46.81399794840226,D,63.343956566884785,D,1
