ethnicity,genero,civil_status,age_range,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
Other,Other,Single,26-35,55.48514943016891,15.743797563110887,-144.50742777572145,-95.1890322576085,-55.555494642920266,12.696838221295096,-33.04093877186423,60.15407016916839,0
Black,Other,Widowed,65+,36.52888710867565,196.78903052013402,9.026262298646031,76.54405224629693,-43.51385126401565,43.13411838010535,67.33274416083755,-80.29895257567009,0
Hispanic,Female,Widowed,65+,-114.59976335052349,-200.4684942262802,49.05852166785501,56.80838309304266,80.43141757562753,-142.8839426304834,-64.73123709044314,36.83529599517815,0
Hispanic,Non-binary,Single,65+,30.79234120073478,139.46329141333325,167.7416463604843,131.69522610978333,-54.610779694262966,94.2893101825636,16.19709266107091,-49.57813776560846,1
African American,Other,Divorced,51-65,64.94451528021557,25.197422080748428,-161.2162705587301,-150.81786216250723,96.63059150170808,-29.515530391273774,250.76895219412845,-70.78847411952466,0
White,Male,Married,26-35,-127.31821746106729,-80.51664591938636,-149.2037203143071,117.90805679797303,-61.462910512497885,80.52879755258012,-72.47143912237193,-125.6528095298309,0
Asian,F,Divorced,51-65,-134.4487276461968,-92.60904286291107,-126.71712147302345,-47.02705128349337,0.6491385475317962,-131.37364632528357,53.127236071994425,107.16904289606836,0
White,Female,Married,18-25,87.78443290149093,55.24968996043651,-38.26500063830849,121.3059632012319,-235.40362073803922,-80.05463081046044,-95.06463586259399,65.01565882964945,1
Hispanic,Non-binary,Divorced,36-50,-91.73754623593727,124.90512897193871,-141.1146905888671,-9.397135111577951,-9.866565348035294,-34.38270753712616,-24.251392898248124,-118.4787948416238,0
Asian,Non-binary,Single,51-65,98.4570094984493,12.94932129330224,56.332686069131846,-2.4537058817512296,71.90679177349023,83.9614893563026,-53.19560344656862,71.91561678174352,1
Other,Other,Single,51-65,-37.19183548876923,-142.46475343964215,-72.3582951626048,41.33935427023563,-180.70990819926666,138.91741447196299,-8.489210369976643,49.5510237655304,1
Hispanic,Other,Single,26-35,-62.01661342174998,-103.81981009326043,271.2014257922806,84.15510603114402,-82.16485554239841,30.47761229034156,51.621347033653684,83.11682714191821,0
Hispanic,F,Married,51-65,171.38280754203606,-107.38149193786708,95.56281062817084,66.79202919885465,23.01146717350031,-24.40206122417581,120.93495468025834,34.90213444722976,0
African American,F,Married,36-50,-156.77390113223294,-89.57292643406937,59.07627031776512,41.91092076664155,-36.62586995180364,-236.58710771904995,-31.234756328932384,-4.625425076277789,1
Hispanic,Male,Divorced,26-35,-4.314461816216728,-81.05954918199564,-61.711008911478736,75.47714626392377,-52.09933554285118,25.44059551998877,109.88389134283747,-3.5653622854815694,1
Other,F,Widowed,65+,52.522944697908414,-62.17806064730856,132.13793748379004,25.014084810845045,78.79987339436482,54.5466622359256,172.1608604020546,-186.5401109394031,1
Hispanic,F,Married,36-50,-117.19306223379407,-166.98873565251657,13.72809017473147,101.18468138125482,95.21280253787961,112.49251753819209,119.48979923729075,-66.48661265554325,1
