religion,sexuality,disabled,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
Christian,Other,None,-36.71245350901933,3.533358825356646,-46.96031983158201,-26.422515922789792,E,C,-19.22072387282476,158.33754768135023,1
Christian,Bisexual,Yes,-127.14811159879618,10.898249361197868,-182.52472536998403,-147.82562959555793,D,D,-79.80479137358918,-7.12267639496379,0
Muslim,Bisexual,Physical,-5.779640807465038,-6.136274277230013,154.78051303982917,37.18105366753718,A,C,-149.37121893744788,-65.48277455974427,0
Muslim,Other,Both,144.08402297980345,64.87215294097246,121.19772870083176,120.52002468303296,C,E,1.4941523491676743,-82.95785864120177,0
Jewish,Bisexual,Mental,79.85353748710368,-48.100400255360285,-37.84623867229991,-125.51548644309862,E,C,-57.76204340788359,-31.85221836528675,1
Muslim,Homosexual,Physical,-18.794246635154856,-2.2880185652428353,-4.848578729351552,-75.76158733743294,B,E,245.9461821444627,-65.5056651242974,1
Muslim,Bisexual,None,161.26754579930517,15.206512180126145,-38.26054908116868,-147.50014137257213,E,D,-212.49739630862922,-100.14571858738977,1
Jewish,Bisexual,None,85.10661558042162,112.72660552193274,-206.653119018165,-22.429806927555447,A,B,-103.54788084423608,-111.53567014327683,1
Christian,Homosexual,None,142.92979325608528,-24.89502787441209,39.18930897668758,-0.5656993027378415,A,A,25.5665301281146,69.50407573333348,0
Muslim,Bisexual,None,15.260096161407194,-28.29117366749529,-28.879512738951497,58.79671005898371,B,A,24.296168418509026,-191.60758667118122,0
Hindu,Bisexual,Yes,19.639815582892375,-63.72483499308083,137.34314905981563,-62.38501873488129,D,E,-131.82529187534314,-52.44822246487686,1
Other,Heterosexual,No,17.272010083248116,-23.18584657393438,163.13934480836275,58.31918368183698,D,B,-43.924584974128145,236.21874203180053,1
Hindu,Other,Physical,-119.15562955233838,-45.79322496259368,-13.161819671997419,-66.34498101691192,D,D,-201.92157290586272,-53.22962797004638,1
Muslim,Homosexual,Mental,-176.7697343963376,-53.376839585939216,56.463409359647876,61.175820879688104,B,E,-140.91171004031813,-72.64578206619757,1
Hindu,Heterosexual,None,-112.3112382039774,9.702531372878852,45.09008209380448,-0.5580763685901374,C,E,-53.97708550412189,-32.96585666371966,1
Other,Homosexual,No,-19.402233670189474,85.24021338867624,31.19889270446899,76.02250732469327,E,D,15.848451452672482,136.92705388427783,0
Muslim,Heterosexual,Physical,-34.282233400955334,59.071083480816625,53.79515302600451,-49.375673378825866,B,D,-75.22492879353389,-147.2974211988445,1
Hindu,Homosexual,Physical,-39.4280040267302,-16.889170696557567,275.99827461714517,102.33260929528407,D,B,160.92753756008358,-90.8590975223421,1
Buddhist,Other,No,-58.92768017556341,219.34401428625222,43.297827902398986,-6.298790888030552,B,E,151.56132226746973,-47.80621443775964,0
Hindu,Other,Physical,-20.054649136938878,-129.01485896476743,-88.71950599496456,31.182614314061986,A,D,-55.24599158208211,-92.33707643511724,0
Hindu,Heterosexual,Mental,-2.2155591484301387,-166.09330958031657,-184.04522524985924,-18.952916666737522,E,D,-20.940215596111326,45.35493501260699,1
Buddhist,Other,None,39.47243156342509,82.18329630043081,33.15073198768267,-128.69476331362338,E,A,30.975788594387993,170.4014601334358,1
Hindu,Homosexual,Mental,-75.34515736792737,-108.24153498291689,133.19283265630406,66.21855584214276,D,B,20.874957372401955,-146.6298067397893,0
Other,Homosexual,No,95.30738479077903,62.53092419565925,29.747345949274894,-84.4478939518914,D,A,-33.57996014354544,144.7939007945918,0
Hindu,Other,Mental,-82.68407162418535,-105.1360661002447,-68.4855564294916,149.48970871059828,D,D,137.5713415764124,-19.1915913180677,1
Other,Heterosexual,Mental,-68.67323860407927,-226.007303014413,50.724245768323215,-33.33696619244179,C,E,3.566663503816294,-104.45230288205447,0
Hindu,Heterosexual,None,25.664739837664,31.699385881635937,-354.9272141007355,50.82644641103414,B,C,6.0668295093232985,-100.8069026637577,0
None,Bisexual,Physical,-17.553771031113627,-102.36411494270905,-78.74638533233379,101.55613921686162,E,D,174.8215485668102,52.05797681334479,0
Christian,Homosexual,No,-271.3900511479112,-85.73636782951517,-84.87364950393754,-69.3210847023872,B,D,123.48233297958002,-91.74884038614944,1
None,Homosexual,Mental,-21.978329645996787,13.800793779945225,-60.63666590143709,42.67411637302384,C,C,-6.308148286533369,150.56908429491722,0
Buddhist,Bisexual,None,-83.56247501359358,100.43195364991948,162.53988877152779,229.00818297367942,D,C,17.472349458188667,-13.039313076052123,1
Muslim,Bisexual,No,-98.55877062252011,-0.3117359895135019,-63.70296375636158,-3.2998558317365894,A,C,70.10930631899686,-17.472450100552706,0
Other,Homosexual,No,-38.13197126713913,118.78259860164115,-188.63037653368755,189.54033463509873,B,B,105.95731863926088,-85.20514901256287,0
Muslim,Homosexual,Mental,5.096662454939102,-28.468495081964427,-0.14602381617077623,-16.781155381957756,C,C,11.998967319772982,54.856441993812275,1
Jewish,Homosexual,Physical,137.18021377545344,-156.99350951365233,38.37454315453634,7.626459513150907,E,C,40.38383679924865,25.81521599977719,1
Buddhist,Heterosexual,Both,-231.71043730104864,52.77398777677694,35.34247275025059,-99.58433896842557,D,C,-5.673860847677432,64.50460237054676,0
Jewish,Bisexual,Mental,70.67202770656466,84.87121874082119,52.45957198908341,-1.2994495900866305,C,D,58.93863379041662,-49.62468162593602,1
Muslim,Bisexual,Mental,-31.507246770285175,-120.24353305540565,152.80407942873168,-99.61111550232104,E,A,185.21196727350687,-101.27609039642249,0
Christian,Homosexual,No,306.4655334760269,30.855458188138364,215.51489472247061,23.54910123026724,C,A,49.069321979856625,14.06273990471965,0
None,Other,Mental,98.35141078791825,-68.63999729053522,-103.31067934517823,-84.26131464712002,E,A,54.29201178339804,123.12094237736602,1
None,Other,No,90.02031113109798,-52.00021546110172,62.21304027238395,173.28664171805377,A,A,238.59252007826473,-126.97617574830507,1
Jewish,Homosexual,None,-41.930362216686945,-84.37898890158564,-87.4330228947544,-90.6622805553604,E,D,-98.58315840853112,41.248717539770496,0
Muslim,Other,None,43.77657623514,28.959280317126446,-116.56023859579123,-106.87072599381864,A,E,-306.46349837744793,-23.730595709295805,0
Hindu,Other,Physical,85.99459733866817,-172.3845691951818,26.59882645122561,-59.99289326412504,D,A,40.2384863900968,155.3336519217571,0
