race,disabled,nationality,veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
White,No,UK,Non-Veteran,3.128517122789283,92.98940695888875,D,A,C,-45.42647057145615,97.65566442735295,E,56.68690884699874,B,A,-56.48217609596015,179.1951369595277,1
White,Both,UK,No,108.05762059355857,-65.68781842276664,B,C,B,-159.0591152873183,-34.226141217226186,B,19.23915658338394,E,E,95.49456081746501,-22.787696061373357,0
White,Physical,US,Non-Veteran,109.75206997724646,-81.62495954912188,A,B,D,-112.88192473319896,36.07593348488673,A,164.3334530628989,C,B,24.120505271046866,-99.04917152583089,1
Hispanic,No,US,Non-Veteran,21.925221735114356,50.681358954246726,A,D,D,-62.4683692074492,-65.7752080653764,D,98.09628391600737,B,D,88.65184536612574,-79.00761191199169,0
Hispanic,None,India,No,-25.07521897870247,12.393951501339865,A,C,B,-229.39852478377657,-33.075328532090154,B,36.73406114839424,B,A,-54.71806042792322,95.392958628958,1
White,Mental,US,Veteran,57.6585169534851,109.18284793397774,E,C,D,-140.39405475096012,202.38582602301105,D,-100.7684209964381,B,A,-12.186045353679095,103.69283892774068,0
Hispanic,None,UK,Veteran,-152.3897426634262,-84.20743912159804,E,E,A,-102.57456827760822,-83.54395139800769,B,19.31227993878777,B,E,-56.476807756165336,-113.72900772350715,0
White,No,Mexico,Yes,-34.75046588323489,23.812723904544946,C,E,B,156.71029285539643,64.03919503124308,D,31.618637574494585,D,A,49.73528202888687,-85.32559670065922,1
White,Yes,Germany,Yes,-122.66437966176962,-66.63855899852803,B,A,C,-57.67058998923565,-51.88304017753607,E,-28.82978868389026,D,C,-158.46831998903556,260.78875352382573,1
African American,Mental,China,Non-Veteran,-124.43514233638888,-67.36949631517814,C,B,A,39.1190873331045,-80.19011528672948,D,-225.920798842686,B,B,-65.43143934956012,-34.99552790664552,0
Black,Mental,US,No,45.516583001554956,118.80168105113967,E,A,B,16.874628463453796,116.13392102788143,B,-74.00680368182063,E,B,63.073071806819016,206.24485231118496,1
Other,Physical,Other,Yes,-40.390584368771485,-38.69458917038288,C,D,E,81.16736850721679,-19.524896444142286,B,-67.81952586541532,D,C,-59.638336722167494,110.2798725670979,0
Other,Both,US,No,-85.63609681295225,141.95916297377485,D,B,B,103.68546229991647,135.6049509022961,A,52.500636403660394,C,C,161.88901533566914,-111.12424110393142,1
African American,Physical,Mexico,Yes,-144.68777774668789,-68.99173023543267,C,D,E,-111.60709760653134,24.263013484450862,A,61.20136841561341,B,C,142.2716784386283,43.53812576121734,0
White,Mental,Germany,No,26.78104096965131,-29.556009400683337,C,C,C,23.91904926019419,5.683943091334088,C,-31.39772502289455,B,A,25.2779446121901,72.82966360102273,0
Asian,No,Mexico,No,-112.93248071003559,53.07030545432397,D,D,B,-29.399631463097492,83.1134468615492,A,27.660504851451183,A,D,8.91478342654857,-44.474371523862224,0
African American,Mental,India,Yes,22.541911204836655,-103.77539958100344,E,A,B,150.40746853877926,185.92789165547387,A,-175.49011122159297,C,C,96.15792421295973,-31.406744210347114,1
Black,Yes,India,Non-Veteran,-157.94588067699704,-14.099320847475985,A,D,A,-128.32076046196454,-25.295501472145176,E,43.01884969747476,A,D,189.84536167143108,167.61751253522007,1
Other,Yes,UK,Non-Veteran,-236.23993294061648,4.163354949656662,B,E,E,-118.4892203637522,44.93945960534044,B,162.1720899446488,A,B,-127.4950686990336,-91.19233303867522,1
Asian,Mental,Brazil,Veteran,12.263649705758377,4.269959368466311,D,E,C,98.63659772747921,45.866425730914905,D,-89.75121083569488,A,E,133.8027921361349,-104.12843317534512,0
Hispanic,None,India,Veteran,-0.7707734309358225,-45.03816613886649,A,B,D,18.86128001582138,-99.36175843112665,D,70.14542134713547,B,B,-207.74745887292246,60.48918855883618,0
Black,Mental,China,Non-Veteran,-82.77914967840516,94.83244218357343,D,A,E,64.06841344710804,127.55081119100072,C,-103.68691926770057,A,D,7.862353077479452,-137.64953450654272,1
White,Mental,Other,No,95.40576880788527,17.973523306495906,B,D,A,113.9800344191422,83.11241629234046,A,-49.305496981272526,B,D,-121.29329132894615,-5.894961602926022,0
