genero,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
F,96.60846398149548,A,D,D,-52.78472209377312,-34.128873225779124,-43.82735525875079,32.06384525303329,D,85.32459742080512,23.716784189410976,-122.82940948775058,1
Female,-154.89753774137685,E,C,E,-118.21448720808733,-1.7250123928342342,-33.06939432935188,-120.630668987324,B,-60.456355508014425,38.585215489616004,-12.435028231932879,1
Female,45.15131408284641,E,D,D,80.69322953111285,-72.40507250413786,141.30915432470573,28.290304180718596,E,-60.62708101500669,-256.9171243559606,32.17543257253468,1
Male,-88.30261885784036,A,E,A,56.216415462826674,102.16823936656145,-153.80242568616214,178.6287159384062,E,30.905190385577498,-152.0595547876549,-47.10124393112183,0
Non-binary,-215.93473971907162,A,E,E,81.46862140837379,127.08451912084968,18.7451013316445,75.55895834953321,C,-65.5356879987012,-18.602964906830927,6.294075250326858,0
Female,-45.59806200712783,B,B,D,68.11221617126407,120.97659742272893,67.66740164150336,-94.32728472370387,C,-98.08192295142231,-84.33218295742432,-46.99755830079475,1
Non-binary,-90.34959807206779,E,A,C,38.220662842342286,130.79410841346314,10.476274752221855,90.03274284016669,E,54.06661480841052,14.54348158158996,-108.67864692005821,1
Other,-78.20057120791262,E,D,B,-172.76656546103223,34.05370943106882,64.95833355394144,79.20056603449407,A,74.76253309731896,122.00975636400726,-81.22654529154883,1
Female,-173.5878907429339,D,D,B,21.628687423130387,100.7027041094825,-59.86467032992395,53.51015937463971,A,-10.371249461651507,20.063123401099784,147.6787817259389,0
F,-199.44122891223248,C,B,A,-56.136799647357805,18.52192118580187,-41.15264319732262,45.46537872297291,E,-65.19304880838341,18.993984538993843,-21.798384059411426,1
Female,-83.85437324961646,B,B,B,-37.33202327999645,76.24819139397637,-170.44856974166473,-220.94627391970744,A,-33.77628542472497,-32.077860187052345,-136.82596836656336,0
Female,-68.07073412592874,E,C,A,-121.06346698460322,10.2790025564653,-26.152747317448487,-57.18582315511394,E,-32.338046724284496,18.433219317828346,-121.48692161012859,0
Non-binary,-32.04755716854176,A,D,D,-106.93249340305529,33.13322926737496,-103.15568876217863,107.09013850776199,E,5.656497183604622,-54.02695909529071,167.07912268733892,1
Non-binary,8.56828934654647,C,B,A,95.33326592538148,-21.51154022054268,83.48717144755844,-54.25291273068873,A,170.58536542759379,220.73034426835488,-63.663356954582476,0
Male,123.05843871717246,B,D,B,9.893977105269716,-69.72497358514194,-34.23564803623142,32.51546651966509,E,-103.48771266753354,-66.8184576617769,-62.52470095021163,1
Male,127.56101260241375,B,C,D,170.79737092665084,-91.96100708867479,33.41406598096137,-124.29280353082994,E,-58.664938934458135,42.51041119920767,-128.56493299095817,0
M,1.5413492707316674,C,E,E,-140.57493125628966,29.927986530229877,-23.427940542789845,-218.81891900067995,D,-58.64699213554647,263.1949581178169,4.718302032042461,0
Other,11.846632618845076,B,A,A,52.90875230267207,-4.917100182698115,2.5571288573095208,74.08265254387572,B,-47.917659021882145,50.24748608561557,97.84012446799746,1
M,43.10068922949608,A,A,E,36.416741383866714,14.754878603149507,-101.1183255507594,-54.78189921308005,D,-105.24122562880594,15.713898194999917,8.077745336399907,0
Other,-26.04352079451618,D,E,B,-23.32328477939748,22.792373479457936,148.6783818700997,-49.42779578840814,C,-110.63683250495066,-149.45403549810334,33.614559173424155,0
M,-62.647538091701534,E,D,E,-31.662371396589606,93.19123603341613,76.51875797240602,53.15647439182237,D,-36.88224956411471,94.83170062798423,-49.74724857641564,1
F,86.58615520619628,D,A,E,-105.64466294443085,-29.05336908665942,53.49974750011269,-67.55193454559574,E,309.8947720507485,-56.78360828754803,-159.46405284097074,1
Male,-139.47269786276587,B,B,E,-69.61205752143762,89.18224594771237,97.42616882234731,-148.35795479905894,A,155.2048286332329,168.7988389501631,80.96065670969477,1
M,76.68793296180527,D,B,A,-89.76173768919166,-95.32932548803655,65.03837343018563,246.03254033644134,D,127.58425060594148,-129.01231014205416,55.39838537255508,0
F,36.41874898436916,D,A,B,221.22028597070306,53.30521865535227,-52.653379379474195,-44.437198293193134,E,82.85165406484818,161.26769049170161,86.66250692231947,0
F,86.08736727370217,E,E,A,203.30388623606237,33.86520052795678,87.40197137026871,-108.05436986749646,E,63.48800023507126,12.76964582519662,33.68247040012964,0
Other,72.5250670785642,A,B,D,109.50852783127291,-26.000982693878434,138.89773443824015,-38.313581445709424,A,-64.2858484907431,-2.050436356545177,138.4549912580878,1
F,52.084281482882766,A,C,E,61.81016820466626,19.8622390989318,-142.9153576526854,94.65138097037635,D,40.420940692585845,-39.634092580541974,66.86697756861649,0
Female,70.492238059488,A,D,A,85.05780349736366,21.335368049458587,83.94264591977358,195.81565557510666,B,54.469103562916445,-89.58966194269486,-20.106372114152368,0
Non-binary,-7.756180965336551,B,B,C,115.0452865219987,-108.9934458644407,152.81097034967962,126.75431404681294,A,164.76063670933186,-166.74819417239567,2.1051511095865956,0
Male,24.367990595426207,D,D,D,-141.29706894063034,-201.98624646948522,4.035722556100476,-48.91101637341383,E,-8.87468371511044,-5.002021851561096,70.82762346855246,1
Male,-47.57058867696436,B,A,C,154.98922068892486,-31.156249858014355,-54.96277818688717,7.960827518296035,D,-139.2623854402815,-140.4287433643789,-37.589338204494915,1
F,121.19949656907497,D,C,D,5.640219639828766,157.5586047967398,-2.8040405887658912,97.64579238949455,B,122.65525072737013,-22.829713004874,-81.01059197047553,1
Other,-170.0116245051455,C,E,E,13.458626211259272,-138.89528959939065,-113.50155690669882,-221.55416317667834,A,123.65307388963187,-146.9092143360166,89.45100980955574,1
Other,144.7621362496884,D,A,B,-5.629313309944719,47.47160001524268,18.402842955185893,-96.16181756431212,D,-47.289644837863634,68.60503036550368,-76.54188228244716,0
Female,74.55302836871718,C,E,A,-45.199739528936064,149.73529183947156,25.892519762302037,110.86989132611274,D,34.478424346448755,-71.04847836227331,54.413788075810864,0
Male,103.27579646184208,E,E,B,3.6890080306677833,193.48119636185615,50.44680899334111,-127.26191093208479,D,-62.92929905055647,25.43280287143223,58.92767265174855,1
Non-binary,-3.4877374316661722,D,A,E,-22.904198636792835,-19.49148985517553,-92.0753761518523,-129.69703902072308,E,98.32065300618356,-70.66184443219583,-202.65038712416606,1
