military,genero,disability,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
No,Male,Both,-87.46730494446857,A,-58.27705162410942,B,9.703714939195288,C,-177.93123692935495,A,27.156260549743205,-67.49356903620283,-112.75060032025273,E,-126.6631126050321,E,43.91120470728269,-195.56712262547381,42.04230666173102,E,-92.0811426053533,1
Non-Veteran,F,Yes,40.29693844836406,A,22.737176922890033,A,-38.00496268486824,A,-11.456732383354472,D,13.104144747301373,0.09160365979733497,-30.26206883180619,C,3.7312846198334326,A,-52.863666893634985,-51.97307793442327,127.12481802744327,A,-84.45914065726481,0
No,Non-binary,Both,96.67879778447116,E,174.47706175849584,A,110.38040816220584,C,166.79025590445752,D,-88.12438544593427,-49.293209912096465,-29.491055616001887,E,23.12350356014027,D,-4.698958668801947,83.33532497857708,123.60004057874781,B,23.862861685482006,1
No,M,None,-50.13060646091893,B,-45.80482064069479,E,49.50019709323894,A,6.33096670214776,B,32.21507226409798,147.69393846684048,-78.00260693954002,D,-100.92879401023002,D,151.4943947920607,-6.856264162920104,-50.41831511311708,E,105.85646588829111,0
Yes,Other,Physical,125.95927486088063,B,188.33474299871583,A,-189.52810683090226,C,-90.62170637359577,E,51.379841624707865,219.59280264812304,73.8433853213532,E,30.624842848376808,C,-19.244333941460077,145.18057218017185,-52.16382376728825,E,133.91593991383667,1
No,Non-binary,Both,-87.77063551570427,B,-80.28970761976593,C,134.03994653839393,D,-31.49044713997774,C,72.42061120510706,-23.693035277169216,141.84627772155716,A,28.20319463004395,C,-15.775121787578101,-55.55556917747446,82.18625444716493,A,-70.33859656755598,0
Yes,Other,None,3.2163340071787188,C,-51.94125270789338,D,-14.887676119991413,A,-52.50986345204905,E,48.65425377251575,66.22358992677891,39.69689587666927,E,52.852367967504186,C,70.83827594210638,46.194272819282126,168.25240344200066,B,8.056093979405578,1
Veteran,M,Physical,-104.42179384889671,E,-84.37638346285009,C,-3.8939257948336192,E,71.32279331764603,D,116.95811935918263,-56.559279294291656,-40.140319081504174,D,34.280320776606885,D,31.244369896835266,99.4428001146301,121.2603956632762,B,87.78330028287795,1
Yes,Non-binary,None,-9.53550255446395,D,71.83250464854653,D,95.00440654592956,E,-29.574274928777193,D,74.6034561498162,-42.181484638321514,-26.175715071007765,A,143.46349008617324,E,-44.25762281953253,-264.3722940775435,11.78125759915128,C,-5.809124086495906,0
Veteran,Non-binary,No,116.19174132343947,B,-127.97120707746315,E,-54.82118347694519,A,95.55165213961169,A,-33.39909353536834,-50.61441640463885,93.57316375504242,A,-202.2759237047485,B,-45.62736123336575,-42.2329662082051,84.3670865188558,C,-4.536041481066512,0
Non-Veteran,Other,Physical,-219.28377307835086,A,2.266163261821438,D,57.180508854278266,A,-19.743352659108087,C,25.097640957523765,2.161098979042427,-41.269647524294946,C,58.464441132825264,B,-76.30201129162477,55.0773408003316,-80.02664840034022,B,-130.9883576528151,1
Yes,Non-binary,Both,-171.00811785833315,C,18.482524297658625,C,263.91940029352645,E,-34.53237134187292,C,-204.51340052437342,4.224491400334232,-71.105157322724,A,-47.103058242421206,E,-22.17437782548749,98.66052285346056,-55.81204155576711,D,2.6752952904541005,0
Veteran,F,Physical,-26.293327767823982,B,-45.9640544951462,E,-180.9979380746625,E,-80.93813407370715,A,-80.73197454385699,-222.0870206309121,-11.249615836565807,E,-172.9381409367078,D,-41.28984435421808,-30.794470758358685,35.235468730126414,A,-40.56961599292456,1
Non-Veteran,Other,Mental,17.67538448223373,A,10.666516095176677,A,-44.572837286460285,A,-102.3999022695832,D,-46.35928613526899,-83.29666029858943,98.46593402518126,A,132.91074954845354,D,18.394706200434694,-148.443304753994,-71.99598243875326,A,260.38525100555574,1
Yes,Female,Mental,62.78568076175557,B,-31.057768025933214,D,225.27694857442327,D,-250.65663077014975,C,-250.4601252444234,-111.26076485849916,-208.1302445929316,C,15.554991306151534,D,-115.11338734507453,115.8805792118437,55.0769289588942,D,-60.67043527330167,1
No,Other,Both,-13.33601135864472,B,-87.89911044285876,D,171.9100305945161,D,-36.68696443439195,C,-153.63464271418573,-31.736734585503264,-5.324721649774846,E,122.12820378578542,C,-64.48642096337997,-57.104324067634934,-35.626135131735914,A,-23.068887208263416,1
Yes,Other,Both,103.90980042209765,C,79.69567698236801,A,-49.314020175554056,C,75.84503121177299,C,-14.366725387849819,-201.02309225159763,-192.11978111996956,C,-76.24530256522084,E,-199.7653662080626,195.18782807497664,-52.82816698398949,D,0.8484243423270794,0
Veteran,Non-binary,None,5.0980714549033985,A,-8.687853074881756,D,25.16194182865865,C,179.78428269330107,C,-206.78526872475933,-43.43860135315371,15.181987070972806,C,-89.42271675501175,B,22.22789789676889,98.46336134775063,-68.79882122729099,C,194.63309058176569,0
No,Other,Yes,-61.15500028378923,B,-47.075405912190455,B,-90.52384242334362,E,160.66176598755015,B,-19.54972400767792,224.56631654348712,-47.70947157037978,D,25.241762144416736,D,-70.21071239860004,76.3853197479103,2.055706570932821,C,-144.3294480418323,0
Non-Veteran,F,None,33.83551758631269,B,-150.22338737594504,C,-19.04800731617245,C,118.02437079530694,B,-103.25087126720838,-23.211172283145658,-90.5535955107193,C,169.3548985393618,B,-33.40528412641831,255.5443736252402,-100.66751623152783,C,60.01246217184351,0
Non-Veteran,Other,Both,-101.00576740124609,E,-69.1372738054923,B,-44.3534970177476,C,-13.523066632124229,C,-183.17921238523118,26.925325706519505,124.33305289551548,A,75.94643103292626,E,-69.20044486452764,47.354106520230985,-88.6109504443438,C,-67.75014436747527,1
Veteran,Male,No,-78.29333732330048,A,-113.84122955327976,A,168.10163184989915,D,-236.82920830796,E,-96.53084329651324,19.54979460812027,-51.93393075268781,B,10.640566951591282,C,-140.4962771062094,-64.49386437340763,62.94204937921506,D,-14.306704403246185,0
No,Other,Physical,155.80013920324078,D,130.51980013609167,C,104.09415532341117,D,-136.79096051587024,B,-134.0594593467727,64.90774756209743,158.70996092909405,C,135.1530547218562,C,-141.72125391842437,86.6919772825044,136.85068265323275,A,-5.991780548468548,1
No,F,Yes,-91.68341234729922,A,-85.50545550568349,D,70.21185154233963,B,52.583551305569095,E,-63.52847937923522,7.080695385930216,-171.90931741650118,A,-79.89406599870155,B,-73.98869332910684,92.08007613495234,22.318662629134604,C,-119.87818823731027,1
Veteran,F,No,20.482206914029792,C,-117.09060326304991,A,185.99390948396152,B,-61.246412046508226,D,-47.82227793877855,-66.80730106327246,98.12147158639918,C,198.55558924787314,A,30.89499550530131,58.868269949876264,110.36807369212187,D,-15.094519427833278,1
