gender,age,sexual_orientation,civil_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
Female,92,Other,Single,36.8809353519813,C,C,47.834450102903574,D,B,4.811999062792837,-79.89747950279038,1
Non-binary,49,Homosexual,Divorced,6.077483764654983,C,C,-81.05442327826626,E,C,-58.96307717881235,93.13761557539543,1
M,53,Bisexual,Widowed,-21.870037741407952,B,E,37.74928152085261,D,D,-14.77113293428611,-32.766642078383924,1
M,50,Bisexual,Married,-100.55640423093557,D,D,-33.30999080920982,C,C,-139.24868510603426,-90.11411294930565,1
F,46,Homosexual,Widowed,-98.8118549412646,A,E,92.81766830491723,E,C,5.886074482265923,52.06997307831187,0
F,56,Other,Married,107.02954084901302,D,E,78.7281014563012,E,E,80.05900857379666,17.44893312308005,0
Male,90,Other,Married,32.99860142786719,B,C,-42.85030733471481,D,B,22.429815305465493,-47.63958342843518,1
F,36,Other,Single,146.03645554222177,B,D,-98.45205818706076,B,D,-210.16077736679102,-35.22425892986703,1
M,53,Homosexual,Single,78.54900378796205,E,C,105.25803498333515,E,E,82.89926836186368,-21.226904312159448,1
Other,50,Other,Divorced,83.01709073289709,B,B,79.37379198975611,D,D,8.232442938932394,-178.14777317991016,0
Non-binary,88,Other,Married,48.34008609733723,A,A,-16.382993996838994,A,E,-114.9396060835356,-109.83807900657247,1
Female,62,Bisexual,Widowed,-190.45302890377226,B,E,115.63816605090116,E,B,-158.38504217350368,23.866103478443083,1
Male,42,Other,Married,135.72574003803305,C,A,85.46860907943112,B,B,95.3655225652226,59.20675600893943,1
Male,62,Bisexual,Divorced,118.50327760939687,B,D,-42.93554349183826,D,C,81.87574998683303,-9.498752822286155,0
M,86,Bisexual,Married,-139.4689091714481,C,B,-173.52515522807118,D,E,-92.34426143450372,-22.983169226481422,0
F,44,Homosexual,Widowed,145.88389825970665,B,B,122.80993316989817,C,B,32.468713516097935,-149.66794907479994,1
Male,82,Other,Single,-85.02888240759968,D,B,16.736269411338075,A,A,-65.40497246577996,-49.93555326274794,1
M,61,Homosexual,Married,60.973748501037846,C,A,51.48774162465662,B,D,158.5241463668012,-33.42297476706082,1
M,49,Other,Married,9.822136460807682,A,E,212.17290928630382,E,C,-90.75217297873218,-128.87574407700916,1
Other,32,Heterosexual,Widowed,-48.01790111978079,A,C,-35.83289868556349,A,E,-16.896592775851822,-75.38727216818147,0
M,20,Bisexual,Divorced,-60.97668546036298,C,B,-118.25421395790039,E,D,-22.149735262744453,-100.83947306751865,0
Male,72,Homosexual,Married,-71.15151032661764,B,A,-37.86680584607921,A,A,-133.87214564473032,161.70260017043609,1
