ethnicity,Gender,faith,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
Asian,Non-binary,Christian,109.30906083003691,C,124.00036043049603,D,E,D,4.498130139898879,B,1
Hispanic,M,Other,-204.52902505430978,D,22.98821560406857,E,B,A,-81.92056277862858,B,0
Hispanic,Male,Muslim,11.863069761896469,C,-173.67152675461207,C,B,E,-14.4309975921241,B,0
White,M,Buddhist,-92.91896908903324,D,-82.04597303369401,A,A,C,-23.16910980515269,D,0
Asian,Other,Other,-48.08417666769456,D,-1.02841787758005,E,D,C,-20.219895981742468,C,0
Hispanic,Male,None,-87.57166760848517,C,113.04242375059268,A,D,B,-73.36684870914532,C,1
Black,F,Muslim,40.47540199355391,D,37.210553778170905,D,A,A,112.91592928365031,E,0
Hispanic,Other,Other,-68.51494764224296,D,-103.83047532677259,B,E,C,121.99505679221613,B,0
Black,Non-binary,None,103.98103712513085,C,-82.06555711184987,B,D,D,150.8668472852532,B,1
Hispanic,Female,Other,-40.84764448579317,C,-55.78462186239486,C,C,E,-43.96903828077902,D,0
Black,Female,None,107.39488102038514,E,145.3560355942741,C,B,D,-124.95135548743046,D,1
White,F,Muslim,98.71196638295953,C,163.78877781442142,B,A,A,43.00826543616571,A,1
Asian,Non-binary,Jewish,-53.67782647401509,B,-36.13489417110436,D,A,B,-51.998694763717054,B,1
Asian,Female,Muslim,141.62154984167165,C,-59.746903049885766,D,A,E,-6.154015025583177,D,0
African American,Non-binary,None,-92.96371251561048,B,-91.7588973718646,C,E,C,-126.7180287274111,C,1
Other,Non-binary,Muslim,-105.82293489136086,D,13.761013458921376,C,C,C,-186.6886887480584,B,1
Black,Non-binary,Christian,25.391315296471618,E,115.91977755344764,E,B,C,-132.80592190041884,B,1
Asian,F,None,73.34815535768301,C,43.12597820304626,C,C,A,8.40986936241655,D,0
White,Other,None,-25.064515410683285,B,167.26225464091752,B,D,D,122.56357167692993,B,0
Other,M,Other,99.54138194927896,D,108.68928466421801,D,C,C,-135.28122596498181,A,0
African American,Non-binary,None,-68.79387790247274,E,-121.84595690196704,D,E,A,109.25615371678197,C,0
Other,Male,Buddhist,-25.686865899025523,C,46.11883591437274,B,E,D,-42.932637686940986,C,0
Hispanic,Male,Hindu,129.8571522108639,C,-8.747509704510085,B,D,C,-106.83321367908289,A,1
White,Female,Buddhist,177.5211180729613,C,-124.43669553619068,C,D,D,-2.1312443132780183,D,1
Hispanic,Female,Christian,18.740501280468287,B,280.48464888754614,D,E,E,-143.8785111633997,D,1
Other,F,Buddhist,-35.32312873279954,E,-47.1809558068155,B,E,B,-9.202209704904142,A,1
Hispanic,F,Jewish,85.33600237746349,D,-163.37167157374975,B,A,B,-116.9363664038243,D,0
Hispanic,Non-binary,None,-0.7742933219526629,E,20.668598350663714,B,E,C,-37.335993201592636,D,1
White,Non-binary,Muslim,-8.450996083744586,D,-50.68170426294929,B,C,A,-68.18147286898602,D,1
Black,Male,Muslim,1.398889625106317,C,58.07226159566818,D,B,B,-4.770844381187351,E,1
Hispanic,M,Jewish,120.28430474952899,A,6.300971354785437,E,C,E,-62.95357682773596,D,1
Black,Other,Christian,-66.15570858244058,B,-29.870558968978084,C,D,E,-137.4243918237454,A,1
Black,Female,Hindu,77.71888637014368,D,-160.50413488241188,C,C,D,128.32543568142742,E,0
Asian,F,None,8.465260559859564,A,70.23879306992913,A,A,B,-75.9431606497652,A,0
White,Other,Buddhist,217.3054841879026,D,72.34879064715523,D,A,E,-92.15395320597707,E,1
White,Female,None,-3.627612972600068,D,-123.01882634507551,E,A,A,-43.191924452425745,C,1
Asian,F,Muslim,51.522750811313536,C,85.84863021654374,B,D,B,-9.187644628657798,C,0
African American,Male,Christian,280.63508655870214,B,111.1194339561598,B,E,B,-122.57310761923598,A,0
Hispanic,F,Jewish,73.59730803412448,B,229.55508761397056,B,C,A,-7.046872080229319,D,1
Asian,Male,Jewish,28.852327651874187,B,-55.204134232462266,D,E,E,-124.73666555539612,C,0
Other,Non-binary,Jewish,-17.27120537762158,C,63.356738613249284,D,B,D,-76.29234871559885,A,1
African American,Female,Other,91.43250647357605,C,-100.498905834259,B,D,B,148.92967138189707,C,1
Other,F,None,11.03394336812588,E,-127.65940174856742,C,B,D,-145.6982596302029,A,1
White,Other,None,-46.558448843716135,B,60.99993979704498,E,B,B,63.721239782054674,B,1
Black,Non-binary,Muslim,31.236193219878643,C,-101.38507530260843,E,D,B,-118.55658711942365,C,1
White,F,Buddhist,149.71506860044298,E,-67.31975415194405,D,B,C,139.17908369400013,C,0
Other,M,Hindu,-39.886023420767614,B,-91.91395207675876,C,C,A,-77.73055179233384,D,0
African American,Non-binary,Christian,-25.71302985437423,E,-36.443638927091776,C,C,C,-51.44218132531353,E,0
White,Non-binary,None,-143.06212176873777,A,51.04236536670788,D,A,A,-6.248490147047685,B,0
Hispanic,Non-binary,Other,-135.5466752692997,D,-34.64506217661379,E,C,E,-78.17557660936588,A,1
African American,Female,Other,-54.335469920890944,D,-186.7925729680761,D,B,D,-98.34273786290254,D,0
Black,M,Hindu,51.45597400224876,E,23.703478243457187,A,E,E,155.5004462964865,B,1
Asian,Female,Other,27.073505678250193,A,-33.561139159753914,A,D,E,-45.23925786580954,E,0
African American,M,None,-129.32511881030553,B,-142.59337848919645,D,B,B,48.872524615829704,B,0
Hispanic,Male,Hindu,-31.778632485680397,A,-314.05935000464314,E,B,B,-84.41783839221465,C,0
Hispanic,M,Other,-202.9848440057021,E,-61.770492129081575,B,A,A,-128.63218875697274,A,1
Black,F,Hindu,61.55808990741394,E,-48.15783355767238,D,D,B,58.86618339223128,C,1
Other,Other,Christian,-119.32397528166301,E,129.58486325618568,B,C,B,-178.2497065245139,E,1
