Disability,birth_year,orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
No,99,Other,-20.296859597152068,C,48.7865535213131,193.53860846901682,-273.08222515887434,-137.3014429903879,A,D,A,E,D,2.126605515050276,-8.988782801651322,-183.32480661029186,-69.25136207628509,64.55088686076799,E,154.68605445901028,0
Mental,78,Homosexual,84.24617935842863,C,-0.726842291231877,-55.1684389119685,106.24729976204944,-35.09032917806739,E,B,C,A,C,42.90895553652649,27.01879549731559,-117.32481505157708,-34.93671976591895,1.7947557712804147,B,22.87448220399325,1
Both,52,Bisexual,-60.120682764693946,E,44.15516540450323,-128.64293751340313,142.52273332112287,24.409968110027553,A,A,D,E,E,-70.92218046517527,-51.325533414023475,-64.19553230451875,31.0394817166806,58.96520585700249,B,34.5377062671803,0
Yes,88,Homosexual,41.00894100699287,A,32.22498648897807,-114.15515284266478,226.0788189184106,-185.9715907147923,D,B,B,B,E,143.60627933217307,-7.413458221164612,134.14512119118325,113.40161709014033,76.88676302760723,D,196.06093909682733,1
Both,48,Homosexual,144.70805439509448,B,15.604737990704749,-11.943554869553243,-86.37679959865814,85.52696869162965,B,E,A,E,C,-20.86266991192184,-10.395233626255099,-48.278874028663935,-53.63844757009447,59.99218357245684,B,48.223411674784714,0
Yes,54,Heterosexual,-113.04375042208976,E,43.610289992765026,-80.84237029808926,22.650857685704057,-110.60592037112313,D,A,B,B,C,-151.53842393290864,-23.0252948777356,111.29585341468882,-90.95939528068348,-153.54246198440856,D,-97.77333642575805,1
Physical,46,Other,-154.61208381413877,C,41.81806003414464,-18.048562779031847,-65.19883303140075,-94.10028852681519,B,C,D,D,C,9.474331734214262,53.84631930510439,53.81496155349295,-63.207601806561165,94.79889454337608,A,-108.95475850250908,0
Both,93,Bisexual,45.669779685233934,B,88.05629290113049,-158.30932850932257,-146.16810721867898,-261.929209202453,E,D,C,B,A,78.96391651215544,37.27023780078134,174.20230962695408,125.84438334972461,136.1840780798876,A,70.15485510416909,0
Yes,67,Bisexual,-86.49790146502954,D,97.45977953894158,84.18760428017951,-82.63693316509514,252.861772778942,E,E,A,C,C,-65.81833980247312,107.44737369981962,90.40808117383354,-143.7466410157781,170.47020522089107,B,4.749913781584154,0
No,50,Other,-1.3510833357328338,B,128.75733131022375,-141.89554781931574,0.35818170507671127,-95.01281242318078,A,D,A,E,C,-72.57422628977298,49.97322152773974,32.04377403319727,16.60491750576174,32.688107516974135,B,45.29505369719631,0
Both,69,Heterosexual,-128.58019460053765,B,-0.3881560773561847,-69.64106677554338,-12.465905524758904,50.77232467869137,E,C,B,C,B,51.91897814810182,70.7420204380753,-1.2099258963998993,7.87332121416622,20.92222107040841,E,-128.87719517286064,0
None,19,Bisexual,121.29183452326198,E,-120.317585407069,-29.10147474873351,117.93888547521627,70.052673500942,B,E,B,A,C,-4.891229778083527,112.164139326153,-110.68380185691336,47.67247440608997,-58.75104132120842,C,48.57326389246609,0
Both,26,Homosexual,45.43952330304385,A,-70.50977813943318,1.9338909566790505,59.47693311178338,94.69614395331527,B,B,E,A,A,-7.334992310067245,-18.586119886751828,255.56428477973182,-115.17020253403005,-67.30897182762875,A,20.570836439111496,0
Mental,86,Other,-82.24402942694257,D,97.32016165900811,150.2947118932825,19.29982918469983,75.092565541757,E,C,D,C,E,43.645021358367764,-154.79274404251964,-91.93353832082077,6.4959353389517265,37.4618865224976,E,-193.86929238723926,1
Yes,22,Bisexual,-45.342166975633155,E,127.71642431270556,-119.77410514988844,38.651978744040726,-8.311787271111166,D,D,E,B,C,82.56039462986583,-20.925143692478617,38.7849117420284,-54.295794710404735,49.511241436464225,D,83.7141866931637,0
Yes,95,Other,-39.429666065593274,D,-194.82406787207492,-53.48161101967451,17.398412879284205,176.136567767693,D,E,B,D,D,133.9739050230574,158.82881472178127,-237.33135951294724,-167.92316951300006,-17.754655145726964,E,108.3749350444851,0
Physical,86,Heterosexual,60.35525751331187,D,25.57848670683705,-12.798148945291194,-39.20856046110319,-33.59882002368526,E,D,A,D,C,83.31921095103452,88.42051391728467,110.49649657236252,-148.82815966317176,-92.78027774852694,C,-13.668198336667759,0
Yes,90,Heterosexual,163.99645713364544,D,81.20658465529432,140.56496838506024,-82.1954856583171,72.16809795655365,C,E,D,B,B,90.06849084625227,221.97869710872627,-28.95925366943452,170.42645321583,42.52492603415012,E,122.37343967053991,1
Physical,95,Bisexual,23.669067266382836,B,-103.81109367385868,15.37991929740701,-13.34508199492174,18.163332492346765,A,E,B,B,C,-73.43645431996059,117.68854210781308,78.11087784666478,-139.47627224088924,35.1334591396042,B,-17.528493246666855,0
No,44,Other,145.85644473566865,B,201.8924420826576,-13.692945732445095,-88.35112181197732,-4.285474636340583,C,D,C,C,A,138.56428347250647,41.09685158281054,-76.13003438539516,40.13825133954345,30.831182596807828,A,10.786867277981264,1
None,24,Heterosexual,58.44447841501628,E,123.37729344099462,-123.5175103444474,-130.4854855413723,-51.53013655337223,D,E,D,C,B,-14.781150135112195,61.772452448563655,-5.204421227555686,133.47290360827557,126.83895488837828,E,25.583383823107024,0
Mental,72,Heterosexual,-45.156922064385135,B,-67.38683883231407,-62.919421263485454,-31.911671873599467,2.3624840787659847,E,B,B,B,B,-62.886778619365394,100.28937507115351,-96.85565687991607,-37.931090374657025,32.193350430509696,C,-59.1610999178651,1
Physical,27,Other,214.6501234359535,D,-38.162506073756795,16.684106120661347,61.94589921934197,74.5418740297367,D,A,E,A,E,53.84886265858532,-100.0545900991479,21.70798283556304,-43.42623094156049,-116.30140074106343,B,76.08895457909827,0
Mental,44,Heterosexual,-213.65092888474874,E,43.693606521896996,114.90985183692803,129.92018481717838,-46.15494286777911,E,B,A,D,B,47.54240055428609,129.64680462788024,28.410522644235485,50.8944515939629,-20.24176481558926,D,-100.1097508478752,1
Both,90,Other,18.62325877051099,B,-60.148423367328284,-234.39233016264342,163.60588221545376,50.822918217642666,A,B,D,B,D,16.693968648112513,13.618111325262447,22.56725693826486,25.618624766301025,114.02811226299599,C,-147.37356210787257,1
Mental,39,Heterosexual,-22.749000666722733,E,65.8575526305165,115.25355300142239,26.592147506727937,-115.21176973286968,A,D,C,B,D,135.12960545205124,67.98310796229462,81.02922859300678,-57.25304065546069,100.75245330776579,A,-103.51357387629898,1
