age_group,orientation,genero,Veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
51-65,Bisexual,F,No,C,C,B,D,43.15448406621845,56.70217897630193,A,-169.44403990115745,87.82790174167036,-100.37283264693599,1
18-25,Heterosexual,M,Veteran,E,E,A,D,40.90069703927268,78.5842659832436,D,13.790905348450988,-17.592954604966668,94.96855643706806,0
65+,Other,F,Veteran,E,C,D,B,-21.948904941627987,-4.371909279485933,B,90.1556546885155,86.10306185431288,25.725826769274963,1
26-35,Bisexual,M,Veteran,A,C,A,C,-204.33226751819706,17.901416102217123,C,-82.0325646317149,-115.30230886016719,6.322110279426936,0
51-65,Homosexual,Male,No,D,E,E,B,61.65489638337477,-12.367086435356038,B,-0.9654936911425891,134.4592729578141,28.336359116465054,1
36-50,Bisexual,M,Yes,D,A,C,C,-23.687448402725668,-63.757114409117065,E,130.13010772828838,-33.20712172113524,-108.27519910207184,0
51-65,Bisexual,Male,Veteran,E,E,D,E,-149.60709244192748,-37.89169966012088,B,-60.83268436898801,-112.86050744424875,119.30274224352708,1
26-35,Bisexual,M,No,B,E,A,C,120.28883718193111,-241.073798715583,D,-57.53480328538182,-135.44962277989413,-50.00464941804512,0
51-65,Heterosexual,Male,No,B,C,D,B,98.99561573892814,116.93780225040642,A,349.9881142130987,-61.41489052857971,-211.5135323303054,1
36-50,Bisexual,Non-binary,Veteran,C,D,A,D,46.717863984313475,-22.298626707525752,C,-54.59730639823277,-62.334380203834414,-126.97316664537581,1
18-25,Other,Other,Veteran,D,A,B,C,-23.34123415589912,-18.596876739362685,E,41.431086051752224,49.61729220626421,-96.78895634780008,1
65+,Bisexual,F,Veteran,E,A,E,C,45.641263184094576,-71.07591672567666,B,-169.634535405011,-60.12477395041702,-102.87797580275439,1
51-65,Other,Female,Non-Veteran,E,E,B,E,-114.73565758183146,-81.82989052086023,D,-42.42530146890299,27.63514294768388,66.56057642936106,1
26-35,Homosexual,M,Non-Veteran,C,C,B,B,-100.13961979783986,-123.32021225771052,E,-15.45497928123699,206.50921863040165,-52.51235568003574,0
65+,Bisexual,Non-binary,No,D,D,D,B,7.662762487937254,-158.02418733987633,C,31.546975012132673,-82.10050756216661,191.27810372326232,1
65+,Homosexual,Non-binary,Yes,D,D,A,D,23.17785723865623,-78.08841764153283,E,34.704335576314286,31.31731717047365,11.425034275179025,0
18-25,Bisexual,Male,Yes,E,E,C,B,120.84971199028263,16.39403714518287,B,3.894417123287862,163.8137936394508,108.18461504683508,0
51-65,Heterosexual,F,Non-Veteran,B,E,B,B,58.72372920596264,-7.071103019363623,A,13.77950761726743,-4.307468065989912,-19.690319898075483,1
18-25,Homosexual,Male,No,E,A,E,E,-128.58990079744152,3.3848590975295996,A,29.334282979239525,126.71228780380002,-86.51270072593678,1
36-50,Bisexual,Female,Veteran,E,D,B,C,40.018790912356195,-83.87621891203274,A,155.6923672019573,-173.466904893708,-226.10543762415628,0
36-50,Other,Female,Yes,D,A,C,D,-93.10815660240543,97.28277817236285,B,-41.32768837968261,22.916625518215756,74.62206363629164,1
65+,Other,Other,Yes,E,E,E,A,-28.87382953307317,-126.53733855458799,B,62.26717239134156,111.80258048539962,73.3711806804212,1
18-25,Other,Other,Yes,A,A,E,D,-51.58004314612843,168.25303189319644,D,19.932700893747143,-28.907095460591098,-140.9778823979499,1
26-35,Homosexual,Other,No,E,A,D,B,-23.929916663965596,1.282669270925694,E,103.81313295635151,3.8188996193875466,123.84761086438346,0
18-25,Homosexual,Other,Veteran,E,D,B,B,47.514777481301714,-6.911543946888397,C,119.28372176972685,113.41401416452437,72.2783751721714,1
51-65,Heterosexual,Other,No,E,A,D,E,-132.56782274848212,-42.66009739504453,E,1.9721879999521148,-11.554751980959349,-114.8082135580365,1
18-25,Homosexual,F,No,C,C,B,D,-40.41664543151336,-115.92284947234978,D,-61.280471743415944,5.886800683970075,82.35677874913394,1
26-35,Bisexual,F,Veteran,E,E,B,D,-15.531656461490487,63.714757171482404,B,335.89656346645455,-18.678431047747086,6.833690390886436,1
65+,Other,Male,No,E,B,A,B,-63.61290671101554,-12.071074670606501,D,-61.88178522545578,-68.42945978557562,-117.51918670505815,1
18-25,Homosexual,Male,Yes,D,A,A,C,-41.491082524514574,-65.93649108981307,A,6.0148742879471975,-57.337722682295265,102.44087791478655,0
18-25,Other,Female,Yes,C,A,A,E,-202.98599264489664,54.10930096545845,A,59.66331078614437,-133.935161029427,59.99499310083265,1
18-25,Heterosexual,Non-binary,No,D,E,D,A,151.70286833745288,-44.96138745407436,A,-52.30690689154228,32.935255205047895,-41.73931560475252,0
65+,Homosexual,F,Yes,D,B,E,A,-19.685640152085355,-7.34744186347345,E,29.54396288300106,-127.89776867626175,21.74409617065285,1
36-50,Homosexual,M,No,A,A,C,C,9.73846178458482,35.332714881498774,D,-103.03683270968345,8.979962968214535,-5.434417244846659,1
51-65,Heterosexual,Female,Yes,D,A,B,D,-88.31173534559869,-123.08664950767205,E,44.8715406506743,4.270866513598761,136.5986553491652,0
65+,Other,Other,No,B,B,D,C,-31.536312718471464,32.2965759472885,C,37.110274359282705,4.806951730927815,73.45935589469984,0
18-25,Homosexual,Other,Yes,D,D,C,D,-95.33220737578401,211.1675101832254,D,30.45009361230685,-34.030459662609665,-34.887996198702794,0
26-35,Bisexual,Female,Veteran,A,A,D,A,-11.333833867928037,34.77715421825952,B,114.40150110159195,54.18463534101316,29.858017550345146,1
36-50,Other,F,No,D,C,A,E,-34.767388956270224,237.1122379786574,E,20.14904537881495,34.76636553758577,-117.89711991221307,0
65+,Other,Male,Veteran,E,C,D,A,-139.62743687502694,69.33064168313719,E,-5.998355641165377,-45.2613646118386,53.382037360829756,0
18-25,Bisexual,F,Non-Veteran,C,E,B,B,137.0848047152244,159.93933418261378,B,53.43137597350476,96.51419925969256,169.38079083136978,1
18-25,Other,F,Veteran,B,B,E,C,-50.25753223821335,-231.77151419283274,A,166.0949047900688,214.4421144457834,-37.14484164368729,0
36-50,Heterosexual,Female,Veteran,C,E,B,D,-21.943786843822267,-107.37712514495522,C,2.2215198812505865,-65.86732318778171,189.21518225415193,0
26-35,Homosexual,F,Veteran,D,D,D,D,-84.04538184302027,54.6861124123561,C,-21.0666687841229,7.244955938183829,-186.7219667234231,0
51-65,Bisexual,Female,No,E,D,C,C,-16.368387218589646,21.53199008358567,D,61.327446371034746,172.1804577945769,-19.236879950994663,0
51-65,Bisexual,M,No,C,A,D,C,-145.42031850088185,62.25416157766628,C,50.280933760771276,-112.81398639309965,53.95426762321832,0
65+,Homosexual,F,No,E,A,D,E,-138.0762192396733,124.25638706897242,C,-215.79669328511045,-173.80233392241027,35.113052734906994,0
51-65,Homosexual,Non-binary,No,B,C,D,E,-85.94465762250645,-108.75795112517758,C,189.34954865220394,83.71521641395428,-101.75100242684043,1
51-65,Heterosexual,M,No,E,A,E,C,94.86885782635493,31.081589564412837,D,-56.53138191386302,-11.397568606773419,32.49492910611133,0
36-50,Heterosexual,F,Non-Veteran,C,A,A,E,-50.40322102240662,43.35904647390385,B,-25.023742348151533,195.88418830535048,49.95846601193334,1
18-25,Homosexual,M,Non-Veteran,E,D,A,D,144.39842494628928,55.891498493536204,B,-85.19937629195017,80.37910984468779,-122.64939770310413,1
36-50,Other,F,No,D,D,B,B,-221.08783405740508,-83.83750413857013,C,-132.48384987494518,36.30313991970395,34.23216934790319,0
65+,Heterosexual,F,Yes,B,C,C,A,-34.82858013419846,-46.865858959852815,A,-36.93472729173866,-11.373085824917405,159.12217575967992,1
65+,Other,Female,Veteran,B,E,C,B,109.26894079354639,89.24514840580498,E,-92.89198475448089,13.550844884625507,-156.47149537262214,1
51-65,Heterosexual,F,Veteran,D,B,B,B,207.51099416338684,110.31332811416708,C,-151.80175235121845,-70.3413555165683,-77.65745622690386,1
51-65,Homosexual,Other,Yes,A,B,A,D,-12.708616129408776,-50.31113614194496,B,-102.21525865667248,-16.767028082985387,121.85307171889332,1
26-35,Heterosexual,M,Non-Veteran,A,B,D,B,-126.05464680507923,95.04754344098416,D,-39.19441342026588,131.22702177919749,-2.6473229698197733,1
36-50,Homosexual,Non-binary,No,D,D,B,C,85.53071125619066,98.57833469010319,D,-53.895330063071846,180.6841648102324,-2.172091653872288,1
51-65,Heterosexual,Non-binary,No,C,E,E,C,56.933439076848856,-29.22787146416764,D,-69.46988179726162,142.91802867296983,20.296528004977016,0
36-50,Other,Male,Yes,E,A,E,B,-106.6222849999581,12.176429619409156,C,133.96131121387583,-134.60004605363466,2.1639534896753,0
36-50,Heterosexual,Female,No,D,D,B,B,-171.47682739405002,21.399484774191862,C,15.91844567766435,60.59029436014225,12.272298941589192,0
65+,Bisexual,Non-binary,Veteran,C,C,E,C,33.68143299922269,11.846601393823796,E,-31.263761963192398,-171.2932884898229,-40.447906962595574,1
51-65,Heterosexual,M,Veteran,E,D,D,E,-86.82380690950518,108.54474415230888,E,184.01148163253666,81.31892360375207,33.974780202955515,0
18-25,Other,Other,Veteran,C,A,A,E,-20.531208750007867,22.678901141310135,B,16.205771701529123,-47.149341274899534,-43.865269429214784,0
51-65,Other,Other,No,D,B,A,B,-16.774299136039858,247.6387347633279,E,-127.83382399765205,-0.5801676800056357,-35.24069663632373,1
18-25,Homosexual,Female,Veteran,C,D,C,E,2.518978964397715,-51.35831356800363,A,-127.74278875687082,42.46767452057512,-33.95861005487154,0
