age_group,birth_year,sex,Race,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
18-25,99,F,African American,-20.660803916064047,D,D,D,D,D,30.492767566183687,166.83396196275865,C,-263.2307017242172,112.91588140960987,0
18-25,39,M,White,-30.036878187813766,C,A,C,A,E,11.83517596822985,-74.85121993318535,C,-37.551211180818775,-98.08263364124734,0
51-65,69,M,African American,115.89342534226708,A,C,E,D,D,87.24640214213206,-5.096854216103157,A,-81.39677658725726,56.413170244442036,1
51-65,25,M,African American,-109.81820526756991,B,D,D,E,E,-92.80885478049439,-166.38358971324024,B,-128.1197341249112,-46.96168621186846,0
36-50,76,F,White,-49.013227026167556,B,E,C,D,A,-189.82891604912905,219.83662885631,C,22.717617550626308,55.14287877086187,0
26-35,32,Male,White,95.37523398153073,E,A,A,D,A,4.854813806401384,74.49723659162707,D,87.12749496212395,59.76902477095044,0
26-35,51,Female,White,-41.458936839481744,B,B,C,B,B,-85.82033299323412,-63.08451314855764,D,-21.848415195475397,-80.13945883382034,0
36-50,98,Female,Other,42.65166924730689,D,B,E,A,E,3.1341021029980514,111.17571729394102,E,-105.23143859312023,34.90485445014701,0
36-50,68,Other,Black,36.23273922542159,B,B,E,D,A,-3.961730301653019,68.76878655040736,D,-153.6704213850114,-20.93575379565149,1
65+,62,Other,Hispanic,63.20594103992493,A,A,E,E,E,-80.68714562964594,-7.37497561588472,E,-47.95849437700899,54.39979790794468,1
51-65,29,M,Asian,99.47527470239032,E,D,D,E,A,20.67564059123457,39.007871955304665,A,0.35371496410749054,5.722611001241063,1
26-35,70,Female,White,-53.61402022364115,C,B,B,D,C,2.0649502730408784,124.43112303803692,C,15.323615989114387,59.03687235600066,1
18-25,74,Male,Asian,-16.646445893249844,C,D,A,C,E,122.05205977255274,79.55189220177266,A,-54.07851816498598,30.39759829900489,0
51-65,49,Non-binary,Black,92.96923706360194,C,B,A,A,A,-5.63165039038507,-73.26162737370862,E,14.095559201791882,-181.23198784977455,1
51-65,56,Male,Hispanic,36.771971487376675,A,D,B,A,E,-15.162492664051817,105.64469733829678,A,-112.00933536292645,234.52393064587102,0
36-50,61,F,Hispanic,147.57419866674098,A,A,E,C,B,-93.48535770613627,42.20079865623031,E,74.97380162546683,-53.487036841974714,1
26-35,58,Female,Other,-11.272545054181682,A,C,C,E,B,160.6043491979835,-75.31611175230033,B,-81.16632953319703,-56.44679812380659,1
51-65,91,Male,White,-203.01853860303632,C,E,C,A,A,-144.5195355704756,156.5205181884022,B,-24.054327699292656,-64.11387454892174,1
65+,84,F,Hispanic,52.29246886439915,E,A,B,D,B,-87.32059274760469,-43.81844529255305,D,57.51154634311625,-182.05763115243892,1
65+,60,M,Other,11.235855126374878,B,C,B,E,E,77.90478379870706,-102.0782739714906,D,51.790773384060095,56.64997715420991,0
65+,83,F,White,37.63542402733989,D,A,C,A,D,-18.2541538940067,107.78759339345586,E,13.324290443864308,-39.52401582897843,0
51-65,67,Female,Asian,-144.88208800039095,B,E,B,E,A,-43.87143946512296,-48.457964120135685,B,-128.1902819700508,78.04506351928725,1
65+,75,M,Other,-116.09221823568305,B,A,E,B,C,54.03029683381762,99.56774623957924,D,57.401832235234515,-100.44733837722721,0
36-50,94,Female,Other,-97.74650803039935,B,C,B,B,B,58.677433503090185,-65.29950168452758,C,-190.5266042722996,185.55650266912784,1
18-25,38,M,African American,-17.932308178826016,B,B,C,C,D,51.03146566220767,125.01225401427834,E,-29.12136078388147,104.50936293559275,0
18-25,83,Male,African American,-24.30282672659091,B,D,D,E,A,57.813925747334224,94.60323122547936,D,39.5143827461878,115.39668616186619,0
65+,56,Other,White,-15.23946422799662,C,B,B,B,B,88.40566704909838,12.862296618287154,D,8.569499979447485,67.12881107100812,1
26-35,63,M,African American,-152.2281204982797,A,D,A,B,B,-57.99118839751567,-112.42869537125684,D,-21.881084612189934,-79.34147825961747,0
51-65,24,Male,White,97.10407933501017,D,E,C,E,D,44.66849194171918,47.04773840143252,D,124.73203862071219,-96.04467844635795,0
26-35,71,F,White,-58.034190446676014,B,B,B,A,E,38.38577918165914,-63.34723584016289,C,8.00551480862983,145.8651992259239,0
18-25,60,Non-binary,Asian,72.29214227956606,A,C,C,D,C,97.98977718585839,-101.15522589828372,E,105.46047898030739,-128.27318634977,1
36-50,65,Non-binary,Hispanic,114.32629260646263,D,A,A,E,D,157.24846112639395,-187.83921725656708,A,-69.77908223446192,199.84377714259412,0
18-25,63,F,African American,107.77539592759446,A,D,E,B,D,-60.35667358804889,-48.702969421904726,B,-104.74242107963667,64.22121907084716,1
51-65,34,F,White,-173.91786907021196,A,E,C,E,D,40.32256116859137,34.695265357329816,A,-147.20286183975614,-124.61303643917643,0
65+,95,Female,African American,20.5900194841603,D,C,D,E,D,-74.300443530003,-49.115965213381166,C,161.7058301933559,51.06008362672312,1
65+,51,Female,Hispanic,-66.6605602876812,C,B,B,A,A,-53.93558111855944,78.28722153362423,E,271.6347830265596,42.73346491509012,0
26-35,87,Non-binary,Asian,250.17052159085407,B,A,C,E,A,-38.33456683275099,-139.76170971602912,D,-5.442483337151544,197.8862161099428,0
26-35,84,F,Hispanic,-156.24668864562773,A,B,E,A,B,-219.41442608449728,62.59918444680539,A,-0.7042842392666839,-146.12201026648643,0
51-65,98,Non-binary,Hispanic,-10.366163729608015,B,C,E,C,E,-34.525818766977245,102.06999615081125,A,4.8511650563359225,123.13557950859963,1
18-25,97,Non-binary,Asian,142.67117029309696,C,B,E,E,E,-118.82010010372322,-204.72647224503663,C,-22.534483542613426,72.36789692857846,0
36-50,67,Other,Asian,113.10249106057131,C,B,E,C,A,16.227317674710967,-6.250348570313155,C,165.33050744477754,-68.93686748498217,1
18-25,79,M,Other,47.235720428219125,E,E,B,E,A,174.57656610851402,-104.80817922606414,A,-3.9615517667085256,-75.11533071000997,1
65+,47,F,Asian,21.012486296232407,E,E,E,B,C,0.9856539279052423,94.15060138431086,B,-108.82306213343598,0.3149981077340621,0
26-35,58,Other,Asian,109.88005056896736,C,E,A,A,E,-19.55047655019455,40.23489552508339,D,-114.39576511386282,-146.60517624856456,0
36-50,18,Female,Other,227.193738209017,B,C,C,C,D,18.35183510933944,-108.83500155323311,D,-167.62855909375364,-234.49852894952988,1
36-50,70,Male,Asian,44.497386442446,B,E,E,A,E,-32.87019246615616,159.88820117254824,E,-17.281682412145972,-5.828993190933294,1
36-50,36,Non-binary,Other,64.29199380762641,E,D,A,D,B,-110.08470412835251,104.72060145487423,A,-160.7417232575056,60.428871208828305,0
51-65,63,Non-binary,Asian,142.40646163712873,E,C,C,E,B,46.791403723273824,102.4082912284264,C,-57.722417858916344,-95.99170947431263,1
26-35,22,F,White,196.95607150618878,B,D,C,D,D,131.78211477062055,74.07621701627129,D,-99.46008667137177,-25.1341029112428,1
26-35,28,Male,Asian,-119.97150015083558,A,E,A,C,E,-9.295216586634854,147.972900507649,A,296.0869033978064,113.52050286704325,0
65+,27,Female,African American,-103.57185243200713,C,A,A,B,E,-38.12262757976766,-177.20037688997218,C,42.81081447463066,58.768815619836566,1
65+,36,Other,Other,-189.51348623395455,B,B,C,D,A,51.309629520861264,265.54993277944874,B,6.5531798527373395,-53.632950183031234,1
26-35,94,Male,Other,-44.716652627659876,E,E,D,C,B,22.73889467335104,-224.24212466054402,B,111.56047631304705,-69.77611626995804,0
18-25,78,Male,Hispanic,-28.249509894193263,D,C,E,E,D,153.68461510324542,-69.16147051379437,C,-75.67997064142928,-57.09204266448018,0
26-35,94,Male,Other,232.0634749617066,C,E,A,D,A,177.3757449010762,93.57441486537164,E,-171.93073083153047,-91.24371415352776,1
36-50,47,Female,Hispanic,-132.51018910052449,B,C,D,A,B,-40.31153651405928,41.55860126210275,C,-69.61006751108762,-71.46035006887116,1
18-25,23,F,Hispanic,62.10312539016138,A,D,B,A,D,-115.33778087103566,-68.96935527470418,D,2.2414357410175514,-22.853968651471053,0
51-65,82,Non-binary,White,120.95037302249942,A,D,D,C,A,74.52185314186663,-88.94286367396836,C,-50.9043231285117,-64.28672035974294,0
65+,67,Non-binary,African American,48.6363702413508,E,D,B,A,C,-183.7782508435044,-65.97307286024564,D,55.56873519160479,87.00402280022738,1
65+,19,Female,Black,-114.92382292448006,A,A,A,A,C,-60.95606853905442,175.70084293371738,E,-127.81968395540586,92.19875710935749,0
26-35,55,M,Hispanic,-97.65862993959254,E,B,B,C,D,143.50181817534695,85.6967406846527,D,3.9617461114674284,59.33709266647952,0
18-25,72,Male,White,3.9457650155080293,B,B,C,A,E,-64.92230864871294,127.7294221749742,E,-8.204652271709541,92.7053091830909,1
65+,22,Non-binary,White,-88.89859264098769,E,C,E,E,B,-29.36631346344002,123.43258588691188,D,84.32844296137819,-100.69194684097774,0
26-35,86,Other,Other,46.23146730312844,D,C,C,A,C,-258.0283058387432,111.22887568187691,E,-70.24647824850247,-58.5259331446568,1
51-65,52,Male,African American,36.21709771739262,E,D,E,A,A,-127.25978532444677,23.866071690692053,D,-84.43511524646803,29.013798307768123,0
51-65,38,M,White,-5.640877094089022,D,C,D,D,E,207.11434900552507,-136.7903995660455,A,-81.55725725760135,6.61282544100593,1
65+,30,Female,African American,129.84690752823468,B,D,A,A,C,23.459350403452994,8.459715522490109,D,-9.448168549421968,-2.9115335092843204,1
65+,26,M,Other,-26.490430967378458,D,D,B,C,A,43.08426923391477,258.6680689470118,B,-29.48617508793484,-108.34938866890252,0
51-65,55,Other,Hispanic,-4.882171234645865,B,A,C,D,B,-186.38923455574195,69.52179339890262,C,127.50707546897027,-19.919966513478812,0
26-35,82,Male,Black,82.85322138801818,D,B,C,D,D,-39.576328081619714,66.33959004537431,D,67.39431517377245,-34.84157809215554,0
18-25,20,M,African American,-107.76505441474582,C,A,C,D,A,39.990164569548305,-49.781720221147616,E,-28.31008644455175,61.44898042830667,0
51-65,38,Male,Other,198.80477721541476,C,A,E,B,D,-174.95062936905623,50.39339103000504,A,-131.8069512259597,16.30983734560051,1
26-35,45,Female,Hispanic,95.73623227927756,E,C,D,A,E,-143.91143801235177,-2.000788761728098,D,-104.0128569764893,-17.819443590812817,1
26-35,24,M,Other,87.46118721120988,C,A,C,B,B,-104.27217323405715,-164.3323320053714,E,-27.58620165381611,-122.23018306686436,0
51-65,34,Non-binary,African American,-301.7560692642674,E,B,C,C,A,-55.53397503339206,-17.547679536354174,E,-76.86727299170138,-110.96870577964306,0
36-50,70,M,African American,53.24440797128415,D,D,E,B,C,61.46376955474992,33.93202255231891,D,17.618648442470132,176.48451929422214,1
26-35,83,M,White,-114.3899644881258,D,E,D,D,C,195.58489308293477,-116.03804726518948,B,-212.68182861052819,105.54290532035479,0
18-25,50,F,Asian,-60.27481087065063,D,C,C,D,D,-142.81047966534103,44.8936690270947,E,-59.77259234006599,163.9885716716499,1
26-35,86,M,Other,-14.6733691764338,E,E,C,A,E,140.8935167675495,30.62383237888044,E,76.70523607489179,-5.354784649408509,1
26-35,24,M,African American,128.480449990412,B,A,E,D,C,-132.9835459739773,21.141364232024042,C,-54.55129893569281,-128.70690265615977,1
36-50,30,Other,Black,0.24618598255644925,D,E,C,B,D,-52.460811582586345,-43.81349093366456,B,2.15521049474305,-61.48003825958889,1
36-50,18,M,Asian,-45.30931774086795,D,C,C,E,C,-106.6630907651299,36.748338426666955,A,28.00230308642887,121.23546520320754,0
36-50,26,F,Asian,0.952905019388167,B,A,B,E,D,-100.2923745052827,22.127037088537172,B,-147.79146466393945,-7.075114501629018,0
26-35,26,M,Asian,32.002494690487765,C,C,B,B,E,-164.52732227324444,100.09228345958627,C,33.70985155002735,-18.30138626103299,1
51-65,96,M,African American,24.62379334077094,C,C,A,A,D,-12.345063351202763,-81.00403333985527,C,-77.182446656312,151.0261921780838,1
36-50,35,F,White,-67.98796190677837,C,D,B,B,C,-83.25076455560944,40.82754578894151,A,-30.56401735247235,-83.6127145061104,1
36-50,31,F,White,24.117947965793423,A,E,D,B,D,34.12112231426401,-121.45467734527786,C,-180.90340688712922,-31.12851745743358,0
51-65,64,F,Other,-94.88780027753423,B,E,E,E,B,-152.5058819529038,-126.3222548638062,D,-107.08214608233307,72.67748371412456,1
26-35,32,Female,Asian,-106.54671881557205,E,D,C,C,C,45.23035572136358,-104.22155892588407,D,-61.87194817683179,-155.0324046419699,1
26-35,99,F,Asian,138.56789922438534,C,A,C,A,C,-45.8304265763614,82.39311552687295,C,90.83103682609293,139.43502564761081,1
26-35,68,M,Hispanic,-102.88258185982725,E,A,D,B,B,174.2217248351932,-2.4491940734559714,D,-111.50731154777907,20.756067890682264,1
51-65,74,Non-binary,Asian,117.22456015023666,B,C,B,D,D,-50.653172007127935,10.408494936465749,B,170.51217249192268,-39.62128580512488,1
51-65,90,Male,Other,-56.2313778300893,E,D,B,D,E,1.254319656374424,77.59465939433937,D,-77.08353150105202,-89.97037454458285,1
26-35,29,Other,Black,184.21149090758178,E,B,E,A,C,63.878286053961595,68.71752952395782,E,220.63916677916723,-57.25227128370124,0
18-25,24,Non-binary,Asian,31.631682647628683,D,D,E,C,D,214.6800273291269,-41.762806543017376,A,-52.85124653157959,-103.58918147747407,1
36-50,57,F,White,-12.178986422487444,E,B,C,E,A,7.360676633736224,-45.66999620744725,E,-16.81384921321742,195.41679039599165,0
36-50,31,Female,Asian,-45.417675986121374,A,D,C,D,D,-60.919472161623034,18.398833476483365,E,55.36670770597944,-84.04476134142087,0
36-50,64,Male,Asian,40.80862932546182,D,D,E,D,A,44.1309959376024,7.075556831124148,D,-1.007927120071005,298.45963574917334,0
26-35,98,F,African American,61.39570015307194,C,A,D,C,A,-203.25691761965996,-26.6207854752982,B,55.18808067868228,-41.7950620862651,0
26-35,72,Non-binary,Other,32.24917850153031,C,A,E,D,A,-121.27416089129088,-55.72329373592905,D,-166.7553840395922,-96.14139266165988,1
26-35,94,F,African American,124.90961072708164,E,B,B,B,C,5.640317040997236,-92.32501006447998,D,-42.210759502169815,33.5921033956336,0
26-35,92,M,Hispanic,-48.74975347950704,C,C,B,A,B,-72.8125080670131,28.19294627365122,D,-64.2871339557604,35.083414695747464,1
51-65,85,Other,Hispanic,210.52685521041488,D,D,D,A,B,208.87110564439,226.2419152051787,B,85.50725102604153,-139.25955023492733,0
65+,35,Other,Black,119.62976447917512,E,D,A,E,E,34.08276075897272,4.036496009713606,B,-133.26316112817108,-162.17385621989447,0
36-50,83,Other,Other,-8.229550368951317,A,C,E,E,E,82.65413214482992,-83.48354726686654,C,-38.16675219393489,95.12479886016322,1
