disabled,sexual_orientation,marital_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
None,Bisexual,Divorced,B,-113.21259316223468,E,88.48868511013679,B,B,195.9367153868988,-121.73143496191385,B,168.6349404704663,A,B,C,E,-35.248733453886445,-266.2245833665834,E,0
Mental,Homosexual,Widowed,A,59.9044218411125,C,42.536643295767554,B,A,120.9993937595148,133.31662487132752,A,47.780733326483805,E,C,E,B,16.52181816782491,-66.03783687114418,A,0
Yes,Heterosexual,Married,A,-108.85995166916274,E,40.62299144363302,C,D,19.592715983985126,-33.67627498734503,B,-74.33476598675477,D,A,D,D,-109.3387136160385,162.86149110314204,B,1
Yes,Other,Single,D,-67.73041394379639,A,163.17411917523103,E,D,159.3016575344027,237.61183423159622,E,-24.66938112249492,A,E,A,D,-23.383296713624446,-126.91754208178394,E,0
Mental,Heterosexual,Married,D,-29.419337706376847,C,-30.298585066099008,B,C,112.95520465066815,-128.70698230932481,B,-173.63158031548434,E,D,E,A,156.0727022417569,-84.77829949273112,B,0
None,Heterosexual,Widowed,C,-189.02191770453067,E,-27.984196244995978,D,E,-118.14535398746584,-132.35663809541418,D,0.7903853976722877,E,A,E,C,-63.89350969937729,-10.457606320276849,A,0
Physical,Bisexual,Single,A,239.61719415861452,E,7.843025556693261,E,A,64.6955033479892,-78.46470971569761,A,-115.47113843668852,A,B,D,E,45.43505081635633,-67.54242481859754,B,1
Mental,Heterosexual,Single,A,-65.54761845028926,A,-139.7293568150119,E,A,133.0640613096475,-14.738670710996846,E,46.53506875097733,B,E,D,D,40.03861157357165,-71.41282294399595,E,1
Both,Other,Single,E,-260.3573313252265,B,52.496065619328434,A,D,142.7994705836608,63.70713873958865,A,9.497573380497618,B,C,C,D,-39.02305893566688,132.54284172145182,C,1
No,Other,Widowed,C,35.70061509932547,D,-86.11857886110172,A,B,-25.44173173038692,24.284178635518654,C,-77.7860991152535,C,B,E,E,84.16962264030755,12.0371325397638,C,0
Yes,Heterosexual,Single,A,31.161060576539246,A,-37.960877178370396,B,D,48.5652246858376,39.38648558669187,C,34.87033978892,D,B,A,D,-48.36479761917378,58.834243800090526,C,1
Mental,Other,Single,B,-80.90007887553091,A,-83.28234125652038,E,B,162.67533546813578,-43.800277420318636,E,74.69961894830365,D,D,D,B,-225.47212224404785,95.61725567242509,D,1
Physical,Homosexual,Divorced,A,-35.03232956634029,B,19.199717093342866,D,B,-46.893076236804795,-69.6122031218349,B,-133.7957138977404,A,B,E,E,-36.992579194408584,-21.844076064908688,A,0
Both,Bisexual,Single,B,-61.50867147233906,A,70.42307320646205,B,B,-35.40046388342398,-207.48716760790867,A,36.602503194636896,C,D,E,B,-91.78860462749464,-162.40100461310533,A,1
Physical,Bisexual,Widowed,E,94.39222616665965,A,-175.1010458010474,E,D,58.76444831293881,20.031720707484173,B,138.57479731302055,C,B,D,E,-157.05024135606087,-79.79251803222141,E,0
Yes,Homosexual,Widowed,A,-159.7183465585216,C,-43.48185456568117,A,E,143.07212842005868,-135.61542551174242,D,5.542965994229129,C,B,B,A,35.47543145455474,-44.69095190892546,A,1
Mental,Heterosexual,Widowed,E,-8.441644954845158,E,24.433319973817984,A,A,116.09971816903861,169.3245653884529,D,-156.77275467001704,A,A,C,B,16.672883159463638,145.81404048380594,E,0
Physical,Homosexual,Married,D,-123.60622269947672,D,-16.130127197413902,B,C,19.443148610251683,18.333012191900792,B,275.8392195714745,C,C,D,B,55.434649403643064,-59.39768610373209,D,0
None,Other,Widowed,B,-27.958832645306646,B,55.67152744008585,E,B,12.00720183002395,-148.96019348499,B,43.274507333032794,E,D,D,E,-118.47837097394584,-34.79795020429806,E,1
Both,Other,Divorced,C,32.8010292398337,A,25.915699818430543,C,B,93.56867862995234,100.21621646875805,D,106.45490587330781,B,A,A,E,76.38251106154964,-76.1542772182211,E,1
Both,Other,Married,B,-11.979128011737725,A,-77.0841574116169,B,D,56.861315784990616,111.66290039236017,A,90.80931607985957,C,D,E,A,-48.74258486845138,-10.16830174811917,C,0
None,Bisexual,Divorced,B,-34.963847066100975,C,105.69102304614671,C,D,-10.435210600641454,-12.298844985843997,B,-32.28774546686766,D,B,A,D,106.88053710319679,-104.64869309382637,B,1
Both,Heterosexual,Widowed,A,123.50934148818016,C,152.3052711679027,D,B,22.798180739601374,57.31684169758092,D,-22.807210883398778,B,B,B,A,-208.45773410930616,-156.90272045075685,A,1
Yes,Bisexual,Widowed,D,-3.4791653402169205,A,146.00357904750322,E,A,-132.08502571827785,205.2324937397649,B,-21.135713276695853,C,C,B,D,-104.01757620142517,-29.392555586731973,B,0
Yes,Other,Single,D,-47.33967896717168,E,-21.239089905478934,B,B,86.85456473819856,94.48263741491502,B,6.289778962118294,A,C,A,B,24.56620334927895,-21.200956305485157,B,0
Mental,Bisexual,Married,E,-17.967981890576997,B,106.9573501758728,D,C,14.170714753839796,-30.145838749078102,E,-38.06736091457037,A,B,C,E,-102.29604942201237,29.341295236726044,A,1
Both,Other,Single,E,-40.39135418156197,C,147.60829137732048,C,E,106.87104753668952,-189.9714112172887,A,76.62471345856031,C,D,D,D,-149.11968501234924,-33.91039962611022,D,1
Physical,Heterosexual,Married,D,25.98440668124475,A,137.18307401521906,E,E,9.70451163445136,140.01727712601908,C,96.68941295434445,B,D,C,D,16.28729392773752,-131.51370989744282,B,0
