orientation,Age,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
Other,48,-25.253945711348535,A,61.4101070652601,-182.61250689463532,55.90258508123975,168.9656321043651,1
Bisexual,68,-17.779383987511928,D,41.537662242468286,-93.87031588386563,33.605645411214105,12.098291512648906,0
Homosexual,30,-13.940541889156307,B,167.72569955139573,38.84125484957931,79.95869159291209,37.47089356600614,1
Heterosexual,61,-39.470312186629876,E,-193.70185077382166,-141.34432533275847,149.4974270021612,-6.916415860345775,0
Other,55,-139.18091736050656,E,32.98276811871176,-124.80166058271607,-104.31003835118602,-76.28137956469101,1
Bisexual,24,85.87360862105265,B,49.75858253679406,159.3940765051789,192.211917077931,170.57534415048542,1
Other,47,-73.38848926218462,C,-142.4500476859902,50.41758421945591,102.44701389968543,-128.2829337554245,0
Heterosexual,60,-77.5677994882733,D,-59.329617414760726,-18.26991782391504,22.232459620985356,-179.70856671774362,1
Heterosexual,23,129.99132983232113,D,-81.53912637594274,-51.713222470946306,-91.76811748040267,58.15401288609958,1
Heterosexual,64,80.30266834329213,A,-14.476922242967474,-61.11061121262934,-5.885061259857735,-50.5578248502445,1
Other,59,-36.62679738784233,A,139.9796370578835,149.50270210521566,45.02804663907705,61.82521212046437,0
Bisexual,24,125.15931727506262,E,-135.61309775295206,76.94579949743779,166.25889533196258,49.3505593556506,0
Bisexual,51,-54.01527981397485,C,131.6421531711603,51.51737797407083,74.32962736272799,2.700302541790499,0
Heterosexual,74,-229.82201222990787,A,-7.496474399195073,-81.68286511771907,-28.191502189612667,130.20080446718381,0
Heterosexual,38,49.354665392379225,A,-73.81542572454732,4.073960459579664,-85.19582379765167,166.50111012829836,0
Homosexual,55,-112.6271586434732,E,136.01929435931768,51.053333341240894,-68.9849765898123,37.26847235248478,1
Bisexual,26,50.682970601081635,D,-5.882758113293493,104.86021788683588,-64.99019004019516,119.36320039029246,1
Heterosexual,60,130.99834628845466,A,73.30438822419364,212.4506270921092,-119.84019397035456,-83.25036794091561,1
Other,39,-43.10587136854379,C,-43.12721107516346,260.8031518423293,89.26739570623022,50.79271561937194,0
Heterosexual,32,-4.246759844199765,E,126.83782884210373,83.75581839367477,-177.994733795168,-158.11355073255075,0
Bisexual,43,89.07352005417182,D,-108.74760346198728,-180.96050259080695,-57.21280056210881,-114.67121222766703,1
Homosexual,37,-177.9103680492646,A,-65.76977850914652,74.57018231538316,-92.65771231942101,-0.27290611040942375,1
Heterosexual,78,62.20475142566539,A,94.46177269125502,-113.64792796731307,59.65353027470302,-206.0853821625666,1
Homosexual,42,-81.26043649234417,A,-51.25206352561119,31.540543915716963,161.1992093430868,-157.8016219590934,1
Heterosexual,45,18.205194825242135,D,87.34970173534926,103.09881969101534,-103.05796311200035,-64.18949520432243,1
Homosexual,68,-39.74714238287729,C,-70.50165300504595,-186.70645827221182,-127.35339898283509,74.2598720555133,1
Heterosexual,62,98.27963816356787,A,-55.26081142371076,85.73714299020281,-79.36386013959765,-94.33413223258339,0
Bisexual,43,-0.1533250644456186,D,45.63474591745469,-141.09804091922976,60.73065470813275,-45.983533979457185,1
Other,27,9.919491786617169,A,-19.943771717151936,-121.17084224647104,-27.590350528368234,-73.81375956562441,0
Other,31,8.253023530303901,D,-15.637686429347955,-51.97476273395404,-64.3991243326407,19.696025080358,1
Heterosexual,69,-30.15708123323067,D,13.341323305178754,-87.00361553360926,-202.17037328567304,88.54510172326768,0
Other,29,-6.432555554813896,D,-29.424904595257555,-156.1702882133376,41.73253514207477,-23.54435022511688,0
Heterosexual,46,-35.69387311334657,B,56.81185016374091,-96.64045274276546,-6.034271657479671,52.302917124623725,1
Heterosexual,61,104.77151673762472,C,101.24718358549609,-106.50665684717728,26.062798122212495,-1.0117143822454493,0
Other,30,-285.7454888042382,D,196.89876425094553,-73.38595784476836,170.64291790452376,120.12155193334601,1
Bisexual,49,181.04866820226414,E,-67.68478491343845,-177.65508090376014,191.11966963260662,6.64339003128214,0
Homosexual,77,-183.05308748308687,E,-72.22393995842555,96.85678375101243,10.676312153149997,-40.54392173121031,1
Heterosexual,55,52.58571531101144,B,219.51780116865365,-50.72259550627861,-78.8051841219367,141.28039990772788,0
Homosexual,20,-27.913642409420596,D,36.72052535652335,-59.697740620782504,-105.47738385425292,-45.78818327431484,0
Homosexual,51,-61.153053296997406,E,51.90854237471713,122.0739433089576,-42.58928099635904,80.66755124448686,0
Bisexual,75,22.21663604474827,E,5.298733994069249,-156.6977214652646,-20.228626972681322,151.58498731426278,1
Bisexual,68,34.92951203261495,A,45.378742024454034,-120.90931680559223,-86.89701792960011,97.33646465359605,0
Other,71,6.346098939615932,C,-74.49697580686674,-31.082436749291897,216.79542108376464,-15.575458592132499,0
Other,22,55.659020011888906,B,100.20958741615206,-50.03847521273329,52.90327953208279,-82.53035494686331,0
Heterosexual,27,-52.4749475084806,B,-165.47198565810777,-95.40046226637469,-89.2463629008977,-42.92571029025064,0
Bisexual,48,204.4462902689619,D,-176.5188650246732,-78.40107238330444,23.01819338081846,48.408296383037346,1
Heterosexual,18,-48.17507652586798,A,-106.11493980527631,-108.33978326953222,-90.94500689371652,34.58479747005884,0
Homosexual,76,-118.13769468097996,B,-104.88574347983963,190.79476146587447,181.59336472508002,152.92075180222372,1
Heterosexual,62,129.6356650214419,E,-106.41100292727461,62.39862102996443,77.96361150359125,-65.21202780513411,0
Homosexual,43,-79.69155101676336,C,-82.04944619240278,-133.20681061101735,46.7297727542082,38.36241297688508,0
Heterosexual,39,-23.05424582712061,C,42.30073173182481,-87.51679932326692,101.41088792356898,3.626850051788809,1
Other,52,164.09699765682257,E,204.61486783406966,-61.57772509539472,-104.59425078697926,-246.37336474875977,0
Heterosexual,61,113.38129340317633,A,156.180760844687,-106.55443704325991,-165.95104777502158,-117.26795484517642,1
Heterosexual,46,21.054944523908873,B,43.581052427111935,82.0849850146809,-1.5149859670929708,5.808347041980061,1
Other,31,43.45012457648836,E,-82.42737929977923,141.41308680745232,-106.51526071339833,-124.70255573784593,1
Other,73,-39.97148806751217,E,23.223711124416226,-103.92804955505449,-71.95534791312043,-22.738796045643607,0
Homosexual,36,26.24355826983622,E,68.31595939467809,-17.58959188763698,-26.51589147496725,6.1610340956694944,1
Heterosexual,38,-138.60749372757306,A,-140.81144482167255,-56.845240310558346,-80.37615758556906,33.44960077257913,0
Bisexual,48,-18.528835722312202,C,61.86810959857706,14.637841604382567,-112.8077701095324,217.52184866996967,1
Heterosexual,26,-37.558758549196405,A,-97.68560161127795,123.1555155355209,-190.92566482253562,1.0806893773021702,0
Homosexual,77,25.83981196322343,B,-113.98433106976003,52.87972459059249,53.04252403489448,-51.5135460973439,0
Homosexual,76,11.321746353535104,B,-53.36922479694647,-132.25822229008045,-99.36345553274619,44.482365626785295,1
Homosexual,21,-238.5816304659156,A,79.09512175308517,124.87775483140678,58.78782030264055,-44.73992621698617,1
Other,78,-87.54986095408543,C,30.730589202568463,70.2653657829671,33.2598915912352,33.36790646631122,0
Bisexual,22,-14.686447934009324,B,41.736614956072266,-51.880654753943226,-4.767009885020935,-108.99445320576928,0
Heterosexual,49,19.57379023301053,A,-135.7854418230094,36.39556741325997,43.6548213890348,39.54913619520494,0
Bisexual,28,-69.55252995155264,C,-9.074177198719562,-36.95736442604119,41.57894804397941,92.80466250262262,0
Other,21,120.67350915556725,B,-79.6329100261941,83.9759328010824,-62.98808767646261,78.24542178254143,1
Other,33,-62.586308112935406,B,-109.36069651265879,186.53463806388052,61.254611798076056,-4.4989302902683335,0
Other,68,110.39317458965137,E,107.05935672207987,-117.69142655113727,24.32730601472143,113.71809995277107,1
Heterosexual,46,-105.07146857655658,E,42.66289475473742,-80.06524159588896,-58.54592919465489,-73.76407198546715,0
Bisexual,58,-84.67669768413363,A,-70.03999804286254,54.18544178943916,13.631429001853276,-205.0842432434484,1
Heterosexual,22,66.90606773394026,E,145.47657836920013,103.63811470827333,-23.213315403042053,16.816181866502163,0
Homosexual,30,-142.17754195316857,A,-84.03063936827921,150.2003060587384,96.3996207052988,121.08212224183879,1
Bisexual,58,37.03710567673273,E,182.62265379308747,-12.402919203892646,141.73858863252917,6.089599631819024,0
Other,77,47.704411532902355,D,67.17547506305168,158.92265631285497,-49.783270270637495,-14.972009533943337,0
Other,50,-177.05680400965042,B,-50.51646390972295,22.112601629869,46.52849491978804,47.28992997537908,0
Homosexual,30,16.987302004086224,D,-9.633761369746153,136.70123294783855,71.70515319630937,97.24685834665488,1
Other,29,51.10368204023115,D,192.27670220517118,-175.7966723133727,128.15393668314817,-123.08571304980404,0
Bisexual,63,-76.84509125772618,B,-9.496476052471072,63.773906836132596,-222.0851106357788,-51.388163435600084,0
Homosexual,42,84.20712046394682,E,-146.43637810801465,-38.92943592844409,-18.492636052584384,-121.722444998584,1
Homosexual,59,48.634216045797295,B,-36.996453777821806,-11.341153713669106,-83.09800012365632,-117.99909608307915,0
Heterosexual,72,125.71738906820009,C,37.96874455490442,-100.12214464494238,15.550740931752088,-81.47843669077119,0
Homosexual,45,-109.35909890049544,E,-243.94625833787225,67.17880164212461,-45.0084352628639,-372.7284524199181,0
Homosexual,55,54.53636900223567,B,-55.62992637980232,183.76978529599262,146.6384415237795,57.645255243617235,0
Bisexual,42,103.12769611760973,A,-42.51409589769248,-125.98858831834461,-113.375894439199,5.451595783702645,1
Other,69,-87.19120166246014,C,121.33134584198983,45.54862011945033,-220.98077747150393,-103.03183490191101,1
Bisexual,70,-101.7125868539396,D,-60.58758111680348,-1.1350378642102594,119.21774058342478,-67.25382950101205,1
Homosexual,37,200.5228662502847,A,-56.2321277968003,-69.38305035310768,-38.335158708864036,-176.2339704859817,1
Bisexual,45,-34.541272098108564,C,-20.072107608869228,58.4684639821459,-42.68321896404314,42.89907595254024,1
Heterosexual,26,50.72833361160306,E,-25.346880870786055,-27.615263871275847,-8.915102464894819,-23.680574636163925,1
Homosexual,31,-13.542713569363245,C,-214.25436609785424,-33.26665217654478,78.85192266007043,-82.24037946045593,0
Other,70,94.15027572757594,E,-128.9553322119829,-64.65893753194071,-19.83915460168199,-225.38137990518896,1
Heterosexual,68,77.38093964775436,A,134.59008370971273,-6.876617685413598,-60.903788851416415,-36.359649262503055,0
Other,50,-60.197385345167994,A,-9.90714759905841,24.88384663247045,44.67383193868736,-44.49079785538711,1
Other,74,147.41229818698423,A,-2.548239898854799,97.477466610589,-130.4411001672615,56.53380090357213,0
Homosexual,46,-15.78770024217058,B,56.48530477529786,65.39619085200819,-19.471877329470644,-150.8495147084613,0
Homosexual,42,38.67786453762473,E,-17.763014481037846,-81.86736031625004,-82.5829055936137,12.327559584197395,0
