faith,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Jewish,D,55.14446116050489,D,57.75534490958809,-75.52150044855276,B,B,-94.38900381995474,-71.42028110202074,B,0
Christian,B,126.61394197958917,E,-58.6995261519057,-97.03872935213093,C,C,-0.17505623376671336,-154.9165979914987,E,0
Muslim,E,156.71304851926803,C,-58.87678777024347,209.82068494612315,A,C,-11.7119122029163,-91.39651817908343,D,1
Hindu,D,-85.13353910685821,B,-216.65581178435943,-123.33852133460152,E,C,76.1224832950406,104.4354730779833,E,1
Jewish,B,-137.33722093836573,B,-47.41195859610131,-107.34644484008751,A,D,19.914260139694363,18.660989170443962,C,0
Christian,A,60.83031531709909,C,-98.82619289100376,85.87982521740827,E,E,87.5430238151379,-115.5028838062115,B,0
Hindu,A,10.900339767691891,B,310.4440802705869,48.34806950448158,A,A,-20.623902406863564,-67.32648602448027,C,0
Other,E,-77.71867549135064,E,-72.9097003244925,-97.6847751672506,D,C,60.75039742693643,3.0277291757506877,B,0
Muslim,D,11.082092827251925,E,124.02337420718406,-118.11336346477037,C,D,-5.007461076983549,-124.70128759116368,A,1
Buddhist,E,-61.68909282162364,C,2.168957784036901,-133.34303844539625,B,A,35.03709933243335,-13.007815985726767,A,0
Buddhist,C,-60.17972822010804,E,166.70828304448102,-22.95124445109992,C,B,-86.36644531082831,178.3700420714742,B,0
Jewish,E,-16.05385181126948,C,24.43024394882201,-70.33748658246589,E,C,-11.528297692259873,-41.09846511858984,B,1
Christian,D,7.579507564105631,E,-85.77111258930243,17.82419723994767,A,A,-66.10139402683163,-97.58627314024184,D,0
Other,E,-97.77209275063093,C,-21.62943090472603,76.42362144075356,B,B,-45.17266205789076,149.29338010884388,B,0
Muslim,B,-21.42915312050507,C,-100.46029567049268,-24.40281873059214,D,B,30.303683150547155,-142.50389072553617,D,1
Jewish,A,89.31373828651161,B,-4.462163023743399,-10.829806240916405,A,E,158.84882454139105,-61.46474516154623,C,1
Buddhist,E,17.140847944133352,E,69.08239510396646,31.2381948261806,D,E,30.99032469983165,-123.93652690494736,C,1
Buddhist,B,29.033996429882723,D,-43.64420750350945,47.89190815259173,D,A,74.82515960848872,-186.94536199402617,E,0
Buddhist,D,101.63846283962977,E,-13.975868836422508,18.065752282040755,D,D,12.246079733845178,-171.96353159415864,C,0
Muslim,C,203.90989311563948,C,13.217768447348385,-38.500890214488436,D,A,90.96852050741022,-14.590018203647078,B,1
Other,A,95.60130754750635,C,-211.10930672594014,-40.217932860690766,D,A,52.76955586965877,187.69250936564518,E,1
Christian,B,7.839470892980177,D,196.84708807628706,33.81066307701646,A,E,-102.15286564260136,10.0505381351624,C,0
Buddhist,A,3.8934397071321993,E,64.10848314428686,-46.18956371563902,B,A,-47.84498169083653,82.60497727758987,E,1
Other,B,-135.64213344411752,B,-79.83254486671804,-47.34544837739584,C,A,-126.28784281105166,122.08058535679629,D,0
Jewish,D,83.74594554945189,A,253.62728341103926,115.37634153726863,A,A,-11.11472676001451,62.17381369816361,C,1
None,E,128.1232496679174,C,-61.811316401823234,292.47588961770657,C,C,77.31377483935027,63.062155932190024,A,0
Muslim,B,77.93834363884467,B,24.54186100671113,-3.0232741843909388,D,B,-106.79037383017591,-108.31039874209995,E,1
Hindu,A,54.746758332437715,C,31.045007979106753,13.808013535107424,E,E,-28.64393997386881,-156.68508347604728,C,1
None,E,24.507738292998845,D,63.562883477974516,25.695320795545484,A,E,-96.7311743878348,18.502216847660545,A,1
Hindu,D,-2.765388637571868,A,-12.616689904580655,-71.684554195176,A,D,94.18756496372986,128.32253248373263,B,0
Christian,B,-2.6556864793260857,C,87.5729029913625,65.54808974309199,C,D,102.62790741825766,265.3516149707007,B,0
None,D,-6.22063171279044,B,-119.5356855260972,-10.878099995620108,E,A,-103.57440419266601,25.796336302134442,B,0
Hindu,E,81.10591103316531,D,59.51051216664914,66.80480707622138,B,B,-1.5199115468323987,-32.791206062773234,E,0
Christian,D,107.26045589661052,C,-116.21642623340362,73.15189877568919,C,C,59.01893170964918,111.10692028882386,E,1
Other,B,24.716955263064776,D,-38.65898324391869,-123.75880243243351,C,D,10.071430955102933,34.90217877259926,E,1
Muslim,C,-51.41095886744827,C,115.64494227437913,51.659192954833365,C,C,32.006410197925646,-121.91518503525154,E,1
None,C,52.89319140005585,D,-48.10965237954707,-103.69997379026184,B,C,-109.20689140382756,-98.62422163192315,B,1
Other,C,-64.54107610411033,C,-188.33450824037462,215.30358247115367,D,E,-0.8869377621293284,-97.93650596921498,B,1
Muslim,D,98.65128297296941,E,-43.12874604687226,-142.82030080259446,B,D,146.92043533006836,-29.277715411374867,A,1
Muslim,D,-237.29245149621408,D,71.8888949056555,16.639529635188754,A,A,-60.98647348992946,21.28775118844041,C,0
Other,D,29.190664457170033,D,109.02277351011591,-31.87987959686818,A,C,105.62813895542385,-48.950765553832134,E,0
Muslim,B,-43.31592850661778,E,-15.910566662961514,59.461461075007016,E,D,104.57365970423953,33.478792236713986,D,1
Hindu,B,154.06408389944733,A,-94.24736199569445,-124.04527252533232,A,B,52.362517701493736,61.72054584802117,A,1
Buddhist,B,-57.312028339720996,C,-24.677958690132687,120.35442731090409,E,C,-120.49341806873919,-94.06504184638595,A,1
None,C,-4.432363818895438,D,8.938085800306915,132.20398307167898,C,C,-61.499299938832074,-117.40698345017735,D,0
Muslim,B,69.27349428869125,C,175.70479531921782,-41.09190974756466,A,C,75.81761164192842,10.723583166311494,E,0
None,B,56.99831355454378,E,79.93314156818664,1.3588669230049473,C,D,-17.539233547110026,-7.591955371115086,B,1
