religious_affiliation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
Muslim,C,D,B,D,A,A,A,89.8773297125934,-108.4381325680119,B,15.700434762032668,-5.738942653414338,A,0
Buddhist,E,A,E,C,C,C,B,94.55556107566856,162.60418068109047,D,-99.41802402436929,-126.1359191038645,D,1
None,D,D,A,D,C,B,E,-88.5461380919272,182.29530192333127,E,71.95295442697112,-39.872383291845296,D,0
Buddhist,C,E,C,A,E,E,B,-7.177526245255231,-46.4666819849297,D,-79.06867370262597,-36.35255433338193,C,1
Jewish,A,C,D,C,C,B,B,-118.11495779328797,129.31535755651007,A,3.968112949640237,-152.73485294145433,E,1
Other,B,A,A,E,D,C,C,134.38551249543562,-26.475084919661786,B,129.38912750655297,15.154756132518528,D,0
Christian,C,C,D,C,A,C,E,-15.15886081057855,-16.73139227991691,A,-38.935458068425824,53.41901488253175,C,0
Jewish,A,C,D,D,D,C,A,100.25940796175716,-74.54177911409687,D,141.0035013415002,-49.40639093624531,D,0
None,B,E,E,B,A,C,D,92.03125702392573,-3.9231582718933926,B,-96.30462517452378,35.35730119224333,C,0
None,C,A,A,A,A,B,E,-121.02549051326949,148.73605399381827,A,25.19763818315569,-18.96373514975023,C,1
Buddhist,A,D,B,E,D,B,E,146.46359408588972,-54.63741796173579,D,46.191145480142396,-140.0120725978313,A,1
Christian,B,E,E,C,A,D,E,40.52483767209275,-92.8343228713732,D,-62.317973143152514,88.451562193604,B,0
Other,A,A,C,A,A,A,A,31.583979590168344,-91.25109711097221,B,227.8504899604781,26.47443969607684,A,1
Muslim,C,A,B,A,B,D,D,-213.14817936355018,-64.68013261835705,B,-128.6526293969223,-30.45206208424328,C,1
Muslim,B,B,D,B,B,A,A,-103.25191810007976,-38.30098218470961,C,-26.606198737922288,103.79477648747178,A,1
Muslim,B,A,D,C,A,B,C,73.47234307058226,45.7473396381257,C,69.59464480023045,32.0967160007445,D,0
None,E,A,D,C,A,E,A,-3.0663849818324396,-35.689081399179315,B,-109.98175566015158,-66.88898734212944,E,1
None,A,C,B,E,B,D,E,-226.55547260861212,151.22170331291193,C,153.76884854816566,-86.4781207020907,D,0
Muslim,D,A,B,C,A,B,E,-156.28645857224694,29.42979725934401,B,-42.21339661583626,-97.31862928870443,B,0
None,A,B,D,D,D,B,C,11.915594014083048,173.28679115424353,B,-33.56634393167654,-55.4829817820637,A,1
Muslim,E,A,B,C,E,C,A,-225.21179039015658,-34.91526451523214,C,29.192451234451124,73.65399808273105,A,1
Other,D,C,B,B,A,E,A,22.740791229660342,66.44009870049098,E,-57.135571294464604,116.58871978185859,D,1
None,D,B,C,B,D,A,B,-32.67792804051929,-44.35519229215821,A,-36.627297828015855,-58.77130329368504,B,1
Other,D,A,B,B,C,D,D,55.410664194050455,87.5873570872035,E,-149.77615361988072,-29.458385078400674,D,0
None,C,A,E,B,D,A,C,-51.28527753074834,-88.79133729775444,E,47.32872146203994,-37.311499781831444,C,1
Muslim,C,E,C,A,B,E,A,-216.56205275524516,196.05458129350777,B,87.96466324264644,-167.78984074351825,A,0
Jewish,D,B,C,A,A,A,A,81.3180779609145,-118.44152113007613,B,-118.20920483489823,89.1293501371111,E,0
Buddhist,D,B,A,C,C,B,E,-123.63627752761128,-8.356928790763865,C,-53.01102915166891,-48.11270827017557,A,1
Hindu,B,C,B,C,E,E,D,88.62640101579186,57.280318977686704,C,-162.7046850981245,19.264891812592168,A,0
None,C,E,E,D,A,E,D,33.755108882475945,-34.546065314990564,E,-47.75150384762838,100.2209237962243,E,1
Buddhist,E,D,D,E,E,C,E,17.17069061211543,140.41941382298165,A,-170.54313060793572,316.1683096467767,A,1
Muslim,E,E,A,B,A,B,E,109.32034711220903,-57.849231162109696,D,13.948311351121284,-50.118549386225574,E,1
None,E,B,C,A,C,C,C,40.82262431856527,148.56635598805505,C,-2.6881510753620836,-37.84108957025716,C,1
Muslim,A,A,C,D,B,A,A,44.12979792568541,-178.3355991360784,A,-145.03502111843258,-147.87915374368058,D,0
