sexuality,AGE,RACE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
Homosexual,63,African American,-72.47446487032344,69.13600850012712,C,32.532583575385516,71.76400410002294,C,C,-58.29863532873376,169.2175316886415,69.2003221826465,C,D,218.62821153393904,B,115.3239220927468,A,-24.386947113077767,118.31709954428726,48.29125564847013,0
Other,77,Hispanic,105.52078093569716,-76.26929719247127,B,-85.50062161373073,-88.08722829488363,C,B,-48.858876682159924,-13.866220827008204,-47.95712547178237,A,C,10.287953171235472,E,-36.245529359541365,D,-112.49679364003894,36.956765682185214,-19.392510912204106,0
Bisexual,46,Black,66.83582735783911,77.49026960513773,C,90.90472183320153,98.48721319451316,A,E,48.32194249144592,9.480671568284903,20.953014293976892,B,C,146.3263865896172,C,55.37870357681162,D,-37.902967246564195,212.9096303711406,-12.655829476782094,0
Bisexual,46,Asian,-163.32925294360672,31.100698592550067,C,-64.24594216279974,29.440869859390546,D,E,-13.390974151171095,65.48204907551401,-121.45497779236163,A,A,-102.89879583909078,E,17.277052364914965,C,-108.79676419219884,-105.02203421140786,-63.11496451330329,0
Other,55,Asian,-82.56234134109022,-106.4120373645753,B,26.56386984212839,-118.01250218084,E,E,37.39001201216466,125.10100944997318,16.82695903961106,C,B,-185.49587158869656,B,92.62114872079044,A,27.12971485419023,48.989772216382846,96.30693315273238,1
Heterosexual,40,White,108.59006955677177,77.89168665152167,D,46.4895213155153,-169.71387134356095,D,C,91.11767970576973,-146.63354181042757,-167.33841542539358,D,A,56.99116719614754,C,136.94544866956332,B,3.6195529537293902,53.77148908994048,-114.61420049929522,1
Heterosexual,62,Asian,145.32226102433975,8.633254790618503,E,24.09555196207656,-164.38245125299903,E,C,-98.36737487009131,24.295416142588543,22.35239976420519,E,C,57.775886197603164,A,-35.8842065316299,B,-35.04705444016951,-28.49453907764417,-4.1443323098679645,0
Homosexual,23,White,199.2516569631833,-53.119829134436905,D,63.695648083922876,-148.8320821966,E,B,178.78808464482444,46.35621097009947,-161.3699067649756,E,A,19.03872785292013,A,-42.35987198706836,A,-70.38063094980387,-3.984875855068684,-48.181948509500025,0
Homosexual,26,African American,-120.19581416043499,133.50758537025666,E,126.58428378613537,-9.762604874232899,D,C,78.11371913976986,30.45100525446685,57.80423498973503,A,A,76.85603366157375,E,1.272891100621861,E,-134.1144238223444,142.58105376853493,121.23949588558236,0
Bisexual,56,White,72.29988945522558,-21.03046090820016,A,16.76254024030491,-62.02025525360256,B,A,32.246327305653566,-73.08505923459691,-46.66183429826202,D,C,-164.63748657449025,B,-11.231602104553177,E,-27.19617854112612,-226.72999393872826,-86.01854818459583,1
Other,52,White,96.46842088766493,23.543228740116913,A,20.690941083296785,96.20544302162362,C,D,168.42421247538363,-42.40115068251472,-65.72231048393822,A,C,-39.257309748647664,D,-84.91003589343076,C,55.76273401626651,-2.901530952899196,78.03252661932449,0
Heterosexual,54,Hispanic,-56.126458346056516,95.95240945334112,D,-54.502593352737286,44.35548766518191,D,B,125.03774577081109,-21.065335123402974,74.01979665970899,D,B,124.52533689979536,A,2.7087174168998995,B,82.06772647132847,-59.11989544323253,73.89075535621153,1
Heterosexual,36,Asian,74.24419262468878,48.40543879532989,B,-19.67743776217614,25.51442128496444,A,C,37.88103745750735,-127.66936642536044,150.80800461422507,D,B,-132.49714571430033,B,-55.47081210673625,C,-22.790625377918612,-360.82700624567957,-102.44170623860072,1
Homosexual,69,Black,-38.24310187883203,72.54193690795017,A,169.32825707990108,-212.10115761137396,C,E,63.48003443199735,70.55632916632045,81.6883900224547,A,A,-18.776347474395045,C,190.61332000246747,E,128.15926776943735,1.444482896525107,11.443817536478317,0
Homosexual,42,Hispanic,142.79331388765343,-64.15546999480746,C,-18.994670183612417,-7.868845054301346,C,C,-107.557278913059,58.07974024001369,46.746101826112685,B,B,-107.92778246772873,C,-15.160587150953234,B,107.42294580937164,-58.96636689261715,-129.37624894202236,0
Heterosexual,63,African American,-102.54627057748351,73.33346429103614,D,-16.098477209847204,-19.37212807272709,A,A,-114.5994983465373,3.1566642277088954,-3.521647680673602,E,D,40.58749625029956,E,-96.3386428167274,C,0.8888627819626294,136.06935548875464,-6.887404555388235,1
Homosexual,46,Black,-105.19568565353259,123.13381836209732,D,-33.03236866301034,34.81428862294866,C,B,76.09788601757526,-18.7040242205422,8.566049054809241,A,C,-5.903966869655746,B,177.7541605436043,A,4.726647125851207,-54.4102088209294,-42.71680941629705,0
Other,29,Asian,232.0355393281422,149.47229269549783,A,41.13787660861632,19.890812589652587,D,B,28.320489794356618,-67.32148054644549,182.09692108711576,E,C,-127.5701773202784,B,-73.00335347654347,D,89.51497119193917,91.91349286047799,-38.58512776955343,1
Other,75,Black,-153.716251226539,52.33275018627911,D,-79.46434024489886,-96.45031198240767,A,A,-49.024131157320795,-13.658628136559352,365.18318834486377,B,B,4.224002282311614,B,-96.89639305670534,D,99.55124587106121,-29.9012960696935,63.10407191307272,0
