age_range,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
18-25,-29.35902567005942,D,129.42240846850396,A,-76.33149512957516,B,-20.201608629028648,A,-23.568701917208113,C,-131.74111422349364,-103.61142647773158,B,A,0
36-50,-226.52655222594404,B,-140.02403578675825,D,36.17722583346149,D,11.544245078255486,C,105.61076672424687,D,79.83722145724495,154.06051599600818,A,B,1
26-35,32.157280887134654,E,15.783703413236633,B,-9.457178718879625,D,73.10816775618984,B,128.94691700630364,C,-59.06715170257583,-151.8223259594172,A,A,1
65+,-115.37369145656615,E,-147.67476891583132,D,104.67589579025555,B,-114.88393066198115,C,145.4183442725103,A,141.33478711468214,0.32643651370807036,D,B,0
51-65,-17.859553087014188,B,188.00207209206206,E,72.6069704274292,C,-1.5756832838082249,D,11.35040148750062,E,-29.08835457718318,65.99690190801198,C,C,1
18-25,-47.987006994281145,D,-228.78385074018865,E,52.727764488135755,D,33.51161045437666,A,25.82834715783331,C,-72.76454546682058,66.17172122116709,C,C,1
18-25,52.85928674304855,A,10.064554185481086,C,53.574967016810696,E,-137.96347991234867,A,-60.96691922939386,E,89.35998125296078,123.24062099559994,A,B,1
26-35,78.86317466138411,D,122.658571665368,E,-98.65346571054468,D,50.374105702911464,E,143.6309242714326,A,141.08043545940464,256.86977447947976,E,A,0
18-25,-1.4185645365461648,D,-14.82235147522154,E,-107.9379457630617,E,-274.56093248721817,D,14.905019128870231,E,49.606007619587665,-99.59132857080925,D,B,1
36-50,-112.79787109652433,E,85.43204469412423,C,-35.44013455504217,B,154.8011716692419,C,10.672818287724288,C,-4.541069852402132,-2.4716318131850388,E,C,0
65+,-41.808106260800585,E,-98.38899892879964,B,-51.19047262343068,D,-105.51170740204464,E,-95.91866958513026,E,-38.99476180350309,-55.61496269064116,E,D,1
18-25,47.460306826285375,B,-0.6993815127155707,C,119.57923842069376,D,94.9037024133663,D,-50.89647686384209,E,-37.927750416176806,-46.68328296577059,B,A,1
65+,-21.70779121025524,B,-8.101084776079999,B,-29.914491059059127,B,-17.635415855479028,C,109.85018023735577,D,-33.65537063786631,-117.50016700045589,B,C,0
18-25,-169.25693154605662,E,-164.18944015378102,E,21.349745315442288,D,-41.64538640615624,C,107.13656792098647,E,-56.86651830503776,59.5226933655653,C,A,0
18-25,-30.07705993303336,B,-68.91594245745223,C,-1.8230090758467181,B,-251.57787274078203,C,155.2257526674018,E,-83.05517710831903,156.46421903140066,D,C,1
65+,-116.77881847840992,E,-17.618115083538527,A,99.82811328172455,E,37.95524997986771,B,111.02281707428625,B,21.653657619607582,-1.4281847491056825,D,A,0
51-65,-185.24460719201085,E,-2.687810064396227,B,-9.930801936223544,E,-32.42802779565389,D,-164.99267855156637,C,19.06131247460758,-50.42111252590862,B,C,0
51-65,77.86406451333063,A,-102.67324169559674,E,-19.9714411321828,D,69.44953338879589,A,40.52411950924773,D,121.8544005666309,-81.06363636096681,C,C,1
26-35,183.40686764447943,A,-40.493333430610726,A,200.00945719925585,C,-5.949558955799436,A,-70.62299062443651,E,17.170921156385972,-175.54492024036102,B,D,0
