disabled,marital_status,sex,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Mental,Widowed,Female,D,166.46347405715883,B,38.10880849591367,A,B,-119.86028553962768,163.33667652689525,-266.4326424516463,B,0
Both,Divorced,Male,B,84.26182308947453,E,-72.82613434841257,D,B,-132.58152784044196,22.27361801970957,-244.44477735352046,D,1
No,Divorced,Non-binary,B,-144.47074823113445,D,-301.0524744572958,B,E,-12.958149768080554,185.00881298824953,-71.15349710049702,B,1
Physical,Married,Female,C,31.972695820564933,C,-5.2063427425306665,B,C,71.75696035431056,-217.09141956061177,148.02858179877546,A,1
Both,Widowed,Non-binary,A,162.07420504052823,C,-74.63735502455575,A,B,-50.06434365683108,24.934272719338963,128.52440833349613,D,0
Yes,Married,Female,A,-89.40424166826926,B,68.16269789407426,B,B,-48.25558078246197,195.51057163841915,-27.941263016705243,E,1
No,Widowed,Other,D,59.05991874746488,A,10.405009686782577,D,D,65.20165786189862,195.24990589201408,39.494635296552175,E,0
No,Widowed,Male,C,53.139876728997315,C,-119.83028860698872,B,C,22.904602349808865,-167.7781845389856,35.94273160556907,B,0
No,Married,Non-binary,C,-8.814530472210595,E,86.02812765586268,B,E,44.24210938235275,-54.759274226384726,46.97571788581045,B,0
Mental,Married,Non-binary,C,37.93581293151924,C,-31.329077378677155,D,C,-164.1402162324449,12.013541920578536,116.71248500951074,D,0
None,Single,Female,A,-22.06644498752254,A,90.84964601611337,B,C,-137.76346767951014,-40.91830025578799,156.50950448312548,C,1
Yes,Divorced,F,A,46.4644563824832,B,-131.4375239999775,B,C,-40.522625432876,12.88557321249366,9.511325058945946,E,1
Both,Widowed,F,E,46.71180362186888,D,91.92911788962748,A,A,55.6885213551829,-99.95653278765091,129.44303985074458,E,0
Both,Married,Male,D,91.2836504832383,A,-90.43178609032972,B,A,151.76858551398246,130.483126040628,72.38742920840386,B,0
Both,Single,M,C,-97.95739724005699,C,13.001893778748135,B,B,2.9716905904510202,-4.9356515104623115,-89.05541129288449,A,1
None,Single,M,A,161.6855622328038,C,-97.56243048761681,C,E,213.1216501637911,167.34152499977108,17.49911930015557,D,1
None,Widowed,Male,E,-78.10707111243264,E,37.05482114541991,E,D,45.72925762892651,-227.9196861148563,-118.4316622227398,E,1
Mental,Married,Other,E,138.53921971649393,C,120.19503256321373,D,D,59.378353474143054,99.37753160656827,-115.08521036927092,C,0
Both,Divorced,F,D,-85.08625744515535,E,-49.671097525764246,E,D,19.93813226932977,70.85544247673053,181.50154633501015,C,0
Both,Divorced,Male,E,62.30500741963385,D,136.9283852781542,C,B,-15.420925468585663,6.642003485445093,-31.18815781364588,A,1
Mental,Widowed,Other,E,-205.98175726767184,B,-54.040730611793904,C,E,76.41161421030466,-73.17035312753138,16.594068642900137,B,0
Mental,Single,F,D,130.85966671641594,A,-32.046492271979496,E,D,41.51974178279167,-43.999206676731994,-80.19216579046281,C,1
Mental,Married,F,A,8.206516318212891,E,32.335845137449276,A,C,55.89146590695891,-113.15336779385174,5.635037642068251,D,0
No,Divorced,Male,A,-1.4932694346063855,B,76.886413990697,E,E,58.339742928076376,-132.7348836582906,98.4336221260143,A,1
None,Married,Female,C,81.22452079910406,E,-141.17162470032883,A,A,-5.488337544451281,-8.731799236180287,94.86492102167155,E,0
Both,Married,M,E,211.07182458017436,C,-347.4059821382242,B,E,-109.30651662336778,9.959537464068173,-194.20361375349486,C,1
Physical,Single,Female,D,-54.340684217431836,B,4.921997000526308,C,C,176.86629266719478,157.43173411065044,-139.61359723896385,C,1
Both,Married,Non-binary,B,118.17777705183627,D,-8.607740035357649,C,D,25.64636145090562,-83.36798799177718,-1.2457163346558071,B,1
Physical,Divorced,Non-binary,A,18.25912924586664,E,157.03480085268745,A,A,-113.36177634015839,151.1804544162498,-88.95649582271048,E,1
None,Widowed,F,E,12.483990604778635,A,269.31320900570046,B,B,62.990257712210266,56.92882564024331,40.87277481364474,B,0
Physical,Married,Other,C,230.66722414771928,B,-21.72415769442803,C,E,179.31197358305207,16.878599330305253,-59.87374662371704,B,1
Physical,Married,Female,C,181.390560750001,C,107.14416900867711,C,A,77.20030254719809,33.63516755597475,-101.60437210475743,B,1
Physical,Married,Female,E,-73.77154033982953,E,-42.78516487237963,C,C,-70.77140137611245,77.30058092209502,9.461119318761032,D,1
Yes,Divorced,Non-binary,E,-96.3431278667396,B,79.538873998543,A,B,182.47409364360655,-55.383891070615185,-34.651364362399526,D,1
None,Divorced,Non-binary,A,29.881421127279523,D,-4.000283902829358,C,A,132.3265125391697,-143.87766280171314,142.51016933528342,C,1
No,Widowed,Non-binary,C,6.670759860070397,B,-97.71833441901661,D,A,-116.72239768608313,-7.060460961343322,-40.68794456361427,E,0
