veteran,Religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Veteran,Other,C,A,29.208633965030632,30.563786024177237,-70.7530841238577,-2.7844415268929508,A,25.556715361702437,E,179.64005115634035,E,-41.10859097241618,C,D,10.039287477098547,B,D,0
No,Christian,E,A,-41.480236484089666,-102.59843486974731,-15.167826363428766,118.66078739720199,B,-48.44588770160916,A,79.73999089522819,E,-59.46249658347392,E,E,52.716653573513774,C,D,0
Yes,Hindu,D,C,54.79861823969866,-6.2011831993240865,59.969464265710684,48.41546625177255,C,-21.289846289891468,B,65.18345615584718,B,-155.58716899438775,E,E,-72.54474448165905,D,B,0
Veteran,None,B,D,30.862052559679316,49.24705410908154,-12.949221164033538,58.707783453273166,B,-141.10310877882392,A,121.06642480782197,C,210.54148090279975,C,C,153.58785641304323,D,D,1
Veteran,Jewish,C,B,-74.20825495895433,-134.91121868557386,122.56581802114275,17.886187040959467,E,91.84259066222197,A,130.88309013999606,C,-18.627262581382322,E,C,43.00705547730896,C,E,0
Yes,Jewish,D,D,82.86428037009131,-1.6325949690576915,-2.012729511468819,89.9510451699061,A,-22.520981277097764,A,-133.1471330375799,A,-5.212277042655048,D,E,-129.17316956837848,B,D,0
Yes,Jewish,B,C,10.304294108439542,-15.690631926484544,52.5055139511576,20.54405921702983,D,122.22500958183484,A,-36.98767332515426,A,23.46116617907643,A,A,65.98132962627614,E,C,0
Non-Veteran,Christian,D,B,-29.536843688347915,91.8589745064005,-82.62039269362896,-59.6088477925522,E,66.16875804292033,B,198.9638681083586,B,106.64080216281408,E,D,-65.11281033438976,D,A,1
Non-Veteran,None,C,B,30.28462754313697,-24.041886956924962,-84.5882976752666,61.81992536049468,C,-85.51342494612034,B,-165.32206458909454,A,-101.91967544447893,A,B,159.83593930080684,B,D,1
Non-Veteran,None,B,A,-158.3186173847239,-110.19782809145482,22.22495034709305,99.98526710999239,A,97.59461757613609,A,257.4927767449792,B,-48.12689385954798,C,B,-29.834952893919297,D,C,1
No,Hindu,A,B,-12.252316064444626,-64.0468537834263,75.8709733661084,202.6973059731144,C,-73.50716396069559,E,57.8030084680733,C,-120.19884085230915,B,C,202.24617175264802,D,B,0
Veteran,Other,C,B,20.2808263079016,31.09474077403534,-161.49980724305385,-153.92953543449684,D,68.96765145532677,A,-58.961033433804054,D,-206.97574248561256,D,B,-1.0959058566027202,D,B,1
No,Buddhist,E,B,205.21181264893698,72.84422813688487,-69.42795245535298,64.69863577091314,C,91.75404481618085,E,-79.85559434379955,E,-51.007696001459635,D,C,290.50999287368194,B,D,1
Non-Veteran,Buddhist,C,E,63.057874139798066,51.83769831153791,-53.674310476187294,-33.03547668878451,D,-72.78411647502456,C,-145.33502674498,B,-196.70890642397805,D,C,-133.21435114244218,D,B,0
Veteran,Christian,A,E,-69.08306897132626,-121.03379172253821,-98.00168243942038,102.0338223106462,B,188.83219620705376,B,34.534670427017275,A,-66.77703188099325,B,D,-16.17183242945238,E,D,0
No,None,A,D,-75.14497288442597,-67.08916744183098,-146.9770996816471,-121.98776027272214,D,86.00412680060981,A,121.0083044715444,B,98.38432106494886,E,D,-85.80180663815689,B,B,0
Veteran,Buddhist,B,C,-20.425204757680774,79.10382234602902,-33.35022222550278,-29.848779375635644,B,-76.6358177228177,C,-112.03933694949441,A,-96.47679699324796,C,C,-12.323996420726914,E,E,0
Non-Veteran,Hindu,B,A,-41.44806016688994,-132.4302534934275,-20.25849981745046,7.595637707694007,E,57.479344739801306,C,-35.16941962358884,A,80.226403223108,E,D,117.80428532883249,C,A,0
Veteran,Jewish,C,D,-157.81695229228123,-160.191288143962,-222.60450358833887,-146.18049923977372,B,13.672452057555521,E,28.11982449195017,B,-8.260033304951115,E,E,-64.94171957061099,E,D,0
No,Jewish,E,D,29.601800660783617,20.209245497828725,11.654806875760336,-54.9245285939613,A,105.78408448301317,B,113.32051104071267,D,109.70896748027705,E,E,113.4543364563753,A,B,0
Non-Veteran,Other,A,D,-100.565193222813,-53.99403932594683,58.50626000013024,19.881014703228132,E,-38.60393932536946,E,70.39974194090406,A,-158.18064543707118,A,B,70.76869295887967,D,C,1
Veteran,None,A,E,-51.24017484057208,44.63176348436295,-125.68051950297294,-106.08291075472907,D,-45.52323952373865,E,-43.44916585989986,E,42.62130894562869,B,D,-8.004446127359799,A,B,1
Veteran,Hindu,C,C,47.65586388248722,-133.09559065449957,-254.65439536489995,-136.71036039814408,B,-151.90619698871464,A,2.700911199652321,B,-107.07330105423138,D,D,-54.95923450910445,C,C,0
Yes,Jewish,D,A,88.9472489054709,56.11791440629841,-140.3591706088267,251.08755090127056,A,-10.095507610972689,E,-257.22974414691924,B,-14.094932820835526,E,D,-27.335568955644302,B,B,0
No,Hindu,B,E,18.157501156392037,24.45661355400617,-92.44850903329265,98.58059923444802,E,236.83441046086878,B,82.6862298105633,E,-140.89837433447204,E,C,63.48217248436253,D,D,0
Yes,Christian,A,A,-79.73559460999451,-109.41129382094579,-29.04309692931178,215.38790466650624,B,6.696245009172314,E,255.00887955528248,D,6.304806160273352,C,E,-3.885478188494761,B,B,1
Non-Veteran,Other,A,E,-22.711499241849477,-169.60344959067695,130.49979335663247,255.86296113815771,C,49.661290642166186,A,-37.4559811682936,A,-122.78236809661355,A,B,-109.61989288552658,D,A,0
No,Hindu,A,E,-110.13791951305012,-74.85218112982143,-35.93284256715455,40.295548991746635,A,-112.25231107355648,D,-43.382725421503594,E,48.869768861513855,B,B,81.27703421120805,A,C,0
No,Hindu,E,B,11.116848605085766,-71.77303648317427,-10.21309027882858,67.44671429394522,B,17.568800249953448,B,33.1849371186955,A,9.779521723732525,B,C,-90.53415626987548,E,A,0
No,Jewish,B,B,54.11083782701588,-93.24406864647065,-51.62269133534546,63.256571786274776,C,36.47342026732828,A,223.57818184829364,E,-27.1806344989976,D,C,-196.35882874759827,D,B,0
No,None,D,A,51.580942711526546,50.37182034519613,-60.05012781418526,136.71389094484815,A,-17.093879312229962,D,-0.9960991925118371,A,-164.79623100149036,C,E,67.6294596994415,A,D,1
Non-Veteran,Christian,B,C,-4.049593484852565,-75.68827518774397,106.4808215522746,34.976843557175094,A,-135.545991504216,C,-74.3131426567831,D,145.56306568483376,C,E,72.17204032795816,A,A,1
Veteran,Buddhist,B,A,43.293796514965024,-32.31841823959614,87.42852410553361,-23.12639024957196,E,154.19271113486798,B,26.479950318890573,A,29.551043161409684,E,C,-141.12922595233883,E,A,1
Yes,Hindu,C,C,-220.26494971668552,-30.342689199313927,77.27584426688482,-21.790767881209835,A,109.15208087308832,C,250.91612923826733,C,154.56053597934692,B,E,-1.0884186008849857,C,D,0
No,Christian,B,E,-202.7506510257829,-82.42538459335196,-35.1444883484201,-172.46120391663567,D,-163.69559067846774,B,127.69753394359051,B,-80.17552332556664,C,B,80.89758592415014,B,B,1
Non-Veteran,Jewish,A,A,-63.25369895685543,-64.86793272060144,-40.05056885270869,68.57540314703607,A,25.24146915851298,E,187.37984570017804,C,42.60570875143967,D,A,-17.08570203619186,A,E,1
Non-Veteran,Buddhist,B,E,-56.35706710229468,19.988660687178452,184.17218101605553,1.6449737199759216,E,-24.818329254325903,C,-110.24279313844573,B,-22.475231126707556,C,B,119.10203485665818,A,A,1
Non-Veteran,Christian,C,E,78.10567010863615,-113.00447817454142,-117.375069912142,28.001961837320525,B,-21.859630475862428,C,-22.283153885410137,D,111.29838430474494,E,E,-50.16598005685673,B,B,1
Non-Veteran,Jewish,C,C,90.07258439485794,100.04158065594457,-30.82662571456533,193.00676588712417,A,-147.22920075335364,D,-234.69282491048688,B,111.16946980204072,E,E,15.802005663085627,D,B,0
No,None,D,C,-146.08804867231905,78.71944664611912,-102.4935545759184,-256.08402202891307,E,-124.5592100240613,B,-74.25207091562804,E,7.140007380272557,B,A,-1.5304572553002496,E,A,1
No,Other,D,E,92.73371684864806,-29.03686408249792,-6.4124660048620274,43.54960953850836,D,78.46623806350087,C,-36.07804399049023,D,109.68038418230822,A,D,-4.570179024549835,B,D,1
Yes,Other,C,A,-102.34141244494683,28.97821026663977,59.613930506571776,-315.46666345035817,B,42.579706907656835,D,-196.57065539414438,E,91.04967208233128,A,E,94.16259170113521,A,C,1
Veteran,Muslim,D,D,14.291339581656604,53.05602488416592,-85.51062623523667,105.05776484079333,D,-91.72374724801736,E,-8.38220043253516,A,-22.070736435415352,B,C,16.776428377113383,A,B,1
Yes,Other,A,C,160.5054985544247,98.01975690929443,80.37049451501113,-6.92006404405053,D,-78.19992807277852,B,-51.607002798207034,D,81.04476462055617,C,D,-28.560720536029,D,B,0
Non-Veteran,Christian,D,D,27.726202739906658,-167.87567118358396,-89.67666534497369,-98.96761406429175,B,-198.02348783427072,C,163.44838774230593,C,-169.5429555666773,C,D,28.044074166026693,D,D,0
Non-Veteran,Christian,E,E,-5.5945682375627515,-69.0234927377526,-87.3566348789184,-10.737684001801243,E,35.36888266894011,E,116.12688336399002,A,135.39306199149414,E,D,-13.884526455920188,B,E,0
No,Hindu,E,E,308.47828365908015,-93.41808346368987,77.77544353402423,50.0647343338309,A,-106.85792741142335,A,-69.04498674134582,E,-95.75035815637806,E,D,-90.35896648363114,A,A,1
Veteran,Muslim,B,C,24.173306375929087,179.65669801679635,70.05114468237306,-38.33241872805379,B,54.616618752537946,B,-80.60615949965364,B,-295.0624107940247,A,D,10.004178446835983,D,B,1
Non-Veteran,Hindu,B,D,-35.65477588270271,34.772573614211375,54.52450799806998,-104.79781452402096,C,7.03156058733044,C,-131.50015955084746,A,-108.42746902962008,A,D,37.53913106216867,A,A,1
Non-Veteran,Buddhist,E,D,4.817460609212563,106.03059235308679,-71.043222604134,-63.62452564398692,C,35.0699631185462,A,-143.05487615812612,B,-97.44908766551976,E,C,67.82533519215622,A,D,0
Veteran,Hindu,C,C,-13.625548259870182,-63.26053978952273,-12.694531032305159,-56.252013873629714,E,-38.73272705043762,D,175.13359756504886,C,-53.33222226105154,E,B,36.979748779347474,E,A,1
Veteran,Hindu,C,C,-92.25481030934101,194.3966191553003,-138.4132434487423,-74.66711875594541,A,-36.64616513064548,A,-112.4002775580257,A,48.490085938455145,A,B,-13.638773863089842,D,D,0
No,Muslim,C,A,-123.02918004921935,-158.59457249765302,77.06474094295721,-92.04894948843409,E,22.57811647127089,D,49.66297468859226,D,17.771461916796223,C,B,181.66528913112262,E,C,0
Non-Veteran,Other,C,C,-79.785304361589,146.6958044568588,-62.36053251755882,-182.29590493286685,C,-0.46805365732822724,B,-10.849439270997719,D,-63.609020124240246,D,E,69.54598811131851,D,B,0
No,None,D,A,37.22591124100742,-194.19537721614896,-95.92799576276674,-140.04592428566576,A,-50.827126797930156,C,-158.10825403721623,D,154.59280536666554,A,A,-39.13405076095401,D,D,0
No,Buddhist,E,A,49.06179170498563,-40.41010815324277,21.839269770312995,-68.11869730267586,A,-0.8695045507725615,A,-86.37343483653808,A,123.09955601625676,A,A,140.34688782061187,D,E,1
Veteran,Jewish,D,A,140.67353153248098,130.8144012416569,-206.6026479462121,162.68665269558812,B,39.34910018124153,D,-58.56394050677615,E,-12.630577007060309,C,A,27.479153900075193,D,C,0
Non-Veteran,Jewish,E,B,-16.49792469210623,-3.777426168383126,77.87941858583513,-35.46560433310913,A,-109.64768214633463,E,-20.791454003419314,E,62.76496873876616,A,E,6.990807887938458,A,E,1
Non-Veteran,Other,A,D,113.67505350450205,-166.8630789103077,-1.1319092355565352,-21.973753720554104,B,60.819847385218715,A,59.71004919150841,D,17.86391435092742,A,B,-154.03533202013668,C,D,0
No,None,E,E,194.22827210709235,-42.625720837302616,-7.996698624699046,-57.490215784192664,B,101.7821540451399,A,-80.49957476262263,D,42.43341604489622,D,D,-32.53589614566862,E,E,0
No,Hindu,D,B,13.871904232824367,34.03911641469099,-158.1055332647881,-39.60029757561294,A,89.87936579011013,B,59.06511630724012,B,-130.18263559824115,A,A,129.39815997546197,A,B,1
Yes,None,D,C,-33.77978925984995,116.07618257853545,105.30811278167928,146.52707748083725,B,-101.44193378647795,C,79.25290195883885,D,-88.61144281281793,B,E,-5.159672107659507,B,B,0
Veteran,Other,A,C,-5.7543078679021935,69.15868190681852,158.3087833329824,101.93089502425529,B,-37.76995924130854,B,50.484132641293435,C,71.54775015161997,D,C,103.68037752977712,D,B,0
No,Other,A,C,61.92480724215022,-65.26642396990577,-198.14253178865252,292.3775713150912,C,-110.2348357099177,C,1.596922927437232,D,-46.15447082363333,D,B,36.1767361464876,E,A,1
Non-Veteran,Christian,C,C,-13.195533289694911,33.33676889580334,29.182377266972242,-94.87103363586819,D,28.86223577303479,C,76.65956200648233,E,-120.13314764313539,B,C,32.34787786024,C,A,1
Non-Veteran,None,B,D,60.0035279681226,19.343763400926584,-114.84417559668758,170.886241883073,A,-46.10189851828222,E,48.762301361205104,C,-52.6015237322385,D,A,-104.76781853698192,A,E,1
Non-Veteran,Christian,E,D,-26.304121807486187,-9.997521892350045,-66.83102197432997,184.59403056929045,D,45.096765908401224,E,42.98481541371723,B,-0.94654675988581,E,E,-36.118411784580054,D,B,0
No,Jewish,C,C,-16.888510854106535,83.44619026276806,88.61783493845986,-109.80627225449604,D,-67.28685158356949,D,-151.85904839429165,A,16.796763127617247,A,E,103.66873118906656,E,E,1
