marital_status,AgeGroup,feature_0,feature_1,feature_2,feature_3,feature_4,target
Single,18-25,-182.33157970991604,A,-104.52517315723058,D,-164.92710954891984,0
Widowed,26-35,-98.78493379945482,A,-16.233965233525634,A,-84.44419051614895,0
Divorced,26-35,-22.941440815978538,E,-7.01558664399405,D,36.582081870635804,0
Divorced,26-35,88.44262710611521,E,-50.78077032802538,B,33.644747511164056,0
Married,18-25,70.62549950646407,C,-194.87141216757902,E,162.4438684470353,0
Widowed,18-25,6.943503306224306,A,-179.84327275998672,E,137.91455224395716,0
Single,18-25,-251.28372860431267,D,4.147775978097108,E,118.4460600569829,1
Widowed,36-50,75.17248786315118,B,-7.7517693989837975,D,-57.66477154592978,0
Married,18-25,59.98488707399826,B,-22.82788835981081,E,154.55797535109596,1
Divorced,36-50,-31.982004146553027,E,95.62760501289587,B,125.29209212257759,1
Married,65+,-84.28302523193611,B,22.38532190080875,B,-133.0626927856454,1
Single,18-25,45.484010987324595,A,228.87415705032907,D,-72.36003453033759,1
Married,51-65,-40.406483891831506,B,14.124282822053184,D,-41.20626349628543,0
Single,51-65,-22.30843283549582,A,179.32377408395473,A,140.57381013066401,1
Married,18-25,113.95520694151398,C,-0.3813928727412597,C,134.3554410272247,1
Divorced,26-35,244.89411568278788,E,20.681159960332693,E,73.7397491810092,1
Divorced,51-65,92.42858870803636,C,-30.152736775370396,C,-119.04648685864385,1
Divorced,51-65,132.14204124032796,D,-63.59573213837497,A,-111.36233727735913,0
Married,36-50,-19.539783933216118,C,-51.30477757063625,A,3.8480775435495906,0
Widowed,65+,148.65222116152916,B,97.09179249057989,B,84.55716371987452,0
Single,36-50,230.64678810528628,A,-77.26085817707282,E,45.83999785250332,1
Widowed,36-50,-142.5157768876397,B,171.17706328717756,B,-19.871903684897006,1
Widowed,18-25,155.33148839347172,C,223.48734694039655,E,59.42847550674719,1
Widowed,51-65,196.68726561788696,A,95.22172660529948,C,-33.47672322288393,1
Divorced,18-25,60.86689223641588,C,134.81030471986455,C,33.35551095393264,1
Married,18-25,48.97191490787355,E,-55.893096110129534,C,102.88183956995955,0
Single,65+,40.215351024577764,E,118.27432508725246,E,279.5394516560979,0
Single,26-35,-3.2991851864472053,D,266.57446511925707,B,49.662533593565335,0
Divorced,36-50,8.199578388789412,E,48.484595230511125,D,-86.0207982699941,0
Widowed,36-50,-3.2971840975412747,D,122.34630488431284,A,-11.192394673038937,0
Widowed,51-65,52.680918260560794,E,-90.67372921068988,C,-0.5688883287407265,0
Divorced,51-65,62.018182420181446,A,-7.9789276141183505,C,44.94693261536465,0
Divorced,26-35,25.272373039477536,D,108.71537591891351,E,44.206361080861925,1
Single,51-65,-49.247413572967666,B,-61.0041392252082,A,58.688213573024086,1
Single,51-65,69.5445532014031,C,-109.99552608048613,B,36.41570403363439,0
Single,26-35,22.75436343904679,C,299.1760083653605,D,-22.424123893818244,1
Married,65+,-134.90705279840566,B,5.202618177870734,B,203.3329034052941,1
Married,51-65,129.99090350790925,D,45.39558888204546,C,-58.772158711696555,0
Divorced,36-50,-174.13780264200915,B,-142.1370082309751,C,-14.54433632709747,1
Divorced,65+,33.6891660113206,E,12.593724835234955,A,-26.967164357569068,0
Single,51-65,-71.25395969446687,B,51.93870134778442,D,-208.64539406001424,0
Divorced,36-50,44.97553759368007,E,-90.97739719300299,E,-16.145598515389604,0
Divorced,26-35,74.93340033753677,A,95.9261371559848,B,5.136947742358889,1
Married,65+,-69.62224383798913,B,-94.49487888214496,B,-70.69902764867018,1
