religion,orientation,military,age_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
Christian,Other,Yes,36-50,C,B,D,C,-15.437664726080305,E,D,D,-17.860302570276204,31.61580890806841,C,30.705110883914227,C,A,C,1
Muslim,Bisexual,Veteran,65+,E,A,B,D,101.66638027054931,C,E,A,-186.5261418775699,77.76138979917705,E,-46.56108662387786,A,A,A,1
Muslim,Bisexual,Yes,51-65,D,E,B,E,80.24067552080237,A,C,B,81.94748771014541,-48.66347996510694,E,82.84603846697341,A,C,A,0
Buddhist,Bisexual,Non-Veteran,65+,E,B,D,E,125.77521724059413,E,C,B,-67.9983281349902,-33.297762355195886,D,-78.79974593491609,A,C,C,1
Muslim,Other,Non-Veteran,18-25,B,D,B,D,297.35594991161804,D,D,D,114.96458148056654,-8.75121803878598,E,-154.56697130648328,E,B,D,0
None,Heterosexual,Veteran,65+,D,A,B,B,68.08079983931472,B,C,D,69.19050623594639,21.044631666128268,A,36.404310218986204,C,B,C,0
Other,Other,Non-Veteran,18-25,A,A,D,E,-6.990350728858892,E,C,B,73.13090264033256,-173.77681361461785,B,-20.705154433355787,C,B,D,0
Hindu,Homosexual,Veteran,51-65,E,D,D,B,-7.479660331493243,C,B,A,46.23440690867076,-119.66390536008672,B,-117.2687750400909,E,B,C,0
Christian,Bisexual,Non-Veteran,36-50,A,C,D,E,21.817103640881754,A,D,A,-47.84961631240139,-2.9614736287947907,E,-131.52555648768194,C,B,A,1
Muslim,Homosexual,Veteran,65+,A,D,A,C,-69.95019889969147,C,C,B,21.395614414951993,50.14269410409739,E,-118.68891314027312,A,B,C,1
Buddhist,Other,No,51-65,B,B,A,D,188.147567662715,A,D,D,33.97710819770421,-17.079507602435996,B,78.61072358803565,A,C,C,1
None,Other,No,26-35,E,E,D,D,-14.751423534434041,B,E,C,196.71781163887013,-51.414165722038504,D,112.1810940991436,C,E,C,0
