married,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
Divorced,79.54524689166631,C,A,E,D,B,D,51.01558557555872,D,-78.27019737186606,-143.74933391290278,A,A,-41.455887938270536,105.22602830032348,-109.34114721249824,1
Single,-148.46171489336078,A,D,E,A,C,E,-51.18826910473283,C,42.59445211577708,10.016581166565022,E,D,36.72233081783863,-35.268568252308754,54.786008544065645,1
Single,-63.09772747832215,D,A,E,E,B,D,-158.26905505654375,E,-35.81968925686164,-28.510629043895946,A,D,-73.41707160307165,-80.54846100046483,227.08645559024148,1
Single,-102.04894505682009,C,C,D,A,E,E,41.69094760347275,A,-18.593429026641164,61.18571316714966,A,B,159.2288899166209,-105.17386983727599,87.9236249316945,0
Divorced,-122.10779776505424,D,E,E,C,E,D,-88.29640745341456,A,122.31183220895869,-23.332681346393073,E,B,-4.0890904936680545,-20.4836313772216,24.601608975818,1
Widowed,-84.62137229822243,C,B,E,B,C,D,96.2419958819943,C,91.39631056208347,-193.02893568312953,D,B,-109.77121561932354,106.35120596379551,-103.45835924622268,1
Married,22.679044330573237,D,B,A,D,E,C,70.92015033530042,A,-29.384776248599852,-136.71723698740266,C,D,-171.51184961835554,50.88723991786288,14.829203225896487,0
Married,48.185461321106544,B,D,B,C,A,B,-182.37187172688328,E,38.56497722433053,160.056467363122,A,B,-17.94507146112774,-2.4267141910107206,-29.68445974766335,0
Widowed,28.124683463106404,C,C,C,E,C,E,-237.1777667887521,B,46.55361968552898,33.390505685844346,A,C,80.19670544570899,-63.787522370728844,-79.21565940539197,0
Single,-12.521722681051479,B,E,A,B,E,E,29.949536239842995,C,-60.743950483582545,54.34995315607183,E,E,-48.21908491770974,-49.47599055042531,5.145303803073618,0
Single,43.08351017627136,A,C,D,A,B,D,56.76367796604289,A,64.00667734878323,-92.62381635264583,B,B,4.837418044939332,-27.587804986957075,-53.37957340205247,0
Divorced,98.16267137768428,B,C,C,B,A,D,-148.81042482767526,A,107.35039015249308,-4.775560117291019,D,E,-107.38193793635904,-146.68630643937252,35.81484343965056,0
Single,45.25219940549815,B,E,B,E,A,D,69.62563592434581,E,-17.810526899729982,32.12965012467853,D,E,34.31692633844067,30.624947081171207,28.89678691641167,0
Single,-179.39835991421086,E,C,D,B,C,A,58.0734616862955,C,-155.86590037892424,245.37819434697363,C,A,7.5536307531102755,65.61148897169926,-16.29105213233685,1
Married,75.88801896043805,B,E,A,B,A,A,-47.785315600436824,D,90.678852806155,125.77550067430381,E,C,171.08138973859909,0.7510840233296987,52.737724055589254,1
Widowed,-66.03510471888944,B,B,D,A,D,C,-95.19488413382759,E,-26.425855683417076,-3.9199635902000907,B,A,15.707601777072968,97.52514310965994,-28.54351939109795,1
Single,-146.6259940931367,A,A,C,B,A,E,194.63750969864336,D,157.85796950068666,44.86647155019652,D,A,-103.5630178324657,-15.74793767539214,-110.264704684665,1
Divorced,-69.55904356824938,B,A,E,C,B,D,70.63163257767677,A,-224.80828714915538,-56.681590530362215,D,C,129.963730188502,-29.63511062724362,86.66991922393457,1
Single,64.80350538449984,C,A,A,E,C,D,71.70819378142991,A,-79.49093927233251,-28.669753110634023,B,E,6.553075954182871,-192.7760088518319,108.2411451900338,1
Single,-57.81111122814691,B,E,C,C,C,C,-65.74703781046104,E,2.8598315332909565,-41.81173905840429,D,C,51.42552882672741,-44.847960296569205,-49.91086463005169,1
Divorced,32.172110599389804,E,A,A,E,C,E,45.71148096398445,B,-29.69659918798938,-43.71529906088455,D,C,-227.50086939744048,-52.57177066100623,75.6340796888874,1
Married,6.638195713343836,D,E,E,D,E,D,183.21696227249225,A,98.75733261219597,-3.9588973337424225,A,C,-93.95024297343268,53.01920100464748,134.27558165943958,0
Married,-40.152657071504315,D,E,A,C,E,D,54.95639900860251,D,-71.9934729859329,-74.56332867242878,B,C,-75.18799023957993,-34.46583913493724,-129.96222091157782,1
Divorced,-86.81913632611096,A,A,D,E,D,B,136.77361517417063,A,125.43852414237575,103.26321567978324,E,B,-1.2589393207056148,205.29269471579977,-32.40448596657453,1
Married,153.42715361825364,A,A,D,E,E,B,10.268809943515441,E,-79.00931799809786,-149.08415592728025,B,A,-73.23032897000795,-40.44263051195254,167.8679083142717,0
Single,-64.46448204118363,C,D,C,D,B,A,-123.89717439053152,A,59.2506427382313,-49.86665359643394,E,D,75.45074008551391,-89.39135507582792,-276.6964378838009,1
Married,-20.757745020407608,C,C,C,B,E,D,-38.608162952735164,B,30.96149787326793,-145.67878312398366,E,C,60.82307955638143,14.57318168181827,-94.9560607439296,0
Married,104.46828476496117,C,D,C,B,D,B,-25.507354412304217,A,12.485441832901243,-4.61874646215853,E,C,-102.12157321469108,28.95605524538451,-0.7419064505594107,0
Divorced,-61.874630406337296,E,B,A,C,E,E,-29.146582554976934,E,257.21281865215843,-57.04628785394236,C,A,209.91047914861807,-85.00244851497851,-72.25174661412709,1
Married,-19.635816391055243,E,D,D,A,E,A,45.957726636042615,A,48.312289534851395,-25.464969712940565,C,D,65.50896867506833,-112.39191037281233,134.57224940128592,0
Married,-131.09052596796,C,B,E,B,D,A,42.87553143551996,C,152.83918268314056,-153.1477297657992,D,E,-16.349114483526353,-122.78538661167084,73.29512854802623,1
Divorced,123.7576178153154,A,D,C,B,B,C,-51.340437915338875,A,21.324016255189793,-4.958121330914253,A,E,35.39962378122189,-32.61980243393902,95.81368111534637,1
Widowed,-71.27110678600852,A,C,E,D,E,E,4.550172057064805,E,-34.129610398809405,-11.765528744492785,D,B,106.53610210828947,60.24849476801448,-63.86168250136869,1
Single,-58.67761247062244,D,C,E,E,A,E,-22.36877114284466,E,-92.48586303236046,6.763176408636411,E,A,27.73389607677681,-71.16527230956181,168.1510615594773,0
Married,-144.22771189827165,A,A,E,E,E,A,-163.95291311172662,A,189.89767538836722,98.21848061986177,A,E,6.472032600554193,69.66338069973294,-38.95789227084175,0
Divorced,47.04237823927184,D,D,C,B,A,A,-31.947467984609673,C,9.392580962802846,71.96931237480621,C,C,66.94441214372165,61.523598732664894,32.829503977490546,1
Married,-28.485746981115778,B,A,D,E,C,E,57.06059254026291,B,38.67952456231777,37.57311234569746,B,D,-27.005996478929344,48.53824361503141,-59.60908153325766,0
Widowed,215.31109576460992,E,D,A,D,B,E,37.72810794837143,C,-63.668912624183896,-62.51906685531178,E,C,111.35970167416454,-60.19313884612419,-84.16771471903408,0
Married,99.68959458107537,C,B,B,C,E,E,-66.24778559081095,E,92.45205973340255,100.54932107677797,A,B,-89.32539230957673,193.8074813220861,-188.45158850913396,1
Widowed,-59.42473291802642,C,A,A,A,B,C,-105.20396826616387,A,-32.519335539595154,307.716109043448,C,E,24.644328734612806,-74.32437014573429,118.07162493402564,1
Divorced,43.75340852814975,B,C,D,E,D,A,22.25576295647945,E,-67.93770845662951,8.185668068444798,C,C,44.80730517990566,-182.4352127700764,-124.71595021704809,1
Divorced,88.65911580338351,B,E,A,C,B,E,117.47954487828368,A,23.870176889288892,-75.67331077852384,A,D,-57.38951629014044,47.89455707500079,93.24236029196838,1
Married,113.93082453687188,A,D,A,D,C,E,83.90994792474568,E,-70.42761515869135,-142.75149827740384,E,E,-74.21471822073894,-88.96846430789851,118.31503315946743,0
Widowed,-106.42018022112634,C,D,E,E,B,C,-240.77525738953008,C,147.14885596356135,40.29534111692331,E,B,107.0767071420309,1.4911215665221582,-50.5263829843078,0
Divorced,31.72001536138322,E,E,D,E,C,C,-45.16868942216584,E,44.931132841284295,111.2097172398224,B,A,-10.616177116962307,-64.50354270512317,94.3802449035843,0
Single,-51.57136657700776,C,C,B,A,D,B,77.97273043348906,A,-111.60772658956519,27.3528641159552,E,D,-176.8002829843629,41.69745465407307,37.62806715785607,1
Single,73.98750037449999,D,A,A,A,C,E,-12.514647402372608,D,145.71735750300093,174.16727840199349,D,B,97.46282290148368,24.302857179441137,76.57775565115253,1
Divorced,-232.25571631612857,C,A,E,C,D,E,78.03041210686067,B,2.526149481458112,199.19779478379516,D,D,9.39568575803356,-73.35991904135922,44.164642976907416,1
Widowed,182.2882542183065,D,B,D,B,B,A,-99.41193617912816,E,127.54848677644921,-108.30050354436842,C,B,50.060763420183406,53.31929925525232,-12.706214831881251,0
Widowed,-119.00418625904273,A,D,C,C,B,B,48.76694302443952,D,203.86851140960053,53.353846680703796,E,B,-53.67711249894192,-106.27641855189742,-34.27828114215517,0
Divorced,-42.29332336426938,C,E,D,B,A,D,43.442465361934744,E,266.04300209275675,-95.6246289415239,E,D,-144.34738053908345,83.34315489882728,81.47806730164116,0
Married,-37.48292593424619,A,D,C,E,A,E,95.0817662458484,C,-20.72275005910135,-216.4639265806357,C,A,38.19614194830175,-19.503315686679883,-38.33085052251208,1
Divorced,-21.680434793503835,B,C,D,E,E,D,15.277525703247477,D,-161.13763381516785,119.07522717261139,A,B,-240.38361651907206,198.80690636415412,1.1288761537609695,1
Divorced,-67.49694803824406,E,B,C,B,A,A,48.07414177367819,C,-164.00521748277976,8.986757332543416,A,D,4.813141679353261,121.82288798343046,-0.35748418059693293,1
Widowed,-67.0938138701203,D,A,C,B,A,D,61.11032686796262,B,-64.63727165746481,29.640421368955334,B,C,95.56219340751728,-73.73500932668424,-123.2578097409905,0
Widowed,39.80810102145338,B,B,E,B,C,C,-39.77375328548642,D,71.54199773411186,-17.517704294747556,E,B,-51.56504893856268,-40.7174256651688,43.6762374609382,1
Widowed,15.395755321901083,B,A,B,D,D,C,66.00163974202948,C,15.605039345303876,-45.29339075214448,E,A,137.1853170449953,45.84058019004887,-34.89838960434308,0
Married,-103.59075290922577,E,A,B,D,A,B,8.174048697061606,E,-37.58100819709185,31.705322035692884,D,C,219.4267876020978,33.34076953246133,144.96578508740248,0
Widowed,-24.48290811779324,C,B,B,C,D,B,129.7283656524218,C,-72.21817756679408,-27.524136485499852,C,B,108.16490152743788,-44.92458142103538,-88.76121841063897,1
Married,145.57825698432384,C,E,A,B,A,B,143.14825908350988,C,116.49907416107656,10.687361966290622,D,D,100.99589182987825,-0.054922257160663165,-59.686085882116004,0
Widowed,28.201521933516805,E,E,D,A,C,E,-46.03020857145646,E,192.244961761907,23.26708812174429,B,D,-17.94716879474668,60.51862580582361,-16.66930577396544,1
Widowed,97.32175267573268,E,B,D,C,B,B,53.1285576205482,B,118.45966532215652,161.0779761041774,B,B,-36.8788670496734,-45.799693767633016,-10.804367069075518,0
Divorced,52.27353082055527,A,B,C,B,C,E,-34.505248613860964,E,113.04361282371072,146.15612317744294,E,A,115.75825303856509,184.43995741450217,-4.719224241119805,0
Widowed,-126.94036646535022,B,B,E,D,A,B,-30.426475745348014,C,-66.40354898952712,180.80270729648865,E,E,174.53434791673342,-140.8354496373524,39.08659779537794,1
Divorced,-58.473942165373046,D,B,C,C,A,A,-69.82588838911171,D,-37.11354968625902,29.411998866678513,D,B,51.46791218574459,-65.2543132960105,-37.62592958410964,0
Single,57.832926033545895,D,A,B,E,B,E,115.41403150877191,C,14.232780557182561,-113.56022552847462,B,B,-199.56050910132643,130.0129516147602,102.46027633904986,1
Widowed,189.7031384594881,B,B,B,B,B,E,155.04054621976076,D,-146.12376265792176,26.358652553396595,E,D,-26.76949539424851,-33.53893148471952,20.60095610506982,1
Single,-129.76219725965424,B,D,E,C,A,E,69.32918251352609,A,55.843249372392634,112.43270751630561,E,A,80.72861630041757,35.160846685075676,-115.19756243780617,0
Divorced,-128.7608696539221,B,B,D,A,E,C,-175.48727724191414,B,-82.0845799119304,76.03592623695073,C,D,-5.9462051758365595,-15.121679439997859,-95.7072674435718,1
Divorced,174.42228561621124,B,B,A,B,E,C,47.02572171008758,B,39.136676320273935,-1.8887755476089543,A,C,158.57196316384645,296.4906376001782,-29.1455590432269,0
Married,-50.274725171565684,A,B,E,D,B,D,-8.294637155630731,A,-41.20649656340861,-29.561631382016312,C,C,37.02181279019162,-97.43650439307649,49.15143259350963,1
Married,35.66497202425356,E,D,A,C,A,D,-33.940632055332465,B,-42.960185319829634,35.486062538970714,C,A,81.49348928814965,187.43751906246547,21.33578342830984,0
Single,111.35400108909248,C,E,C,D,C,D,-121.80080510955709,A,-115.34454943493753,-79.46373342514917,B,A,-48.16661720481011,-78.25319141055242,-50.86137696397456,1
Married,-81.66691038079293,C,A,D,E,C,D,82.1188707597728,A,-61.056227167970924,36.76801907991214,E,C,-116.08915020588569,-51.625062025617815,29.971180471804594,0
Widowed,46.99087622164295,B,C,A,B,B,E,35.00522785687665,E,-139.68229898174985,-28.334739148581896,E,C,39.01816133041246,-63.55610720107454,55.95783473178846,0
Widowed,190.4110498333744,A,A,B,A,E,D,-77.58401521419334,E,203.02411591533098,132.66276803769162,A,C,-79.54692560327476,-97.6452770735829,-95.00202049189961,0
