age_range,feature_0,feature_1,feature_2,feature_3,feature_4,target
18-25,189.73245253431418,23.961283402119467,B,C,E,1
18-25,118.29913341728655,105.72122444815307,C,C,D,0
26-35,-80.45453401351654,-105.85067777213648,C,B,A,1
18-25,-143.58854105468464,-156.89515551222382,A,A,E,0
26-35,14.668317796301256,106.54062985677332,E,B,C,0
26-35,103.6756822646829,57.39631073763919,A,E,A,0
18-25,214.28487683115551,-12.986524309001805,E,E,A,0
65+,-33.78792055830636,90.1069770999464,C,E,E,0
18-25,-2.733826722699519,28.200425681242862,D,E,A,1
65+,-7.713547662095925,-174.8548722805957,D,E,A,1
51-65,-112.71476921829773,4.960402047259888,B,D,A,1
26-35,-46.21172220994209,63.54288307531414,B,C,E,1
26-35,79.39138120242838,-92.21443969950344,E,C,A,1
36-50,102.33417534211013,-34.05164467315926,E,B,D,0
26-35,102.95051755144907,29.75267447954981,D,A,A,1
51-65,69.97006245529208,69.40066591339827,B,E,A,1
18-25,68.36362322063565,277.87178908598224,C,B,A,1
18-25,-40.921418635163,-91.29717140157949,C,C,C,1
51-65,92.0975649116573,25.46073885111962,E,D,C,0
36-50,-103.6601471390024,162.8332445204298,A,D,E,1
36-50,-62.62568373403442,4.570011142179223,B,B,C,1
18-25,23.440522329711772,17.693799415578297,B,E,B,0
18-25,-59.76345463666837,-122.94791358089006,A,D,C,0
18-25,71.91826270037026,64.83507854231155,C,C,B,0
26-35,-31.704279762680958,-62.411648756917245,D,C,B,1
51-65,-10.43896095637977,38.76598763534135,E,A,C,0
26-35,60.8562266814371,-107.95636766077428,B,D,C,1
18-25,-159.45618861782097,61.547691521970926,A,D,D,0
18-25,90.17088312162015,18.551304323585967,D,E,B,0
36-50,72.31882029325753,179.03368962286092,A,D,A,1
51-65,55.358533897503314,-84.44330727882152,A,D,C,0
65+,33.79691248947172,-74.34028053150838,E,E,A,1
26-35,2.422324810005786,169.9258799352324,D,A,C,0
65+,151.70146458206622,0.1341607665455236,A,E,D,0
51-65,47.808463548441196,-79.26149427270751,A,B,C,1
18-25,-62.805173312756224,-262.4930470399936,C,C,C,1
18-25,36.08329866329594,-68.30697102668461,C,A,C,0
36-50,44.12504506566144,-29.5314937580594,E,C,E,1
26-35,-104.92854102193058,97.87520516206094,E,D,D,1
51-65,-90.19886916016344,-36.80560845838764,E,A,C,1
26-35,-141.22464415257633,54.800001524743415,E,C,E,0
26-35,184.52005390405165,62.978960454637935,D,E,C,0
26-35,114.10971714721671,-2.9308200372002173,D,A,E,0
36-50,-102.48083587941588,-186.25128559297298,D,C,C,0
51-65,49.689082883721944,202.3264257429222,D,E,C,0
65+,-39.89104929363355,4.999108429946206,E,C,A,0
