sex,Religion,sexuality,veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
Non-binary,Buddhist,Bisexual,No,A,51.804782762149316,D,-118.14804937972991,15.031608261417118,136.0342848689085,158.23022231288527,10.329650606461625,-15.825824262024602,D,D,B,-36.2023191204091,C,16.46467553969115,5.390373631662537,1
Male,None,Other,No,D,-173.58683571641532,E,125.6283487790245,38.23900906028929,-65.75654533770569,-28.487378281124094,-9.976297273711834,-103.52332849607502,C,E,B,47.87360103973954,C,-81.82826610167344,-80.3668645651037,0
M,Other,Bisexual,Yes,B,70.894814111169,C,-33.89672331255546,4.1459822793617205,58.78358419008038,133.72324429080246,-122.88456171135903,-41.93478740581433,D,D,E,126.971514638315,B,-37.743621553475734,-18.977937756933656,1
Other,Muslim,Bisexual,Non-Veteran,E,-113.22243026246551,D,-157.8229259743953,-132.1678592343364,-36.52441356070018,-357.59976646930653,-111.77655723173628,29.316624428671044,A,E,A,-75.58971079755487,D,128.27200485646307,-29.284302010230938,1
F,Other,Heterosexual,Veteran,C,54.23824883938567,E,-185.23525368965645,21.956700540650452,-157.81158938133873,207.97806086696338,13.454459285160524,10.6840479100282,C,B,D,-121.71838174455888,C,94.3212706804886,22.63831422511743,1
Female,Hindu,Bisexual,Non-Veteran,B,-53.8026313961482,D,-16.737674746172587,98.98904420190459,-50.97213079239265,110.19175204910923,-12.840198665833134,132.93761598209096,E,D,B,-4.959106432151379,E,-81.5537186102237,-38.329715605086065,1
Other,Jewish,Bisexual,No,A,-10.274421830342215,E,122.34923868123242,60.767600623187676,203.94404582018205,-32.000912254019426,193.76775813930604,-24.06655594998646,A,E,E,-32.65694068447934,D,23.141995470198946,-178.3909791099674,0
Other,Other,Homosexual,Non-Veteran,D,80.07701080670093,C,-2.2063057833876933,72.81556150666796,-8.919437522885683,131.05789291772507,-186.540456440258,226.73352589330707,A,A,B,-110.61332365391078,C,-176.55037520960985,132.83417160403178,1
F,Jewish,Other,Veteran,B,-128.19820036126856,C,165.22303230205807,-17.200480825085585,-89.28553781106856,34.9889201421464,14.338596994200481,-39.74474526855638,B,E,A,152.4029144593839,D,11.57221263166059,211.66908037044746,1
M,Jewish,Bisexual,No,A,102.56298518239375,D,120.57213901130461,101.4423871999397,28.755533131647432,52.35016810931924,-14.073785566644142,-153.97690512229622,A,A,B,-62.145472641857005,E,-54.498782864999306,-45.18903272285251,1
M,Buddhist,Other,Non-Veteran,C,0.7250269443325227,C,-54.8261863752027,57.430431940191475,-45.20642286023367,139.5305896742983,84.98230072979112,-170.5164888849358,A,B,C,-64.55278515772291,D,-78.95865887281096,100.92413439205885,0
F,Hindu,Other,No,D,84.29297708663546,C,134.33381385581666,9.846780543155678,-80.5273247262569,-46.565058102090184,17.149923047930805,210.73033495209174,B,E,B,65.80644852582796,E,-21.93249285516592,-53.58851536954291,0
M,None,Bisexual,No,A,-46.740743229841996,B,32.25123928420306,-60.78607516302746,0.20310267401070672,136.7639671607884,-156.42864077931105,75.78527619994617,D,C,B,124.58764728090436,B,-8.572548325786226,-16.6516258436412,1
F,Other,Other,Non-Veteran,D,21.106157857328668,E,145.07224760554902,155.84016175352303,-19.943993259422726,2.503139656686375,-272.51104216261876,32.851849573699745,D,E,D,-44.8627148939958,E,-117.32286072644162,-152.02042634899047,0
F,None,Other,Non-Veteran,B,114.84896898613744,C,41.658276911938366,-217.5200161112782,62.5283216086705,-9.99894500423329,48.25130684679046,-40.27844932277881,D,C,E,43.73157016237638,D,51.756801606380975,-90.41724671511732,0
Male,Christian,Heterosexual,Yes,D,-127.40059162081707,A,125.5571399252849,-8.645299724963559,-105.44477672521444,78.97789286337516,-91.46036857257613,-26.799123026628546,C,C,C,-0.3100409580654244,E,-237.66005155556593,22.428252910699726,1
F,Buddhist,Other,Non-Veteran,E,-194.9799927833593,E,-66.40971497349366,175.7433598165706,145.32171639025586,131.6728307603092,-19.60608972880618,18.561067893390167,C,D,A,-71.09213493055103,A,147.33161885355764,-134.20097952531776,1
