AGE,military,Disability,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
78,No,No,C,-6.882233427184939,-116.0298779587259,C,-122.09270500698501,D,C,D,99.59621500096472,B,171.47509749100155,E,A,C,1
77,Yes,Yes,E,129.25156601225106,203.64041850384075,B,40.364362962883085,D,D,A,-77.53169376642049,B,111.19475368460623,A,E,A,1
24,Non-Veteran,None,D,-72.46376564384487,-143.0388875872415,E,104.4344137299333,C,A,B,93.41566294363433,C,-97.87391377844048,E,D,C,1
59,Veteran,None,B,-84.61303894957139,-308.7172270020676,D,146.76700791721936,D,C,B,-159.74206083697356,A,25.490224350945017,D,A,D,1
24,Veteran,Yes,B,171.26034000639163,9.927089341738508,B,7.743879874713324,C,C,C,27.569002262479263,D,-82.89331562525442,B,E,A,0
19,Non-Veteran,None,A,157.65153559348306,-97.4941602869621,C,-114.22545971834978,C,C,A,7.3436210335397645,E,3.9227419722926364,A,C,E,1
39,No,No,D,-30.002073269156583,0.9513506997721259,A,202.4441752956829,E,A,C,-117.67924179193001,E,138.80333469493291,C,B,D,0
46,No,None,D,-26.070476644591682,42.075439192499,C,44.89014907779226,E,A,A,15.191495282458826,B,60.194784959338975,A,B,C,0
53,Non-Veteran,Yes,C,62.721730038071144,-75.2756508355412,E,-99.03261551433192,B,D,C,-75.55084051015253,B,-82.16518896223013,A,B,C,1
60,Yes,Yes,B,-113.49456848571783,110.49156883687554,C,-30.308247847390867,E,C,E,0.1578848017655661,E,-153.08240424918895,D,A,C,0
19,No,Mental,D,-67.43765507809691,137.49683509030498,A,-73.60599592532947,D,D,E,156.74687818135519,D,-75.75205430854669,D,A,A,0
70,No,None,B,35.526158116717724,51.12999153800113,B,-20.430283564308766,B,E,C,22.34205049882086,D,-15.55763570492736,E,C,D,0
48,No,No,C,10.61130634066411,-127.23962065177936,C,-32.400705734430204,C,C,C,-26.019325022812538,B,102.85194799433262,A,A,E,1
34,Yes,Yes,A,117.0192683246299,155.95676831084342,A,29.436313615636976,C,C,A,4.0415678145093965,A,-96.39456967612567,E,D,B,1
23,No,Both,E,-24.980545451102618,114.9681287861362,D,86.76343109141192,B,A,E,146.14595633089573,A,163.3591764459503,E,D,C,1
32,Non-Veteran,No,E,-274.9351563938142,-36.50758014625053,E,71.8136264619606,A,E,A,-72.00252552197671,A,-15.569419471237017,E,D,B,0
20,Veteran,Yes,E,19.61266748300138,-58.66120381105638,B,-15.488731772810372,A,A,C,-46.51429722816828,A,284.1880892058235,D,B,C,0
37,Veteran,Yes,C,-120.20587899274804,132.91943096940776,E,-47.89759345747565,A,D,C,35.57495766484299,D,-18.500244713283408,E,C,D,0
79,Veteran,None,E,17.331713818077358,-306.3252662647055,D,60.547753558376904,C,E,C,87.0457067422504,D,62.505300630459416,B,A,B,0
22,Yes,No,D,44.520543571530126,-91.12392558137385,A,152.50787364144202,C,D,E,39.58242908487175,B,-36.93704251085348,B,C,C,0
43,Non-Veteran,No,D,4.32450401795071,-65.00254915950794,A,-27.880930062732208,A,D,B,-72.22238951029446,C,2.4897648296759507,C,A,A,0
41,Veteran,None,C,-219.11924908638358,1.346767563917956,B,21.474334880567508,D,A,B,-182.85310080691025,A,88.14196912231064,D,B,C,0
45,Veteran,Yes,D,64.14614453505021,138.79301553471768,C,-21.45145634697076,B,A,B,40.92860560302445,D,38.625387722361836,D,C,D,1
66,No,Mental,C,130.22486526024377,55.99478938203082,E,12.218343871709623,C,A,B,45.416032849265356,B,-102.17404352236137,B,D,A,1
57,Non-Veteran,Yes,E,85.05366244572778,-40.470477393310084,D,70.63744496965076,E,E,E,41.03023339953255,B,60.405618218723276,A,D,C,1
54,No,Physical,B,67.17556701127106,-12.169731624600624,D,94.22856358343158,C,B,A,-95.57185458316934,A,-142.73328076121717,A,C,C,1
58,Non-Veteran,No,D,78.40374235167046,36.83706922812341,E,-34.0564085624869,C,D,D,53.19010047357121,B,70.89192958212806,B,A,B,1
47,No,Both,C,-241.43961518193632,-78.76116516801676,E,102.77536027257939,A,B,D,55.3145531486299,E,91.76769584897865,C,D,E,0
72,Yes,Both,C,112.30252676500727,-72.66316501143945,C,135.85559960155996,D,E,B,2.586463473875198,B,-198.62550751335993,A,A,E,1
67,Yes,No,E,47.086712330490954,162.09569777154044,B,-46.053550166619736,D,C,A,-97.37600428322074,B,150.18509038222808,B,E,C,1
68,Veteran,Yes,A,75.00728252275366,-29.990912070506692,C,228.21775961725322,C,A,B,127.33024251923939,E,339.7545018702079,D,B,D,0
39,Yes,Both,A,51.91776748273856,22.129278048227665,B,149.5698674760115,B,A,E,-40.13777816026892,D,208.6820330925795,A,A,B,0
29,Non-Veteran,Both,E,74.13968159674266,-65.6775329240781,B,149.4741502758804,D,A,C,28.988842950777897,E,-120.13483868254609,D,E,C,1
72,Veteran,Physical,E,-29.6593164982553,-41.90477561061427,D,-53.87765301756904,E,E,E,56.858903134991046,D,-114.95813919629288,E,E,A,0
40,No,Physical,B,205.40151768467246,-7.3889120859209925,A,-107.37214869061953,D,C,D,16.553360942088183,E,-49.99910288410036,B,C,E,0
32,Veteran,Both,A,-167.39374624569524,-143.83521005427772,A,-64.5368243963948,A,E,D,-139.2752191684278,B,-54.71063708397252,C,B,B,0
67,Non-Veteran,No,A,-89.18011167377456,71.56266816215458,C,105.13112524422128,B,C,B,-86.68936047000713,A,-158.0535474939726,E,D,C,0
26,Veteran,None,A,-69.51938514757585,-27.70113726667411,C,-30.394328812878022,A,D,E,107.86713695899873,C,74.94061428844505,A,C,A,0
61,No,Mental,B,-43.21067962116864,7.766349950222659,C,57.41867534565823,C,E,A,-54.96781675238962,B,-150.10293808587505,B,A,D,0
65,Yes,Both,B,-56.35164001170114,-131.1520362812773,B,150.89460394088826,D,A,A,-30.80163096206699,A,29.597334124339135,C,B,A,0
34,No,Yes,B,-135.779667948921,100.23857562925971,C,-66.16909495729516,D,A,C,-165.74388877122323,A,-61.248370014719,D,C,E,0
79,No,No,D,50.84700142060825,-7.748570844998795,B,76.56188470268592,A,D,A,-84.34994709461284,B,67.78530503902051,E,D,E,0
50,Yes,Mental,E,99.32272000312608,127.86621026859319,B,-216.19256486915526,C,B,D,42.96334810786622,B,-10.817537049460025,C,D,D,1
41,Non-Veteran,Both,D,129.9406749609648,71.22890823200808,D,90.49252825417476,A,E,C,-20.784730959353993,A,-77.45051308267851,B,E,E,1
70,Veteran,Physical,E,-131.74397832074604,39.3289105019533,C,-59.13759383944735,C,D,D,-193.88454336783917,E,1.1661293815617717,E,B,E,0
74,Non-Veteran,Mental,C,-9.567758743051758,78.1975521872359,E,-137.44395253088157,D,D,C,-94.6980770911631,B,-98.57032587914415,D,E,E,1
51,Non-Veteran,Mental,C,27.18813597119366,44.57713155026703,D,-132.1152068583717,C,D,A,31.776421882365536,B,180.87178526749656,A,B,C,1
22,Non-Veteran,Both,B,43.450641820825055,-95.20872037744147,E,-233.85394073990753,C,A,D,-56.46105632034608,B,-144.12481120577937,D,E,D,0
29,Veteran,No,B,52.17957890619543,-157.82942551154733,C,54.071990593528454,A,D,A,-101.10224819601777,C,-81.36048382968767,C,D,E,0
79,No,Physical,E,-144.32137476714428,94.4286749399094,C,-20.436516659773922,C,D,E,-47.6565740604142,E,-88.74362405940711,B,A,D,0
35,Yes,Yes,B,171.52844011788912,68.14860428326833,E,-207.72918964193323,C,E,A,164.10641163600877,C,91.12791177672726,E,B,E,0
33,Veteran,Yes,E,24.045735802253038,62.16385247522558,D,26.686543960271496,D,E,E,-76.08327366693224,E,-191.80138412985605,B,A,A,1
25,Non-Veteran,Yes,D,-192.6741569289933,-32.38737065424424,B,-246.44479482210602,C,C,E,20.28115006806715,C,244.03779879493496,D,E,A,0
23,Veteran,Yes,A,-45.21690816453271,-100.71523374189096,A,-46.18913795943055,D,E,B,-104.54907361925197,E,-28.423906124579702,D,C,B,1
20,Non-Veteran,None,E,-19.494262813764227,-19.267112257937978,B,-30.00008213465742,E,C,A,-0.10799972189044227,C,-35.4795321963067,B,B,D,1
74,Veteran,Physical,C,-48.40983243113764,-85.60564982327354,A,166.63675620045436,B,C,C,-11.602288956535837,C,-9.020396170451281,C,D,D,0
38,Yes,Mental,D,-103.93716057769677,54.52724955174473,D,71.0716678228681,E,A,D,-54.55269511515966,D,-118.67045000120633,B,E,A,0
61,Yes,Yes,A,-138.51208319634918,-96.28516481558175,E,4.806713753097108,B,C,D,-80.25906232809568,E,243.3773567598793,A,B,A,1
68,Veteran,No,D,-41.685231479352446,-65.54843082109144,E,56.57737879950071,A,B,A,-138.62603044829586,B,-32.12550831113736,B,E,D,1
18,Yes,Physical,A,131.52820941018484,-89.13847535587502,D,-36.892059192670615,A,E,A,126.03457575354851,B,96.83595678262165,B,E,C,0
78,No,No,E,95.38206726955339,-153.331046267854,B,216.93606801188713,B,B,C,-100.93242253418899,A,78.06042785077204,A,B,C,0
28,Non-Veteran,Physical,B,40.50479381553702,126.53600851834277,D,66.19973126162748,A,B,B,70.12138140060867,D,-70.24105140657312,E,B,D,1
25,Non-Veteran,Mental,A,-78.61822777825364,141.85309076746182,E,18.04601784063606,C,C,D,-119.26494512488732,B,16.25160048154782,E,B,D,0
