race,civil_status,SEX,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
African American,Divorced,Female,142.9449320693158,55.69056182173494,E,-67.91376244329129,A,-11.494822275168417,-131.3095635280663,A,54.908558626371764,26.314978018234864,6.106660319222707,160.49005320546485,3.7115494181427082,68.06005966175226,0
White,Married,Non-binary,-9.226949059567067,-46.29599735610707,C,32.164004090968376,C,96.93684894005908,84.35386048251368,B,-5.7558020235359795,4.358337003224647,-115.39288582293463,-220.88267691266154,46.54834832813999,-2.9503106490248423,1
African American,Divorced,Female,65.75621461590565,-30.467876246839808,C,-29.788335637488128,D,-75.2267635301216,68.91523836108018,C,-49.619930917701005,189.34587406912564,17.127022292267593,-50.68222052803241,36.804860944385986,72.8603133663397,0
Other,Single,Male,-42.59830394160215,85.51448811557728,B,83.58066236205163,A,131.97028661053446,70.30141946443187,E,21.185939037095682,-223.74256941028298,32.76511009181725,1.4878283884569905,-74.41752076671101,-65.95709453895063,0
Black,Divorced,M,-71.0290565718082,-37.5598510835626,E,47.382125984496064,D,129.247194191847,27.489703364564594,D,83.29763228004278,57.34145772731883,156.23067058747492,103.72506344178683,91.98830382341917,-45.069490899688105,0
Asian,Married,Female,3.394440675862884,146.53722927377194,B,20.026110836940237,D,-111.06732265814611,44.55190552561969,E,-49.268357686119565,252.51331273299,50.36301169515413,136.8124672401005,68.20727313113471,-71.4033493209991,0
Asian,Divorced,Non-binary,15.827900967935213,70.99338517250432,A,-63.23544987959735,E,9.894826483304135,-56.87074921125056,A,-38.51068290230028,-146.25728913161913,62.23665699744366,37.41799199072416,-164.31076440325333,133.60428759036145,0
Hispanic,Married,Male,104.28011569907679,17.951462241603046,C,93.88917427102812,E,-7.59406315927728,-99.91225951035086,E,244.86687257818818,80.71462704344034,-92.43911359919247,36.15369272813107,-77.30347249411199,78.28054281454541,0
Black,Single,M,89.64037387792312,-147.93046524164654,D,50.55527085838981,A,46.23244537996797,159.472755502849,C,2.9289939690773665,-62.26916620584909,-97.72854066560238,183.1459571241363,-132.3361059763709,210.35127520651957,1
Hispanic,Married,Other,-40.473201862958355,-146.44554290550994,A,105.22155814765893,D,-43.03234714698959,91.42673979469916,E,-105.34013640363187,-15.989257547732835,-40.49087855162979,125.95217296020753,77.10674513458,94.325462999622,1
White,Widowed,Female,-24.40025262547414,-65.7102212637688,B,20.02566469371912,E,-48.28632973319099,-157.38228300281358,C,20.466015792008683,-167.80255401001588,99.39627037833073,46.592537093884786,22.171808397680344,-59.572325494932386,1
African American,Single,Female,206.4531869832244,66.88713404838592,A,1.2150823778412172,B,132.05872453863685,-15.63173344415157,A,70.90143472057773,192.3015747725563,-145.14581451434168,-351.16001303550865,13.488835765511345,-33.61062319028537,0
Asian,Widowed,Other,-32.89825183791411,-158.04596264099288,B,25.01234390154256,A,-94.21104327772976,45.88156544662124,B,156.7543184357883,-16.275809892144334,-94.44647374343828,48.89169406850562,97.83141913441978,56.9182145886299,1
White,Single,Female,-50.326485775739684,45.434875020702144,E,-62.615881422259214,C,-76.3663543750051,-57.286628267095686,A,-21.218799447709223,8.860085536584092,-41.46865391112762,137.185821826468,-8.166787814219868,36.74695182977055,1
Black,Divorced,Other,187.61930904234524,-82.73304254337178,E,-71.77488021283338,B,92.17790383714915,122.79307343377515,A,-84.12203073544413,-45.41412103184457,7.14405391757824,36.119791337241125,180.5823959044503,83.43239897053746,0
Black,Divorced,Female,-62.34053561985362,-10.389278380155776,C,98.63557651886788,D,-81.55247237875469,15.771032202475594,B,32.25285876000639,147.6784691137336,6.269253578245669,-42.63590616944548,-102.72051135565393,21.46147222805983,0
African American,Widowed,Male,-50.313685464615375,36.450929071220756,C,33.380056643577454,D,-14.002531087560888,-25.590936410529054,A,-133.20899745132579,-84.60389915720141,-82.83374952252694,-94.27946652288657,84.22858429055746,-24.53343001682579,1
Asian,Single,F,-32.043524996223084,-146.59482759387254,D,-125.43330534166816,A,62.9728317365923,-85.02342917351785,B,18.263680772690773,-177.67824170110003,36.98884839073556,-6.216713570270953,-107.67397695778465,2.8263426763045483,0
Asian,Married,M,152.8280054979263,-4.143703240347809,C,47.88065123204188,E,61.2463249703717,117.96953690213941,B,42.90303875135353,-112.05082087305797,114.80454776036184,52.21504439813663,31.584123227255017,-89.56973455429737,1
Hispanic,Married,F,31.66526200640993,-10.720650511469893,E,183.48244852105358,C,93.99535004247734,-22.023157118976165,C,-203.94501606918004,87.393789560478,-72.23307080906247,-41.01379483060465,-71.05850140939863,66.8099908425124,0
African American,Married,M,151.7328034205394,42.92452666163974,E,79.12778938043424,A,97.50390370396988,89.51452126199108,D,-125.75003122124357,-46.06732480503645,-175.53935522945926,-117.42516540748737,30.634207052307527,-0.602814138447403,0
White,Married,Non-binary,-134.10062086468733,-12.553518222567362,A,153.99628920095543,D,79.39641879625331,150.14838593885497,D,-42.209489870922845,-68.89370734593554,73.1219412071925,-19.948067137206387,-9.711917892372703,-278.49551985409533,1
Other,Widowed,F,3.920542031433704,-207.68460869543875,D,-122.04713612976255,C,151.36977791316502,-55.75969431150417,E,-47.814995890784154,97.76195902933617,-90.00626037346076,34.350197863557746,90.49306945070073,52.65248890953346,0
Hispanic,Widowed,Non-binary,-86.51896683648832,93.4429482208836,E,-41.58063916024549,C,137.59816559370043,-11.33160390332244,E,-67.58917411442701,78.16920133708179,-100.58799787005395,3.553653599094142,11.200142342462428,-160.2795930678703,0
Hispanic,Divorced,M,129.0240149451484,-53.55120777433259,D,70.65385134497686,D,-74.74371929854028,24.432616246475362,A,56.60819234773946,-36.18272833193862,-15.713152303481989,28.566087968096532,-49.66543094696255,78.5431983325161,1
