AgeGroup,sex,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
51-65,F,C,-54.102967479321286,B,A,E,134.1955953876971,-95.39223130855811,A,-131.45453412330704,-159.65129405145527,C,C,B,1
65+,Male,E,-231.3019269438223,E,C,E,103.95694621185996,0.9764708870514373,D,-10.440443506589855,77.86312978074231,B,E,E,1
36-50,Non-binary,C,52.56866133459566,C,C,D,55.55585787556089,-45.95038368806742,C,65.57980612015108,-134.07995696368943,C,B,E,0
26-35,F,D,78.44615583893037,D,A,D,21.654522125541934,61.19331404500006,B,-28.66418778272397,137.30349552421976,D,B,D,0
18-25,Other,A,34.634354185588386,C,E,A,92.57366626957366,52.81113352185992,A,82.45873609811945,-104.31543886413897,D,E,A,1
18-25,F,D,104.08132197299899,D,A,E,51.17864505494079,-2.2430535110352237,C,121.7147325389863,27.376142004131545,B,B,D,0
51-65,Male,C,-129.53951287646447,C,E,C,-129.06397332053487,-87.17163235403787,C,13.759683349357704,159.04737666927593,A,A,D,0
65+,Female,A,-8.915877185214127,B,D,D,-45.28860838636303,-71.26591699628915,D,-79.38844179325281,96.44554756424043,E,D,B,1
26-35,F,E,4.607186289746766,A,D,B,-25.967698588885145,1.1527795510862398,B,-45.46560716728143,0.9859172141060907,D,A,D,0
51-65,Female,E,202.9826972319316,C,B,D,39.94955345386367,-208.42330279285358,C,-32.59679750193084,-74.99883658534702,A,E,E,1
51-65,M,D,25.789522805087046,E,E,E,-32.934330889221236,58.003476157610265,B,-76.63011775157919,-8.026919376162642,C,D,D,0
18-25,M,B,32.702812286510344,A,C,E,-147.11560855648955,155.8237434297675,B,118.59871397380455,166.98081335768418,C,A,E,1
51-65,Female,C,-69.86948573633323,E,D,D,-200.2058177031378,52.2607074707376,C,120.83256804862232,-100.05268796511268,E,C,D,1
26-35,F,D,24.841856657493775,D,B,C,-136.91632281319642,-43.54786698100262,B,188.82763684869957,53.00098237800561,C,B,C,0
51-65,Non-binary,B,73.38548349630915,C,A,D,115.4610465468173,285.8469045881678,A,6.76990247532258,-131.05603432024196,C,B,E,1
65+,Other,C,19.38730453027027,C,E,E,43.08083800237774,62.95675344146794,A,0.2943140300380335,-21.44726011321991,C,D,D,1
51-65,Male,C,-72.75356795500267,E,C,E,65.69984161654934,-9.715034732033766,A,22.72392367009469,13.269121667427136,D,D,E,0
51-65,Male,C,-41.81650310043169,D,E,D,45.85431670211217,126.14550144925254,A,142.92922510898643,2.937773342600897,B,E,C,1
18-25,Female,E,172.6460435431091,D,E,C,-119.5359627809397,3.968256625839716,C,134.6277744012359,90.42459018011868,E,B,E,0
65+,Male,C,146.85097495251952,B,E,B,147.75172217418935,36.73520953333739,D,31.579227854399118,-94.21916037250442,D,D,B,0
65+,F,E,-154.40239076405655,A,B,D,-19.976193014628947,-114.69927899387349,A,134.85815324439307,38.396832081341884,A,E,B,0
51-65,Male,C,-85.3820232162897,B,E,E,92.56048278958507,232.0301477010944,D,-97.00295240239373,-129.5423049294097,A,A,C,1
36-50,F,B,44.04309158527585,E,D,B,208.4319475642086,57.95914061281873,D,-13.969508886518177,-6.026038286194183,C,C,B,0
36-50,M,C,-113.47641172552947,B,D,D,27.993904408522557,-109.2282306826721,B,88.98006999508597,-35.431625456065255,D,C,D,0
