SEX,Nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
M,Germany,82.1633105010074,-29.620090172695207,A,A,140.37768559824036,E,-110.41357529097489,39.726269455002395,C,41.15391013694095,1
Female,Brazil,-20.370546270875302,50.15892847647089,C,D,62.11689141211551,B,-124.42105756135562,-114.9188952215289,A,115.36194229757932,0
F,Germany,127.2807298269171,-32.00550668324521,A,C,113.71659938923064,D,-92.12153360211978,42.46132217956961,B,-7.562742916473621,0
F,India,24.66001029361215,118.90565883891249,A,A,75.73283339369746,A,-56.06950482826103,-84.29622154130469,B,-30.121661959590078,0
Female,US,123.82439835560093,157.4202677473885,D,B,63.203260181772926,A,133.13820965762858,-35.54691754988076,C,-33.84535950221569,1
F,Other,-170.8095445640689,-71.19691495875978,A,C,53.70085743314718,A,53.341263565990694,144.68305419725925,D,91.82114574281809,1
F,Germany,64.21944717305479,-53.11163600638666,D,D,61.66782736767137,D,-31.344449900536386,108.4207790929123,E,78.57162074823839,0
Other,China,103.71868223029462,-19.934155454423035,B,A,-0.7475302072451071,A,-262.3487779665676,172.82764835277683,C,48.95935216608863,0
Non-binary,Germany,55.352634903160414,-77.03257090145425,C,D,-16.25022557203047,B,-42.95748024097683,8.595115871212053,E,17.228641557423607,1
F,Germany,-69.84457887197856,23.80715635536319,D,A,-38.56168836083287,B,-191.48885742691027,74.3968801630971,D,-115.89874913434967,0
Female,US,-21.94588023521141,91.49908690141292,E,E,-178.91395408252936,D,76.65692099075135,6.806789538723006,D,9.356031207874386,1
Non-binary,US,-3.1578783401448027,-40.01595698173854,E,D,0.10652990955814039,E,10.741260986600352,212.7067362011088,C,-107.56779026370693,0
Male,Germany,-147.35392318873932,-54.41450816707363,A,C,-1.7395819203953584,E,4.663858336558535,14.427666309961545,C,-104.56373281959175,1
Male,US,-83.47734802636732,-104.98994213572563,C,D,110.95118539117807,A,62.544898276839476,50.397396816467975,C,83.4415109089459,1
F,UK,-22.296800877581223,102.32277590098533,D,C,85.64173378345201,C,15.257720944965387,230.71502080331624,A,-75.66171808115439,0
Female,India,62.03718832727716,-6.895593861124338,E,C,-169.2314483987789,E,8.715228403470086,73.30434084501309,A,25.916360469643703,1
