marital_status,faith,nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
Married,Other,Brazil,142.71130166483047,D,D,15.187540229872798,54.58317402152054,172.4886915003931,C,E,E,B,-174.84955851445275,C,A,72.8763543296061,110.2230161172528,23.477012820232698,A,-94.56644421188372,1
Married,Buddhist,Other,151.70633696548063,B,E,138.67440665525706,-117.65943153185181,-44.324734551568696,D,A,B,D,-26.396584334368868,D,C,91.58234739667822,-108.92411167782352,-0.7599324896446564,C,94.31771922517706,0
Widowed,Hindu,China,65.02735463116458,E,C,-139.97898340259724,-72.7779211079139,-30.519318173562777,A,C,E,D,81.21333439480988,B,D,156.46355146504166,90.4399171451795,106.54799838266239,C,7.66156045089505,0
Widowed,None,Brazil,151.73878352215507,A,B,232.88000208647458,139.08007767874568,120.98619058661355,B,E,B,C,141.95313583144542,D,E,9.705415235319466,-125.50885424293219,-114.1863627702439,C,241.55064474874615,0
Married,Muslim,Germany,-238.2604452214779,C,B,-134.17649652135734,42.23259213585985,78.72445122492198,E,C,B,C,-69.98864543869273,C,D,184.72595035873957,257.4500655952571,-149.98173336395317,A,43.23548573801868,0
Divorced,Buddhist,India,265.99248074130844,B,C,157.0492452999564,-26.756825218484437,-24.498542917490468,C,B,C,B,-131.65520918854824,D,B,71.35282247764685,107.60942186212961,29.521586950927848,E,56.31156826150278,0
Divorced,Buddhist,Mexico,-140.03339022848309,B,D,51.85408473968,-79.73156945598974,128.96403107163786,C,E,E,D,4.966055859246356,B,C,-10.940478502756225,76.2366653713389,-159.51428458268327,E,-52.22752907826772,0
Widowed,Hindu,Mexico,-101.33368962840825,C,A,-33.29728166034915,1.9794175414883555,166.08680109394115,B,C,C,D,-105.69659899534986,A,D,-103.34401288734803,94.91631880789741,100.86656107591423,E,80.6629419749715,1
Widowed,Muslim,Other,-5.500392643984905,D,B,-51.01468033790114,73.0439067094689,-2.1829238101942328,C,B,C,D,-41.37759073838912,D,B,-41.57726796811537,173.3319137846979,108.09658718160655,A,-53.25909094709924,1
Married,Christian,Germany,118.88571755003719,A,A,-25.605558856375808,53.25055710761336,100.93275505662524,A,E,D,D,123.61497523144556,A,B,-230.8375917895909,-59.90349542539997,77.80511579678392,B,-124.59078990627057,0
Single,Buddhist,China,-30.54445997445161,A,B,-103.687378702082,75.86749691090124,50.04709593422491,E,C,C,B,-202.9441700732837,B,A,-88.9388358378216,-49.90167308922271,117.34394498598971,B,43.40653292697283,0
Widowed,None,US,85.2364527763172,D,E,-133.61927996712012,130.78185681060145,124.81762041084319,B,C,A,D,-17.795943558990352,E,B,-50.7984887707684,-58.1505423372627,57.74350914886417,C,151.87000284632478,0
Widowed,Jewish,US,64.96695846744134,A,B,0.01787042135468859,39.679750041620366,-106.06613888952543,D,E,A,A,-46.06833203742741,D,B,-114.2144454880849,55.15925965224678,171.36827283575556,A,224.0157359370547,0
Single,Other,Germany,124.57473833951845,D,D,-110.64240802044978,-104.5794640666445,-89.42282926628789,E,A,A,E,57.168229650309875,E,C,136.0390683436098,33.662853460603614,-39.900724816600444,D,24.878367546554585,0
Widowed,Jewish,Mexico,15.736858407167736,D,A,59.880281069140686,-45.969347046651244,-13.033846538074343,D,A,C,B,100.9685525265067,E,C,88.07248471109641,40.41492569738447,-105.95715457406196,C,-83.42241827826953,1
Single,Jewish,Mexico,99.61509583459505,D,B,93.09573812709195,-102.94159323462956,21.244511580450588,A,B,E,B,0.20828107331106707,B,D,160.78359495160922,99.19879552997924,173.8951118448406,D,-102.29660069975975,1
Divorced,Other,UK,-86.37397215423174,D,D,37.735307517133556,170.1828850976231,-47.62677401731954,D,B,D,C,21.82950075208054,B,A,80.4214184426699,105.56637520612462,128.00116149589164,B,-74.10420738243944,0
Married,None,Mexico,116.6114899639809,C,D,137.21231928940608,-105.85200297830815,-79.55815905081376,E,C,B,A,151.11021957895417,D,C,65.78001115836312,-189.37608888047816,-212.61894157200817,D,-56.09460909538616,1
Single,Other,Brazil,-129.8273453307136,B,C,-4.637292115966747,-1.2052915432824622,93.40207986958407,D,D,D,E,-60.85427564330713,A,D,-200.07607661141157,147.4935541713788,76.3179841118445,C,-32.6933698737023,1
Widowed,Jewish,Other,39.924619233092926,C,D,27.898338934903656,-39.20236954215935,-14.637943299087471,D,C,B,B,-2.3780378364515586,C,D,73.49135966741432,68.60330588755494,1.2736992308027446,A,122.54707078618969,0
Married,Jewish,US,-46.79958306466334,C,A,-137.1347744431507,120.98142591166715,54.415301432077676,B,C,C,E,-65.29467910752857,C,D,-72.65851850794822,-19.238449565972754,-108.48453608499386,B,-126.37393484757051,1
Married,None,India,-87.69508111904474,A,A,-72.69092149940373,-114.28639185362337,-189.5178446572932,A,D,A,A,22.22255265380462,E,C,-15.146231310633457,-105.92522508017079,64.1064827788556,E,-51.222953497970906,0
Single,Hindu,Other,78.11299299564118,D,D,-26.40905164760573,46.650032975384434,8.990939130459624,C,D,C,C,183.64937122436697,A,A,74.67816517111908,-62.82947597759168,151.079086493319,E,-55.95597254391909,0
Widowed,Jewish,Germany,136.42256541470553,B,E,116.5168910033463,128.70568011964906,117.63328160072304,E,E,C,A,-54.75713001625255,A,A,-19.293570730589426,-24.088305062274863,135.35590680171117,D,-191.5670744555964,0
Divorced,Hindu,Brazil,-148.60223472324813,A,D,-130.8354119680379,19.447342529214172,-35.60787159205875,C,B,B,E,-78.74882118904809,D,D,80.09187880681577,-20.699716107613984,-147.13560413231227,E,61.68251327453055,0
Single,Jewish,China,-164.71187128638826,B,E,8.346476857988543,-180.27907331537583,-150.95701807041434,E,B,A,C,-167.30460279307638,C,A,-83.96553041434633,-95.12324368580042,100.39214784805812,C,26.69271160444281,0
Married,Buddhist,Mexico,179.3644523628058,B,A,76.57174599815384,158.87483343929304,-52.34607105633231,E,B,D,C,-32.069674273413796,C,C,-37.16247517805994,-171.79981478781767,23.260879993729695,C,-4.993431367788977,0
Married,Hindu,China,8.337653012510852,C,D,35.24667663437373,-83.51071242126513,-9.904049915927873,E,C,B,E,97.6220391299703,C,D,29.42163334215861,32.6888703706335,-116.54040932774868,A,-58.82693604399446,1
Single,Muslim,India,-86.70584608148764,B,C,213.65540057886147,-98.62537510851232,-23.206603347138095,E,D,A,B,-134.6723727145615,D,E,9.355283361715143,-72.6863726558694,-72.79763530965538,A,139.1202255166303,1
Single,Muslim,Germany,-108.18717622737056,A,D,136.11416988615557,23.852440625793164,-29.103526994259944,A,D,C,D,-182.15179732526218,B,E,-26.345957014736598,-92.15360422435174,-62.07358061545892,B,61.91275410513526,1
Single,Jewish,Other,167.47793704837417,A,B,-85.37791135385075,-38.21378341898801,134.80328915068512,D,A,B,B,-55.53532841818401,C,E,-42.76279404018996,-25.60104520393711,63.76850835725328,E,-235.19445351930642,1
Divorced,Buddhist,Mexico,-19.23184948725572,C,B,67.50421388422345,-134.49568746499602,-20.61686484746012,E,C,B,B,-58.8080721756163,D,C,8.111303584005322,37.73396581096781,155.29346017973796,B,-57.631784175800824,0
Married,Buddhist,Mexico,-140.67392733907064,C,C,83.3561949740394,106.99648597820422,43.14840780494889,A,A,E,A,131.37202689343624,D,C,-83.75687070750446,209.16716098613554,-129.02048312232992,A,26.31348712891467,1
Widowed,Christian,UK,112.96320589002387,C,A,86.23127739138992,-259.3227328734663,101.17733928626593,B,B,C,A,-100.3686280851731,D,B,-34.149863668929406,4.3095845120068015,45.2328887324786,C,32.95368324040686,1
Divorced,Hindu,Germany,66.5687738815532,B,D,37.259792522773935,63.1543748052847,-55.00532856006773,B,B,C,C,85.43635050824548,C,D,130.73003951915697,113.63533657913969,-110.41979648927595,E,123.2894254144956,1
Married,Other,US,76.2391033825327,B,B,-53.2394342931839,44.146712926212246,-25.098899823878597,D,C,D,D,59.56284138540667,C,A,-68.01974725678302,-37.60744180650521,32.18549854707536,B,-9.785923739944518,0
Single,Buddhist,Mexico,-41.516993031558535,A,C,182.46680706223106,-14.22954824601384,-138.26110887740072,A,C,C,D,320.41556657431255,D,B,76.69893326314462,-182.29613504000238,-28.611184456013376,D,-54.88761788614405,0
Single,Buddhist,China,86.59595204087917,C,B,65.32143157235892,11.37377601700576,97.51871681310227,C,A,D,C,87.52211510147117,D,E,-117.0361237959656,-5.958560323641116,143.7462833210153,A,-43.23657817426648,0
Divorced,Buddhist,Mexico,-133.54466879866618,C,D,-166.14170491047645,-251.94863562805415,-200.3910742413696,B,B,B,E,-122.79831954805059,E,B,60.40356108089049,26.40067948487398,36.75959655784997,B,-58.90543419461384,0
Single,Hindu,China,10.993168705580693,D,E,-138.72584457843925,197.110148252029,-1.2020266258631978,A,B,B,E,-37.5116783551166,B,C,101.61767138810403,115.8290321139809,-64.50111335555306,C,33.1336742594009,1
Single,Buddhist,Other,46.6456074860368,B,C,-103.90095806001783,15.97475905932112,-105.43394497950445,B,B,D,D,-21.473671934814735,E,E,-6.912467190901357,21.490057847578875,62.44658230417935,E,3.6701593198175626,0
Divorced,Hindu,Brazil,3.4937828350272286,E,E,77.34269619769965,17.43869600416605,100.79762513841271,E,C,C,E,-179.7169393695905,C,D,137.90409686822235,105.21137589257697,115.9631397360229,A,-116.70656844010922,0
Widowed,Jewish,Brazil,-47.45428674394835,A,D,-116.61803730646459,-35.10419554763814,-9.508366581867204,E,A,E,A,-344.8592257567098,D,E,-131.54230037189157,146.64129518786635,-33.34862093038433,C,-34.73665501346832,1
Divorced,Buddhist,China,136.7833405420276,E,A,-61.665439135795374,-22.400794690262767,-26.695876303294636,A,D,C,B,-107.66082940643696,A,C,-35.2893297156997,24.774002202092106,-94.03150331045674,D,-119.3754846868786,0
Married,Buddhist,Other,111.50977794532768,D,D,-52.47096250234235,21.02017866741546,-20.056583440956803,A,C,C,C,-72.64257720220078,C,C,157.25160646129075,-127.61876412639046,68.18140586229293,C,20.901513999080414,1
Divorced,Hindu,Other,188.60903660197795,D,D,105.0246539770137,111.91856903759523,-110.44488757567935,D,B,E,C,-173.85598911974765,C,D,-20.938796865019967,-9.851744561229946,-69.4814316479937,A,-5.541849768852093,0
Single,Jewish,UK,114.98490947950894,D,B,92.82513201900728,113.16005689303199,250.38401213491332,E,D,E,B,115.77944018363229,E,E,79.28684587532085,233.06956541424913,95.16432324024866,C,-51.46860705654284,0
Married,Buddhist,Brazil,-94.47770562713201,A,D,46.473805341114655,65.60364014767939,44.50266623464547,B,A,C,E,-21.81122447025797,D,D,23.19610894034753,-47.355953678263326,44.4273551184818,B,-16.96919360294462,0
Widowed,Christian,India,17.01839025260883,E,C,-129.70109834460482,-97.38108577429038,32.16962080042095,D,B,B,D,43.438765186199326,C,C,-53.27993824639757,-26.239011191490796,210.769896049763,B,-31.262020928019773,0
Married,None,UK,385.3712357175078,D,C,-35.35739211406631,59.943264346729286,182.3068168909887,E,C,A,E,144.36811803455797,B,B,-177.05148046775497,-9.098801347768891,-144.29028107023515,E,34.724013434721684,0
Divorced,None,Other,-73.28386325781973,A,B,-58.96597250269463,80.65136097116171,-96.80772842557106,D,A,E,B,-10.106163486567318,A,E,101.95945825127977,111.91251928099408,-74.56537421843619,C,80.54891495406578,1
Single,Hindu,Brazil,114.19164962286996,D,E,-186.58755153809938,4.449993970645955,93.61124238893106,E,B,D,E,155.84419988296534,A,E,-6.626618995601506,10.737524505251972,-69.94284418181753,D,-127.92137076289494,0
Married,Christian,India,-100.69692004477521,B,D,61.83261049653157,78.33234016282144,124.40108455920202,A,B,A,B,231.67986598915311,C,D,55.75529321443143,-91.26300475658417,-22.546063134492382,D,-117.26122896101141,0
