anos,Race,age_range,Nationality,feature_0,feature_1,feature_2,feature_3,feature_4,target
76,White,51-65,India,142.5399348088445,B,C,C,C,1
55,Black,18-25,China,24.715940390448406,B,C,E,B,1
33,African American,51-65,Other,-172.24394331250696,B,B,A,B,1
60,Black,65+,Mexico,94.02050112174632,B,D,E,D,1
33,African American,51-65,UK,158.55671528240262,E,C,E,C,1
51,Hispanic,26-35,US,13.216270961408155,E,A,A,D,1
27,Hispanic,18-25,Brazil,-24.344133667560904,E,B,E,B,1
53,Black,18-25,US,124.62129260519583,A,D,C,A,1
51,Hispanic,18-25,China,-162.9120734978041,E,C,C,B,1
68,Hispanic,26-35,India,36.497318313642374,A,B,E,B,1
20,Hispanic,51-65,US,137.64479252950156,A,A,D,A,1
23,African American,26-35,Other,79.92159097318863,B,E,B,D,0
36,Hispanic,65+,Other,48.45612692141618,E,A,A,C,1
79,Black,65+,Mexico,-111.70040069690069,A,A,B,D,0
64,White,51-65,Germany,90.63340948113736,B,D,C,D,0
47,African American,65+,Germany,-17.69170524071006,A,C,D,C,0
18,African American,36-50,UK,-93.35555858931927,D,C,B,C,1
21,Hispanic,51-65,US,-68.74524157641724,A,C,C,E,0
39,Hispanic,26-35,Mexico,125.93499977817552,A,E,D,A,0
79,Other,65+,UK,-13.079598238562685,B,A,B,D,1
42,White,65+,India,206.3789702502595,A,D,C,A,0
27,African American,65+,Brazil,-183.15947214248746,C,B,E,B,0
64,White,65+,Brazil,8.7907417225003,A,C,C,B,0
77,African American,36-50,US,96.86832733112378,A,E,B,E,1
65,Black,18-25,Brazil,-19.889049030841996,B,C,E,E,1
72,Hispanic,65+,US,-43.64125988749483,E,C,D,A,1
62,White,26-35,China,142.89205757540066,C,C,B,D,1
59,Black,51-65,Other,60.05714600985187,B,D,C,C,0
40,Asian,51-65,Brazil,104.19188587143726,C,B,C,B,0
37,White,65+,Other,-44.706064154864784,A,E,A,C,1
58,Other,18-25,Mexico,62.233383385888686,E,C,E,E,0
78,Hispanic,36-50,US,63.71420188819168,C,B,B,C,1
55,White,51-65,India,190.13612251778986,C,C,E,E,0
56,Black,65+,Other,97.76106820310314,D,E,C,D,0
65,Asian,51-65,Other,11.195061852059256,A,A,E,B,0
45,White,51-65,India,-107.09521717415306,A,A,E,C,0
42,Other,18-25,China,-28.142865235203214,D,D,D,A,1
75,Asian,36-50,India,150.89052196657315,D,A,D,A,1
19,Asian,65+,Other,-160.9516821466935,D,B,A,A,0
39,Asian,18-25,Other,-79.89627260026914,E,C,C,C,1
52,Other,18-25,Other,81.66470207953392,D,B,B,B,0
64,Other,36-50,US,46.359836138812945,E,B,C,C,1
29,Asian,51-65,UK,-34.28965860185561,A,B,E,A,0
55,Black,26-35,Mexico,-60.66197433541731,C,E,A,E,1
47,African American,26-35,Germany,-216.26544006730035,C,B,B,C,0
35,African American,18-25,UK,-117.59833725501557,C,E,E,E,1
32,African American,26-35,Brazil,81.41449254552457,B,D,C,D,0
55,Asian,36-50,Germany,-169.08010727962684,D,A,D,D,1
58,White,51-65,China,109.53602388889128,B,D,E,D,0
49,White,18-25,US,76.59349179189995,D,A,C,D,0
56,Hispanic,26-35,Germany,-1.3110788473071509,B,B,E,E,1
58,White,65+,US,-65.75574792257872,B,E,B,D,1
32,African American,36-50,India,47.42043635261408,E,A,B,E,0
43,Hispanic,51-65,Mexico,-134.2931829364886,E,B,A,B,1
25,White,36-50,UK,16.92700508000413,D,A,E,A,0
59,Hispanic,26-35,US,207.99771403240436,D,D,E,E,1
22,Asian,36-50,Germany,8.55353463446581,E,C,C,D,0
44,White,26-35,Mexico,109.18128740916863,C,D,B,E,0
64,African American,36-50,Brazil,133.535699608175,A,E,C,E,1
27,Black,18-25,Germany,31.038941171151603,A,C,D,E,1
66,Hispanic,65+,Brazil,130.13317043404052,E,C,E,C,1
79,Black,65+,UK,-60.698787750437155,E,B,B,A,0
49,Other,26-35,UK,110.0823979949334,D,E,D,D,1
23,Black,18-25,Germany,-49.46069431716788,D,A,B,E,1
43,African American,51-65,UK,-140.29095795510779,A,B,B,E,0
58,Black,51-65,India,-72.44703645631112,B,A,D,B,1
40,Hispanic,18-25,Mexico,115.16536980876427,D,C,A,D,1
25,African American,51-65,Mexico,91.22802293723217,E,E,B,E,0
32,Hispanic,18-25,Mexico,-93.84885092507761,B,C,B,A,0
77,White,36-50,Brazil,-6.037795027025224,C,C,C,B,1
49,Other,36-50,China,-73.52606947817854,D,D,A,D,1
62,African American,36-50,UK,61.75470815906535,D,E,D,B,1
18,Other,18-25,Brazil,50.07589397293177,A,B,B,E,0
62,White,26-35,Brazil,29.219606118311113,B,E,A,C,1
53,Other,51-65,India,39.98777183963351,C,E,B,A,0
68,Hispanic,36-50,US,-41.243590810881635,C,B,D,B,1
28,African American,36-50,US,-174.52704383858259,A,E,E,A,0
68,Black,26-35,Germany,62.236800797251746,E,D,D,B,0
61,Other,36-50,Other,-16.9228160664118,D,E,C,A,0
65,Hispanic,36-50,India,-58.418782166225625,E,C,C,E,0
59,Black,51-65,China,73.0002537803725,B,D,E,D,1
55,African American,65+,China,1.446533956938022,D,E,C,B,0
35,African American,51-65,India,-119.28194488736435,D,A,E,B,0
75,Black,51-65,India,72.58263621614277,D,D,B,B,1
34,Black,18-25,Germany,-89.94207884847965,D,A,B,E,0
19,Hispanic,36-50,Germany,41.8448235827026,C,C,B,E,0
22,Black,51-65,US,88.48402599285879,C,A,D,B,1
45,Hispanic,65+,Brazil,-163.92438897122562,A,C,E,C,1
35,Asian,18-25,China,-51.56761880533899,B,A,C,C,0
77,Black,18-25,US,-86.31465451144508,E,E,B,A,0
61,Black,36-50,India,17.687022903201438,B,E,B,B,1
59,Asian,51-65,Other,137.98797352584202,B,E,D,A,1
39,Hispanic,65+,Brazil,-103.15339939722408,D,D,B,B,1
