age_range,Nationality,birth_year,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
65+,Brazil,30,E,E,E,E,171.04342566524895,37.63272157979258,0
36-50,India,28,A,B,C,D,-15.850698471827979,-46.530009236275724,1
51-65,China,56,C,D,E,A,86.7408701060618,-18.967887712564053,1
51-65,US,55,A,A,C,E,137.18394197091442,148.64267397612295,1
65+,India,37,B,C,D,E,-2.220141400517655,-51.64028187762961,1
26-35,Other,31,A,D,C,A,79.67736920861633,296.11521775692677,1
26-35,India,43,D,C,A,A,41.71786365559714,59.646069507340194,0
51-65,Mexico,25,E,C,A,A,90.8558300268727,18.736649318651864,0
36-50,China,26,B,C,D,A,87.03905719222693,33.88721265624842,0
26-35,Other,21,E,B,E,B,-84.82851528893619,86.93628136872339,0
51-65,India,36,C,D,C,D,-153.4445489311494,-38.34581639014555,1
36-50,Germany,74,C,E,C,A,28.42671030331003,-60.33061696697787,0
26-35,India,63,A,D,E,A,-96.34620742858918,-255.98533122317178,0
36-50,Germany,44,A,D,C,E,1.016030839879814,259.5704942657505,0
36-50,Brazil,62,D,D,E,A,-89.84543619361445,-87.86265334376576,0
18-25,China,77,A,C,D,C,188.41899869881502,-72.73946616114874,1
36-50,Brazil,56,E,D,A,E,120.71421446900479,20.332993555505002,0
36-50,India,73,E,C,E,D,126.18256715530849,-66.16022875641555,1
51-65,India,23,D,A,A,A,23.108024190383748,23.13625335687399,0
26-35,China,60,D,D,B,D,-20.89382859438182,-129.44084555703967,0
18-25,India,57,B,B,B,D,-157.60165152201247,89.93820540412736,0
18-25,China,45,C,A,A,B,45.3289855440147,-83.46120540664978,1
26-35,Mexico,36,C,C,C,E,-75.28054595591378,-51.313986073403974,1
26-35,US,22,B,D,A,B,13.545462015196055,-33.562952007441915,0
51-65,Brazil,35,D,C,E,C,155.16256756444443,-163.08291001857,0
26-35,Brazil,34,C,E,D,E,32.31313299214559,-53.67314005486647,0
18-25,Other,26,D,D,A,B,54.59708455557352,-86.01549823805306,0
26-35,China,75,A,A,C,B,-195.05813292575968,-6.3963055250129575,0
18-25,UK,24,E,C,E,C,-96.96558282066312,-95.39214282903089,1
18-25,India,27,B,E,A,C,-165.33740215893255,143.75154225336257,1
51-65,Other,70,D,E,C,D,-27.556605263981947,10.82720866913055,0
36-50,Germany,69,E,B,D,E,-68.08572995101633,-116.37996309264642,1
51-65,Germany,20,D,A,B,E,-14.398425878542806,4.194170730630058,1
18-25,India,56,B,A,D,E,38.70734026984975,117.55345775395742,0
65+,Other,35,C,B,C,B,-82.17011214538792,25.262099558429675,0
18-25,US,79,E,E,D,D,10.17428978354519,107.27622112563651,0
36-50,Other,64,A,D,E,C,-76.32655086955828,117.24486024236546,1
51-65,UK,32,A,C,B,D,-21.792056868145604,-77.26301466647946,0
65+,India,23,E,A,C,E,-248.3671797067859,151.5646512956675,1
18-25,Other,39,A,B,C,D,108.78169369672179,27.843253711617592,1
51-65,Germany,73,B,A,D,B,31.46980951308257,-96.6267729191591,0
51-65,Mexico,39,E,B,B,E,8.730569872183585,-104.90320121687124,1
36-50,Germany,55,A,D,A,A,69.30716624036852,83.46933654412435,0
36-50,Mexico,66,D,A,D,B,-19.00202948910544,56.81810947969586,1
18-25,Germany,47,D,B,B,C,143.9454553641981,81.74316406213134,1
18-25,Mexico,22,D,E,C,D,-140.7152984363184,-86.55441513537956,1
65+,UK,21,B,E,C,C,-49.314657244218616,61.0537148155944,0
65+,US,56,B,D,D,A,-18.49621167916609,-84.7098566022811,1
51-65,UK,49,A,B,C,D,-173.43145031939443,78.65871957535802,1
51-65,China,22,B,C,D,A,74.64594041116708,43.256773352290665,0
51-65,US,65,B,C,D,D,-75.09931649626263,-72.1495140820438,0
18-25,China,75,C,B,D,A,15.951652568601812,17.656477601832325,0
18-25,Brazil,34,C,B,B,D,-240.37934972257938,-32.2008718191272,1
65+,Other,48,A,D,E,C,199.3213075351981,-9.547066538794976,1
26-35,UK,34,C,D,D,A,56.079355443349364,111.56260051091549,0
18-25,India,27,C,A,B,D,97.40942131131861,-93.11649562197913,1
51-65,India,75,E,A,E,E,-113.90498088701226,75.83720735953418,1
51-65,Brazil,55,C,A,E,C,17.538489869382857,-264.6111206530842,0
36-50,Mexico,61,C,E,D,B,205.58475130694487,-174.00558846202895,1
51-65,Mexico,48,B,A,E,A,78.27529622357153,26.498164528245027,0
18-25,Other,65,B,C,E,E,62.12610896981974,20.87681379389316,1
26-35,Germany,65,A,A,A,B,47.487343691081755,-95.02579991676032,1
65+,US,21,D,A,B,E,-91.10941176442489,22.331471800165254,0
51-65,India,29,D,B,E,B,-87.14685909344084,-28.084719600265828,0
18-25,China,42,A,B,B,A,87.74089007331273,39.76053331741338,0
65+,India,27,A,D,C,B,157.62530833842115,47.30415413670119,1
65+,Mexico,40,D,D,B,A,-20.86999862842433,32.48104240596659,1
36-50,China,58,D,D,E,A,-58.69193448110946,-234.47633713647673,0
18-25,US,38,B,C,D,E,3.3609183959076665,-69.80618711363029,0
51-65,UK,26,E,E,E,A,11.517910940719888,71.18474881337848,1
36-50,India,24,C,D,D,A,63.03431729503649,67.07757604727806,0
51-65,India,24,A,C,E,E,11.911791577339049,68.84647534768192,1
65+,Mexico,43,C,D,E,E,19.584914007495918,14.180856203060744,0
51-65,Other,48,E,C,B,C,82.13678699689308,72.13204937313289,1
65+,India,76,C,A,A,A,55.31885457350798,-157.13330615614382,1
36-50,Germany,52,C,A,E,B,-58.78390586114705,107.78615685340027,1
26-35,Brazil,47,E,E,C,D,-174.0191443962921,-153.1825237853777,1
65+,Other,32,D,D,E,D,-151.07088330732395,71.06230497600035,1
26-35,Mexico,47,B,E,D,A,5.681405317159902,134.92417375506577,1
51-65,China,47,B,A,A,B,-71.1102820197013,258.5560195875429,0
36-50,India,61,A,E,A,E,14.224683157447798,-10.965408629048024,0
51-65,Germany,28,C,E,D,E,62.911007655606596,-59.26745695598614,0
