orientation,RACE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Other,Hispanic,A,-171.7606398257211,B,135.3855363067725,E,75.98219447474247,C,1
Heterosexual,Black,E,-1.015390208697985,D,45.67599952226943,D,204.2878618971424,C,0
Heterosexual,Hispanic,B,-80.7165875040594,D,-55.913017027148506,E,28.680790890988874,D,1
Heterosexual,Other,A,48.78324357893616,E,2.0810217735231005,A,-26.397514489473085,B,0
Heterosexual,White,A,46.337741118646235,D,-207.11338064401167,D,77.04102716393902,B,0
Other,Hispanic,A,-23.684973614526438,E,-233.58437566570367,B,173.08777561110858,E,0
Other,African American,E,200.67746821891484,C,-123.3425077123723,D,-189.00058838479487,E,0
Heterosexual,White,C,106.61586746479783,B,87.87513960312987,D,-13.20311829585885,C,1
Heterosexual,Black,D,71.2434946106175,D,-4.138812663616552,A,-27.986196163339333,D,1
Other,White,D,12.742868437760983,B,119.76057030108942,E,-268.4396699143461,B,0
Bisexual,African American,A,-11.040802745149017,D,29.714861147637293,D,221.14163943741016,E,1
Other,Other,C,131.8777917035241,A,-27.89858797043007,B,150.2064152939834,A,1
Other,Hispanic,A,78.83045326470042,B,127.91915739255808,E,137.12203893722622,A,1
Bisexual,Asian,E,43.44014677020035,D,40.87466487755068,E,-3.8219039066488354,A,0
Bisexual,African American,A,137.06685228205086,E,174.12179158432582,D,88.10433195855062,C,0
Homosexual,African American,A,-14.885036018779168,B,-47.123543831254835,E,-12.661819433685457,E,0
Other,Hispanic,D,9.643098185191237,A,127.09771070022,D,4.478245047582808,A,1
Bisexual,Other,D,-113.9783653843494,C,134.36804096577785,A,9.75673278231185,E,1
Bisexual,African American,A,149.75518723347093,C,-151.42133664998113,A,111.48079677594683,D,0
Other,African American,C,-113.24741441828262,D,123.07067551145265,B,-28.19741737878286,B,0
Heterosexual,Black,A,31.581798966039642,D,104.5284220255775,E,-147.61326086758888,B,1
Other,Other,D,-29.639582644112465,D,29.911751510267308,A,-87.54375644486827,C,1
Homosexual,White,A,-90.12837834383517,E,7.777052232282168,C,59.57321016065524,D,0
Bisexual,African American,D,-89.48241838566389,C,285.7872494121202,D,-102.20423719903462,A,1
Other,Hispanic,B,53.77957779074192,D,118.85616915099082,A,-23.34599670443175,A,1
Heterosexual,Other,A,-178.3628604520111,C,-46.30876621139744,D,18.57795076529597,A,1
Homosexual,African American,E,-63.52628065842782,A,-88.04301782892226,A,-18.774455920050354,A,1
Other,Asian,A,115.23866312886564,E,-29.01112534453496,E,-18.387757375240646,D,0
Homosexual,African American,C,189.07992525070503,A,226.2211844826564,B,161.8607437246404,B,0
Bisexual,Other,B,6.247114251298571,A,80.11193828266154,D,99.18094694341781,A,0
Heterosexual,Black,E,58.499297153793215,A,80.23352323629024,C,45.916321874589634,B,1
Heterosexual,Hispanic,A,156.5994113662681,B,-12.57400434152455,E,2.456430548366425,C,0
Other,Hispanic,A,212.3270976114225,D,34.207995413113125,D,133.58412300950738,C,1
Homosexual,Hispanic,D,4.114775374568418,E,95.2559349550014,D,28.512922814534488,A,1
Homosexual,Asian,A,-15.344139908471705,A,10.348803776826882,D,29.273188980012254,C,1
Other,Black,E,6.461414382705731,C,-14.466977085444247,C,-24.71906147335201,B,0
Heterosexual,Asian,C,80.71954964744901,D,-69.855451090408,B,-43.6959131432005,E,1
Other,Other,C,-17.99011379388718,B,59.755018064476594,C,133.9305770184364,A,1
Bisexual,Hispanic,C,192.27274887844186,D,-15.296100368636663,B,-185.55688562163846,B,1
Homosexual,Black,C,-92.93498131792913,E,53.07961265774783,E,43.00518057821724,D,1
Heterosexual,Black,D,-263.7255890295066,A,2.347229814227915,B,65.22318371599194,B,0
Bisexual,White,D,-120.67677976500251,D,-60.00584750350962,D,28.89084866812767,A,0
Homosexual,Asian,A,-97.8525624429423,E,111.55354977554637,A,-65.11590339546106,C,0
Heterosexual,White,D,-58.042041732618635,D,92.9248886566212,C,-61.539915433657,A,1
Homosexual,White,D,93.95031626542163,E,145.16502640279992,D,93.38631587454907,C,0
