Disability,orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
None,Heterosexual,C,E,-69.11298528093774,D,A,35.23683052406918,C,-37.98326622679299,B,-58.68962396171715,-294.60921618148376,B,B,-121.01194489283735,D,D,0
Yes,Heterosexual,C,C,-36.61323478861158,A,C,-100.56259084852476,A,-150.2315817554301,D,-23.043593015563392,40.584062524780975,D,C,24.199757659663014,C,E,1
Both,Other,D,A,141.26458586395051,A,B,54.94380845874567,A,91.87210147287078,A,63.28500667521738,-14.500944801359411,E,A,182.0311039525123,A,D,0
Both,Bisexual,C,E,-112.02507659962122,E,E,138.71735632833727,A,-9.752822036691263,C,-69.84542608965594,-44.84185731814902,E,D,-18.087796736852244,A,A,1
Both,Heterosexual,D,B,75.17370507767717,E,D,354.10130073941815,A,94.48702010097942,D,-110.55797326647586,-100.59375953619,B,A,-35.36907315091631,A,B,1
Yes,Homosexual,E,E,-180.93264268815668,C,E,48.78604813165545,B,-116.92534902443488,D,80.37371660251945,-38.0564798218791,D,B,-9.204932674182684,C,D,0
None,Other,D,B,-82.38093414994744,E,D,-255.21873294902085,D,57.269056599842635,D,-17.107687471674737,217.4628149477011,E,B,133.59633513676786,A,D,1
Mental,Bisexual,B,C,-181.5258283975909,E,A,94.49732152325875,B,215.4338736230442,B,203.1768732882115,-81.83027780367897,C,C,-64.21826966179718,A,D,0
Both,Bisexual,D,E,30.862931366592804,E,C,68.60975071565802,C,148.41861047017196,B,11.145564471183368,-9.503586921724846,B,B,-96.61794021645898,D,B,0
Mental,Heterosexual,A,E,70.04116016998138,D,E,-18.960973803711152,D,76.9436775684454,D,1.5221257000645445,-89.80143366026257,A,C,38.04695911876304,D,A,1
Mental,Heterosexual,E,D,-31.206077378024666,D,E,196.51573423342325,D,-144.67378109075443,A,-8.456553869677725,-33.94059489827606,A,D,-63.984314761688225,B,A,0
None,Homosexual,D,C,-188.34610376707167,E,D,-20.46504787225248,A,4.438858239169857,D,-25.94369988377412,-44.803343377366986,D,C,-29.44165011333988,C,B,1
Yes,Heterosexual,B,D,18.485250388729362,C,D,231.88620255153953,E,-86.39834119801702,C,-139.83868777791082,102.7513490133474,C,B,109.08971133558356,E,E,1
Both,Other,A,E,-65.83825709250078,A,C,-88.66841838779376,B,-172.57088121890723,B,-61.59587445551564,-37.36684052014709,D,D,-11.51046117789364,D,B,1
Physical,Other,A,C,-64.06343213475209,A,E,77.43455409351219,D,22.535888309101697,C,98.94495512407606,-54.66551400342519,B,A,-127.63840160979277,B,E,1
Mental,Heterosexual,C,C,-156.78263493680373,E,E,199.7355874400358,C,47.85698468874358,C,-85.82943830734881,-89.87204495010761,A,E,-24.768495446375553,D,B,0
Mental,Heterosexual,D,D,-92.13401481991662,E,D,60.71890933939332,D,-126.80168714094255,E,91.97960323353517,27.67642985379962,A,D,-115.29652655907097,A,A,0
Physical,Bisexual,E,A,10.39190211370479,B,E,-94.4972353988742,D,-82.48572172665209,E,1.578952502096271,-29.612508189754156,C,A,62.546443580932255,D,A,0
Both,Homosexual,C,D,182.90695194312065,D,E,17.007739665543856,D,51.94613852126652,B,201.37041491089826,-233.67564612715722,C,B,45.14567361826878,D,D,1
Physical,Other,B,C,-66.47339844109372,C,D,135.81989319542356,C,46.3912554058146,E,-183.77418507012123,15.742780121427796,C,E,-37.14404058748592,D,B,1
Both,Other,C,D,-169.20928594360447,A,C,-54.88572406712476,D,-231.63964182446088,D,140.33590370717474,150.92755537850962,B,E,33.1963211427489,A,E,0
Yes,Bisexual,E,A,-94.89537102956038,E,B,21.172865788438205,C,-1.030158586872384,C,-98.28495335058312,-12.860607648829877,A,E,-56.193900363593286,A,D,0
Mental,Homosexual,A,A,63.987212038476585,E,B,16.228043505155814,E,-82.05037217405668,D,-174.29158173773868,163.37118349390175,B,C,64.10733470826685,C,E,1
