civil_status,Race,AgeGroup,veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
Widowed,White,26-35,Yes,E,146.8214410424898,1.7012736160769057,E,48.96157726570722,E,115.46975424087576,C,C,B,62.350309714040854,-33.41179517371452,E,E,-20.432134413487397,-153.6887454906722,A,C,-153.40956706074908,0
Divorced,Other,18-25,Non-Veteran,E,-34.68648654982032,2.3964655189143023,B,-15.183703598665282,D,15.46606960571495,A,E,D,46.74258423714488,-26.53201631170402,E,B,-258.08168762838073,33.380259684911685,E,C,23.728775631227784,1
Widowed,White,65+,Yes,A,68.62176162085157,-110.86618748774293,D,113.62609323686526,B,-98.6029452067217,C,E,B,-105.42028320498713,-73.83410198106264,C,B,0.4875498570047157,-218.27338401669994,A,E,-12.250523531784237,0
Married,Other,65+,Yes,A,-106.79740896593191,-67.65733148160515,B,-93.7835784381133,A,35.5049646497005,A,C,B,-200.97247715492003,56.688069526963424,A,E,188.01222783634796,131.46183807985003,C,B,6.7637864271714685,1
Single,Other,26-35,No,C,-70.03821899093012,-177.53403877850278,C,-185.09432773686578,B,-54.74457570797186,E,C,C,7.673479876625944,71.18281997919964,A,A,116.60619497207172,141.11762443242324,B,A,-156.87522460555343,0
Divorced,Other,65+,Non-Veteran,B,21.1235145549615,-20.20973982369446,D,189.65578558365272,C,18.74037642375811,E,B,D,-6.533032449419969,-172.21192776113855,D,C,-22.349563571775438,91.36181895789619,A,D,64.59227362774033,0
Single,Black,36-50,Yes,E,31.53247536888521,-107.2213534189024,E,-79.266108821464,B,134.42795560089618,C,A,C,-76.05724424445275,-75.059560940808,C,D,58.49755574193844,-71.74755390338284,D,E,28.099592859964815,0
Single,White,18-25,Non-Veteran,A,122.95752499156983,-121.27737953159014,D,16.772544987249383,B,-11.62037398673799,E,D,A,113.53381479151277,-23.841729386304646,B,C,120.5279805612427,-287.7340946670423,B,C,32.69349770888195,0
Divorced,Hispanic,51-65,No,A,-162.238348734555,168.63477621896882,E,58.81068343621614,C,19.70921848689671,D,C,D,-8.286385997283988,26.74448868263548,D,E,80.39667428823915,-111.98895938420775,A,E,65.4685243212225,0
Widowed,Other,36-50,Yes,C,-30.526161861029806,-196.5736341612492,D,-43.2339834283894,D,-31.23722516851074,D,C,D,48.95094029352541,31.855470477554903,E,E,-88.94412171361404,-7.386491993745609,A,A,9.31868041658319,0
Widowed,Other,36-50,No,B,156.02293812016774,-21.134222312850408,A,1.944349681157451,D,-25.965765503484818,A,A,C,-0.4229164018417593,-178.67284457515348,E,D,131.06540590749503,10.57925268896034,C,B,-176.7309180550668,1
Divorced,Black,51-65,No,C,-54.801332391906286,-7.143987700500372,C,-175.75754762873416,B,-30.49253033056194,D,E,A,-84.05284053243234,-10.465236246443443,B,D,-29.425667705776114,48.48563727569601,C,A,20.301829897387165,0
Divorced,Black,36-50,Yes,C,88.04132152901889,-49.01944135759593,D,-156.54425208463363,C,13.766936006716108,D,D,D,71.23457596905752,127.16165352373605,A,E,-53.280912732954846,-139.10962259614848,A,D,-60.868628865602446,0
Married,Hispanic,65+,No,A,34.40596445351242,-23.103698957906676,E,53.58683040640815,E,-155.5463225961117,C,C,A,-195.65750566959736,-55.268581876134974,E,B,-18.649338858017007,23.94219422083445,C,C,224.992818111532,1
Married,Other,18-25,No,B,30.522887001301562,-47.894403874466576,C,-88.65498516884726,A,-163.59248775871052,C,C,D,81.85138886408154,31.088696911278934,D,D,100.17894089765574,209.4936460095289,D,C,154.28833030380486,0
Divorced,White,26-35,Yes,D,-75.68988778570161,37.94255336942245,D,-4.57044748072123,B,166.25155547199316,C,E,B,258.41519443976284,32.380962881248415,D,E,-42.431055047593425,-68.74713484730256,C,C,-133.03852824369125,0
