faith,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Buddhist,-94.13757278093657,-16.020901525579017,95.61238000431656,-266.0698859802682,C,A,-22.77243906635684,C,A,C,-24.237361893515125,C,194.7519172545405,-78.05388907204531,32.47847553950268,-29.612496494522787,54.9083995113898,1
Buddhist,-5.0160003843483025,18.231540969235727,-72.16329266365845,83.69417616030702,B,C,-4.673445105403462,C,B,C,7.46741086254917,C,57.31846005430549,-23.851484515849315,107.093821240159,-95.19428437323036,-36.91896492132563,1
Buddhist,-34.558691624156694,-107.63028983985,19.490940402043062,-73.48410088249,C,B,46.82565113977534,C,E,D,132.22012291361216,D,73.95923061862104,185.0724698592135,-88.07256572241248,159.46948278837556,-7.8539958230570015,1
None,26.10245208585645,31.032056517103474,-178.6549612741742,-77.63254357072915,B,D,120.31239712847362,D,C,E,1.5200706234740946,B,90.72722235691522,-69.37623321939424,-142.70427312638537,-129.99538173158646,-237.8991302833457,0
Other,90.75593917602998,-0.22356734871812126,-25.32166955296613,-58.015993380019424,A,C,70.10780467080477,A,E,C,55.840961059443714,D,-21.658574976508092,-13.25238883759081,60.92731504793958,-154.6966631150863,41.9930171682319,1
Buddhist,-54.23172565151502,19.96983149919712,63.91323708720823,-86.89232235690125,B,B,-1.1470567673749261,A,B,E,33.31421165477701,A,142.58366440369392,-173.79320916619153,75.76565781191746,-89.2362948588634,132.90207855610342,0
Muslim,92.7877696954587,128.3911143355934,-72.6778916200313,-12.133616314681566,D,A,-41.94413069250763,D,E,A,-262.89301284160774,B,-224.25437066926017,24.622622020261375,26.02144438597762,37.38076087195452,-78.94332232623744,1
Buddhist,172.62003418689343,-34.904054866067966,-16.623145288886953,65.34105683496284,A,E,2.193892777336358,B,D,A,-291.94245512235915,C,15.748142992088823,18.201666746214542,47.127091444511294,52.955064046540635,37.324321830583884,1
None,-195.12321333171252,34.51463084299791,171.64070631950648,47.17613219493687,B,D,-16.9637472772987,A,B,C,150.83423459622122,C,64.23949569204099,3.256898438442682,40.19671016883806,48.39701852395212,-78.01226603165351,0
Buddhist,-61.83093549405307,108.16329677096499,-31.32648659333735,18.236916232277125,B,D,76.57313560182347,C,E,A,2.869746284619662,E,34.19707073878458,116.6975449531934,144.11164181169448,-29.17711868192951,43.19440228734945,1
Christian,26.486413936250962,-76.72392688098446,-17.50948538098731,56.52242981943169,C,D,83.37738256773876,A,E,D,-156.19555579721245,E,-14.58677656400307,-127.5188988186386,90.74622666497717,-3.8204550002433306,-108.5535560677776,0
None,-5.1080976711378145,-59.29865538476498,82.2922856030336,-187.90190693304208,B,C,177.58259154814255,E,B,C,-29.08263450947289,A,-16.583358429115325,-4.164646686565371,-40.42548701804207,-12.662424625057215,-0.5158635880143864,0
Christian,3.385669033762077,44.00684506624255,-44.4042553867808,-138.1100994685824,A,E,73.0694971514122,C,A,E,-99.04526484671094,B,-113.58854146384402,23.926800971536977,-10.129456937979379,112.55019580233724,-0.5816398361532448,0
Jewish,114.66383452301065,151.32306153787718,143.82221521871526,-68.16621336032557,D,A,213.57175788960626,A,E,D,-9.321057823571202,E,-69.30166270143563,45.83765877868715,-11.98174359845437,133.23965192113255,-125.70514736818954,0
Other,-26.767349541569473,58.94678018426352,75.63151137199706,83.37370653080016,B,C,-57.86160345049548,D,B,C,-35.31730771317348,E,191.33316762025575,-0.18020725295337942,-88.5825755068557,-60.45730975671437,-147.30128133126675,0
Jewish,-77.62119282544234,-60.23913396434061,-226.6346189354023,35.280615010075536,A,C,-59.12220291767315,A,C,A,84.70608536276995,D,-2.5479505009062615,-92.53355316042602,-30.48201532151598,15.895513595667095,17.08464745112557,1
Muslim,65.28790262006802,-26.620913165118914,120.24278987769921,205.21302668222305,C,B,-12.918370553080976,B,C,D,112.7983377084628,C,-27.54660823623654,34.81071460412144,33.9113787013038,-41.43225598615615,20.565324846625256,1
Other,-133.33474185743836,-139.49328666995046,112.46445929393663,-109.41703613923018,C,E,19.747735143782542,A,E,D,37.51081630031711,C,98.5678668781856,-48.25261581815601,-154.44950703579826,-62.12600870848459,61.187920458514554,1
Jewish,-22.17111835104172,-91.03546986620911,-15.213653905658846,47.32721447721167,B,A,-147.52791725408022,D,C,A,100.09311056873493,C,11.34067369875637,22.91828110639521,40.52479527164087,137.68998218183884,-67.7587237311094,0
Hindu,14.201891102051409,-47.80026142970356,114.28219020444052,-8.112146338736736,D,D,192.55487892509566,C,E,D,-140.46072847739413,B,242.66248609709695,-4.326199963570096,-133.72553995622326,-108.55439461710057,69.43704810946107,0
Christian,6.254466172380833,35.24781834118983,-43.54012447729199,127.26175228575252,B,B,-17.276295815173306,A,B,C,17.802200748721543,D,51.99982032629048,75.77091026563296,-0.9046373252589893,-8.339741064527933,23.365301475557317,1
None,91.66228205107568,-145.444694350825,91.18998228240216,-181.08456525091682,D,D,-43.772998413399975,A,C,C,84.6192979360738,A,108.25857546986282,-110.89839587030642,-73.52685891497367,-36.30929920810267,45.41077650402012,0
Buddhist,87.42458470300706,58.56447163346047,66.10491274192434,-45.575301711701634,E,A,52.418606152704506,E,B,A,184.7650408855661,D,171.73583764725657,40.26719001649261,47.621688106117425,-22.103875225159555,-71.9902542631489,0
Muslim,54.77108134231595,5.9239352937471,123.93748331916585,255.32708430583259,E,B,66.58715858740727,D,B,A,76.48434866008041,E,-89.03790337964004,-186.34711564912698,-57.356070471767254,87.94486076920477,-144.5573775790417,0
None,21.21378721997094,-48.01594729694856,-95.2345286955306,-73.59137376364994,E,E,97.72183174179627,C,D,C,87.67270655191236,C,-170.0691129994008,25.45519552515454,169.05819624602125,78.39239640541624,6.155523567709325,1
Buddhist,67.82827089471775,-208.5339559831323,-64.59918422258696,34.58466501939028,D,E,151.36532608782554,C,A,E,155.613158847739,C,131.73377875933778,-64.04717022269212,-11.62545531903459,142.4252589439435,139.12998807384818,0
Jewish,-59.26659361714059,85.34911550161881,97.54988934547649,66.45982173042442,E,C,-8.59756075940482,B,D,D,15.552365234999034,A,-212.04072738343118,-123.12027824513585,-18.527079102889594,44.00708013099407,273.4351452899705,0
