civil_status,gender,feature_0,feature_1,feature_2,feature_3,feature_4,target
Divorced,Other,44.811638269017976,B,C,29.00014204429891,23.225235282414996,0
Married,F,34.61066510248661,E,D,-79.17792604705842,38.61414464507058,0
Widowed,Male,-37.65773705016518,C,B,-40.51700042981895,-234.50536209823255,0
Married,M,24.781113600603295,E,C,-43.32682318110427,150.11222295054657,0
Widowed,M,-8.264356084909153,C,B,-14.27250561363762,-40.62825643102855,0
Married,F,8.861415357617632,E,B,-44.538099050219394,-113.29631845688048,1
Widowed,F,-107.42892702930484,C,E,-92.43249767211694,-118.79774610609077,0
Married,Other,-208.20191399128527,E,E,-84.01676157029726,118.41200382054402,1
Divorced,F,50.701570641879314,E,A,-100.86144616701142,-106.87980158898796,1
Single,M,-154.55745605010017,B,C,-115.01848321443029,-96.96768431157871,0
Married,Other,173.61292932947163,C,D,-3.791887821061162,-50.03881966600085,1
Divorced,Female,329.22573902427155,D,A,13.039536694517375,-78.81509394879907,1
Married,M,-22.66137083148791,A,E,20.297591945425424,-46.4223474078903,0
Widowed,F,-73.19384213242091,A,E,-13.499452441194643,169.88501931004035,1
Divorced,Other,4.168826216532989,E,C,114.68079679730519,-87.10757964940574,0
Married,F,33.17650058509969,C,A,101.30442125868204,25.74119715457131,1
Single,Non-binary,9.905184657411521,B,C,-168.61179634441913,142.99576372106432,0
Single,Non-binary,-133.77682536821987,E,D,-142.34198391030253,-15.909491213596716,1
Divorced,Female,-79.9651622908644,A,B,-49.02977233185199,-16.838678890425367,1
Married,M,52.176421577805,C,B,-119.84680686025584,-276.41290431786354,0
Widowed,Other,-82.37836508148611,B,A,-143.14002379627212,106.82562529136514,1
Single,F,-8.413779538093031,E,E,-245.45586596666817,-70.45582474279979,0
Married,Other,83.59007935932132,B,E,170.36243806749155,112.18891368188876,0
Married,F,30.760329243886098,A,B,151.3263709922776,-66.06276110056668,1
Married,F,239.46792119869613,A,D,-122.88750805784055,-132.99978025476568,0
Single,Male,-19.62290057938807,E,E,-78.0489911205434,53.09327664908413,1
Married,Female,-30.528509787797475,C,E,-188.33108570612467,104.5956742218905,0
Divorced,Non-binary,88.46720425344105,B,B,-65.21894216408829,144.44485153096122,1
Widowed,Female,-36.26105705066532,B,D,31.70663077627279,6.854431727210408,0
Married,Other,-135.47404347664326,E,D,-51.37875543168072,-22.15856266495598,1
Divorced,Non-binary,-89.66361211572594,A,E,-140.9711072594542,54.652432381225005,1
Single,Male,12.049983631160657,D,B,11.400658129159243,-1.2746654732368428,0
Widowed,M,-131.88796493952267,B,D,-100.09875736501763,-75.77033497871054,1
Widowed,Male,88.16379536243261,A,D,79.41068840308135,-57.31231717331823,0
Widowed,F,86.25225485306078,E,A,-84.30014161779592,-151.62390132746518,0
Divorced,M,-57.01138446774257,B,C,136.24797568352605,53.15645976104405,0
Divorced,F,-136.59496180602312,E,E,-86.30179828713472,78.23514983788567,0
Single,F,-128.2782212392497,A,D,-44.51343860954014,97.12206300043773,1
Married,M,-22.982629649583245,E,E,190.26911901432516,85.78359296253932,1
Divorced,M,263.77212667878524,B,D,-70.53895850014847,-65.6686716646631,1
Widowed,Male,-122.64523751001502,C,E,48.77757966441859,-112.18946186316232,0
Married,F,151.37750433753084,B,C,105.64603300246472,-106.4638690238099,1
Married,M,29.828717235380058,C,C,-37.53147153293,-49.896613407484615,1
Single,M,-76.86144552226718,A,A,102.44293208465149,-39.939010136963695,0
Married,M,-54.91279688914123,C,E,43.828142513979124,164.8698161869104,1
Widowed,Female,96.15554507820363,C,B,48.63539382175763,149.973258280861,1
Single,Male,-2.5571997969418003,D,C,-92.43218085842899,-55.207194798072365,0
Widowed,Other,83.00056301589026,E,D,126.33952251638365,-205.56831799582,1
Married,F,123.33793818903185,C,A,-6.606358990811518,-141.56750425971404,0
Widowed,Other,-117.04613505261435,D,A,130.14269579768424,-45.121513121886174,1
Single,Other,-29.232518430849513,D,E,-25.81277094068186,-71.95397515262782,1
Married,F,-256.6292827957071,B,B,87.10625383299994,-113.73712983901245,0
Widowed,Other,111.9119366824436,A,A,87.98114557364886,-120.95375388887209,1
Married,Female,-112.26252177050601,D,B,24.494025337007464,185.53557721200252,0
Divorced,F,-27.680658144210547,A,B,213.56619649112102,31.81941440630424,1
Widowed,Female,-116.49520304779186,C,D,20.20291526863792,82.47187491336267,1
Divorced,Male,-143.1753207206774,D,E,-35.03596703013546,-30.891032462448496,0
Divorced,M,14.132060427694999,C,C,248.80448412461328,-101.3735482343045,1
Divorced,Other,16.595721497684867,C,D,-98.34054237331469,-8.861007560785703,1
Widowed,Non-binary,-109.06696320034838,A,B,47.10514823577587,122.61047611733918,1
Single,Other,-102.02930369143353,C,B,-53.49248236105034,-110.10348801725387,0
Single,Non-binary,7.335359805077271,C,D,227.92767296022282,-87.8406607051825,0
Married,M,-13.409844841483512,C,D,140.1883410144707,-71.78163279247681,1
Divorced,M,21.768818032952435,C,D,-121.19666528137924,-62.431996040922456,1
Divorced,F,-14.589038362028923,E,D,-61.69694060120325,57.205449011258516,1
Widowed,Non-binary,-68.95381964219078,B,B,48.66965375255196,133.44311769841133,1
Divorced,Female,-29.37984473248089,B,C,102.49701318533661,-36.14343192839937,1
Divorced,M,105.34910106324837,A,D,44.03494997709992,94.36172358446736,0
Married,M,130.05649906670138,B,D,163.4533089315993,101.00699091324547,1
Widowed,Male,61.14768497852568,B,C,23.2793869733307,-4.6458536083343125,0
