marital_status,Veteran,gender,Nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Divorced,Yes,F,Germany,-154.25123924991823,B,-67.40839200345455,B,-224.6469587955315,-82.7041453578022,124.33776086079644,1
Single,No,Male,Mexico,61.86795842192123,C,-83.10612361202739,E,1.0231488680953322,-115.61189190988,167.40365911030338,1
Widowed,Veteran,Non-binary,Other,-25.480835844330365,C,19.93900721939647,D,79.68219268430752,-148.9761836705089,-61.72654180506725,1
Married,No,Female,Germany,25.419366681158913,D,28.380468475806836,C,-32.072091690667435,139.09404324384084,52.82665057025389,1
Widowed,Yes,M,India,-103.1925563675868,D,70.02267153522365,E,-101.5951050711544,-39.64621089487405,43.259327609691574,1
Married,Yes,Non-binary,Brazil,-26.723179742736235,A,-70.60624244324035,C,-197.72349197450865,52.37796025716984,-135.33332040967392,0
Single,Yes,Other,UK,132.29344743988975,E,107.82068705642132,D,94.49400635222625,-6.914159411222716,65.96088042059499,0
Widowed,Yes,Non-binary,US,147.09284779145602,A,-67.95808702538392,D,9.7177159718303,29.704480301833186,42.446939913371715,1
Single,No,Other,China,-168.87970489731646,A,114.16861005042176,B,14.552574296067899,60.32075817426376,121.68838840954169,0
Single,Non-Veteran,M,Germany,-89.95618198794612,E,56.11754966019845,C,145.1379915203357,54.4811379048031,-108.0886663314279,1
Single,Non-Veteran,Other,India,33.57183425060769,B,145.91117389421404,B,124.82222428133183,95.26752448632627,-1.5708282829064053,0
Widowed,Yes,Female,UK,-164.9072604997155,E,-142.07829047228785,A,79.23513441233061,47.91808216368237,-81.44195554268956,1
Married,No,Male,Brazil,119.50267869703421,C,157.2244419331527,C,56.76804603471901,-137.7011545745567,-8.319820324763807,1
Divorced,Veteran,F,India,-82.6102543611893,D,37.91776623012918,D,11.446481533809715,-97.90430926229547,-52.59645956352954,0
Single,Yes,Male,US,-129.2228030525036,D,26.087803153861227,C,-129.58562785598775,-300.8166026927276,116.33892847161715,0
Widowed,Yes,Non-binary,Mexico,-69.0571668411793,B,183.26578075940253,B,-78.52305153194618,246.55682581071528,-114.7133103548003,0
Married,Non-Veteran,F,Mexico,20.285805502896938,D,-107.24554618176722,B,11.878899573656913,-1.321950699259258,-12.187361775951992,1
Divorced,Veteran,Female,Mexico,-27.179248374177543,A,136.91179959983276,C,-53.632531922984505,-31.302491719408,3.7775714775220313,0
Single,Yes,Female,US,-74.55992606006473,C,-6.786257471710185,B,-109.43554488838161,-68.9029490318816,64.54504861604913,0
Single,Veteran,F,Germany,-79.60633077705377,A,-61.62106453827256,D,191.229767433099,-48.725826693843246,24.742434023374713,0
Single,Veteran,M,China,-126.71789983052683,B,1.2887210796341584,B,11.782059634811585,-87.67786337966024,-12.250775845785245,1
Married,No,Other,Brazil,117.65534273007461,C,113.07964549546287,C,-61.113924885067036,85.00476770125202,61.611130246551284,1
Divorced,Non-Veteran,F,China,74.51568576952708,C,-98.08284816386106,A,-63.323831475348115,86.73027972966723,45.865721348786295,0
