faith,birth_year,country,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
None,87,China,4.868117009197228,175.71894986384933,-33.56434325983741,D,C,D,D,48.371006213488116,C,-56.88659376267138,116.86670149490375,A,1
Other,84,Other,-65.1504619307124,45.90864125629858,21.345841785161017,E,E,D,B,83.89609570121613,E,-90.61774936715317,-234.240660236829,B,0
Muslim,21,US,-54.45517923188007,87.61641947916077,-87.45941167128402,B,B,C,A,-39.33948311691081,D,-221.12756182012166,8.011148519918445,B,0
Muslim,49,Germany,63.31863833468127,201.54777976899388,-46.76985046047439,A,E,D,C,-0.7887029168296527,B,-94.85236638060081,162.78441293519663,B,1
Muslim,45,Brazil,24.494806814075318,-28.402613118721902,133.40877919778436,E,D,E,D,40.1659119803475,E,138.8477352906765,-65.50670272177196,D,0
Muslim,25,Mexico,-149.23385420690926,66.48938223353395,220.25484420147356,E,D,A,C,91.19311437476877,E,12.959227201993958,13.949935918333553,A,0
Muslim,64,Mexico,33.898911039861375,-76.28071552742212,179.1296791955113,D,E,C,D,15.568647115613876,C,127.2021868832456,24.155165397292077,E,0
Other,78,US,22.519550223223188,133.7636428060145,-191.30951050321985,C,B,A,E,-51.507925514150244,D,-216.89135976820714,-40.38511054128905,B,1
None,52,Germany,25.644142578143818,-15.290722162241032,2.281607196643472,A,D,B,B,-9.322982676567397,B,-77.13112562848174,91.52926451861637,B,0
Hindu,51,India,4.1433271323190715,-52.99563710314056,-2.7629300204327865,B,E,A,A,-177.11171004924068,E,6.555728276200043,152.2588127384893,E,1
Hindu,25,US,-8.701443280287657,56.94710354743471,22.69708972761233,B,B,E,C,97.89078448539638,E,63.733187216544884,-191.21885341537137,E,0
Muslim,44,Germany,-32.916624116149464,72.66967678255673,-143.07049670220272,C,D,A,E,-133.25008549280312,C,-78.54527401672155,33.550622412941394,A,1
None,97,China,-112.49685113302131,-101.01650386898812,-120.03865083130182,D,B,D,E,-218.5874740168504,C,26.595688077295986,-143.97053509277222,B,1
Christian,56,Brazil,133.59008370773543,25.906129682088924,-59.82266527419362,D,E,E,B,-64.75715703532707,C,44.78773632774908,-126.91469726377153,C,1
Other,82,UK,-2.889282717113391,-45.00237818951309,89.34637767390994,D,D,A,E,-167.3121576017649,B,-33.0572201326823,-54.69771906610534,C,0
Muslim,63,Mexico,-134.23849950395345,48.679962568012364,-71.52870886830932,C,E,B,A,243.65520520777108,E,-3.4646769728265374,16.076108266251186,C,1
Buddhist,49,Brazil,88.5762236868794,-59.70678373674262,-48.4227047385585,C,E,C,E,31.840923182670412,D,-2.391187398710167,56.11585284322905,B,1
Other,43,India,47.22638105870798,-21.146014347701666,-17.431247059107708,D,C,C,D,64.35317710209371,B,-57.440814985081744,-49.62335388817104,E,0
Other,45,China,-6.0916868579358745,-30.970790469372954,58.797120233808684,C,C,D,C,-261.44504383558143,A,30.165754949463082,-12.618743923705669,B,0
Muslim,80,China,-30.44747068329791,27.59215052393604,-94.6403263673244,B,A,C,C,-14.882238541271425,E,93.21923259913062,-187.84182469838626,C,1
Buddhist,95,China,5.626194467006411,-33.98156337639288,-66.82953818132731,A,B,D,B,-14.207842802282991,B,-67.7714139302827,50.953865196300676,A,1
Jewish,96,UK,56.06573780340515,70.25025378127847,72.95411673186798,D,E,A,C,-124.14066788184299,C,-20.568274502176877,-1.9344910573417684,E,0
Hindu,71,China,63.53668233127083,-64.08994189347456,135.16702554932812,A,D,B,E,-241.21454941569846,D,117.40149874639442,7.730602426582534,D,0
Buddhist,19,Brazil,145.3476993322787,154.08934025956827,-188.95551446986073,E,D,A,E,-51.86252487970078,A,-179.7711269111859,29.528446591285018,A,1
Hindu,33,India,80.78005770500162,15.388103955569205,163.91748883751245,A,A,B,D,-34.272848689425835,B,33.63273334614498,-57.211802344111696,B,1
Buddhist,40,US,-151.20788756024965,-97.8797823031178,-173.3159657480775,E,A,C,B,-132.4977232362098,E,9.881151010369509,-10.843496442449199,A,0
Jewish,32,UK,-151.75064444019498,60.13124572778784,6.0228547385648,C,D,A,B,99.23396083095861,A,25.50363765999621,-37.844581708285226,A,1
Buddhist,58,US,-176.57553569831444,-27.291623124118942,39.383140915382256,B,B,B,A,-98.23289551584244,C,44.22341204124035,-145.37334208009185,C,1
Hindu,58,Brazil,93.7046283263932,8.54333824978323,-128.42945440204915,E,E,B,B,77.2089821820278,C,-51.70187193975732,59.269186834925016,A,1
Christian,71,Germany,-151.0492781435245,64.7816199546152,-77.1938936512705,B,D,C,D,72.57310136952307,A,-14.96254944366936,94.99679425076954,B,0
Buddhist,44,India,-41.861525926402464,-7.054897376248009,-63.60947997476665,A,B,D,A,44.298548152657716,C,4.595361560322916,131.0678352582482,A,0
Muslim,24,India,139.14686283327123,102.04792382284877,-99.59292362669589,E,E,C,B,32.95314076676077,E,5.25461780705296,-58.71706382324838,A,0
