country,anos,age_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
UK,24,18-25,30.13167298774698,144.31262536686154,101.11817113979062,A,E,D,A,D,-24.926365179127163,-31.35066954699724,E,B,D,26.62176005202391,C,-16.24346732283909,-59.38436540516637,0
US,48,51-65,69.67552816791058,-82.15516341633446,10.255554688474353,B,C,B,A,C,35.92891820481522,-149.27479369016086,E,E,A,-37.376089609682985,B,-79.01502859197812,23.34363330257821,0
Other,26,65+,-22.812572316542422,-45.77005374482146,-150.26593957366953,E,D,A,A,E,71.84292960974382,-87.44293805837559,E,B,A,-121.11947695300107,A,-100.34400409479372,34.30977191558494,0
Germany,28,51-65,95.74862843724324,90.23978634661668,28.428446505257053,E,A,E,E,A,24.13367148239761,63.565452554424326,C,A,A,125.74889448221404,D,155.94143375714665,-105.89464813282719,0
China,65,26-35,-21.358954969785216,50.2764741982638,33.65629700151628,D,A,A,E,D,72.42118042446627,-239.05505094423182,D,B,A,157.26140629348888,C,96.34145661358738,149.42145459780525,1
US,39,36-50,-7.350960504538039,61.132353587353435,-68.05151175205013,E,C,E,D,E,-127.58832859944292,14.652905615451742,A,A,D,-81.69820611908517,E,89.7419738233501,-4.410433644726571,1
Brazil,29,26-35,-20.68411820106919,13.4453397400625,-224.22827344346138,A,A,D,E,D,90.12617308444311,-95.95348181043052,B,A,A,156.67414285276303,B,60.165627694245316,60.66581011980973,0
Brazil,37,51-65,51.01397752098581,60.39525689601102,20.474589677232455,A,D,A,D,D,91.80070458479899,8.969559605584745,B,E,B,85.43300873566737,A,-44.23234049547518,-26.417545886293315,0
Other,20,51-65,-152.20091861753355,50.96122034133435,-219.1689882146512,B,A,D,E,B,-72.36742805791883,-187.99785904608447,A,A,A,22.65271314964753,D,-47.76434615220205,102.7542770749695,1
US,76,65+,-23.76146637667929,3.7011043025151285,-25.082196082824016,D,D,B,A,C,-121.06522529937907,-51.71076868249387,D,C,B,84.46878501502205,E,0.3400810507939324,-116.72738343508853,1
Brazil,36,18-25,24.196839085965323,53.95312214270758,7.376560261728801,E,C,D,C,B,124.22525218202978,128.90752254501496,C,C,C,-54.15629185944574,B,93.65681682678323,-40.10172875646251,0
Brazil,49,26-35,-115.12277170328866,-76.09815235159779,-79.40982325830562,D,D,C,D,E,-222.54637833678538,-68.54866068789384,B,A,B,-137.1881001128737,C,-246.364617959328,-277.63533116292643,0
Brazil,20,26-35,-140.78427896954625,13.049247867433378,-100.51203148028453,D,A,D,A,D,-54.35286266073538,-67.87481656861443,C,C,E,-108.42058556679355,B,179.5926966441997,4.215381113836454,0
Mexico,74,18-25,243.9293514500182,-82.96308554805444,-35.31720509147781,A,A,C,B,A,64.92579124057194,99.1732441721836,C,B,E,227.44860049387134,B,7.513585724803343,45.86060392437958,0
UK,75,26-35,23.187422548371526,-11.103316018961662,-169.32375492868573,A,A,D,D,A,-18.255602306903622,47.695892571562396,E,C,B,-9.223845426641754,D,-84.26366045948636,35.42550305295437,1
Mexico,38,51-65,111.09370002650071,-46.70048495602252,-71.94182215779098,C,E,D,D,D,-51.60462816089747,91.39471410785661,A,A,A,-0.8889479865361009,E,-280.1873109243021,143.70441433229607,1
UK,47,36-50,48.14981178164338,-65.0894271667856,-1.5286291978251123,D,C,E,D,C,32.13345071289268,74.94029859377443,A,E,E,-140.48506892985347,E,-6.691069421600994,-98.33712072278773,1
UK,46,18-25,-51.89883544825076,39.23049791018147,139.4208876765895,C,E,E,D,C,-11.615757411504747,190.76305654062634,D,B,D,62.98724988907224,A,-69.76377518004118,14.099169527193611,0
Mexico,25,26-35,-130.40442785813104,-73.16638856501628,82.42700932993856,E,E,C,A,B,-123.56000296221717,100.90811970467438,B,C,E,45.177644183835966,D,-139.98181322546367,102.6488153403069,1
India,45,26-35,114.76061419394104,-72.56382201737333,18.781430997860088,A,D,A,E,D,-132.10324394752539,-17.656421477651453,B,A,C,-179.3684706691385,E,123.67537202660202,-30.794163014953224,1
