ethnicity,Veteran,civil_status,disability,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
African American,No,Married,None,C,31.928173491411556,C,C,-25.82906724738206,54.71016205725792,54.33405777626438,-42.31761081396066,-192.530966224615,E,-121.63501042482847,-103.3031377895818,-69.78201104020573,0
African American,Veteran,Widowed,No,B,-39.56494923068189,E,D,-16.0794311003814,133.07583346294075,38.566553643676585,74.97440928111143,-43.23727703517413,E,122.71239671625054,104.78690636715484,-47.91476951738444,1
Black,Yes,Divorced,Both,A,-34.86623394190569,D,B,75.97837112694805,72.69212604627661,90.6637662697859,-122.83287276794155,60.32496859389831,E,52.645515141430586,-104.78108789649407,-43.189901994729844,0
Asian,Veteran,Single,Mental,B,32.56686747739305,E,D,-17.4536125928144,-71.24283969134363,-86.98088955071113,42.71782524537078,104.42331185771762,E,145.25774963587043,-49.92421961396027,77.16328943820285,0
Asian,Veteran,Single,None,B,147.65187915536663,D,A,64.86001768543431,-111.65116958434906,20.283776036294366,252.26602310889348,-88.38936747140347,C,-16.632015621061257,-61.99718698140049,100.53065686985285,0
White,Yes,Widowed,Both,A,-61.475605745455056,C,A,-3.2596308700653513,-69.83126759490634,176.49469538432353,-29.947459361808406,120.36995479674239,B,94.14784903777901,60.20757432080558,80.77418999270579,0
White,Veteran,Divorced,Both,A,-115.76156114910864,C,B,73.9847162879782,61.0376550139611,-202.51261286839633,-9.143906010843796,48.04206341106747,B,-100.16179089260268,7.099327861633377,178.71670624156974,0
White,No,Married,Mental,B,4.4856974245027565,E,C,-97.34006367208895,30.63995907224432,-125.04539124159189,64.84650383141064,-14.250838934081372,C,-28.227671968050018,-5.061457240232555,-13.497971508958726,0
Other,Yes,Divorced,Yes,E,-60.8965454960672,D,C,-55.259884208233764,166.78046528692292,-50.7100535300877,-1.7171004826017973,3.3268877340773906,C,11.42488868903855,-65.09778724209333,-202.71047507889733,0
Asian,No,Divorced,Mental,C,84.69434572963907,E,B,235.9538091380519,-2.785937768410925,38.57782987972364,96.43266228039515,-8.414089101600684,A,-248.8166049857619,154.74960418050816,87.52340554845517,1
Black,Non-Veteran,Divorced,Mental,C,-34.82104473109457,E,A,78.38665064191545,-1.0326119366127917,-69.45974607788776,-55.60992796054842,92.80685614194613,C,-147.34163972426876,-79.77381456345518,-15.365252423027476,0
Black,Yes,Single,Yes,D,-20.765703130946576,D,E,127.28487111453262,-91.70011065687174,62.57797120101017,-42.69560665805115,-10.69835837707949,B,96.66690208732813,-107.42842455932575,-79.05709670424666,1
Other,Non-Veteran,Divorced,No,E,59.19295290559845,D,D,-8.498017577633714,-21.58785079600612,-8.727521271974451,75.55537570406126,2.19387311486394,D,-110.33449633162753,33.67018016685262,-18.63866237622202,1
