ethnic_group,religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
African American,None,B,C,54.611613065663356,A,52.55682650574338,2.881023023402485,-6.782457482618974,C,26.787978588352907,E,D,C,C,-46.897261120020076,1
Hispanic,Christian,D,D,-38.337438440785526,A,52.64859966340995,-93.23937909838013,-166.9863490054058,D,54.882223337376146,B,A,D,C,-89.25823658800134,0
Black,Buddhist,A,B,6.8934029231925456,A,96.28490903209986,-66.84552108435781,-13.55709511944328,E,54.699518500400465,C,E,A,D,-144.97463968225534,1
Hispanic,Jewish,A,A,-46.1406431478289,C,33.723893122143124,-89.3108844310687,-29.089878510464807,D,-160.63394458790557,A,D,E,D,-24.26836885784983,0
White,Muslim,A,A,88.57638379979926,B,-44.678201947263815,14.227497291284589,-99.76058186935383,C,-49.11154064071931,E,E,E,D,-101.01851067052736,0
Other,Buddhist,E,E,74.41036609840026,E,-66.13916646497815,-57.25273410118369,-10.408894503551974,D,157.54137380926363,E,C,D,D,-94.30970784217344,1
Asian,Buddhist,A,B,-157.50942415445311,D,5.615054404439736,-43.114270936170165,-141.70020416824707,B,148.71016087402649,E,A,E,E,-131.98212565198517,0
Asian,None,C,D,118.81388953283832,A,-65.85403464563073,173.04024320693344,40.940807537377566,A,42.22620028198552,E,E,E,C,-101.20414215843552,1
White,Christian,E,A,43.28885483860621,A,22.417098712705638,12.99883647373046,133.02508053671872,A,143.48959370437186,E,A,B,A,67.75791355032169,1
Hispanic,Buddhist,C,C,29.177222030639122,C,-101.83438269978447,26.296066770529958,1.5017862144836502,A,-2.6228151975960188,B,A,E,A,126.55630675695701,1
Black,Jewish,D,E,-34.581126328559066,B,32.21426840789367,-37.43201044370464,-40.9446623476815,D,-79.8803729620445,C,B,C,D,47.21903670648836,0
Other,Other,E,B,36.7160138679982,C,-219.56091743753277,-26.917496628456522,29.41181004858175,E,82.46991054915087,B,A,B,C,-48.736766518998294,1
African American,Buddhist,D,D,154.87757571179367,C,-105.98273206327009,31.036575999263743,38.38110046201499,E,48.57142646910262,B,A,E,A,-221.9821783802758,1
Other,Jewish,D,B,18.096989732481735,C,48.9629250673351,-113.98687512143164,160.698925554605,C,58.90537025230468,A,B,D,D,-158.23690020995426,0
Other,Other,A,D,-169.25568127436094,A,179.48573260260332,-48.28694808730578,128.48162113857106,B,90.55179350265192,C,C,C,E,-72.82735070649474,0
African American,Muslim,A,E,163.93056842409186,A,-115.11371026040563,9.382792621311795,172.20267750439706,B,120.58330975175926,B,D,E,B,-8.578837420228318,1
White,None,E,B,56.37977504198466,E,153.52504446211725,104.07246756689939,-149.15770714143633,D,69.83724049651677,C,B,B,B,28.21426519995765,0
White,Christian,D,D,-160.12785637610494,E,-30.14616062344413,19.984703976024797,12.181402261371456,B,44.888201024630916,D,C,D,E,139.21876492835344,0
Black,Jewish,B,B,58.15305822249653,C,-33.11031888060189,-8.312467364687059,267.68448741121733,C,14.64634098848622,C,A,C,B,27.182349013509548,1
White,Jewish,D,E,192.8727743246101,E,-1.0762933099543732,-57.36513391323956,-58.22070917613067,B,-88.30060754801914,E,B,D,C,-78.7919700855999,1
