age_group,veteran,Gender,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
18-25,Yes,Male,D,E,C,133.86943912282058,D,24.132018580153794,D,-74.99319087164022,-162.34084587116283,96.39803588981344,B,C,1
65+,Veteran,Male,A,B,B,-43.794370569604965,E,-47.17566360160512,D,130.59654645357674,-10.059870830568997,2.9449925175631964,C,E,1
65+,Yes,F,D,A,A,-29.012886997109817,C,26.272859055247512,D,97.23262098605365,-28.22033007373303,81.5102758182057,D,B,0
65+,No,Male,A,E,E,41.237736485297916,A,109.9036446848847,A,67.80371439814547,23.250230705821078,-63.95443182362733,D,C,1
51-65,Non-Veteran,Female,A,C,D,12.667599959538144,D,198.76036645125882,D,38.685108333631426,-188.5671566310652,78.55171194323817,D,C,1
26-35,Non-Veteran,Other,C,B,D,125.73057722134226,D,-66.6863587570649,D,-18.68604562206041,-95.52846227170093,158.83624793214852,A,C,1
51-65,Veteran,Other,B,D,B,12.30191777204301,D,-120.87507044373939,A,33.931813118967526,99.38140356289303,54.406746104562366,A,B,1
51-65,Veteran,F,B,A,C,32.00188494145808,E,-89.31331376192495,D,-150.68437119018674,-161.8978263445383,-87.57434841692175,A,C,0
36-50,Non-Veteran,Other,A,D,C,82.39343835047049,C,138.66857483851297,B,22.946084562001616,72.80620399635528,-69.6289764783959,C,A,1
36-50,Yes,Other,A,D,A,89.60628531463357,A,77.11443371306497,E,-49.44790983610927,226.96784441295668,-43.7831487122523,E,C,1
18-25,No,Non-binary,D,D,D,-48.72320263339934,E,-140.60957443996026,A,83.08299508197089,77.53727503027,-103.51283175926113,C,B,1
65+,Non-Veteran,Other,E,A,B,98.6690030309793,A,16.51793899752066,A,-136.58940933235982,-164.21196861972908,38.05416051094077,B,A,0
65+,Non-Veteran,F,E,B,D,56.243386916110374,C,-177.40566100986314,B,-54.46159869480566,-93.26556347027842,83.35055538010785,B,A,1
65+,Non-Veteran,M,A,C,A,87.0466582999101,C,-20.929769966957384,B,-89.79541834229462,-100.10114825367383,129.67041526932493,B,C,0
36-50,Yes,F,E,E,A,-118.77151956824731,E,138.47214352596328,D,126.08078826853966,-48.323166805186,-143.40210172153778,E,D,0
36-50,Yes,Female,B,A,D,0.04174524484366034,E,12.671467953913822,A,89.4169558327739,15.468836402765534,-49.50336843625726,A,B,0
65+,Yes,Female,D,E,A,63.89168624505237,C,-72.31091626119547,C,84.2742262161222,27.362600702932216,268.829636205525,A,B,1
18-25,Yes,Male,B,A,A,-80.64525896401348,B,-69.82962270734095,D,-62.09584725843502,-8.859883838488635,-81.89718203763806,C,E,1
18-25,Yes,Other,D,E,C,-22.479646712053604,D,-109.19185072884254,E,-28.204081718264636,-169.84242806575637,-13.718038952054574,D,B,0
65+,No,M,B,D,C,40.0417976137784,B,-8.114455823441492,D,-12.793739882881692,95.11971408169693,-37.54616492831928,B,D,0
18-25,Non-Veteran,Female,B,A,A,20.995189680119644,C,156.88162540940607,A,96.00561520348153,-26.970307963349523,23.84605692742114,B,D,0
65+,Veteran,Non-binary,C,C,B,-22.29200960068384,A,-0.23478984463299862,C,-87.69978134774394,6.280604324602567,-136.42872530467332,A,E,0
65+,No,Other,D,E,E,-19.10782400701408,E,-92.6694124111673,C,85.33634648369714,44.70935869149431,94.36591290290973,B,D,1
36-50,Yes,Other,B,B,E,54.86642576871108,B,33.435603662316964,D,-187.37971392403267,-110.84737478453978,32.806694596346325,D,E,1
51-65,Veteran,M,C,A,E,200.73096490227073,E,63.0280558908081,B,121.85963164778859,-7.943282572710314,-16.77287528553046,E,B,0
26-35,Yes,Other,D,E,B,-148.750174144957,B,17.89216863125454,D,-63.21805942260953,-16.765357901121565,-152.3179695071328,C,C,0
18-25,Non-Veteran,Female,D,D,C,-36.798328138163974,B,184.99481942830838,B,-75.9971723626929,17.656828197573795,-51.17391031305705,A,D,0
65+,Veteran,M,D,E,B,223.73507138692773,A,-28.706389189555637,A,111.3930016919058,-58.708741636298214,91.65779227300494,A,A,1
36-50,Non-Veteran,Male,B,D,E,165.05874364541674,D,55.50086500541281,C,59.210870998041074,43.77645666697313,25.921743434653187,A,A,0
51-65,Veteran,Non-binary,E,B,E,-143.82061973586028,E,82.94867057440864,B,-19.133203901785862,-7.19595932924911,3.0945794182385375,E,E,1
65+,Yes,Female,D,C,B,118.96298040301758,B,74.91785396265882,C,10.567009848033248,-26.849219130424444,-219.6324455301025,A,A,1
51-65,Non-Veteran,Other,A,D,E,-45.74845480865489,D,-76.70792436020315,B,-101.92739102521588,-87.05069970310845,47.84310081895885,A,E,0
51-65,Yes,Non-binary,C,D,E,10.054873735321573,A,48.08804472575206,D,7.191784852066273,-49.66355609967826,86.05553674094745,E,D,0
36-50,Non-Veteran,M,D,C,A,103.30047689052708,E,59.78420116032369,D,-82.19883271126528,-60.35562758521251,166.31361396577816,E,A,1
51-65,Veteran,Other,B,D,D,133.92681642599558,B,38.246366757567394,E,-119.56503827293565,-9.616772218642064,-9.200211619390524,D,A,0
18-25,Veteran,F,B,E,C,-126.7903017522525,A,118.68361326839012,A,212.68295660078311,-73.09984506613377,-98.51014519169735,D,E,1
18-25,Yes,M,A,E,D,53.42367794888395,D,-215.8052598616665,A,59.17702115209364,26.611263927306645,9.283048135939604,A,B,1
36-50,Non-Veteran,Non-binary,E,A,D,128.28424111282862,D,-208.4276982914243,D,-68.42645454007787,57.32092779553762,44.29836013961974,E,A,0
51-65,Veteran,F,C,C,C,115.50765211948874,A,-15.232524602766226,A,14.455345986280216,143.76160595075982,-39.21859977169249,A,A,0
65+,Non-Veteran,Other,A,D,E,-113.57493972524433,A,109.00853852122535,B,1.7014037110379636,-51.0034630810709,-57.669439850746485,A,A,1
36-50,Veteran,F,E,B,E,7.395486052784965,C,171.16976266199515,D,-37.184435981959204,22.089623048509047,60.09942909852951,C,D,0
65+,No,Other,D,C,D,155.34393305185873,C,-20.579448384333052,B,120.57316689609425,-12.210344483416574,96.5367919829466,B,D,1
26-35,No,M,E,A,A,45.542779613482494,E,-132.37710548098698,D,104.12602186576092,-109.4825314795847,126.33506189177695,C,B,1
