AgeGroup,orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
51-65,Other,A,E,E,A,31.07401963205025,C,-62.267445698593605,143.47851969430502,-112.61080786949971,-8.136243790252488,D,D,9.061177807294959,0
18-25,Other,D,D,B,A,-83.2298159190233,D,38.563698698004586,-172.6355588276362,-48.94651183119775,136.79113176922678,D,D,-7.1193030162950794,0
65+,Homosexual,A,C,C,B,-86.27853183123294,D,47.872401304704745,-184.22369366280788,-95.95380196724574,-35.714852953606005,E,D,-121.7453916180932,1
26-35,Other,C,C,A,A,-64.74002109447414,E,48.44970661906293,-1.2488708378084485,-88.90242585409571,-75.72913289957224,E,B,-140.32474252275208,1
51-65,Bisexual,B,B,C,D,-3.7252699341327538,D,47.61255345099433,-59.84782707885219,-137.95863579198533,47.675912003529355,D,B,-130.55495576668446,0
36-50,Bisexual,D,C,D,A,-8.204602398523683,C,45.88698608376353,68.87700312391095,114.781217760294,134.08862328257453,E,C,-7.116687795061893,1
51-65,Heterosexual,D,B,E,B,12.182699542662903,E,40.189125424844555,-67.92570599258468,3.472350839894469,-233.09920795605672,B,A,23.87785110202718,0
26-35,Other,D,E,B,E,-83.874234032368,E,-175.49723531502093,52.99963322929775,-78.41336780152524,53.63523066727137,C,B,103.42143704270713,0
36-50,Heterosexual,B,A,C,A,-105.20733615697976,A,164.86673940823567,47.18294851046394,-166.2954303988401,-78.41693078322298,D,A,-44.39145563594676,1
65+,Homosexual,D,C,C,C,15.872012514375314,A,-201.3798828417171,53.58626857951714,-85.35466727898078,-68.28715962979537,E,B,-178.41802071549242,1
51-65,Other,B,E,E,A,191.6574218770818,D,-58.8411676399938,100.27584871143588,58.62880626206475,131.1313709564377,B,D,-47.05224330482914,1
51-65,Heterosexual,E,C,A,A,-109.56534403944637,D,194.15384534567698,-72.52449592103775,76.24826223728228,49.016110728100024,B,B,69.20276892420311,1
18-25,Heterosexual,C,E,C,E,-16.16746035147087,C,-86.07465608124085,-31.764305671211268,-29.92867584612407,103.25300068636038,D,A,126.39610261420474,0
65+,Homosexual,C,E,D,C,64.66642594032261,B,-89.83889256241811,68.61307343740334,-10.398890187567856,17.403038891681003,B,E,-12.701306417567299,1
36-50,Heterosexual,C,A,A,C,1.271621587455224,A,-40.34537726026262,-201.41554077043392,90.6458371214447,43.3036427155579,C,A,-72.79668023716101,0
26-35,Homosexual,C,A,D,A,76.01169236492274,C,176.08920942177718,-119.84695875439881,-116.00891487855318,-46.814551584077044,B,B,-156.99608010988288,0
65+,Bisexual,C,C,C,C,98.2144408066257,D,-46.34862718562888,-19.190274012374722,-135.3113231220442,72.9017536250369,E,C,64.96950890576673,1
26-35,Homosexual,C,D,D,B,7.169829682792843,B,-92.82473635540057,-147.96060835487188,-75.65112128584333,63.228001557168646,D,C,193.19592780075223,0
51-65,Other,B,B,D,C,-69.57783298370302,B,1.6652783654149566,-4.1099488863955,-39.876829780330034,-65.49361730844345,B,E,-19.23042508039328,0
51-65,Heterosexual,C,E,D,D,-55.46185735986824,C,-10.447442441503242,-196.56943959127616,-54.632928449073624,-70.8979459239175,C,C,-153.67338976397699,0
18-25,Heterosexual,E,A,E,A,-151.78366745618604,A,21.89711177204762,-9.838332664569032,59.902433040733506,-2.4222948929972525,D,C,171.3769337506146,0
51-65,Bisexual,E,A,B,B,152.66746720499106,A,110.44143679190934,-170.96985453184377,140.67282228722985,39.04362590077607,D,D,-44.18487428780601,0
36-50,Bisexual,B,B,D,B,-69.3679112043346,A,-82.25083214991776,112.92174974105245,-41.5281675478578,158.1302666003033,B,B,-77.59063886214463,0
36-50,Heterosexual,C,E,D,E,39.52798484134824,A,-72.32598761395433,-23.812989936726115,205.23307970326124,49.25732499250888,D,B,-0.27120143258724455,0
26-35,Heterosexual,B,D,A,D,-75.16251835543405,A,-10.534037274460706,141.88480004376203,10.67058984431912,133.68902692603885,D,C,-35.92051408595338,0
51-65,Other,D,C,C,C,-31.18262840302444,B,-99.81024307441953,-271.606090392456,245.2741334925448,129.9972363928346,E,C,-80.45978097848243,1
65+,Bisexual,C,C,B,D,-28.72482409640995,B,-32.77390868576989,28.4415905271032,142.87262401761262,-8.191859292079318,A,E,-22.54835426226389,1
18-25,Other,E,D,C,A,39.88588837462427,A,-70.54483976991237,-45.149499432925396,133.1630936575505,-238.05710931709964,B,C,35.43000212839175,1
18-25,Homosexual,B,B,D,A,-17.48048474795877,C,-111.95087994086586,98.57803867239497,-94.57998845563394,39.221916451007424,C,C,-115.65227986939617,1
36-50,Other,E,B,C,A,-1.8132294089014855,D,72.51693977937188,52.5699285090768,-90.58844389832697,-126.27058086193124,E,E,73.58150527222939,1
51-65,Bisexual,E,B,A,B,-95.26303781482032,D,2.4213802208660953,-11.949305664367312,143.20449992155625,-108.60703265967014,C,E,-112.70590759698047,1
18-25,Homosexual,D,A,B,A,57.10260701212641,A,-64.67392183338279,161.20585080523648,116.4420953799989,-122.8789896661556,E,E,-68.62769074400853,1
18-25,Heterosexual,A,C,A,B,50.234570848548884,E,82.6887846184701,190.6065791154712,-7.149517335102214,59.719175843030506,C,B,174.84191150444212,0
26-35,Homosexual,A,C,E,D,-123.73874718855026,E,-112.50773516542185,14.999111908336813,3.5363679837656585,-32.396971874067034,D,A,36.68130994979283,0
18-25,Other,A,C,B,A,53.67653591465389,B,-144.97077052983997,57.80630948306329,-116.81768282196595,-132.45748171915318,E,B,36.161125005394275,1
26-35,Other,E,B,D,E,98.88193532916524,B,-121.43623607620768,88.78725053254483,-62.22487105897645,-23.36899194080494,E,E,21.231040740310082,0
51-65,Homosexual,A,C,A,B,-29.333726035266384,D,120.26323873620568,95.2003114410489,207.49712104396937,-89.60782352678284,B,E,-22.404537136402496,0
26-35,Other,E,A,E,A,16.596840555226418,A,-101.83073123080754,4.442724412632279,25.04051163138304,-17.47108523842448,B,D,68.78111392349165,0
26-35,Heterosexual,D,C,C,C,131.40669716108198,C,196.1304583109929,92.5366496412604,144.3925579185645,116.90592705056926,A,E,27.0569911613468,0
26-35,Other,B,A,A,E,-106.15650302096572,D,47.6912930523636,56.5796964641166,-81.03378885287692,35.3029968731621,B,C,14.460446653893777,0
18-25,Homosexual,A,C,E,A,-59.29040471333763,E,51.095313088369984,3.120664101550654,-23.10457361221508,46.28228336055495,B,E,95.9334900241786,1
51-65,Bisexual,E,D,D,B,-83.94450265978783,D,-46.25011155861801,83.5108015316176,-72.42350280000429,279.3022034179837,E,E,121.20415429477482,1
51-65,Homosexual,A,C,A,A,68.33493015378191,B,44.40680725113914,110.62916592165344,-160.1778005586791,208.6745754099565,D,A,202.67262183511158,1
26-35,Heterosexual,D,C,C,E,32.89432654531735,D,96.88980779065524,179.189151414051,2.4352983780041746,-25.617201944042023,E,C,90.64886528499433,1
36-50,Other,A,E,E,A,-75.67053509509533,C,89.34428193502802,77.19248776341391,-1.7660371956942995,-19.351307881061793,A,A,-110.43353569014893,1
65+,Heterosexual,D,C,C,C,-64.84512772796354,A,-141.94927847326642,-27.03477017799295,-2.8152196134850738,124.32185215836569,B,A,-106.706763037947,1
26-35,Homosexual,E,E,D,B,98.35518989965935,A,-115.57376320092068,111.49779445372975,65.56021497144971,-59.11039666051978,A,C,27.88854440455173,0
26-35,Homosexual,E,E,C,D,-79.08385088494451,C,-18.814983617325552,-145.48050830770705,-59.17780725100964,-274.01503174442007,D,E,120.07290768433401,1
18-25,Other,D,A,D,B,-194.29108981759708,C,229.32370896887545,99.85473993733267,118.7554782046723,-39.26793610205437,C,E,89.81950967250958,1
36-50,Heterosexual,E,C,E,D,32.871980107725626,B,-2.2891911643895826,43.98076126932957,117.56227217239783,125.69106053864645,E,E,26.5895866882577,1
51-65,Heterosexual,D,C,A,D,-170.18776143170967,A,30.098152129579255,-166.9544412053108,-28.19743245295898,-10.752435598876332,C,A,63.618612923069676,1
18-25,Heterosexual,D,B,D,E,9.207088028755384,B,-5.640813580999883,-170.8519974482122,50.16833235136009,-4.028562031009525,A,B,-91.84834701022478,1
65+,Heterosexual,E,D,B,C,92.2385542538537,D,-56.57625892783139,65.21064162113699,53.56811562902808,-84.18794693575803,D,A,-73.27114673505156,0
26-35,Bisexual,C,E,D,A,-74.45509018093908,C,-11.716205185227683,-59.048892335096944,-37.548990232371395,-92.36980731304904,D,A,-43.128941681765205,1
36-50,Homosexual,A,C,D,D,-39.99124972092603,B,-46.55910411340473,169.2472375414826,-49.116949739862235,-26.401092453107406,A,B,93.45894513855131,0
65+,Bisexual,D,E,D,A,-152.7898917078418,A,25.68461994186556,-16.092508613384837,-83.53904610289462,137.99833898904197,E,B,-71.18173887855224,0
51-65,Bisexual,E,D,C,A,-114.82842494217293,B,-81.80576164762591,53.803377379089376,-78.90938513258554,-100.9361331770802,B,A,73.95505119548037,1
26-35,Bisexual,E,A,C,E,-78.10767199655857,C,-147.04610730944182,112.05593802596101,27.42277980968189,109.37783868871558,C,B,-4.3624348238976305,0
