birth_year,faith,handicap,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
48,Muslim,No,A,-51.030169171203354,51.74272635887984,-105.28056882401083,93.34470868861459,149.47729050061497,0
62,Other,Yes,B,17.405126351006956,185.56101232978187,-14.594568547688775,91.78634022153018,-10.675511007950506,1
28,Jewish,Both,E,-181.81845036512667,5.774357935070715,123.87608539574147,-9.195260488742827,30.250771014489892,0
42,Hindu,No,E,-101.5032749540038,-2.663038889275058,-71.78818000041043,36.71441310297771,50.6046149837758,0
31,None,None,D,-48.69321728168663,-141.42842568030954,22.929182106638933,57.95489685218818,46.576800786791054,1
21,Buddhist,No,A,104.67148846605781,-92.20305792333743,65.8295675884693,179.9285704040764,-138.77447260633963,0
29,Jewish,None,B,5.0954419412945775,245.7635868447234,148.47738593223997,47.444191697773014,-91.23575069715775,1
48,Muslim,Physical,C,85.27813208001214,12.665810594496138,-52.515310643437154,130.1078853773065,77.01698768603836,0
70,Hindu,None,C,60.2960519965458,68.58965239281423,60.3147582643439,-6.741575720926384,-22.467142124401928,0
45,None,No,B,-269.59763750881314,-303.72322741146917,-89.76431325753946,-117.5582357920737,14.970901268153023,0
73,Jewish,Yes,A,-37.93430673058718,47.22554586456825,-0.11078765366788564,-78.39005681005953,80.86751090949707,1
55,Other,Yes,C,6.462566722198241,9.968247675743637,-33.339388657493174,35.66784191261442,-105.80780950035556,0
28,Christian,Yes,D,5.9011898886021745,17.963831532127013,-25.20938428812809,-34.60713742355416,-60.89557696418165,1
32,None,Mental,E,-140.14576362489527,51.82568207879636,100.6765405130605,-93.46343732107015,131.15514572766577,0
26,Jewish,None,C,-71.33371979229523,140.04800969367196,53.584098263338795,-13.694872002185532,89.35706918119223,0
75,Other,None,B,142.27221466531742,20.57718879323638,64.81478057602123,55.693867452717136,-41.52531960426629,0
55,Hindu,Physical,A,147.16943800935033,27.355814609276806,12.654466780706919,193.34302856713427,-49.02893652575233,0
54,Other,Physical,A,11.688317280862972,54.445134341602916,-57.65454698620189,-115.58022221104333,108.51352944021045,0
32,Other,Yes,B,31.396571098096686,46.63008672865618,-42.10256834404045,35.59238414383002,-84.00268531542429,0
73,Other,None,A,93.71681759889904,39.03767534488224,-41.10066317163133,201.3053682467495,-174.86538387174403,1
33,Hindu,Mental,E,55.834865847825924,12.668546729154508,140.21836219131828,73.51732662680374,42.05922682093567,0
41,None,Yes,E,-19.18480010014133,265.8069463251942,-33.191977760501636,-101.8533911786659,-142.7253553835579,1
40,None,Yes,A,-93.77180725154048,96.1871889731188,65.07099486049144,45.61357469000544,19.64070079619243,0
52,Other,No,B,22.03899633578775,5.900331775381265,35.18264510748178,92.44387968353031,-59.912352557737734,0
57,Christian,Physical,A,-138.08112776299438,-107.20098165311158,26.542360596514385,31.507793554261166,103.06002630683047,1
30,Buddhist,No,D,25.37672574238589,-70.61289835971671,205.90128045730035,-61.05039146144422,148.17254618469414,1
32,Hindu,None,A,-124.37872048012643,50.57652938630066,-111.14112307874113,-72.4051522591938,52.579117575768954,0
48,None,Mental,B,-0.6666423596675572,30.652097074385114,-48.75242524843962,45.85159083866531,51.44482508527177,1
46,Hindu,Both,E,123.37565527602156,-203.11983861061438,-67.330124163066,18.962555346321096,-77.85582138582146,0
24,Other,No,D,-54.33789871280936,44.64368174198018,233.34672429802947,116.10540678173464,-7.549307725529797,1
25,Buddhist,Both,E,-156.50969673661086,152.90758896713734,-152.33364261629382,90.35452785387764,-93.94605270040124,0
67,Hindu,None,A,-26.856328771026682,-149.1812712969629,2.132010235769611,-12.204450243293609,36.53054775268896,0
32,None,Yes,E,60.057952302063356,7.879688337314479,-141.6484594411265,76.11814966669561,4.923103938303104,1
35,Other,Physical,A,45.736563651457814,33.46331849857681,-50.93255620685757,66.50224428999906,69.1922695076295,1
32,Christian,Yes,D,-117.60102208272541,71.06743174158909,117.12802275924625,78.96934045052639,118.45012392906624,1
26,Muslim,Yes,A,-77.53458232392887,204.26908903796624,29.838223872529184,53.75353063724797,84.35269673116848,0
48,Muslim,None,C,14.402479848404685,-19.804085125048893,201.71035747409127,-72.25537581383512,124.23208975932987,1
51,Hindu,Physical,E,-132.99561935070022,-129.71690944883792,-0.07791733038116054,-16.69966146219093,88.9498157993029,1
24,Christian,Physical,A,-5.279394841121066,1.340182000911354,45.45169370716334,12.323107972502106,204.1291053115281,1
74,Christian,Physical,E,-47.89812850003023,7.978548951812028,7.644284406638753,-121.1931531227911,7.819515988382962,1
24,Jewish,None,B,-206.13752595284197,-93.39268046619921,-20.07448998268293,73.53501057356404,-29.932485310886253,0
72,None,No,D,33.78049675026458,98.69971492739474,-73.57950982055023,13.460503717795605,19.410645057731525,1
44,Other,Physical,B,-15.999780241008574,-178.46914699139066,-29.760123106271546,-38.83687798273757,-23.164138310043285,1
29,Christian,None,C,43.631791138382084,-119.77683329462852,8.23738791125994,-62.29755823971777,20.50243026162553,1
29,Other,Mental,A,-9.912921331155502,24.60377409253376,-149.1014238734061,27.41885504330341,-28.46263541585455,1
46,Muslim,No,E,120.14052775632894,22.92925588830431,-21.374925366104236,11.11202528921962,82.80888564086159,0
57,Christian,No,B,-137.89091335195113,-92.02323367036817,84.88900158518861,-72.1825485764185,57.151921329899224,1
75,Muslim,Both,B,218.16514887406478,35.514447692646314,-13.860632280624744,-27.20551060612045,122.79062250630348,0
43,Other,No,A,165.4727635180722,37.20397919171452,-72.71524024535651,-70.9981759676296,52.841057490953105,0
41,Buddhist,Both,D,156.76673612529635,-23.697602899884615,18.745682178868808,53.59239816309241,162.74111837357069,1
40,None,Both,A,108.05311356698084,-181.72550205654693,137.3095752795208,-46.80210230938563,-93.16452889074627,1
73,Jewish,Mental,E,-138.81193684330685,-11.705691733844846,47.431063158002395,-15.635360385587285,131.57083087071715,0
78,Christian,None,A,30.154965893026954,199.80754820159285,-21.796963706514944,-146.9990144808933,18.966581301560478,0
69,None,Yes,D,164.51831544587137,120.12386149748768,41.58330234956903,190.9788466662959,-85.61866688319833,0
52,Christian,No,E,-115.41788851207801,-65.8103034945275,-19.28408810444539,81.37799551561793,-35.10354986340094,1
62,Buddhist,No,C,22.36365808609804,-134.167082699522,-38.50908550723499,18.84243616822984,-76.70321530322626,1
22,Buddhist,No,B,28.51074824434519,38.21581614568382,52.0879096030728,20.42501205891275,142.2000171016365,1
65,Muslim,Mental,A,28.309363426118377,-130.81852960504455,-17.10888990874452,-146.26541245846363,-63.86088957967121,1
28,Hindu,None,E,1.5194375686602195,59.503056791904704,8.337340870858993,276.35093920157885,-174.99001532316635,0
67,Jewish,None,B,28.000131735194945,-72.39668115940866,-58.169711003038024,118.24791666636915,132.33647406934324,0
48,Muslim,Physical,B,-63.638464620707715,-240.99508505680615,76.78105076439357,194.5455964314335,-14.134114310986682,0
34,Christian,None,B,-101.9430238690073,-11.254500791341766,32.95812241491957,-53.22619784623529,69.74717575909898,0
61,Other,Yes,E,-132.48931118645052,61.31870113536332,-111.47252368011289,-165.28812553038122,38.10490036124884,0
55,Other,No,B,-174.22259512236275,-2.212571573006801,154.23702326194152,86.28067243132014,-41.61856980970191,1
76,Hindu,Mental,D,-78.15423357966087,3.9845948013713945,79.80492525526071,188.04913940326654,13.50867882610818,0
29,Hindu,Both,C,-114.62082680837766,-100.53252874276536,-157.04774386514643,0.36156386717656325,-85.06151208420026,0
47,None,No,E,-32.88671265020598,-32.17917901454704,32.327372598425136,13.707340327185701,133.15072525047586,1
52,Christian,None,D,67.11240098756505,-11.709434987268802,-12.470649325379522,-21.429547891219585,104.8377837807138,0
69,Muslim,None,C,-119.44361897600844,-73.34808465270622,-109.08156304415937,-93.07698955394056,-17.85952730846121,0
62,Hindu,Mental,D,-130.94361785502963,2.1042051649682683,-77.9361912498893,17.221060916957953,-72.98008752290185,0
40,Christian,No,B,112.41448733054047,-91.33028025226648,125.70246652680035,95.51346591899336,-215.46177377034974,0
21,Jewish,No,E,-189.7663516141278,54.762639008581125,-5.626060368668089,-93.32360140530889,54.195501013633084,1
65,Muslim,Both,E,48.81218946534841,20.749403849337448,-40.12507950601967,3.356604931534335,-118.24086416683033,0
71,Jewish,Yes,A,-47.13378301543955,22.038830746713074,230.69560356756975,-315.1301670739314,20.29246515803889,0
36,Hindu,Mental,C,57.68867772001207,-21.686365028479432,-129.84333904381938,134.3440359630949,40.920856779510686,1
78,Christian,Mental,A,13.498565584863053,102.94966721039474,13.16262313260711,45.672833914620504,150.69257786470178,1
61,Other,Yes,B,74.13883389842374,-48.98234026002404,158.03937096892201,127.51474084173819,-61.55654486184021,0
51,Hindu,Both,A,-163.92609970811026,-13.597777578060914,34.86883280206767,-45.54380601620036,-58.6446814537238,0
64,Jewish,No,D,-148.41634910182654,-152.1477986385233,190.71477548690453,-167.21629357469828,69.69140951719295,1
73,None,Physical,D,-188.83323283484324,-59.0649308814667,64.14497818664664,26.965600245254095,124.09236372638708,0
74,None,Physical,C,-33.436562543605724,31.6505349047016,19.38208764255867,-168.62323714471898,-113.81097022360231,0
48,Hindu,Mental,D,61.579789961489304,69.53214871774382,71.87111476282936,-18.35603632921867,56.95936149322546,1
32,None,None,E,4.558035635057642,-72.98303290555798,-91.3231026757089,-48.37380076371587,-99.88677513122711,1
50,Muslim,Yes,C,48.76476307786577,31.35621700782502,32.77510975026527,0.07278672630637435,-120.16750279330417,1
66,None,Physical,E,26.039999899813537,-44.425786624415245,-96.85115467451591,145.3429184048495,14.331797980588332,0
71,Hindu,Yes,A,-73.92560445399084,-6.992440004550968,-52.03476738984511,-186.62970111759654,-111.84453958992427,0
27,Christian,Yes,E,-254.018267804736,52.847989333816834,-114.90718927038613,-15.900965741784981,-15.755978403628335,0
70,Hindu,Physical,C,53.24512084048473,-71.74838945091427,28.726426796964027,-139.1785929662122,-120.49584085289122,1
35,None,No,C,-58.80104643120101,212.48788042120066,28.28129918227587,31.25463533277617,283.29349743002894,0
