Disability,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Physical,-116.36044520987552,-52.0835491838289,51.24463574192127,28.229606798106644,-177.58394263426305,89.77042214419697,-140.49778850430584,B,D,C,164.0761986834855,-221.9495768773998,117.28687664340075,C,-130.35218221888408,13.983675988249031,C,1
None,118.29554699711487,203.34726711068316,74.8831854190249,260.3590467792944,-32.828927769530736,196.2685692094908,-41.240779800706406,B,B,C,-62.66257318403419,-23.717362831527694,93.30876850175682,A,-4.400080986419287,37.12353303956838,D,1
None,-4.14450060187133,48.14577263871331,167.5847466697141,-127.2263468852523,-23.679144013788843,-206.12222887618623,-72.80797940894826,B,E,D,-103.20275707832933,-2.039565119223002,-120.57424526768843,D,148.0422954644813,2.2789199222986345,A,1
Yes,-13.142632584494185,-69.23445630831822,210.38951679103016,112.73278324673241,-72.0847235277648,63.63721564535877,-46.30074166359354,D,A,E,-27.762781581026736,-130.3987922032013,-71.87698675431457,D,10.257929914057168,-112.73942183302184,C,0
Physical,143.03250840123397,-79.47168797633474,-43.3892583240161,-6.848004336664425,118.72211364039522,161.10462686180398,17.679289659873206,E,C,A,-38.11416835713569,93.82884241754432,-17.65274519068833,B,-68.1953604233768,111.90235257051494,C,0
None,0.14816004325981705,79.99241903076961,-116.5383413558265,19.270991215771023,6.642028216445095,99.11514465448606,118.17714284867198,D,B,A,-97.09239836125899,-217.94006135415157,-16.64173991198267,C,167.497276905909,44.20962394907315,E,1
Yes,-38.07773086113808,64.82863094233502,156.21737638543115,-26.49442781325001,-27.347107264341542,-14.18013963559606,55.223437502054026,E,B,B,-79.45867797140647,-5.047634408057246,49.79720321875191,C,2.6224847307874897,-167.2805665740087,C,1
None,-33.511524519414024,-64.3588123020268,41.203819729558404,-205.38070180496968,65.57391266227972,-146.81294062613773,-171.35703472554482,D,A,D,-9.793852167342038,97.84004191121083,2.0533384810086144,A,-78.43659551179806,-217.61763931493226,E,1
Mental,46.84927896082267,232.4441524994216,-45.47868060090991,-27.361751270576285,-136.43585911900112,-123.53188963486312,-129.95237971221434,B,B,B,-120.16352812934386,-153.63771097340035,104.08770780980099,D,-113.7678103784157,41.3664643392004,C,0
Mental,-26.440926547098943,21.75658896256589,-190.53929731379085,-29.068545010473834,-10.3542428476606,-75.77624646734363,150.6910161521839,D,C,A,-41.09508469662649,-29.23973800090488,75.02733956477711,C,122.12635481317788,-49.065296016011864,B,1
No,85.59783876833266,-71.29275111924895,-233.33720085630222,-47.7197632328741,35.80400740859532,-98.62790102644485,153.43927805587782,A,C,C,-136.89034568420976,46.75383342576131,-34.12683725375618,A,16.027693984243584,18.581853654435,A,0
Both,133.74560771141603,-84.3101333413735,71.40009853217252,184.59277846435972,-7.822925438366974,127.16498778077583,-83.30038256470189,D,E,A,-20.567951723186038,-166.60672988751074,20.41338092261661,D,21.363533594839446,87.1569882489067,B,1
None,-7.212122435048646,-116.39196690466447,-90.84293795593189,150.83559436608388,27.643645577048208,83.21029986776992,44.12852816255702,A,A,E,3.469079769491481,-121.7005287464188,5.871177887111221,E,6.842215803081417,-34.30502251723647,C,0
None,88.83770679009572,-72.71767777241246,152.81591956954168,-198.4702144314069,11.948420939740508,29.186238691251138,122.29907337618016,E,D,B,9.461619532871834,73.23784796606051,-163.90544717777883,C,-144.2709792722341,90.8943466537921,E,1
Physical,-110.23156420037479,124.17421756843143,117.3960027610114,224.89412881230484,-82.61216147174196,-45.16094213672885,66.80923678905366,A,C,E,132.68045648306153,-86.12878248004444,-166.93802794320038,A,12.274841607615144,99.92629962194293,D,0
Both,-13.550778623468624,151.31789186913278,4.147739310099556,56.682935510902354,202.28797540550505,-10.553958642963678,159.92483451361096,D,C,A,1.199530783944888,-3.1675195354328687,-30.2201926749728,E,-125.09219498386601,3.620393538480412,A,0
None,16.90590193162228,103.50180241244651,-57.6379881429116,75.24230427059094,-54.604833290741524,60.25432025302748,69.54893045251067,E,E,E,60.59224814698063,-3.15817704883514,-16.203923919322875,A,-193.14618711172042,-43.09534039005165,E,0
Yes,-9.483587497890195,35.2617542756078,-13.785392911000896,-13.115312015476855,-147.02665691073977,-92.02303229732894,-49.11257079749116,E,B,B,54.82274924911581,-18.933949239963948,84.29322146121079,E,-4.158865917721329,-17.013861529578403,D,0
Physical,-17.18776425218097,9.311795769916271,17.070290933129407,123.5698376603595,-120.45944759475577,-182.48219765688475,32.172946626928066,C,A,D,-112.7485742488626,-23.634886810005437,-133.20502006955402,E,62.68918860706907,-126.12678132543009,E,0
Yes,104.05565051182502,78.97609022605356,-70.52649053376645,50.249221848966144,-5.986187113099794,-88.77916025402125,-81.62731821906107,D,B,B,164.91080790175957,-21.936324253110794,150.56052976482894,C,-192.34546193028262,-78.09640931505277,D,1
No,-49.936306805954395,118.74749716765696,-44.23695548494863,103.77942432686635,130.11054529167487,10.217404061717207,78.94943335005198,B,C,B,142.9122956538853,118.96500184246452,3.047786019186317,D,31.668904759598902,129.31078700495263,D,1
Mental,-78.19307026150427,25.19974113947508,-191.11319450782617,59.23433474626425,-44.01081939625731,-34.460652880688556,34.84634863944246,C,A,A,-74.82082583223024,-27.473919981684393,-3.5706745014175785,A,88.94758629503774,-46.88961918777403,E,0
Mental,22.620465265561528,-21.150856054497364,98.26672891514526,286.89809550509267,-133.45269948019552,-91.36676475022684,44.63236200439279,D,B,C,12.930575450654072,-25.511519525083813,-88.23253927431035,A,12.445592753348308,-77.18851096513943,B,0
None,111.80301343088072,106.33224524020999,-78.10918570075161,-44.206798955258684,95.37497676781696,-181.7347045494966,-53.630413292918725,A,A,B,-108.44638141304519,110.14255909427139,-54.374612955973966,A,20.584590000885875,-76.28442356592716,D,1
No,105.05211036866345,73.66489695726362,-100.25229744917341,79.33694611383896,-58.5748791485847,54.743534832808095,91.5274875626203,E,C,B,117.05834637402278,-2.823259404876427,-174.91204576191285,E,88.16794363153129,39.314597792317294,B,0
Mental,92.51445004148266,-56.268977446336955,-100.23040518115769,-30.72577068158358,31.378290401534365,-95.52325816922888,74.57087637640247,D,E,B,-4.729354793550508,-115.83587580098961,86.29968861737304,D,37.53288153870192,-95.47670539196328,D,1
None,41.09002250367118,8.402385213686813,-148.8665621596848,144.34394891334327,-47.66631007146366,40.07316476703013,-32.56652126218651,C,E,E,-121.57190792044167,-7.839429310156188,-34.88024447926732,D,-80.81257103495878,139.1312289057664,A,1
No,91.77787924543219,70.3942032843367,-78.85697152177389,-86.6030955867924,51.66266051610546,-101.79205423785085,46.35855687645234,A,B,A,52.622402184202755,82.98536388513016,34.62587173440662,E,14.03939721817652,97.97038202925982,D,0
None,-63.057979287293705,-148.5957342318493,-133.53754333093548,21.290049655021352,-53.77448689261385,-107.49107699670877,-38.01150777856881,B,B,B,-97.73166810410123,128.33426247636024,-44.70733422797663,D,-74.22298600393576,-116.72601142024462,E,1
None,14.368818938742194,113.24998522167296,13.40032239359618,-31.088714424162937,-90.8020421453068,-116.10637530951755,83.35251663481634,D,E,B,61.6384266009133,103.76295787636242,176.83205419035505,A,-58.24152886457979,-93.51726987911931,B,0
Mental,-254.16583394147224,87.6050653494626,-76.92231514870286,190.85820654756748,-164.53736473491,-250.1622950631202,-91.67146210615923,C,E,A,-188.9362047742336,-71.72639852761422,263.7439077962535,C,60.072816193215026,-154.38627558901496,A,1
None,-189.15213517551064,-68.02503335907596,62.65040441514712,-43.02275276081778,226.01551848663078,-149.86740059933243,13.192049822065217,D,E,A,-3.185301463843708,-81.23422014732859,85.3591022364891,A,-93.04344728151067,14.824801895097877,C,1
Mental,-150.86348625027622,-70.98722268550262,101.31925308258609,4.091537193909165,-56.424252610144286,-72.4325078585615,35.55374887482167,B,D,B,-30.037069298143308,-168.14618369484228,-191.46739252815345,D,11.828040287650216,-188.8880834224574,E,0
