disability,faith,Race,country,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Yes,Jewish,Asian,Brazil,-131.45627833006608,B,C,106.57968693432645,C,87.89858691747236,B,0
No,Other,Asian,Germany,-203.76902361811773,C,E,-92.40463949522831,B,3.2187193695545915,A,0
No,Jewish,White,Mexico,-26.979931080003595,D,A,106.53245419267255,A,-82.078086060666,D,0
Both,Hindu,White,Mexico,-44.2021205188361,B,E,12.221423511731398,A,88.96479707758864,A,0
Both,None,White,Mexico,-97.56666489279895,E,D,68.7834819770655,D,-95.73074983317844,D,0
None,Muslim,African American,Mexico,-69.86026449610705,A,C,102.87407548695565,D,-110.69836281022405,C,1
Physical,Jewish,Hispanic,Brazil,-132.79771104654048,D,D,-129.33511250072084,B,-154.15085742608997,E,0
None,Hindu,African American,Other,-50.91511940444181,C,E,-180.81561024034872,B,64.57519263053257,A,0
No,Hindu,Asian,UK,21.17735408468615,C,C,68.34079484157284,A,82.96663519301298,C,1
No,Hindu,Asian,India,-20.746203803822052,C,D,-165.11247060555155,C,-53.16924297256761,E,1
No,None,Hispanic,Other,69.97736002747756,A,B,10.732603661340413,D,59.898160121949886,B,0
Physical,None,Asian,UK,69.86819885863305,E,E,81.1677435365208,B,-142.2808923096775,A,1
None,Jewish,African American,US,-119.0756899556282,B,C,44.8614602699231,B,-42.68860425268915,C,1
Mental,Muslim,African American,India,47.30888112530517,E,D,-35.50229755547811,E,247.64621773211326,B,1
Both,Muslim,Other,India,60.30432720025698,E,B,151.2777458043011,D,17.017316369465803,A,0
Yes,Hindu,Other,China,-0.8748967843554479,A,A,54.35022100391669,A,-14.043523633194432,B,1
No,Jewish,Asian,US,33.527498950262455,D,C,-15.183593942860988,C,82.36146234832705,D,0
None,Buddhist,Black,China,64.63933421719751,E,B,137.13805022760306,D,62.51873846566293,D,0
No,Hindu,White,China,-1.9444056430609962,C,C,-169.91981655396063,C,47.74448798477305,B,1
Mental,Hindu,African American,Other,51.25306995617321,A,E,-122.79661572688111,C,-168.5052165852261,B,1
Physical,Muslim,Black,Germany,98.9562724372229,D,B,-53.27576158153341,C,-141.02651965220278,E,0
Physical,Hindu,Asian,Brazil,-116.94242525949008,E,E,-90.93792113926816,D,135.95189665212837,A,0
Physical,None,Other,China,-72.71542492688572,B,C,1.8484970140370531,C,-29.241003436105977,B,1
No,Christian,African American,US,-278.6056196471228,D,D,22.51052182150156,B,116.29331777787768,C,1
No,Muslim,Black,US,-21.131050579503807,B,B,31.839429505893364,A,49.25170934085978,E,1
Both,Muslim,Hispanic,Mexico,5.936959847333867,C,C,-74.69480909963094,C,78.9836490031071,E,1
None,Christian,Hispanic,India,-20.060969774514202,A,A,-47.718436261492215,A,20.690022807700057,A,1
