gender,RACE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
Female,Asian,A,E,59.64920015684662,-10.738485350121419,A,-100.3271423496128,B,B,-97.26357111541368,E,-138.24140485479694,-19.3905361959963,12.302721704122572,-148.25783636442696,D,-82.25785146856482,1
M,Hispanic,C,C,39.645490338584054,-20.025036715732266,C,-151.28283928690573,C,A,103.01471665442558,C,37.41528683304956,-137.2192215481447,-64.26852571785601,-50.36485309357113,B,110.81754882640662,0
Other,African American,B,A,63.86423692362253,117.08765315661927,C,16.712553347642213,B,D,-108.6236639254506,D,30.553515007473486,158.1276621360558,-123.61735925080215,101.51532289388751,B,233.5715747856392,0
Male,African American,A,E,-29.549582176702728,32.34611353592892,B,-49.36885752865845,D,B,175.22522993066124,B,41.17778672470333,79.45464240881286,61.99075739401876,-44.212758897489515,D,17.52512588979268,1
M,African American,E,E,54.4617354678894,51.99820120009909,B,-43.57399606950164,E,A,-268.47759673204035,E,-28.36985894896146,-81.87292715500057,83.71630090100216,-54.131150926898016,C,140.46926888225784,1
Other,Asian,E,A,70.33587669443119,20.49355584081696,D,140.8388918886218,C,C,-66.80367180973398,D,53.19782174262523,-186.3803798928399,-89.81858835141618,2.609915010325313,D,126.21362353756072,1
Non-binary,Asian,A,D,89.6721171585672,-167.8825143599554,B,-193.1282953051036,A,E,42.98710306023835,B,-176.123889810447,-20.898342420526802,127.08848423381134,-233.7664765787722,A,211.94126376869065,0
Female,Other,D,E,-23.580766365780477,-56.923289402262654,C,-50.423213220419115,E,C,12.054963672697307,A,53.21180050326076,37.76310412142641,-74.46394409888315,-143.6758839622121,D,-194.321373771079,0
Male,Asian,D,E,-157.81467185679142,20.235581859312113,B,-152.57853498394613,D,C,-64.5033381920652,C,41.50271974515064,-42.01727438069956,20.029173507372914,23.827724233492965,A,-63.01234493046145,1
F,Black,D,E,5.263649234654929,-189.4562902099832,E,129.13194818707424,E,B,35.20938247157895,E,39.2043075055585,6.477634993213467,48.618033445232335,-25.585307074558592,C,-173.07023589399188,0
M,Other,B,B,-0.2585960216795026,61.26237151819864,C,-106.31534486668444,B,E,-50.71116977100789,C,-66.58659380451492,-240.70652757212292,-136.8853249301001,162.7586152466161,E,60.29054534057106,1
Female,Black,C,B,297.0361150464537,6.213896160843804,C,188.55864612577452,B,D,118.9202846330046,A,110.84159256446202,82.58781005779149,-46.49039223041168,45.700930890462445,B,-120.16908634518757,1
F,Black,B,E,-47.17739659892327,-104.13532938527067,C,-110.74811226813401,D,B,97.24923391954673,D,-40.32001426674495,-40.394788061955325,-54.667070157698305,28.870793179394877,C,143.19667244004754,0
Male,Hispanic,C,B,12.918519089625033,0.5576807245229245,C,-201.1415688305397,A,A,-129.95541983854795,B,-20.551885462598307,-47.3283811596805,20.873043734789114,-32.06550973026498,D,-46.01379200633027,1
Female,White,E,D,114.17951014963614,79.4810537258794,A,42.77795948459066,A,D,24.412527218990498,E,-1.4286431909203918,1.772353301938644,-25.296851325021734,109.14579648841884,C,-56.67677494018872,0
Male,Hispanic,B,B,162.64536538733324,27.060301844052066,E,138.9975688300864,E,E,20.612739794596262,B,164.35755453107924,-101.30807455902733,-82.07456450571387,45.711492059600054,D,-116.39643119523532,0
Female,Hispanic,A,A,-50.74525159944291,-75.41022559151189,B,12.124829860380704,C,A,86.98910064814625,E,46.561995766373705,-148.32947368817705,-60.6334892387064,32.119818988823376,C,195.1492385065357,1
M,Other,C,E,-39.09429989926852,60.37318134104065,D,-60.49302695076227,D,E,-147.26674943755486,A,-97.71244068468613,66.08656942473054,-95.52363376652865,70.66344425453983,A,-177.93960430594012,1
M,Other,D,C,-74.80050177007226,152.36176394091012,C,232.0830345209743,E,A,-26.580685419875312,E,-17.013744015777053,-46.97058963484368,75.08737465507373,216.56630122732503,D,9.518406123553614,1
M,Asian,B,A,68.98255818795359,-56.622010214546094,C,91.59953829151267,E,C,229.87638524617222,B,-175.60344112146515,30.287406430508312,113.48340308087361,-161.3953075942715,C,-86.7593919749402,0
Non-binary,White,B,B,15.021565192744013,-2.047101675681178,E,53.131368929026934,E,B,-18.13007705025391,B,61.27370435857511,-63.544024909076256,34.25199783699516,99.31905774822422,E,-52.85456324619332,1
F,White,B,A,64.73862343765754,269.24070823280994,E,117.98986130952083,B,C,-64.4298403156007,A,36.19396682936327,145.73779669860227,73.33004266382713,-25.067533609812042,C,-78.28808232721266,1
Non-binary,Hispanic,A,A,-165.86447342736102,41.573384002085376,D,-31.12626155558148,D,D,-58.724607428111376,E,-119.93920631635828,46.660524709914135,62.868528479579254,116.7591374692166,B,95.37802253387848,1
Other,African American,C,E,-98.1085967984036,4.3856204617363215,A,-1.4571454711310428,D,B,79.81718780722336,B,48.53869407518317,44.24184428967487,223.53978406152137,-3.1863437866697866,A,43.581894120052375,1
M,Other,E,A,53.90148576733028,-75.73229142822832,C,95.08588740843614,C,E,58.06665471840504,A,-8.096144067831458,-68.05422692784198,-22.023941793525857,-114.11159074158479,C,-29.14813819705856,1
Male,White,A,C,9.576396430061248,140.65059878773243,A,8.309430140935062,D,A,7.314232940243621,C,-138.09025652935432,41.0271972569707,-28.69608220425844,167.03995401966438,E,-64.18998756517557,0
Female,Other,D,B,44.83474113570476,41.325734768208406,A,55.83852602633497,C,C,-176.1762600574081,A,45.71731246355088,-62.66165764136479,-128.0938496346081,18.306181107992956,C,-69.9880237473701,0
Male,Hispanic,D,B,-45.256738515953884,-53.89811574519051,E,74.23407678475586,B,B,-180.35384333855276,D,11.955114022771271,-96.79059404648741,-16.71504679755059,185.82442191448942,A,-51.5231170349958,0
Other,Asian,B,D,106.58417106965577,37.649031181082734,A,-85.6057704840541,B,C,131.61301536890304,E,-135.01205552401163,232.10270809306058,26.59239039601208,8.001206242149587,C,-153.21728375099713,1
Other,Hispanic,D,D,15.707162069533675,-5.981868710466908,E,-89.39201364624863,A,C,-71.79787196182946,E,29.923861035163355,-169.22003112114342,-102.18515909113177,-113.82183524016256,D,4.069983809751069,1
F,Other,C,A,132.8903100359005,-74.10802531573265,A,-75.57546653510876,D,C,59.892604363305935,E,-190.85740697125019,-19.211310977515577,84.77531661027965,-49.15839243186626,C,15.065774278764236,0
F,White,C,A,-6.672029605334756,29.897709834763997,B,-56.08428744707389,B,A,62.636165251909844,E,-45.4712726025505,-1.923737062063349,79.68121956657106,-12.233758200522553,B,-34.12455157929434,0
Other,Hispanic,D,B,101.36933565449387,26.436346834938945,B,80.45505713614193,A,D,-136.35423409651344,B,-4.969524488887748,145.54985329547097,-63.80717806393632,-191.18783171726628,B,118.30478968210225,1
Male,White,A,B,90.50493543679293,175.61302041420944,A,-66.99915840435348,E,B,77.70481722298344,D,28.59769340466886,-25.79266898397055,-20.453353562060016,-93.7527281555105,C,-130.39050575288263,1
F,Other,A,C,38.31451898618351,-14.995186460332796,E,-67.6559500191944,B,C,11.205203353491083,D,245.99707251214505,42.957363519163145,138.4251079406821,54.873054995876814,E,-108.91981881567918,0
M,Asian,C,B,38.87451561537372,52.22619803927688,A,-73.5103289550037,C,C,152.98519729073138,A,-75.88253768881508,35.48815702007059,-55.86231916748103,-36.449180979968595,B,0.14165702550034462,1
Female,Other,E,E,-77.75368245612583,-38.75795410359809,C,146.27023009895385,A,B,-96.11014056088135,B,2.3999499572724976,-9.30816093001801,-175.33034644525932,-50.36118221194585,D,89.01196686635313,1
Female,Hispanic,C,D,165.79272011798292,-87.85304902298905,D,133.75254211558487,B,E,-43.12223878163337,D,-7.495403821761383,142.12602407430526,-105.36674470413551,19.936598879496138,D,-51.00792903064264,1
M,Hispanic,E,D,-21.69241371105605,48.61450194953791,C,171.2212638647453,B,B,-61.33224670664325,D,-4.8815942119821525,7.181800064722746,-104.17787537098823,171.42258252651357,B,7.275543263380907,1
F,Hispanic,E,B,-158.23388838489666,-6.267274659139753,C,-94.56563376947008,A,A,-16.7152602219821,C,73.0103612735044,188.08562815244238,15.985375198048404,131.47416438133837,B,30.658469732568012,0
Other,African American,A,E,73.92717889281212,177.19923638369158,B,-92.61371783143791,D,D,79.78525095388709,D,-110.9163873410272,91.71643969420711,37.320909774993325,-135.46430116544755,B,-147.56502349495025,0
