Gender,civil_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
F,Divorced,E,B,E,-53.598800259089344,B,69.13763027301061,10.955151742122652,D,-49.74574428811577,A,-120.94066738386084,C,A,68.80945027916174,B,C,169.45906476413845,-48.914965285680914,-138.02023673822947,0
M,Single,C,C,E,-52.599747082482764,B,-31.33866883151629,-99.83494843509536,D,-108.38910566812913,E,-114.90135970881916,B,B,59.397580943778074,E,B,-141.529629613455,154.3548650338954,54.37261721531863,0
Other,Single,A,C,D,170.0862380870256,C,-67.88455860297718,-3.0701258423852114,C,-44.88007703256901,D,223.26672620090434,E,D,90.34497586048992,A,D,-61.05185632066872,55.96035100720405,83.0426874751915,1
M,Married,E,D,A,172.2999360027454,C,-157.83567664971756,54.633748196585444,B,65.49118592582067,A,132.85314585052518,A,E,-150.8971850828944,C,B,-105.73924530744252,-12.744550033153464,-160.49098520154536,1
M,Married,E,A,A,-64.84018155892474,B,107.07063694429759,-10.159671701031723,D,-82.0544187265785,B,17.277715470805667,A,E,-29.658881453347323,B,A,-108.47660275244047,23.56543216261716,-92.85077189543297,0
Non-binary,Single,B,C,B,168.6532186338268,A,2.3390948511497567,161.36351049533494,B,199.10919120686853,A,-31.846650112984353,B,A,-152.6311806616026,A,A,-266.3920094080809,-303.4644031593505,-1.8439520575677155,1
Other,Single,C,C,D,16.01411691271845,C,33.91095533849878,147.20035343456658,C,-226.36085073265016,C,-112.45978876079361,B,E,87.46833844945185,E,A,-22.36751635456344,101.89856625605039,32.88858762503604,1
Other,Widowed,A,B,C,125.36150576265801,D,-12.000464566860202,-40.68354222539499,C,5.861340858958227,C,-30.239692816348818,E,E,-124.17986476879888,C,A,36.794230850220096,-89.47904365668282,-171.2238106973344,0
F,Single,D,E,B,73.45457216740033,B,45.30483401000562,44.10537605748341,E,-87.66893795947524,E,-121.00706020363987,C,C,95.99150162365513,A,C,111.22682826353514,5.349322417570026,-73.04194723592728,0
M,Married,A,D,E,10.911453007114098,A,-65.60573760328991,-87.02369311803558,A,10.004460344475362,E,13.019414170807602,B,E,103.56550079378259,D,D,61.84892345234725,-50.437085528101335,-143.10351391192637,1
