orientation,age_group,age,ethnic_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Other,65+,85,White,-134.46021613116352,C,A,A,113.30876973401556,-24.01331926603742,E,-65.59048598944901,A,E,17.310790713381067,152.7968467652321,-189.2339489069086,C,73.55939345478079,A,B,1
Bisexual,26-35,89,Other,-7.214678364728336,B,A,B,17.20496736751162,28.26836093299969,A,-125.1577109803238,E,A,27.25487298188853,-31.560204335309695,57.37554303967687,B,21.09040522488964,A,E,0
Heterosexual,65+,38,White,170.92413667245032,A,D,C,81.26275561599398,150.24992756860397,A,-116.97884075735278,D,A,143.02697658985025,-105.22420728572388,22.20162805214072,B,39.56697936952837,A,E,1
Heterosexual,36-50,83,Black,-43.0625756149613,D,B,E,36.11662689129654,-34.984719715583786,B,61.69575206786215,C,A,-253.79081140804215,67.80353044485744,-30.08144590042143,C,57.324113654538,C,E,0
Bisexual,65+,60,Hispanic,202.51480973505082,B,D,A,-99.0502835568545,-192.001316726176,C,-43.51002468595461,E,D,-60.75871647512597,165.5380599275408,-102.06559461233991,C,156.9380061722651,D,B,1
Homosexual,51-65,91,Black,191.5245750200865,E,B,A,14.412987103626254,-9.453483192544615,D,-121.95791524023485,E,C,-91.21179115261519,92.69384683945586,3.154266456870187,E,-55.78901169814586,E,D,1
Bisexual,36-50,36,African American,76.29644539506315,A,D,E,129.5249181860842,110.33065136658185,C,88.77903665338518,E,B,140.7302217675576,109.50926394500571,3.8231829951322966,C,-120.1769980072498,E,E,1
Heterosexual,36-50,83,White,-45.47389026799193,C,A,C,-9.070431814852121,302.98229265568983,B,-151.50294384859922,E,D,-103.8586562882745,109.39283675940679,-34.46599145549478,E,-70.08833801292543,A,D,0
Homosexual,18-25,30,Black,-12.551205102906628,E,D,E,85.65357005903897,136.75201404351353,C,170.6739856437143,C,B,-75.18312649902433,13.934229179289249,57.19137685416741,B,-109.87941322889318,A,D,0
Bisexual,36-50,62,White,-67.55879655172245,A,E,A,24.43440985003521,-22.033613269636056,C,9.448841465923552,C,A,-63.9893608413655,-134.91510429331007,-85.77386278346539,B,153.48015030262803,D,D,1
Bisexual,18-25,82,Black,-52.29947220869532,B,C,B,-140.30960912867644,157.0886963964387,A,-41.64731829957443,A,E,-52.67571185631119,101.35977413786239,27.73979629647104,A,-107.5964424313888,A,C,1
Other,26-35,38,White,-95.79861074123791,B,B,D,22.642293133637168,-117.87725384023327,C,91.14346744791811,E,D,102.3495955122262,-16.322978891386448,-91.98024893365528,C,-22.20438348332366,D,D,1
Homosexual,18-25,91,Other,155.36392199846313,E,D,B,133.31319659197138,87.3664400231441,A,-152.6127231886211,D,A,51.00062965254999,-84.94884861987036,-102.28032468939831,A,-38.695464293927216,D,A,1
Heterosexual,36-50,72,White,-62.284574883686695,A,B,E,114.55811772091991,13.009284573409555,D,-142.68379157000913,B,E,-78.862539888,-63.92258442786542,58.35854931642997,D,-107.12337357451214,B,B,0
Other,65+,98,Black,-56.167985281388766,B,E,A,-78.82739553462372,27.10956187485029,A,-43.79971908157509,E,E,-25.90878398117607,-71.89169576161883,-35.29175465400121,D,-37.84380271898871,A,C,1
Bisexual,36-50,30,Asian,-380.28286880074813,B,B,E,123.61671745159254,184.1649980306098,E,-92.53449472752378,C,E,-81.01625299666338,-14.966447885190057,128.07611700283243,D,-121.25509518537767,A,C,1
Heterosexual,18-25,85,White,112.06028377014903,B,A,A,-154.52440903106418,-6.487118760983678,D,4.389255424391718,A,D,79.4014464600811,76.55463591833939,-116.1432378653583,E,70.02714594511775,E,B,1
Heterosexual,18-25,20,White,-97.38181353187613,E,C,D,-75.25233440912011,-27.542161300494485,D,195.37799664931072,B,A,236.0970548693186,18.27767517708986,-166.52661626937257,E,35.85244251384684,E,D,1
Heterosexual,26-35,72,Other,73.78268194561474,A,C,A,-86.18348468812759,51.44058959685155,D,124.42328128840589,E,D,69.6179163032739,53.390256682613334,38.38332465320532,D,-59.00916544685606,C,D,1
Heterosexual,18-25,43,Other,-1.3386536230788753,B,D,A,39.06730688143727,27.71508763821257,D,-198.23471856618679,D,C,-71.16971163060742,134.15234658406789,181.16248167204958,E,-210.4670874524383,E,B,0
Heterosexual,65+,24,Other,16.84979996977123,E,D,B,-48.24564184341561,42.37939969972214,A,58.93377959985157,B,C,-162.20733706518632,128.8696073190103,89.3619155124337,D,98.59528388978924,D,B,1
Other,18-25,91,Black,142.9471700164466,B,C,E,-178.6513451623958,-29.762563107331896,E,181.29826726424653,C,E,-39.19145660418077,-84.71598681271838,32.420333857534736,E,-55.016563852357116,B,C,1
Bisexual,36-50,41,Hispanic,97.16139696895873,B,A,C,-58.95585950749373,6.764086742965558,C,-51.32351481621444,E,E,41.723680259293296,-15.869197943946018,-39.76043831018426,B,26.571657197589698,A,C,0
Bisexual,65+,80,Asian,26.29535614559188,D,D,D,-4.296166523606148,33.05662033305406,E,-77.15327195818475,E,B,-86.51700131337681,-175.62895183408898,138.40937521987155,D,33.131048581262704,E,E,1
Homosexual,36-50,79,Black,89.94801892818612,C,C,D,42.2869779770273,-251.75634216562207,D,-183.19723665952841,E,B,28.84227736601634,-147.06651137857625,14.78268089726783,A,-125.2108354852115,B,C,1
Bisexual,26-35,67,Hispanic,-41.93434160229361,B,E,A,19.82110973072026,148.76925422240066,E,-63.27066899852323,E,A,-3.4812163146576625,-53.04212904781831,19.90062904313871,E,46.049381828582256,D,A,0
Heterosexual,26-35,62,Other,48.6735296439442,C,B,C,211.86626147676853,-112.41368005395067,A,39.26301817817984,B,E,26.016189964430936,81.83459737500822,-6.758519038327279,E,101.05707179323429,C,D,0
Bisexual,18-25,55,White,-30.13509014993006,C,A,A,5.760109643898358,-27.665585957897008,E,108.23252043248314,E,C,-117.77304782559574,-20.912235529037243,-89.15878157766457,D,12.307324529437052,A,D,1
Homosexual,26-35,54,Other,40.5108688775961,C,D,B,218.64956359143818,204.69151194854794,C,128.35765220491032,B,E,-52.797851276338456,-36.28873748588132,7.011251473280271,D,102.3226884983802,C,B,1
Homosexual,65+,97,Black,-41.10541365765283,C,C,B,-154.07758125479504,-47.170923674660834,A,24.70850774034658,E,A,-76.79611064259831,63.61187202538665,104.74295083302239,A,30.53816391360145,E,B,0
Homosexual,26-35,35,African American,-5.415483813529119,C,D,D,-124.23234456446168,-132.659060490457,E,-99.92594634626356,E,C,-98.00647907594194,-54.486746972658764,86.77019621808645,A,77.7525905819472,D,C,0
Bisexual,51-65,23,African American,-47.3337141162259,D,D,E,113.1423135557477,-58.88017780324619,C,-0.9056678315603315,D,C,-113.22492340964678,-67.45191745659585,-132.2958504264876,C,14.76958503804697,B,E,1
Other,18-25,49,Other,72.99182024535561,A,D,A,210.96865213906844,76.73715707803865,D,83.87743118279151,C,C,145.95240242960296,212.73826810900837,-33.43123445619259,D,-162.85445478315378,A,E,0
Homosexual,51-65,34,Hispanic,-7.062960586884909,E,E,A,-133.39967359864647,-74.97252554386434,E,168.7064562830536,C,D,75.60948910294802,-90.92458359018285,29.478327682325467,D,-135.95773254414618,B,A,1
Bisexual,36-50,36,Other,63.20111402973827,C,E,B,42.019790638454374,-11.550676578630103,B,120.417534042899,B,E,-67.9803141921213,19.414575957378837,15.001225083845803,D,108.47827699695662,E,A,0
Bisexual,26-35,78,Asian,87.65478425430628,D,B,D,77.32555256533873,-68.57410483001564,D,-183.59004654957937,B,D,54.798623581167185,-47.506130338937,-94.07355133316028,B,-84.26750974282294,C,A,0
Bisexual,65+,71,African American,219.95181091798423,D,E,C,-16.09034953524183,38.487640273673094,D,-42.606983318381104,D,A,-44.49962789110465,-17.885059325182997,-58.81199582298811,A,10.772714717479435,B,B,0
Other,65+,83,African American,-44.08684622953242,A,A,E,13.003042391893871,-244.29181593669625,B,-113.43671280216235,D,B,-139.28757777993533,103.51038768330005,-89.01435492022134,A,-130.17649796846896,A,B,0
Heterosexual,51-65,70,African American,-88.38633602099334,A,A,B,56.17514993005135,-45.55414849161058,D,-243.7962625467847,C,B,-172.69854860655423,132.73447962221792,-83.77129486227105,C,132.73074193763546,D,D,0
Other,18-25,21,Asian,-16.854766087876747,E,A,D,-131.21770767175286,84.22204926086518,E,47.37412775986496,B,A,-50.732094960969846,0.3340991422220295,146.09410372873285,D,-180.07272126475493,C,A,1
Homosexual,18-25,42,Other,131.31470448949284,B,B,B,89.9736520810295,234.65286412327933,A,-2.6815032284548885,E,D,-51.22045965693081,-193.9230781590035,0.2654886212259844,B,-121.06500517281837,B,A,1
Other,18-25,67,Other,-91.20731999742104,B,D,B,23.805199507719934,-37.96619115594687,C,-78.8516887373741,D,E,239.0315265362914,-107.37728158926458,-45.733662194146525,C,158.65771500580178,D,E,1
Homosexual,51-65,78,African American,-103.1573387878461,C,E,E,57.32774638601777,1.8986025301634413,E,16.471456053284186,C,C,8.922549632614817,37.269780634012115,-98.25181835641676,D,-29.4100587062614,A,A,0
Heterosexual,26-35,69,Hispanic,-71.30628811314439,A,E,D,-203.24105442513113,43.651152743597784,E,-133.13021795108924,E,E,125.7125286988828,-90.96185757203635,54.80817581046453,B,-29.287533767355654,D,C,0
Other,26-35,52,African American,-5.810829575078709,B,D,B,-99.11122277593148,-175.21532857535271,A,-7.803827929150008,A,A,6.995328286982002,85.17093903326504,-15.1675366723899,B,-102.32732577159989,E,B,1
Heterosexual,26-35,73,Black,-236.1185810389805,C,D,C,-52.14494751172107,-75.65392265014421,E,177.25482935651806,C,D,-7.4581793478308,1.4569951413643758,-106.59369523090365,A,-139.07993754791838,D,E,1
Other,65+,66,African American,37.29188599437691,E,B,E,-198.46570687386375,-77.83119079013898,D,-138.74637866349394,C,A,89.52801290672903,-60.41993030419404,-60.56145224704063,C,2.2284153143374987,E,E,0
Other,26-35,61,Other,32.57705525401912,C,A,C,129.662708209952,55.57283734831302,B,-107.53275480565914,E,D,215.14086900900998,143.46690377036526,106.06709683466988,B,59.72914561430858,D,D,1
Other,26-35,72,Black,179.98627042553525,C,A,B,-51.45572668722783,-71.07603569546245,D,84.06889209881203,E,E,-103.06411895460977,154.4804564536154,151.19874926260565,E,-72.19980162416122,D,A,0
Heterosexual,51-65,51,Asian,-20.646010243874656,A,C,E,12.574832652892967,-17.44476585331792,C,-103.60517579150135,A,B,99.93586232582823,24.15416778936887,-64.64911135816928,A,-63.02798283376886,E,B,0
Heterosexual,51-65,20,White,110.4938303158313,B,E,E,-21.435204024687593,65.62845389315937,B,-29.073661551270625,A,C,54.19555381178469,-16.225130690128857,51.314479279586756,C,-142.42325048655204,B,C,1
Heterosexual,51-65,60,Hispanic,15.3964727748865,E,D,C,-60.79035248302406,9.02781638269424,C,75.20822469940838,A,E,76.07980506043846,-101.07360117506919,-98.49430072234992,A,-86.8878955656962,A,C,1
Other,36-50,31,White,37.38423214270225,A,B,E,14.360763750510074,104.89830220622642,E,74.62960437157489,E,E,212.7226862136393,50.24335963382304,-111.46221815397257,E,-40.708927019047216,A,D,1
Bisexual,26-35,76,Black,76.75373435715822,E,C,D,137.70366866388423,85.1251565664556,D,58.463900755598885,E,C,161.5636623983488,-166.49966546458091,-127.12936011967433,A,24.214689086547185,E,D,1
Heterosexual,26-35,41,White,154.427200276216,E,C,C,286.9465349020677,-46.66163483552836,E,-20.100383521880463,A,D,17.987443265467075,-138.12188133338583,137.130630697177,E,-130.84737798167475,A,C,1
Homosexual,65+,32,African American,77.79493757950175,B,D,E,-18.703109436902558,-10.292961421084689,B,99.09194156708757,B,D,66.21996233780534,-18.699412422828107,-142.4863647732474,D,-41.6086143621334,A,D,0
Homosexual,51-65,97,White,-68.89374919897557,C,C,B,68.0073811312315,97.30542480866623,B,-51.160887224998405,C,C,60.499611646682524,-27.669747906848784,-30.654089704493003,C,22.34099630150676,E,D,1
Bisexual,65+,27,African American,79.75549315461174,A,A,E,-6.643452528732205,80.33740303032155,D,44.09735293747584,C,E,-94.735672642087,284.6375518834222,-133.42747671089074,E,-18.451467986780283,A,C,0
Bisexual,51-65,69,Asian,-24.541987695830127,C,B,B,86.25554833928894,27.966622373410694,D,-152.72982587804012,C,B,12.665633764239976,89.51463976859634,122.95206644949666,D,-23.584191372304712,B,C,1
Other,36-50,27,Hispanic,-90.14845513669479,B,C,E,-142.6609675459127,101.55824950377708,A,76.90968227916211,A,E,28.176994450051573,-41.318443744118944,24.775602616778333,D,-94.5701861556949,D,C,0
Bisexual,18-25,28,Hispanic,232.21117497969246,C,D,E,98.9567596848761,-48.68814499380997,C,-30.5438606915938,E,D,-92.56388744470627,-184.94506190072246,29.70428327848817,E,48.92741496789937,D,A,1
Other,18-25,41,African American,10.926705813741954,A,D,E,7.6552333970108215,-6.615108656159212,A,69.84277523623518,A,E,145.82590466688148,-68.54862391948613,-89.19723933941118,E,39.0585051327373,E,B,1
Homosexual,65+,75,African American,3.887942502394677,C,B,C,-53.364443583166135,16.26346372265984,C,214.88487776856164,A,A,119.20419216622705,164.11754722414682,-24.676794739857943,A,3.963701647388503,D,D,0
Heterosexual,51-65,49,African American,-35.13778440509379,A,B,C,113.79742074603938,55.07247888238638,A,179.39495291377162,B,B,181.32261298140952,-125.64376699053494,10.792197535017591,B,-85.16648065724141,B,A,1
Other,51-65,52,African American,105.14958199588769,C,A,E,165.43453924949526,-117.3166912034373,E,-130.6435852866418,D,C,30.22526917878937,-61.14374458557504,-17.344542417812566,C,74.61886131355841,C,B,1
Other,65+,56,Hispanic,-77.77917216652108,D,A,B,32.25865827037321,73.22514494073044,B,-24.51679182817233,C,D,-96.28185147415451,72.69767898005148,153.53406577751477,D,128.70710627070278,E,B,0
Bisexual,65+,32,White,-122.96841364006812,E,E,E,-42.64939402922218,29.5588143143179,A,-24.048888847657246,C,C,-36.6671355749056,-37.53244921574112,-49.02828876865046,D,-119.3519705208243,A,A,0
Bisexual,26-35,21,Other,-18.044438837797856,A,D,E,-21.02640344904313,160.39185055222404,C,52.24464966440075,E,C,105.08532726027065,90.43670817668834,-15.61631690834935,D,-75.37421098311563,C,A,1
Bisexual,36-50,56,White,56.134510398671246,D,B,D,-92.16365146142583,26.793463491460507,A,12.887296639894204,B,C,-110.49135684669362,-120.00432007276238,12.06587723321987,A,-34.71955528302401,E,E,1
Bisexual,18-25,24,Hispanic,157.01181934792282,B,C,E,123.2763191445523,-101.91740357714451,B,3.711237726016762,A,E,-32.67601823608852,-50.71652503773073,-26.912444401722542,C,-55.36888840290817,E,B,1
Homosexual,51-65,40,Black,73.5932213506856,E,C,C,11.18308629717596,239.32242308100246,B,-62.07880997420796,A,D,40.79655107412031,231.0726132642288,-125.55790979293617,C,37.97600234534226,C,C,0
Bisexual,36-50,98,Black,32.356692919646456,E,D,C,-73.98944673448933,37.11912144717566,A,-114.53776487448897,C,E,27.017469593652667,-0.30741268774563846,57.373565780791914,A,-49.69073055796967,C,D,0
Bisexual,51-65,74,African American,-183.24907094800656,E,A,C,136.11119673055276,183.99161112971478,A,-35.46922951244576,A,C,-46.36667233603931,-108.853642592957,-86.3058444726342,C,72.97536316532717,E,A,0
Heterosexual,18-25,44,Asian,20.79732013399116,A,C,B,20.262166329413592,-41.74501116102994,D,30.357653906050224,B,D,-74.09539941011225,27.596896582203247,43.71380029298144,C,-15.263396664619766,E,B,0
Homosexual,65+,89,African American,54.64836961164941,E,D,A,-41.28012802093851,-26.040663736905294,C,15.054491811286736,A,D,-1.7143426967011377,70.1783323359217,-33.804085769861146,C,-95.997894545129,B,E,1
Homosexual,65+,27,White,39.31589408503143,C,D,B,-278.94966991186027,-70.52392813995755,A,86.76269435132676,B,D,15.727934818035905,-0.679787126983529,-219.99104490361992,C,11.538327956871584,A,B,0
Bisexual,18-25,86,Black,53.43229115397482,D,E,A,-43.22465785003949,51.52393299296622,B,99.77472715344729,A,B,-108.48340797058746,60.89351586784228,56.92297841991175,C,144.27768791010976,E,D,1
Heterosexual,18-25,48,Hispanic,8.741349919548947,C,C,D,-145.6883497441863,78.89378905519486,A,-32.07181227467081,E,C,74.05777406307422,65.28117870023719,68.97111564872031,D,237.13222265305552,E,E,0
Bisexual,51-65,59,African American,-192.9736975491618,A,D,E,86.90216253168322,44.09386904694639,B,47.66304334853957,E,C,-3.192499011880933,-68.12619624478896,172.16982743706498,E,32.16523968211044,C,D,1
Bisexual,18-25,40,White,23.8844240097494,D,C,A,49.83949762634329,21.523162846701705,B,-215.18327459258896,D,B,69.70161473397387,37.98681978964999,35.05028286274007,A,26.812406648577593,C,E,1
Other,26-35,89,White,97.05258723112301,E,C,C,-16.999514677736002,100.91389345374455,C,-226.0582616386261,A,B,-1.8371294459778829,-58.08657540264678,14.869285137989937,B,172.39663979857895,B,D,0
Homosexual,36-50,23,White,-82.55811038735635,E,A,B,127.83684412474898,65.39196122015409,A,98.51526529586093,D,B,-26.15024766454775,94.87518377817923,-90.41172632990732,E,97.76281303869308,D,D,1
Heterosexual,51-65,97,Asian,-105.80172127407191,C,C,B,77.08806895413757,51.73340460705237,D,-118.83198594544973,A,B,11.01428530031701,-50.19937042596274,217.64013391193737,C,-242.2097376580294,A,A,0
Other,51-65,74,African American,-123.65797781715757,A,C,C,-11.392007032501631,-166.11669683376743,A,190.5182403344076,E,A,59.19792471112404,-95.50966525967274,-28.751958918924537,A,-64.72479586932992,A,D,1
Bisexual,51-65,75,White,-75.58480640935204,C,E,D,47.38451416631758,81.22435562353888,A,-62.336789419705205,B,C,-67.57435683680927,-80.99621843611612,30.63319066043382,E,-30.27728621313796,C,D,1
Heterosexual,36-50,24,Hispanic,107.44825143220599,B,A,D,71.94056679066276,27.101581489154803,D,145.5887573154946,A,B,-111.01644479457057,-31.920587490428186,-42.24226493633256,C,61.13492630156373,D,C,0
Heterosexual,51-65,82,White,92.10287919667542,A,A,B,-8.268420844465178,-73.72362443830201,D,-212.39793808198323,B,A,255.29949803753573,56.50683473123445,50.671265652919416,A,-185.15793634579222,E,C,1
Bisexual,65+,58,White,-206.38541385621102,B,C,D,-94.12200265991227,-111.68616016416179,E,119.56302328498766,E,B,11.712334192867186,-59.00234466123795,12.553727440974555,C,-129.32519989417906,A,B,0
Homosexual,36-50,19,Hispanic,191.78865866033996,A,A,C,24.06751086219069,-101.80237913394872,A,-7.5521330015915265,E,D,61.35096536069031,42.07106702094103,-22.50877840890589,E,-36.39822415030346,D,E,1
Other,51-65,67,White,-259.95769200010494,E,A,E,32.78880953412804,-52.83292134766325,E,-79.3775265329318,D,B,-15.243805645078561,-4.044241338518498,-144.49228520454977,E,43.126971180745414,C,D,1
Bisexual,36-50,39,White,-165.88531545081855,C,A,A,133.3622431094751,-144.81665099141617,E,55.873592274250626,E,B,13.815081998999476,-9.75793704512314,-98.62297196045022,A,-67.43536323649494,B,E,1
Other,36-50,87,White,-132.6751665891551,D,B,A,73.15171654688474,-16.480023248436186,C,-180.8063415566461,D,B,25.48730810954415,-119.62165763132894,-255.44426587649926,C,-36.340326080787136,A,E,1
Homosexual,18-25,59,Hispanic,34.53821521116316,E,E,C,-148.54991896226878,87.60092908508132,A,-158.49971900253607,B,E,64.10010182224937,109.71281051381725,114.6937961305346,A,229.49366009164197,E,E,0
Other,36-50,94,Black,63.907435273745804,D,E,A,115.38987936877119,110.95227714214575,E,13.178665072198283,A,D,-4.500182609958158,-131.27164203999843,-21.473587127080695,C,206.37476976520725,C,E,0
Homosexual,51-65,28,Hispanic,60.635460679568745,E,E,D,-86.89507159261359,84.4593201023225,A,19.24454900552435,C,E,12.857467760272613,-59.62498076752606,-193.05710855859863,D,24.79347234832359,E,C,1
Other,51-65,49,Black,166.62360089665387,D,B,C,-44.71662979028761,94.74335445270007,D,8.168023330773458,E,A,125.03459921267599,166.89624430084893,-56.98651668006286,B,17.10224515026119,C,A,0
Homosexual,18-25,28,White,15.086979425191885,E,A,B,84.46614928307363,-0.4578602062385172,C,-130.21008563764101,E,D,-25.70214792304685,59.39377993127788,-148.8930306556587,C,83.07576937886358,C,D,1
Other,51-65,28,Other,-142.73176364704497,E,D,C,-51.06432591645529,21.49653179765166,B,82.00956923880621,B,B,32.04497940398792,46.654908036171086,-138.31470846094874,A,-156.6801664226698,B,A,0
Homosexual,26-35,25,African American,-48.15108013260848,E,E,A,-157.75297880690496,-48.290496364201644,D,38.33889059949932,B,D,-65.81709925849538,-154.24907682836206,-62.236540899411054,A,68.64260577028777,C,E,0
Homosexual,65+,81,African American,159.58666889930427,C,A,E,-134.09462932326488,83.67302381708484,E,-40.51072864423957,C,C,-1.7410364504613072,93.0991735330445,15.767987364587718,C,-20.407422821643586,A,B,0
Homosexual,26-35,65,African American,23.555378778791027,E,C,D,-36.71832109751927,-76.31491277059416,E,124.37100660392404,A,E,-19.295205893478517,-2.0251467830992427,-57.23309653129761,C,4.337400377657866,B,B,0
Homosexual,36-50,85,Hispanic,86.03575678453176,E,B,A,-223.7239187074397,-55.87436522151473,A,-95.70767468398654,B,B,-132.80233372823616,-238.633485005286,-105.2273994399735,D,-92.56117294177378,B,D,0
Homosexual,18-25,36,Hispanic,36.38780011324038,A,D,E,60.06848180022102,20.4812538198487,B,-66.5385350383741,C,A,-102.23005346866555,-179.63655596135266,-54.37601272004403,C,24.96269270049621,E,A,0
Bisexual,51-65,79,Asian,35.8845662786377,D,D,B,-78.72182910916645,20.020837791601494,B,-21.612580675008154,D,C,-5.080227574723074,185.71387164691035,-41.4697318247685,B,34.21945433814649,A,B,0
Other,26-35,88,White,-35.117509396202585,A,A,C,205.05851284737125,-32.9253809572703,A,17.089342285058237,A,A,-0.4710322785783212,27.71926400376956,16.396435140976195,D,12.045167150423143,B,B,0
Bisexual,65+,65,Hispanic,-134.52087790945004,E,A,A,-16.906234644094976,144.76170215878733,E,-54.90660141638551,E,B,-204.14708177694715,159.62820370024394,91.08301530607893,B,-11.129416518418983,A,B,0
Bisexual,26-35,19,White,58.92586273355067,D,D,A,-142.09145882488176,48.36590399171227,A,69.35022083417041,B,C,-42.233495545322135,-95.12938041534727,72.94359195635207,C,-80.38186702675803,B,E,1
Homosexual,65+,31,African American,-69.36952331824229,C,E,D,80.75539476782545,117.13188388702143,E,54.44991120377338,C,D,-39.00517841316717,-46.61511218809087,41.32687224121598,A,105.7656281075769,A,B,1
Other,26-35,44,Black,-68.94130605383569,E,B,C,64.86371669382318,-79.05779726814922,D,-98.93469140958513,C,D,144.40545765628033,-102.3329710341067,-184.73171820036046,A,-123.03471189779798,D,E,1
Homosexual,65+,35,Black,61.027992940847355,A,A,C,13.403430488018964,135.10555078857897,E,34.88589219388671,E,E,-72.87593663880992,-48.554469238511544,85.2790409692382,D,31.916496146908184,C,C,0
Other,26-35,82,Asian,79.33085201918921,E,B,E,-13.602947822034551,29.008806722209947,E,36.70899382431653,E,A,-31.564362846740057,94.39602262794644,-87.46922577967932,D,-7.605834055124749,E,C,0
Homosexual,36-50,44,Other,-1.6282840580721443,E,D,E,-90.50682807970617,-107.03561120025225,C,108.79466968911635,C,A,-67.38070052309223,113.2251846879769,82.64919333504001,C,122.03648340860695,E,C,0
Bisexual,51-65,85,African American,63.007899571377344,B,D,A,51.374328328517024,78.37683675201963,A,-78.25041886509759,B,D,43.963862291439575,50.60634238193622,-30.575060191229948,C,86.67250335504873,E,E,1
