genero,religious_affiliation,country,married,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
F,Muslim,Brazil,Single,E,79.40331820574164,148.1253931027686,-76.9821619293114,E,-35.54263423106416,C,D,-34.51900740408497,144.55755279873856,1
Female,Muslim,UK,Divorced,D,-74.66214226703177,-35.05926423356108,7.464070261990247,E,-132.5788995684346,E,C,-31.369178805775537,88.68244324821461,0
Female,Christian,Mexico,Divorced,C,127.40821162030875,76.63666205924714,-68.798313551049,D,-141.1107198771003,C,B,0.08173464074588613,-97.45922703998113,1
Female,Buddhist,China,Married,B,7.613834564025527,-81.23639023228452,23.517671732723514,A,57.680821266174384,C,A,-135.10268543931346,-22.287900474025932,0
F,Other,India,Married,C,-16.43791824327548,123.94748169112214,-112.22674864412086,A,0.6224887570704741,D,E,293.1197755771477,51.5073799000203,0
Non-binary,None,China,Widowed,A,-26.69679527944154,177.98436763583996,-181.78058948856562,D,80.81835862415495,D,D,-62.68318020322805,-4.0745851020547486,1
Male,Christian,Other,Widowed,E,-72.55624600219244,62.64437097784003,53.46177057144337,E,113.9966745431775,B,D,-82.16320095055397,4.922978527423396,1
Non-binary,Buddhist,Germany,Married,C,-94.45510503706357,7.584684769899192,-38.04106610481684,B,32.56932029468506,E,D,116.05088703464443,-17.20169474661731,1
Non-binary,Jewish,Mexico,Single,C,-20.79697720491425,29.899256447147337,162.1651049960037,B,79.77415466826582,C,C,2.540584203361447,91.2675706706001,0
M,Hindu,Brazil,Divorced,E,-65.2366751078888,-43.3230377464455,-28.850828537922595,D,72.19600467228472,E,C,-13.267812176940302,56.780644735684206,1
M,Other,US,Married,D,80.10506484948526,40.779096408178475,21.497325100044055,E,113.73736561677698,A,C,-199.63097861932823,25.28268135396911,0
Non-binary,Hindu,India,Married,A,-151.9155874633073,31.825285776628405,100.84529804054779,D,-104.82966971084895,B,C,76.07808791794369,18.019919825584775,1
Male,Hindu,Other,Divorced,A,-87.77658908939149,25.650598548688038,50.10969841023807,B,307.16300392550176,A,B,78.07211284709545,41.1192339750726,1
M,Jewish,UK,Divorced,A,-21.30933970271513,-6.551595294149336,121.95344472499157,A,-91.18081108999642,A,A,62.144619838358174,-158.14139288295715,1
M,Muslim,US,Divorced,D,-105.90299766090227,-186.58431042927847,-64.30425728472609,D,-33.25441273400329,E,E,217.58534436085947,139.60540387405297,1
Other,Buddhist,Brazil,Single,E,7.032185565676732,-130.57593717728417,71.87585980631611,C,-34.48157327002622,D,D,-136.78136527879735,9.089497602593747,0
Other,Buddhist,China,Divorced,C,248.4037749058087,-182.4750882103242,282.65739766481494,D,-5.314429724435717,C,C,-109.06867307513424,152.66461327322227,0
Male,Hindu,Germany,Divorced,B,-96.23177315081655,-84.78212393649054,117.70136158192545,D,-105.36487977042881,A,D,-16.843229545995428,47.94511212430759,0
Female,Buddhist,Other,Widowed,B,34.86822250742122,169.38436516814176,-127.08099945752996,C,-58.3504169302867,A,C,-86.39561393106528,-85.99322067680203,0
Other,Hindu,UK,Widowed,C,-100.02104288518345,-150.4587950007028,57.46912837939736,A,22.87550054437539,E,C,27.908459904718498,-12.354167218093313,0
