marital_status,gender,AgeGroup,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Widowed,M,36-50,36.680751048881035,B,-74.55546978585416,E,D,-17.044362120483804,46.95046927061324,0
Widowed,Non-binary,26-35,-191.34466102595138,E,-5.593448232380973,B,D,56.909614512845195,113.12833623708707,1
Married,Male,36-50,123.47671733781152,D,-192.32740493245214,A,A,51.29215844288554,102.73357337799405,1
Married,Other,18-25,-139.02477088601964,C,-115.19673922893165,B,E,155.79807132655841,-109.03852599340695,1
Married,Female,51-65,-76.81698736391446,D,38.618189412394564,D,B,12.641947379813365,-25.74238763612664,1
Widowed,Female,18-25,19.18688409680343,E,81.2805421079966,B,E,-30.328029149734615,0.9590429952369904,0
Single,M,26-35,14.487250440327964,D,-49.98733102219211,C,B,122.9111091760388,41.74055710263957,0
Widowed,Male,65+,145.18191266829186,C,-151.7513009133506,D,B,-101.92039373106547,20.093654719819423,0
Divorced,F,65+,-90.95962333682267,E,126.60311023240789,C,E,76.8153299805941,86.31662861600515,0
Divorced,Male,65+,164.3705717560143,E,0.2684299162758507,D,B,0.904949214895307,155.6962840928765,1
Widowed,Other,18-25,216.56253941043323,D,-150.88201018701807,D,B,-94.56483827048277,6.544251264097478,1
Single,Non-binary,26-35,75.45983517654984,A,58.27915163060341,A,C,-63.87107537003631,70.61869889405007,0
Single,Non-binary,51-65,44.16201413702679,D,-114.15310131630699,B,C,38.99560725044392,-216.14314767420265,0
Widowed,Non-binary,36-50,-109.77281360838158,C,-37.07435170095913,A,A,20.145780582877872,-35.74146694337801,0
Widowed,F,51-65,22.889835751013972,E,-78.21794605298538,E,E,21.09277717477616,33.42192247266856,1
Widowed,Female,26-35,64.49830369143812,A,-20.00284044756916,A,D,-51.784258229606095,80.14043872345765,1
Married,Male,51-65,-34.043788270152206,E,-97.7322306351666,C,E,-98.66978934377619,58.02265341435032,0
Married,Male,18-25,-84.70646507093318,D,-76.84432352578548,E,B,-84.5861283994832,-12.840376770479892,1
