country,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Brazil,E,C,E,A,D,A,B,0
Brazil,E,E,B,E,D,B,E,1
Germany,D,D,B,A,E,E,C,1
Germany,A,A,E,C,D,E,B,1
China,A,A,B,C,E,A,D,1
UK,D,E,B,B,C,D,B,1
US,E,C,B,D,C,E,A,0
UK,E,B,B,A,B,C,D,0
Mexico,B,E,E,C,B,D,B,0
Brazil,B,C,E,B,B,D,B,1
Mexico,A,C,A,E,E,D,E,1
Mexico,E,C,D,B,C,A,E,1
UK,E,E,E,E,D,C,B,0
US,E,E,E,C,E,E,A,1
Other,B,C,B,B,C,B,B,1
Mexico,A,A,A,B,C,E,B,1
China,E,A,E,C,D,B,E,1
India,A,A,D,E,A,D,E,1
Germany,A,E,D,C,D,E,D,1
UK,C,A,A,B,C,A,E,1
Other,B,D,B,E,C,C,D,0
UK,A,C,B,B,E,A,A,1
Germany,C,E,B,E,E,D,B,0
Other,A,D,A,E,A,D,C,0
Germany,C,E,B,A,D,B,E,1
India,A,A,C,A,E,B,E,1
China,B,C,D,E,E,D,B,1
Brazil,D,D,E,A,A,A,B,1
China,E,A,D,A,B,E,C,0
Other,E,E,A,B,E,B,B,0
US,C,B,C,E,D,B,D,1
Brazil,D,E,B,E,B,A,A,0
China,C,A,E,E,A,D,C,1
Other,D,D,C,D,D,A,B,0
UK,D,A,B,A,D,E,C,1
India,A,E,D,E,B,E,C,1
Other,E,B,D,E,C,C,A,1
UK,E,E,B,C,B,C,A,1
Brazil,B,D,A,B,D,B,B,0
Other,D,E,B,E,B,B,A,0
China,B,D,C,B,A,D,E,1
India,A,B,B,C,D,A,B,0
US,C,A,B,D,B,B,B,1
UK,B,A,D,A,D,C,C,1
UK,A,C,A,A,D,B,B,0
Brazil,C,C,D,D,A,C,A,0
UK,D,B,B,B,E,D,C,1
US,D,A,D,A,A,E,C,1
US,D,E,B,E,C,B,E,1
Germany,C,B,A,C,C,A,E,0
US,C,D,C,B,E,C,C,1
US,C,E,D,D,B,B,A,0
Other,E,C,E,C,E,E,E,0
China,C,E,D,E,A,C,A,0
India,E,A,E,E,A,C,D,0
Brazil,E,B,A,E,A,B,C,0
China,E,A,C,B,D,E,B,1
US,A,D,B,C,B,B,A,0
Other,C,A,E,A,D,C,B,0
US,E,D,D,E,A,D,E,0
