Gender,religious_affiliation,Race,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Male,Christian,White,-78.45205574395251,156.32623463916556,B,C,C,E,E,A,175.91574048491537,E,-29.92180570358452,E,A,18.92737368604497,79.46863341049973,69.67754538897526,E,0
Female,Muslim,Hispanic,13.7202776588022,-42.573627603766184,C,E,A,E,D,E,3.9283774439091097,C,-90.37809078786483,C,C,76.76289858610515,76.41392110857763,87.6866602377662,B,0
Non-binary,Hindu,White,-55.58787101249983,-77.61303746839314,D,E,B,A,E,C,-122.72329924369983,C,223.5582196345648,E,B,34.51085505670584,31.042842829271844,167.3234361716556,B,0
F,None,Asian,19.493075938428433,29.571419688286998,C,A,D,E,A,D,36.416791504878205,A,-90.93798135179304,B,A,94.43277055343593,-94.33830918316173,-8.47512448308578,E,1
Female,Jewish,African American,-41.02929154227367,11.961240600702826,E,D,E,A,A,E,93.39690465015255,D,-37.034682979328494,D,D,-17.340092342704057,-63.43883436099757,17.807747229524526,C,1
Other,None,Other,-53.761664233945275,-157.19759516531224,D,E,B,A,E,E,9.550690718926056,D,77.4849174579524,A,C,88.99877544561477,16.951242486891697,46.64535632966422,A,1
Non-binary,Other,African American,-25.64018700731926,-191.7981167581206,A,A,E,E,A,C,-91.56489305513969,A,-87.614360859502,A,B,34.2143900059722,137.94673218557548,78.18805913242511,D,0
Non-binary,Jewish,White,-127.50328177075241,111.46698279549997,C,E,A,B,E,A,98.35848281117732,B,133.80231435047756,D,C,-76.24480253907447,193.99751124069738,28.908387834896153,C,1
M,Other,Asian,139.02026996448106,-49.77209473131078,D,C,E,B,C,B,87.96191226172702,C,-139.14201707336304,E,B,-62.162553507578544,87.99880890881087,57.45482916489857,A,0
M,Jewish,Hispanic,-51.45507584255561,-119.16964069490528,B,A,D,A,B,A,92.78940675307109,D,39.35062532412002,E,B,-86.43908580914963,-16.877127282230173,-25.148227231180627,E,1
