orientation,gender,Disability,faith,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
Homosexual,F,No,None,D,6.800995361299419,A,B,-31.124153168239204,C,13.748808879558915,D,B,-202.00163714128396,-7.18617409033072,B,B,-113.61942232377811,D,0
Heterosexual,Non-binary,None,Other,B,-198.18102596974592,C,E,55.62990588750617,A,-68.24923012859118,A,A,124.65703831511348,31.860953431650447,C,D,-148.53970293233772,B,0
Bisexual,Non-binary,No,Other,B,78.79951681444521,E,B,54.178912460873896,C,43.936971693730094,A,D,141.46239564589507,-65.39695147565021,A,C,-137.26194287641158,A,0
Other,M,None,Buddhist,E,232.26294875550627,B,D,-22.093270311925835,B,20.750241383689612,E,E,-50.774950700480325,11.269752091160191,B,C,-15.657360337699632,D,1
Heterosexual,Non-binary,Both,None,C,-40.75301515773367,D,E,-86.36530201547512,D,-33.72312361790297,C,E,13.357183382090842,147.53292080501365,E,B,-39.275824392533494,A,1
Homosexual,Female,None,Buddhist,B,-34.89725560944956,A,D,78.517010920717,E,-15.232829787384079,B,E,-29.8549926721434,37.81146029384097,A,C,-84.46416445635158,A,1
Heterosexual,Female,Physical,Buddhist,D,-2.5985001664970917,C,E,-22.051541865681028,B,-20.20391545924063,C,A,-201.7424880848215,-102.80985687644389,B,D,42.56131913313238,B,0
Heterosexual,Non-binary,None,Buddhist,A,93.39875849892927,B,B,46.69468627851813,A,-55.955548556522295,E,B,143.9833672769484,71.44032323144309,D,A,40.49290598174743,C,0
Homosexual,F,No,Muslim,C,-15.169686087920578,A,C,110.4706185643485,D,-121.42538551873314,C,B,35.333346892279465,-149.08711524881616,B,E,-85.59974801753107,A,1
Other,Female,No,Muslim,A,-15.456783743825394,E,D,5.121118086823015,E,-86.77551365615136,A,B,75.8845185409787,-103.14061394885657,D,B,69.91110102514388,E,0
Bisexual,M,Yes,Jewish,E,134.4423017235541,A,B,-12.159092830243942,D,-19.576917459682733,D,E,50.13333158264093,47.40112379617806,C,A,36.24180778872031,A,0
Other,Non-binary,Mental,None,C,78.72284257868614,B,E,210.6010001493556,C,44.65515035737119,B,D,10.410464619896453,80.25588475886167,D,E,-153.1194485873741,E,0
Heterosexual,M,Yes,Muslim,A,130.5830115791591,D,A,-28.778755553017998,B,35.19881195512147,A,C,-70.86218778501264,18.35069975098918,D,C,149.17619503666612,D,0
Bisexual,Female,None,Hindu,B,2.4179153918509466,C,B,33.57441850315484,B,-88.26427916437349,D,E,-26.274181371154302,8.354730160001406,A,A,67.99890672637609,C,1
Homosexual,Non-binary,None,Christian,C,-91.29240776040555,A,C,98.70316290348194,B,109.05273569285805,E,D,192.0019449431948,128.99276781394346,E,A,92.40311787922498,A,0
Bisexual,Male,Both,Other,E,-49.24349307345686,E,D,55.22222541436346,D,-97.37863252033475,A,C,13.41346563490205,140.4269547728873,D,D,65.5822675706393,E,1
Other,Male,Mental,Hindu,C,-58.233130000460285,C,E,-19.10844439803769,C,-122.35282765540121,C,D,-41.19150875313136,13.321116712528426,D,C,29.672478124710643,A,0
Heterosexual,Non-binary,Mental,Christian,E,-148.14949239516375,B,D,20.293941614745005,E,52.52757861115841,C,B,-54.10299471011527,47.297950065229664,B,D,-129.92099013875682,E,0
Heterosexual,F,None,Jewish,E,101.45015278578266,A,B,-62.77302868038832,C,21.857696273593355,B,D,-90.85990501137576,250.29248854654335,C,A,99.09308789115512,C,0
Heterosexual,F,None,Hindu,D,71.94451578805638,B,A,-19.6731496473301,D,-62.396047676590904,B,E,-67.13350266516007,7.114104365843395,B,E,-76.74722553646738,B,1
Other,Other,Mental,None,D,-178.58913693356305,E,B,22.119703792231206,D,219.42802399917355,A,C,231.94091468243445,242.2536827898183,A,A,117.7089430568855,B,0
Other,Female,None,Buddhist,E,60.77717564195498,B,B,69.78216293789318,B,82.41315801022743,D,C,45.875308329683975,32.10374068806758,E,E,13.243940484085433,D,0
Other,Female,Yes,Jewish,C,172.87602912138217,C,B,-232.90776209411547,A,-127.53154546971884,E,E,-78.86065937962795,-46.900901399219904,D,E,107.83803564845793,A,0
Other,Male,Mental,Jewish,A,-15.775397154001231,B,B,43.05009351225862,E,-45.4234874596022,A,D,-237.64291014437285,80.85572922164398,B,B,-62.98321125523729,D,0
Heterosexual,F,Both,Christian,C,-158.01273803732266,D,B,-1.3809466011702276,C,-104.38712162496182,E,B,73.1555051026464,72.54184377779326,C,C,-31.740675474042618,C,0
Bisexual,M,Physical,Christian,E,56.89886887589266,C,B,133.69774180421365,E,-101.5073512240106,E,E,3.892305793750121,-111.92741789313392,E,B,57.74831317669936,A,1
Heterosexual,F,Both,Muslim,B,-4.627731274609666,C,C,177.86604523088684,E,-30.85210791809112,A,E,64.07029299757758,-15.783705938350371,B,A,11.633718845632348,A,0
Other,Other,No,Other,C,114.78512372064309,E,E,-80.7386593775123,E,26.53872023158737,D,E,87.45895373537715,-31.023811983864945,B,E,-129.28307351428842,C,0
Other,Non-binary,Mental,Christian,D,33.13106675049178,A,B,-46.353283377840135,D,-1.2740643970750771,A,B,101.18665011879293,-27.558877446658737,A,A,67.97882298273471,E,0
Homosexual,Other,Mental,Muslim,A,148.35103921548892,C,D,-23.92667691426844,A,115.51521531744,B,D,-28.602614783448526,32.754401990537836,E,C,39.857699760113086,C,0
Bisexual,Female,No,Other,A,75.99149459472156,D,A,-155.62786388974024,D,132.23191724858327,D,E,54.45426132078889,16.644978061242252,A,B,50.26544536232811,B,0
Bisexual,M,Physical,None,A,-73.27970553744228,A,A,198.54450918763152,E,9.564944681553445,A,C,4.982521049609449,192.3258491841277,E,D,-7.943310723199636,D,0
Homosexual,Other,None,Christian,B,52.31761370609188,B,E,-33.01082568752916,C,238.89194752814288,D,C,194.18402982703427,3.124852279552514,C,C,-133.39849957847832,D,0
Other,Female,Mental,Muslim,C,122.37918240010421,A,A,225.63707178909885,A,-151.32370239255263,A,C,86.633166590074,-151.13879737896062,C,D,73.2409608388698,B,0
Homosexual,Female,Mental,Hindu,C,184.4220004915015,A,C,-112.1343084166391,C,-168.4336100910855,A,C,40.32645727718549,-64.26693841556744,C,D,-62.7958771639182,E,1
Heterosexual,M,Physical,Buddhist,C,66.07885234309194,B,E,42.62427270789566,D,79.96465896153163,E,A,-144.33564243839487,-117.71272282137465,B,A,13.092972993046923,C,1
Homosexual,Non-binary,Mental,Jewish,E,53.12568011078761,C,E,210.79900678893583,D,230.4816358621169,E,D,103.93924426889438,146.76840204636207,C,A,-132.60185830272889,C,1
Other,M,Physical,Jewish,D,114.2154388080191,C,D,110.07846878848666,E,32.14964728002217,C,D,73.53248199340887,-27.734000593657594,A,D,-68.37694077083039,A,1
Heterosexual,M,Yes,Muslim,A,125.81010187077453,D,B,162.30987508532553,D,167.4468785670155,B,E,-92.47343336142568,-46.01187876228109,E,A,78.05724145942801,C,0
Heterosexual,M,Yes,Jewish,A,45.66526426095315,A,B,22.419067832756784,E,104.3889558339121,E,D,-68.14275861893809,94.66484167015125,D,D,59.2476226099418,D,1
Homosexual,M,None,Jewish,A,-119.87258021009796,A,C,-242.38655269696557,D,-61.94608274461984,E,B,48.78413389946219,-107.14436153616775,C,C,-18.273120506329544,D,1
Homosexual,Other,Mental,Other,B,-74.33044866715463,D,D,8.000410013652232,C,-174.11423191428725,A,A,-75.8019695123566,-22.71670959896019,D,D,71.7870872116949,A,0
Other,Female,Mental,Jewish,B,123.17156507947715,D,A,79.5609885877432,D,-40.312861233913395,E,E,80.36155177965675,13.30053356732552,E,C,229.0310289856468,B,0
Bisexual,M,Mental,Other,E,-24.177592067750595,B,D,-137.94067045694206,B,-54.805878695776514,D,A,47.26246749641328,-25.303699061026652,E,E,-109.75583333592847,C,0
Bisexual,M,Mental,Muslim,D,60.91093398664946,E,B,35.23512395112077,E,137.49645869273664,C,B,42.523011507658545,121.80047618999473,B,E,27.76331143307064,B,1
Heterosexual,F,None,Muslim,C,-57.72676492954608,A,A,167.06758882820384,B,-22.58156747458753,E,B,5.18794318460929,-66.98593912403469,D,A,-73.70160300110906,D,1
Homosexual,M,Both,Other,D,35.91392198787954,E,C,102.32738764240719,E,68.10215061401058,B,B,15.646662896490401,80.03636345736079,C,E,-10.638133660951334,C,1
Homosexual,Female,Both,Jewish,B,111.66582823012503,D,E,-51.56630984445609,B,17.355548239620948,E,B,-2.3946615553258073,-79.12750966462303,A,D,61.814405516188465,A,1
Bisexual,Female,No,Hindu,E,28.310603361105475,C,A,3.265191510222816,A,42.41713705303013,C,C,59.435471293316745,-92.22339951747274,E,E,192.20474404586992,E,1
Homosexual,Female,No,Hindu,C,55.37085795263844,E,D,-147.63986189312834,B,116.29876753091905,A,B,41.25819606627909,49.06569368503332,B,B,12.948302847824184,B,0
Heterosexual,F,Both,Muslim,B,-83.94718842409503,D,E,-29.52265464637894,E,89.63621474575429,B,D,-132.38775560910506,56.37017110622203,C,A,24.070690777883726,D,1
Heterosexual,Male,Yes,Other,C,-31.681382160335925,A,C,3.414494223121113,C,187.50396911988713,D,D,-39.701173563378376,262.1580491596872,C,E,-35.432374775962586,E,0
