AgeGroup,Disability,Veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
36-50,Mental,Veteran,-62.33469900531073,186.17993062827694,C,-10.841897740870596,-153.13238222664503,B,-59.251400208921844,137.9354903953478,132.06274107131358,E,E,C,A,17.981456835124764,1
36-50,Both,Non-Veteran,5.750236605344982,-5.554317240206197,A,30.57085457829432,-94.05897545784396,B,143.89341669450536,20.401453746772383,95.46700265064642,A,D,B,E,155.4431065364517,0
65+,Both,Yes,-135.783636635678,18.177640395407117,C,-101.4905340344421,123.8628517549303,C,-30.761670278608033,-95.19427554669096,-4.277990260183062,E,E,B,E,-99.21815441028406,0
18-25,No,No,46.375306416687465,-132.36347241546167,E,8.711600151545685,21.237713283760083,E,1.7191027523704587,-81.93680748459484,-57.26655941815938,D,B,B,B,54.877871213315665,1
26-35,None,Non-Veteran,328.6559506078549,104.84576028125599,E,-84.1635713482022,-32.96688315188617,D,38.563030707866425,-116.02216774082017,11.489000320795133,E,C,D,E,-1.6829600522359625,1
18-25,Mental,No,-3.0968512242080184,-13.719992709545078,B,-38.40101200192041,-227.08691620703414,D,-45.458146040387746,19.145517763527305,-115.98164872045169,A,E,A,A,24.114310368114705,0
65+,Mental,Yes,144.34570047562397,218.4037803933572,A,33.02067487856254,155.39939735757963,E,-105.24768446982745,82.47687172026144,127.19631448634958,B,E,B,A,23.861682484964135,1
26-35,Yes,Non-Veteran,-23.07079340423951,-38.86579675799404,D,-71.27417001279551,-135.56720616529233,B,73.55318202078581,-16.102967229024685,-21.831580853923498,C,E,D,A,52.30151227116397,1
26-35,None,Yes,2.144568977820332,16.69382736627399,A,-37.173017752355435,79.09094249834388,E,31.003859557451747,-9.2334187532458,54.46801859269592,D,D,D,A,-237.4246899921338,0
51-65,Both,Non-Veteran,-65.62417259917986,2.4457084842332835,E,-88.5792029844837,-53.12586092495967,E,51.09408602084419,88.34038551622481,-19.786929530482247,E,B,E,C,-139.57844782843475,1
51-65,None,Non-Veteran,78.98824355601167,195.40453259648797,A,67.55699545915216,-44.79151918110002,C,270.394081234829,3.312444184514733,37.497357225691005,B,D,A,E,-152.23471640097702,0
18-25,Mental,Veteran,-97.35024741293269,100.77331372140527,E,62.30496376994541,-44.10654358024036,E,59.95662750567152,6.7100702043824265,-135.57114634431304,B,E,B,B,35.28228196120089,1
18-25,Yes,Yes,-191.08507038860503,4.85086117878834,A,61.49390138982185,-37.11233470721358,E,-18.38783793937666,-168.93907762347627,164.47631178014953,B,C,D,E,79.89148709881803,1
51-65,None,Non-Veteran,-22.167863872164613,2.94917057682462,D,-9.486870999926612,-20.646549135120228,B,-55.85714761324249,-17.636030065036827,9.06301883757429,A,D,A,A,-179.66957222839866,0
36-50,Mental,No,-6.853009319247581,-221.32733587786797,C,136.20767854035066,-38.92576157001074,A,-150.97814638278712,194.34770574093986,22.5225806642753,A,B,D,D,133.6200119908312,0
51-65,Yes,Yes,35.008063593291446,-73.20202773831585,A,-7.564139788216005,116.74502874715955,E,-134.9693960204903,-1.1404828818145707,-11.614946768309423,E,A,E,E,-61.48498341763198,0
65+,No,Non-Veteran,-62.46705486088574,-56.12693710886298,D,-53.39800813476647,-45.007590112680816,B,-203.2400700337878,194.61525281456713,-62.06885723591241,B,E,D,B,-44.33496051743638,0
36-50,None,Veteran,2.7810734990805885,-48.95612698043785,C,-67.60669613965663,-201.8922319055506,A,62.93173511869337,-117.19103869610743,-108.4412994763834,A,C,A,A,12.09515986519131,0
65+,Physical,Non-Veteran,104.27065094891566,-2.297957167734235,C,-116.24219443381058,6.4062241544196405,B,-177.9620902318983,-2.11000569858854,105.00318984023886,E,B,B,C,-90.60882342244552,0
65+,Physical,No,72.50143017077929,21.059489484367948,D,-167.72831392949837,44.56004744944457,C,120.63839772116668,-124.38544275813865,-95.25449598825803,C,E,B,B,-64.3433212297073,1
36-50,No,No,66.16276441741937,-141.60751120158156,B,8.570748624862789,-51.718508168174374,E,-33.80913557191068,23.620025354803765,40.62348288822978,D,B,D,D,-73.48170477072267,0
65+,Physical,Veteran,5.691402585316359,-120.09008096751104,A,19.30983337282288,-39.592517044563124,A,-24.89428644621482,126.47165112272339,-26.974581110127293,E,A,A,B,-58.97411994583521,1
18-25,Yes,Veteran,-112.62700179962535,248.39242156513612,E,-202.1889543855111,-58.07964601664429,A,-40.75667011829046,44.92322054908695,48.97934397360733,A,E,E,C,2.791136878236131,0
65+,No,No,147.35816156673965,-147.10459830056354,B,112.47109701370353,-125.67837177122361,B,55.90102606046767,-32.49680439876382,43.33168507406758,B,D,A,B,-158.46183891575924,0
18-25,Physical,Yes,18.401322138328652,-58.1376568549317,A,-18.42779146723918,-159.0847587413983,A,5.470934212457872,-107.62818413514843,24.47277967675495,B,C,C,B,-5.141780106121831,1
65+,Yes,No,-101.52511277053713,51.50085813290441,C,-36.50605196974713,-196.8664251715367,A,-25.787672728940247,0.616233841524196,70.66835313365019,E,A,A,B,-151.07326639370822,1
18-25,Mental,No,-125.8037511813825,-7.424783954337796,C,-61.86775428041382,143.7315923238059,E,-54.759112507062,95.0542542696724,50.63990150751951,E,D,E,B,123.24067422598873,1
65+,Yes,Veteran,27.74099646670828,95.3954079964662,C,-48.720636988760766,-162.4511500364709,E,-67.91072523722288,82.30435684251071,-26.102325715680326,C,E,B,A,-3.9125497362991473,0
36-50,Physical,Veteran,-132.15151542114856,-218.28110489517462,E,-77.68861415922017,26.615794673652392,B,-125.98479445372683,47.46492575194231,-108.984937679087,B,A,C,C,42.61817805896962,1
36-50,Physical,Yes,63.912341673860595,-24.78424188567131,C,49.851812651203545,129.26546660141761,E,-83.24559749564862,99.12314980877586,-39.74058386900648,A,B,C,E,88.03144792834394,1
65+,Yes,Non-Veteran,-113.09002834587389,-125.77863652885411,E,26.919541052574004,-134.60354103683378,B,59.46670948225038,14.71945580503958,-138.97026167842876,C,C,B,C,152.39765709234604,0
51-65,Mental,Non-Veteran,146.9250013992863,86.20637272259324,B,156.71080007346305,-152.02842182648448,C,-141.09462171865107,51.45500626225387,-0.3621915821409888,E,D,B,E,-200.47501823079443,0
65+,No,Veteran,33.07117616602448,126.7947399878397,D,148.52606813374393,-66.32931862166676,B,-42.582785754858236,83.92877479626483,-118.57231935666384,B,A,B,C,120.09328609944161,0
26-35,Yes,Yes,54.738204475679986,58.50972078675822,A,-127.69321271176099,-51.31038103715477,D,7.0837771094528605,29.307134852318264,-83.71465799118272,B,A,C,B,-35.44224530961003,0
51-65,Mental,Non-Veteran,-69.9707501994303,-37.909508009559936,C,82.67655416072532,-150.53252861401137,A,-65.01336717277168,79.64498001807723,-54.23367229807899,C,B,C,C,31.33244115720682,0
26-35,Both,Veteran,-25.770606995711017,39.93601474946155,C,75.18341845151559,-19.180573909314788,E,50.56201729551426,-160.79961409332623,45.34544796323925,B,C,A,E,19.522251762704325,1
26-35,Mental,Non-Veteran,76.4949327970586,108.75059965566768,A,177.32705151943523,-147.0375697073211,E,149.67768732355987,179.33225126847034,2.2934105177999706,B,E,B,A,104.11695008865118,1
18-25,Mental,Veteran,-12.33894403458915,194.47054236237034,E,-152.34040355470657,-6.455635752956948,E,-152.4591878972259,13.822962042835787,193.81472473532486,E,B,E,D,12.200238751821724,1
18-25,No,Yes,-121.06257995990542,-50.184715038570694,B,-58.15441922069166,204.90953302918325,D,-32.95893150046765,-20.057421088924187,160.92489515815316,D,D,D,A,23.903157841069582,0
26-35,None,Yes,122.32880026300137,-41.93765792629177,B,50.78074146388267,-178.0896341725533,E,-10.38535641164335,-80.9929861636274,19.337775246834845,E,D,A,E,-18.666035061257386,0
26-35,Physical,Non-Veteran,166.5160742428754,-1.6536160320512798,E,-16.229075504791517,151.33635551020882,D,52.109635763866144,14.565885095955245,4.860211444306114,D,E,E,C,-115.27794695991618,1
51-65,Yes,No,-146.29905825084717,-61.20010471525561,A,149.20171007128454,44.627211113670725,E,-50.82458734442501,-4.135656108229751,38.77952193602732,A,E,C,B,56.58044502922572,1
36-50,No,Non-Veteran,95.43095097521484,44.281016178977936,D,-31.285441061236234,9.867872154924607,C,-26.71090551777569,60.19890374413431,61.66255809211714,C,C,C,A,43.22716496924124,1
18-25,None,Yes,172.00653315826605,22.208672140436075,B,-29.616467797412138,-96.11171684120508,D,-91.59897049237149,-83.40729020021973,58.5473924547515,A,C,E,D,63.97137473324871,0
