civil_status,sexuality,religious_affiliation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Married,Bisexual,Buddhist,-25.453367162549007,82.79096449678339,8.761045479002918,138.64348726979813,-13.014837270165886,A,D,-231.4209850922106,A,D,D,D,A,66.51990697715699,1
Divorced,Bisexual,Buddhist,-68.38609094240776,-176.79496303392628,-15.280482967173462,-8.51266719681151,280.10059426697416,B,E,150.37971316486008,C,B,E,D,D,72.44001820857517,1
Widowed,Homosexual,Christian,88.75602914934689,-115.41958440690962,133.1070046195784,-110.96962212385726,-21.890848769249153,A,C,-41.22150600077848,B,C,A,B,D,-12.549701398145524,0
Single,Other,None,59.382093846474945,2.014444281843104,74.58560277336758,-70.34643345663784,-77.20780174159287,E,B,-20.956432357121106,A,D,A,A,D,-165.40483539477805,0
Divorced,Other,Muslim,39.683483976489484,4.903248428026888,265.4637962303416,43.49067879064072,-34.893559867185495,E,C,28.19865426698446,B,E,A,D,C,181.66056792621885,1
Widowed,Homosexual,Other,-122.72062026469061,28.585232654011755,4.464915825519069,-42.282225676116184,-32.71276202595138,E,B,-30.453795307917535,D,E,B,B,E,-56.834148664071705,1
Widowed,Other,Hindu,80.57624229511637,102.81393470543097,-20.150752179485913,-209.55321257117964,-44.72321347896625,D,D,332.6958785372147,E,A,A,D,C,-24.021107272539552,1
Divorced,Homosexual,Jewish,-96.35312943914107,119.15956077100913,-69.04393737284126,26.204674094653953,-117.35480324483308,D,E,-215.53301325148104,D,C,D,E,B,-43.347910233182986,0
Single,Homosexual,Buddhist,87.83587769319841,-154.9468915455828,-16.448350123228966,-43.45845504105977,92.54246768152211,B,D,-59.178223180615284,D,D,B,E,D,36.99187020621423,1
Divorced,Other,Hindu,-143.63572597268904,102.10355664950418,27.069124213769236,82.87463243760985,142.78010100696073,C,D,23.714596525024056,E,C,E,B,B,62.80563097955192,1
Married,Heterosexual,Jewish,52.92981566109869,-53.84229973963479,247.6233171238276,70.91472744607786,-104.01234612656987,B,B,85.67789199762491,C,B,A,B,B,83.22644551836319,0
Single,Bisexual,Hindu,68.78272106746579,184.93052599161285,156.7993012632295,-275.44901660277293,66.56719322646596,C,D,-41.81941492242201,C,B,E,B,A,35.017638098207506,1
Single,Other,Other,-213.61162854633102,-13.22989176593149,-1.8460183803823964,-95.84369623947644,-42.259572792532126,B,A,99.97127487012717,B,E,B,C,D,-33.94654667357023,0
Widowed,Other,Hindu,-9.06070285016037,-119.52773764516165,80.8208947948379,111.52729831339559,20.80385940284177,B,E,-30.780013142278857,D,C,B,C,A,-278.3304643853047,0
Widowed,Bisexual,Buddhist,-76.25564206156808,-143.66307435821318,85.00715154822777,-27.91647076828403,-100.1658185268513,C,A,-221.4689469074102,D,C,C,E,B,111.8438218391685,0
Married,Bisexual,Christian,59.95816747794288,49.32648770902045,-40.00956813186341,-23.056076726837407,-96.97769884084005,A,E,62.83892847674759,C,B,D,D,E,29.704326612910855,1
Widowed,Homosexual,Jewish,11.447301184645738,9.72855858851529,-53.975301517110374,144.98191259767145,8.630240412904271,B,D,51.810600106692874,A,B,E,E,C,-134.148246748179,0
Divorced,Bisexual,Muslim,-4.962124855993803,27.893020227362715,-12.2521206998565,-19.757474255308434,-98.35305357870527,A,B,147.64939426983003,D,B,E,E,C,55.867337739998625,0
Married,Bisexual,Buddhist,-64.47398047057071,99.23115092074406,49.32829935288399,34.35612012613751,156.60711357424728,C,E,130.49746460057506,D,E,C,D,C,-5.724935786868654,1
Widowed,Other,Jewish,136.6218583701323,64.51272380262041,93.72743653917605,199.59116322683974,-67.67062316918206,D,B,151.60090094713783,C,E,B,D,B,-82.12039860640516,0
Divorced,Homosexual,None,-94.39676854687336,85.7144226499722,35.25761447750636,-147.9722563749849,-172.64164558945302,A,B,-85.39489797986094,D,A,E,D,B,22.40682367590948,0
Widowed,Bisexual,Christian,-82.36575722548393,70.75887599407966,34.09339235507228,-94.44759904464797,17.619128435719684,A,C,36.0282874671182,D,B,C,A,C,-80.46187055282043,1
Single,Heterosexual,Muslim,58.5994764333354,-69.64321262846063,-43.50958532533477,-44.904323779125896,14.46886476164701,A,E,-90.74375824997166,A,C,B,B,C,137.9989588282606,1
Married,Homosexual,Other,-100.05526700086207,34.929599382262104,-197.5557366293865,161.10064533161565,171.72666624981963,E,A,71.804254546787,D,D,D,B,D,-91.66179477408784,0
Divorced,Bisexual,Christian,-209.51245648427354,176.78699716627486,151.41074283174083,-141.26176092553376,-9.778242682809994,C,E,-28.27432273087423,A,E,E,E,A,112.1162101367067,1
Divorced,Bisexual,None,-116.07538783687419,-170.17960042908405,-294.0800481681951,95.62753485028091,-164.5321597914336,D,A,-28.065361514013613,D,E,B,C,A,48.18978875964861,0
Married,Other,Hindu,132.4095464118205,-16.94136246762437,38.09761741642339,-22.74345397013672,-91.87726838702584,B,C,-90.13420144087243,C,B,B,C,A,-197.16262696866733,0
Single,Heterosexual,Hindu,21.51052634007322,85.348441808848,-6.482048532393285,-161.33433055293673,21.81519363101868,E,C,-54.86561397789267,C,A,B,B,B,-60.47647457618811,1
Married,Other,Other,-68.1667603039235,-66.28128747422282,-47.41925403685014,-87.59115174588503,-84.18289286196247,D,C,-94.60290945884692,E,B,C,D,A,145.74939621685732,1
Married,Bisexual,Buddhist,-79.42107030942351,-66.00561109512364,-27.009911734462804,56.01614870558611,-150.44557941347244,E,A,72.43776404360567,E,A,D,C,D,-95.888206879176,0
Divorced,Heterosexual,None,-13.843326121324532,4.784853742738836,-84.5685272223343,-68.33164618610171,48.73034207208914,C,E,-44.268421430375575,A,E,D,B,B,100.50028594578725,1
Married,Bisexual,None,-87.81615529789364,100.97109701134895,-119.9628306318248,-59.26269688429077,-21.698253345684872,A,A,-70.82082549425334,D,A,E,A,A,-45.67852450336971,1
Divorced,Bisexual,Christian,82.51735985047856,-190.41980089231595,64.2401800105296,-54.33820899424339,-131.16234786489983,E,C,-22.51987054580579,E,C,B,D,A,-44.51167697204379,1
Widowed,Heterosexual,Muslim,40.753175085318674,77.55528872489634,57.48032614646539,-16.45383439184867,-88.5815152609656,D,B,150.7701507963065,E,D,C,A,C,-28.61563724025242,0
Widowed,Homosexual,Other,49.679443078404766,65.78209047508537,-77.61715118011222,41.208526764673856,-91.04093947999448,B,C,39.24199189587203,D,D,D,B,B,92.18848339702663,0
Widowed,Homosexual,Jewish,-59.414609316048825,-140.2440674560683,-139.8247282784002,65.74452271685496,12.4249397362654,B,A,103.5193321514135,E,E,B,A,B,28.830107293617786,1
Married,Heterosexual,Christian,-69.86432779182284,29.766492914663957,81.99873843900548,56.355212060757886,-147.09116593837453,D,B,13.974127520320835,B,C,A,A,E,119.5813938588336,1
Single,Bisexual,Jewish,-113.5921178880696,-143.12521658943194,-73.05429572916768,-128.55929891990797,104.88849926533615,E,E,-65.16658432494651,B,C,C,E,E,5.773057320139858,1
Single,Homosexual,Muslim,-84.27802510466887,-105.94160372714086,107.05601580112054,-33.93032645769319,-133.3081077280272,E,C,-73.64802263242676,A,D,B,A,C,-16.549468748018768,0
Single,Other,Christian,-59.00107325522692,-15.90278138475967,10.1460437282758,-88.67926484813555,-116.8890892200187,E,D,30.46514472591036,D,A,D,C,E,117.42485899323536,0
Married,Other,Jewish,82.28414797105694,141.47845451699777,-49.217172842944336,-8.523882601921057,73.22973486315158,C,D,31.75849531628472,C,D,E,E,A,20.483694788785435,0
Married,Homosexual,Jewish,-13.790207766381595,18.292066397645474,26.58042378742178,-74.90112181701886,-124.53532785303972,A,B,74.93982433267666,C,D,B,B,E,67.8911170726312,1
Married,Homosexual,Other,-39.71185592357714,-272.2770424049085,61.0303477472314,-3.268487457227709,149.92580363535308,A,B,-166.69422804748078,A,B,E,A,C,32.94066944138709,1
Married,Other,Jewish,37.208888089371925,-31.294890734227394,-34.05198470958394,-72.92266092774601,-25.751786771580914,D,E,-62.01719179707161,B,A,B,E,B,-0.014738900353221139,1
Single,Bisexual,Hindu,29.443285596758145,48.53438028629905,-19.098593198834752,-52.034898468687174,70.00827830559028,E,A,5.604142598657021,A,B,D,D,A,108.6881993531539,1
Divorced,Bisexual,Jewish,-67.339798706131,-104.5992331456008,9.828841446179698,12.095680380968739,-131.5211102725888,B,C,66.44011453634747,A,C,E,A,A,-81.28261327603998,0
Divorced,Heterosexual,None,-101.84522726387466,-55.519822891163074,-22.005340203085677,21.161584139246376,-39.29195321060521,D,E,-142.95457637521866,E,B,C,C,D,169.59030565461046,0
Widowed,Other,Muslim,63.007185069623475,-42.95322905624455,-37.77949008239368,-47.37990551802873,13.996901412790312,E,C,37.28616010757385,E,E,B,E,E,-119.47997581825125,0
Married,Bisexual,Muslim,-191.80856449869495,237.73952005558075,-60.96934444629865,139.81882389641817,-133.99768807662858,D,E,74.36153493664457,A,A,B,A,B,89.09746224050294,0
Married,Heterosexual,Hindu,-76.03554904095688,-64.58541428126964,86.76868206179866,276.4831092694091,55.3130982797087,C,C,95.33352003252594,D,A,D,B,A,-156.8114111653268,1
Single,Bisexual,None,116.1860203449276,123.93533081414034,-246.16983147746873,75.69110411708814,-140.60556514661678,C,E,73.09630479347098,B,A,E,C,E,56.57756062819478,0
Married,Other,Buddhist,16.088231779007568,15.459086493132293,29.492882327429353,29.924078697766603,76.87747343386073,D,E,-34.862693401703275,D,A,D,C,B,-89.02986724210614,0
